timeframe,direction,target_pips,conditions,discovery_samples,discovery_hit_rate,discovery_lift,validation_samples,validation_hit_rate,validation_lift,oos_samples,oos_hit_rate,oos_lift,all_samples,all_hit_rate,all_lift
h4,bull,150,adx+di+bb,1154,0.07279029,1.56028507,252,0.07539683,1.37802198,124,0.01612903,0.45409429,1530,0.06862745,1.46454805
h4,bull,150,price20+adx+volatility,577,0.07279029,1.56028507,119,0.06722689,1.22870071,70,0.01428571,0.40219780,766,0.06657963,1.42084650
h4,bull,150,price20+adx+di+bb,1128,0.07269504,1.55824315,247,0.07692308,1.40591716,123,0.01626016,0.45778612,1498,0.06875834,1.46734139
h4,bull,150,macd+adx,1306,0.07197550,1.54281961,288,0.07291667,1.33269231,187,0.04278075,1.20444262,1781,0.06906232,1.47382849
h4,bull,150,momentum+adx+volatility,501,0.07185629,1.54026430,87,0.06896552,1.26047745,58,0.00000000,0.00000000,646,0.06501548,1.38746657
h4,bull,150,price20+adx+di,1157,0.07173725,1.53771272,251,0.07569721,1.38351211,124,0.01612903,0.45409429,1532,0.06788512,1.44870624
h4,bull,150,price20+macd+di+volatility,810,0.07160494,1.53487654,202,0.09900990,1.80959634,95,0.03157895,0.88906883,1107,0.07317073,1.56150419
h4,bull,150,price200+adx+volatility+bb,433,0.07159353,1.53463208,105,0.07619048,1.39252747,52,0.01923077,0.54142012,590,0.06779661,1.44681744
h4,bull,150,macd+di+volatility+bb,830,0.07108434,1.52371728,209,0.09569378,1.74898785,96,0.03125000,0.87980769,1135,0.07224670,1.54178475
h4,bull,150,price200+adx+bb,975,0.07076923,1.51696286,219,0.06849315,1.25184405,118,0.01694915,0.47718383,1312,0.06554878,1.39884750
h4,bull,200,price200+macd+adx+body,292,0.04794521,2.20769914,63,0.00000000,0.00000000,0,,,392,0.03571429,1.81013655
h4,bull,200,price200+macd+adx+volatility,384,0.04687500,2.15842014,99,0.02020202,1.33333333,0,,,531,0.03954802,2.00444500
h4,bull,200,rsi_extreme+adx+volatility+body,130,0.04615385,2.12521368,0,,,0,,,180,0.04444444,2.25261438
h4,bull,200,price200+macd+adx,851,0.04582844,2.11022980,202,0.01980198,1.30693069,108,0.01851852,1.35555556,1161,0.03875969,1.96448928
h4,bull,200,price200+adx+volatility+body,267,0.04494382,2.06949646,64,0.00000000,0.00000000,0,,,363,0.03305785,1.67549830
h4,bull,200,price200+macd+adx+bb,828,0.04468599,2.05762435,198,0.02020202,1.33333333,106,0.01886792,1.38113208,1132,0.03798587,1.92526891
h4,bull,200,price200+macd+adx+di,809,0.04449938,2.04903173,189,0.02116402,1.39682540,92,0.02173913,1.59130435,1090,0.03853211,1.95295467
h4,bull,200,momentum+macd+adx+volatility,360,0.04444444,2.04650206,71,0.01408451,0.92957746,0,,,477,0.03563941,1.80634172
h4,bull,200,price20+price200+macd+adx,818,0.04400978,2.02648737,195,0.02051282,1.35384615,102,0.01960784,1.43529412,1115,0.03766816,1.90916645
h4,bull,200,momentum+macd+adx+body,251,0.04382470,2.01796518,51,0.00000000,0.00000000,0,,,336,0.03273810,1.65929184
h4,bull,200,macd+adx+di+volatility,486,0.04320988,1.98965478,115,0.01739130,1.14782609,50,0.02000000,1.46400000,651,0.03686636,1.86852806
h4,bull,200,trend+price200+macd+adx,606,0.04290429,1.97558367,145,0.01379310,0.91034483,67,0.02985075,2.18507463,818,0.03667482,1.85881993
h4,bull,200,trend+macd+adx,607,0.04283361,1.97232900,145,0.01379310,0.91034483,67,0.02985075,2.18507463,819,0.03663004,1.85655031
h4,bull,200,price200+momentum+adx+volatility,328,0.04268293,1.96539070,63,0.01587302,1.04761905,0,,,429,0.03496503,1.77216166
h4,bull,200,price20+macd+adx+di,986,0.04259635,1.96140410,228,0.02631579,1.73684211,112,0.01785714,1.30714286,1326,0.03770739,1.91115473
h4,bull,200,macd+adx+volatility+body,259,0.04247104,1.95563421,50,0.00000000,0.00000000,0,,,338,0.03254438,1.64947355
h4,bull,200,trend+adx+volatility+body,236,0.04237288,1.95111425,52,0.00000000,0.00000000,0,,,310,0.03225806,1.63496205
h4,bull,200,trend+macd+adx+body,213,0.04225352,1.94561815,0,,,0,,,281,0.03202847,1.62332531
h4,bull,200,momentum+adx+di+volatility,406,0.04187192,1.92804689,71,0.01408451,0.92957746,0,,,513,0.03508772,1.77837977
h4,bull,200,macd+adx+di+bb,1006,0.04174950,1.92240998,231,0.02597403,1.71428571,113,0.01769912,1.29557522,1350,0.03703704,1.87717865
h4,bull,200,price20+macd+adx+volatility,504,0.04166667,1.91859568,112,0.01785714,1.17857143,64,0.01562500,1.14375000,680,0.03529412,1.78884083
h4,bull,200,price200+adx+volatility,628,0.04140127,1.90637532,143,0.01398601,0.92307692,73,0.01369863,1.00273973,844,0.03436019,1.74150578
h4,bull,200,macd+adx+di,1017,0.04129794,1.90161696,235,0.02553191,1.68510638,115,0.01739130,1.27304348,1367,0.03657644,1.85383407
h4,bull,200,price20+adx+di+volatility,538,0.04089219,1.88293405,114,0.01754386,1.15789474,53,0.01886792,1.38113208,705,0.03546099,1.79729871
h4,bull,200,adx+di+volatility+bb,539,0.04081633,1.87944067,118,0.01694915,1.11864407,52,0.01923077,1.40769231,709,0.03526093,1.78715880
h4,bull,200,trend+price20+macd+adx,590,0.04067797,1.87306968,142,0.01408451,0.92957746,65,0.03076923,2.25230769,797,0.03513174,1.78061112
h4,bull,200,price20+price200+adx+di,962,0.04054054,1.86674174,206,0.01941748,1.28155340,103,0.01941748,1.42135922,1271,0.03540519,1.79447054
h4,bull,200,trend+macd+adx+di,593,0.04047218,1.86359378,141,0.01418440,0.93617021,64,0.03125000,2.28750000,798,0.03508772,1.77837977
h4,bull,200,trend+macd+adx+bb,596,0.04026846,1.85421327,144,0.01388889,0.91666667,67,0.02985075,2.18507463,807,0.03469641,1.75854654
h4,bull,200,price20+macd+adx+bb,1045,0.04019139,1.85066454,243,0.02469136,1.62962963,140,0.02142857,1.56857143,1428,0.03571429,1.81013655
h4,bull,200,price200+adx+di+bb,949,0.04004215,1.84379269,207,0.01932367,1.27536232,103,0.01941748,1.42135922,1259,0.03494837,1.77131711
h4,bull,200,price20+macd+adx,1049,0.04003813,1.84360767,243,0.02469136,1.62962963,140,0.02142857,1.56857143,1432,0.03561453,1.80508031
h4,bull,200,price200+adx+bb,975,0.04000000,1.84185185,219,0.01826484,1.20547945,118,0.01694915,1.24067797,1312,0.03429878,1.73839334
h4,bull,200,price20+macd+adx+body,350,0.04000000,1.84185185,73,0.00000000,0.00000000,0,,,469,0.02985075,1.51294996
h4,bull,200,price200+adx+di+volatility,477,0.03983229,1.83412920,110,0.01818182,1.20000000,0,,,635,0.03464567,1.75597499
h4,bull,200,adx+di+volatility,603,0.03980100,1.83268841,128,0.01562500,1.03125000,59,0.01694915,1.24067797,790,0.03417722,1.73223194
h4,bull,200,price20+price200+adx+bb,956,0.03974895,1.83029211,214,0.01869159,1.23364486,114,0.01754386,1.28421053,1284,0.03426791,1.73682884
h4,bull,200,macd+adx+volatility,656,0.03963415,1.82500565,139,0.02158273,1.42446043,90,0.01111111,0.81333333,885,0.03389831,1.71809571
h4,bull,200,price20+price200+adx,987,0.03951368,1.81945852,217,0.01843318,1.21658986,115,0.01739130,1.27304348,1319,0.03411676,1.72916760
h4,bull,200,macd+adx+di+body,355,0.03943662,1.81591028,75,0.00000000,0.00000000,0,,,469,0.02985075,1.51294996
h4,bull,200,macd+adx+bb+body,382,0.03926702,1.80810064,76,0.00000000,0.00000000,0,,,505,0.02970297,1.50546010
h4,bull,200,price200+adx+volatility+bb,433,0.03926097,1.80782226,105,0.01904762,1.25714286,52,0.01923077,1.40769231,590,0.03389831,1.71809571
h4,bull,200,price20+adx+volatility+bb,561,0.03921569,1.80573711,119,0.01680672,1.10924370,69,0.01449275,1.06086957,749,0.03337784,1.69171641
h4,bull,200,price20+adx+volatility+body,204,0.03921569,1.80573711,0,,,0,,,268,0.02985075,1.51294996
h4,bull,200,price20+adx+di+body,383,0.03916449,1.80337975,76,0.00000000,0.00000000,0,,,498,0.03012048,1.52662119
h4,bull,200,macd+adx+body,487,0.03901437,1.79646741,92,0.00000000,0.00000000,62,0.00000000,0.00000000,641,0.02964119,1.50232862
h4,bull,200,price200+adx+di,1051,0.03901047,1.79628749,225,0.01777778,1.17333333,117,0.01709402,1.25128205,1393,0.03374013,1.71007876
h4,bull,200,price20+adx+di+bb,1128,0.03900709,1.79613213,247,0.02429150,1.60323887,123,0.01626016,1.19024390,1498,0.03471295,1.75938506
h4,bull,200,price20+price200+adx+volatility,436,0.03899083,1.79538311,102,0.01960784,1.29411765,52,0.01923077,1.40769231,590,0.03389831,1.71809571
h4,bull,200,price20+adx+di,1157,0.03889369,1.79091040,251,0.02390438,1.57768924,124,0.01612903,1.18064516,1532,0.03459530,1.75342209
h4,bull,300,trend+price20+macd+adx,590,0.01694915,2.90648743,142,0.00000000,0.00000000,65,0.00000000,0.00000000,797,0.01254705,2.78989760
h4,bull,300,trend+macd+adx+di,593,0.01686341,2.89178345,141,0.00000000,0.00000000,64,0.00000000,0.00000000,798,0.01253133,2.78640149
h4,bull,300,trend+macd+adx+bb,596,0.01677852,2.87722749,144,0.00000000,0.00000000,67,0.00000000,0.00000000,807,0.01239157,2.75532638
h4,bull,300,trend+price200+macd+adx,606,0.01650165,2.82974849,145,0.00000000,0.00000000,67,0.00000000,0.00000000,818,0.01222494,2.71827431
h4,bull,300,trend+macd+adx,607,0.01647446,2.82508663,145,0.00000000,0.00000000,67,0.00000000,0.00000000,819,0.01221001,2.71495530
h4,bull,300,trend+price200+adx+volatility,486,0.01440329,2.46991628,111,0.00000000,0.00000000,0,,,642,0.01090343,2.42442971
h4,bull,300,trend+price200+adx,998,0.01402806,2.40556976,233,0.00000000,0.00000000,104,0.00000000,0.00000000,1335,0.01048689,2.33181104
h4,bull,300,trend+price20+adx+bb,713,0.01402525,2.40508778,159,0.00000000,0.00000000,75,0.00000000,0.00000000,947,0.01055966,2.34799196
h4,bull,300,trend+adx+di+bb,715,0.01398601,2.39836026,157,0.00000000,0.00000000,73,0.00000000,0.00000000,945,0.01058201,2.35296126
h4,bull,300,trend+adx+volatility,502,0.01394422,2.39119385,113,0.00000000,0.00000000,0,,,661,0.01059002,2.35474111
h4,bull,300,momentum+macd+adx+volatility,360,0.01388889,2.38170498,71,0.00000000,0.00000000,0,,,477,0.01048218,2.33076351
h4,bull,300,trend+adx+bb,726,0.01377410,2.36202147,163,0.00000000,0.00000000,77,0.00000000,0.00000000,966,0.01035197,2.30180992
h4,bull,300,trend+price200+adx+bb,726,0.01377410,2.36202147,163,0.00000000,0.00000000,77,0.00000000,0.00000000,966,0.01035197,2.30180992
h4,bull,300,trend+price20+adx+di,727,0.01375516,2.35877247,156,0.00000000,0.00000000,73,0.00000000,0.00000000,956,0.01046025,2.32588743
h4,bull,300,trend+adx,1019,0.01373896,2.35599472,236,0.00000000,0.00000000,106,0.00000000,0.00000000,1361,0.01028655,2.28726506
h4,bull,300,price200+macd+adx+di,809,0.01359703,2.33165679,189,0.00000000,0.00000000,92,0.00000000,0.00000000,1090,0.01009174,2.24394791
h4,bull,300,trend+price20+adx,739,0.01353180,2.32047035,162,0.00000000,0.00000000,76,0.00000000,0.00000000,977,0.01023541,2.27589395
h4,bull,300,trend+price20+price200+adx,739,0.01353180,2.32047035,162,0.00000000,0.00000000,76,0.00000000,0.00000000,977,0.01023541,2.27589395
h4,bull,300,price20+price200+macd+adx,818,0.01344743,2.30600287,195,0.00000000,0.00000000,102,0.00000000,0.00000000,1115,0.00986547,2.19363518
h4,bull,300,price200+macd+adx+bb,828,0.01328502,2.27815259,198,0.00000000,0.00000000,106,0.00000000,0.00000000,1132,0.00971731,2.16069190
h4,bull,300,price20+macd+adx+di,986,0.01318458,2.26092887,228,0.00000000,0.00000000,112,0.00000000,0.00000000,1326,0.00980392,2.17994940
h4,bull,300,trend+price200+volatility+body,383,0.01305483,2.23867831,91,0.00000000,0.00000000,0,,,519,0.00963391,2.14214681
h4,bull,300,price200+macd+adx,851,0.01292597,2.21658090,202,0.00000000,0.00000000,108,0.00000000,0.00000000,1161,0.00947459,2.10672112
h4,bull,300,macd+adx+di+bb,1006,0.01292247,2.21597998,231,0.00000000,0.00000000,113,0.00000000,0.00000000,1350,0.00962963,2.14119474
h4,bull,300,price20+momentum+adx+volatility,389,0.01285347,2.20414857,67,0.00000000,0.00000000,0,,,504,0.00992063,2.20590118
h4,bull,300,macd+adx+di,1017,0.01278269,2.19201166,235,0.00000000,0.00000000,115,0.00000000,0.00000000,1367,0.00950988,2.11456686
h4,bull,300,price200+adx+volatility,628,0.01273885,2.18449374,143,0.00000000,0.00000000,73,0.00000000,0.00000000,844,0.00947867,2.10762880
h4,bull,300,trend+adx+volatility+body,236,0.01271186,2.17986558,52,0.00000000,0.00000000,0,,,310,0.00967742,2.15182102
h4,bull,300,trend+momentum+adx+volatility,240,0.01250000,2.14353448,0,,,0,,,307,0.00977199,2.17284859
h4,bull,300,momentum+adx+volatility+bb,401,0.01246883,2.13818901,74,0.00000000,0.00000000,0,,,523,0.00956023,2.12576328
h4,bull,300,price20+macd+adx+bb,1045,0.01244019,2.13327834,243,0.00000000,0.00000000,140,0.00000000,0.00000000,1428,0.00910364,2.02423873
h4,bull,300,price20+macd+adx,1049,0.01239276,2.12514382,243,0.00000000,0.00000000,140,0.00000000,0.00000000,1432,0.00907821,2.01858443
h4,bull,300,macd+adx+di+volatility,486,0.01234568,2.11707109,115,0.00000000,0.00000000,50,0.00000000,0.00000000,651,0.00921659,2.04935335
h4,bull,300,trend+price200+adx+di,812,0.01231527,2.11185663,174,0.00000000,0.00000000,87,0.00000000,0.00000000,1073,0.00931966,2.07227249
h4,bull,300,momentum+adx+di+volatility,406,0.01231527,2.11185663,71,0.00000000,0.00000000,0,,,513,0.00974659,2.16720116
h4,bull,300,trend+adx+di,814,0.01228501,2.10666780,174,0.00000000,0.00000000,87,0.00000000,0.00000000,1075,0.00930233,2.06841710
h4,bull,300,price200+momentum+adx+volatility,328,0.01219512,2.09125315,63,0.00000000,0.00000000,0,,,429,0.00932401,2.07323859
h4,bull,300,trend+price200+adx+body,411,0.01216545,2.08616495,92,0.00000000,0.00000000,0,,,543,0.00920810,2.04746629
h4,bull,300,trend+momentum+macd+adx,248,0.01209677,2.07438821,69,0.00000000,0.00000000,0,,,348,0.00862069,1.91685206
h4,bull,300,trend+price200+volatility,829,0.01206273,2.06854956,205,0.00000000,0.00000000,106,0.00000000,0.00000000,1140,0.00877193,1.95048104
h4,bull,300,momentum+adx+volatility,501,0.01197605,2.05368573,87,0.00000000,0.00000000,58,0.00000000,0.00000000,646,0.00928793,2.06521522
