timeframe,horizon_bars,conditions,discovery_n,discovery_hit,discovery_lift,validation_n,validation_hit,validation_lift,validation_wilson95,oos_n,oos_hit,oos_lift,oos_wilson95
d1,5,volatility+nr4+mtf_di_bull,454,0.74449339,1.22262306,103,0.69902913,1.16123547,0.60460546,70,0.80000000,1.41426719,0.69183356
d1,10,nr4+elliott_pullback_bull+mtf_volatility,171,0.82456140,1.15193424,33,0.78787879,1.07336697,0.62248355,24,0.87500000,1.28101504,0.68996119
d1,5,price200_bull+volatility+nr7,212,0.73584906,1.20842715,35,0.68571429,1.13911670,0.52020236,53,0.81132075,1.43428040,0.68641541
d1,3,volatility+nr7,378,0.61375661,1.23113018,72,0.61111111,1.26255959,0.49562355,80,0.78750000,1.78596090,0.68577844
d1,10,price200_bull+adx_up3+volatility+mtf_volatility,278,0.80935252,1.13068702,39,0.84615385,1.15275801,0.70270536,60,0.80000000,1.17121375,0.68218194
d1,10,ema200_rising+adx_up3+volatility+mtf_volatility,278,0.80935252,1.13068702,39,0.84615385,1.15275801,0.70270536,60,0.80000000,1.17121375,0.68218194
d1,10,sma_stack_bull+pin_bull,195,0.84615385,1.18209946,51,0.86274510,1.17536111,0.74278308,63,0.79365079,1.16191840,0.67830186
d1,5,sma_stack_bull+nr4+mtf_volatility,319,0.75235110,1.23552715,93,0.63440860,1.05388709,0.53301092,66,0.78787879,1.39283889,0.67486929
d1,5,price200_bull+volatility+nr4+mtf_di_bull,298,0.77516779,1.27299721,57,0.73684211,1.22405084,0.61023421,50,0.80000000,1.41426719,0.66962894
d1,10,price200_bull+volatility+nr4+mtf_di_bull,298,0.84563758,1.18137823,57,0.82456140,1.12334154,0.70632647,50,0.80000000,1.17121375,0.66962894
d1,10,ema200_rising+volatility+nr4+mtf_di_bull,298,0.84563758,1.18137823,57,0.82456140,1.12334154,0.70632647,50,0.80000000,1.17121375,0.66962894
d1,10,volatility+nr4+mtf_di_bull+cross_target_relative_up,162,0.87037037,1.21593059,71,0.83098592,1.13209398,0.72740872,22,0.86363636,1.26437848,0.66665013
d1,5,price200_bull+volatility+nr4+cross_target_relative_up,152,0.74342105,1.22086204,48,0.66666667,1.10747457,0.52540110,30,0.83333333,1.47319498,0.66435649
d1,5,volatility+nr4+elliott_pullback_bull,211,0.71090047,1.16745605,29,0.75862069,1.26022968,0.57892398,45,0.80000000,1.41426719,0.66177031
d1,5,sma_stack_bull+atr_expand,251,0.71314741,1.17114602,49,0.81632653,1.35609131,0.68642397,84,0.76190476,1.34692113,0.66064934
d1,10,pin_bull+cross_group_bull,185,0.82702703,1.15537878,46,0.93478261,1.27350144,0.82497259,37,0.81081081,1.18704096,0.65795303
