timeframe,horizon_bars,target_pips,conditions,discovery_n,discovery_hit,discovery_lift,validation_n,validation_hit,validation_lift,validation_wilson95,oos_n,oos_hit,oos_lift,oos_wilson95
h4,1,50,rsi_up1+superbb_bull+elliott_impulse_bull+mtf_adx25,128,0.14062500,2.82098507,22,0.09090909,1.74474153,0.02529543,21,0.09523810,2.99432852,0.02651877
h4,1,50,superbb_bull+breakout20_up+elliott_impulse_bull+mtf_adx25,128,0.14062500,2.82098507,23,0.08695652,1.66888321,0.02418000,21,0.09523810,2.99432852,0.02651877
h4,1,50,superbb_bull+retest_up+elliott_impulse_bull+mtf_adx25,128,0.14062500,2.82098507,23,0.08695652,1.66888321,0.02418000,21,0.09523810,2.99432852,0.02651877
h4,1,50,triangle_breakout_up+impulse_bull+elliott_wave5_bull,121,0.14049587,2.81839464,19,0.10526316,2.02022704,0.02935856,17,0.05882353,1.84943820,0.01046040
h4,1,50,price20_bull+triangle_breakout_up+impulse_bull+elliott_wave5_bull,121,0.14049587,2.81839464,19,0.10526316,2.02022704,0.02935856,17,0.05882353,1.84943820,0.01046040
h4,1,50,ema20_rising+triangle_breakout_up+impulse_bull+elliott_wave5_bull,121,0.14049587,2.81839464,19,0.10526316,2.02022704,0.02935856,17,0.05882353,1.84943820,0.01046040
h4,1,50,rsi_up1+atr_expand+elliott_impulse_bull+mtf_volatility,121,0.14049587,2.81839464,24,0.04166667,0.79967320,0.00739346,15,0.13333333,4.19205993,0.03736126
h4,1,50,atr_expand+mtf_volatility,1172,0.13993174,2.80707806,192,0.16145833,3.09873366,0.11613945,172,0.14534884,4.56983277,0.10042961
h4,1,50,ichimoku_cloud_bull+superbb_bull+breakout20_up+elliott_wave5_bull,136,0.13970588,2.80254726,35,0.17142857,3.29008403,0.08102640,20,0.10000000,3.14404494,0.02786648
h4,1,50,ichimoku_cloud_bull+superbb_bull+retest_up+elliott_wave5_bull,136,0.13970588,2.80254726,35,0.17142857,3.29008403,0.08102640,20,0.10000000,3.14404494,0.02786648
h4,1,50,ichimoku_cloud_bull+adx_up3+atr_expand+mtf_adx25,373,0.13941019,2.79661553,42,0.11904762,2.28478058,0.05193803,71,0.12676056,3.98540908,0.06814528
h4,1,50,rsi_up1+triangle_breakout_up+impulse_bull,151,0.13907285,2.78984837,21,0.14285714,2.74173669,0.04981012,16,0.06250000,1.96502809,0.01111934
h4,1,50,price20_bull+rsi_up1+triangle_breakout_up+impulse_bull,151,0.13907285,2.78984837,21,0.14285714,2.74173669,0.04981012,16,0.06250000,1.96502809,0.01111934
h4,1,50,ema20_rising+rsi_up1+triangle_breakout_up+impulse_bull,151,0.13907285,2.78984837,21,0.14285714,2.74173669,0.04981012,16,0.06250000,1.96502809,0.01111934
h4,1,50,ichimoku_cloud_bull+adx25+atr_expand+mtf_adx25,634,0.13880126,2.78440027,75,0.13333333,2.55895425,0.07406585,79,0.11392405,3.58182335,0.06110579
h4,1,50,atr_expand+impulse_bull+elliott_impulse_bull+mtf_volatility,137,0.13868613,2.78209071,28,0.03571429,0.68543417,0.00633252,21,0.19047619,5.98865704,0.07667565
h4,1,50,triangle_breakout_up+impulse_bull+elliott_impulse_bull,123,0.13821138,2.77256708,19,0.10526316,2.02022704,0.02935856,17,0.05882353,1.84943820,0.01046040
h4,1,50,price20_bull+triangle_breakout_up+impulse_bull+elliott_impulse_bull,123,0.13821138,2.77256708,19,0.10526316,2.02022704,0.02935856,17,0.05882353,1.84943820,0.01046040
h4,1,50,ema20_rising+triangle_breakout_up+impulse_bull+elliott_impulse_bull,123,0.13821138,2.77256708,19,0.10526316,2.02022704,0.02935856,17,0.05882353,1.84943820,0.01046040
h4,1,50,superbb_bull+elliott_impulse_bull+mtf_adx25,131,0.13740458,2.75638236,24,0.08333333,1.59934641,0.02315882,21,0.09523810,2.99432852,0.02651877
h4,1,50,price20_bull+superbb_bull+elliott_impulse_bull+mtf_adx25,131,0.13740458,2.75638236,24,0.08333333,1.59934641,0.02315882,21,0.09523810,2.99432852,0.02651877
h4,1,50,ema20_rising+superbb_bull+elliott_impulse_bull+mtf_adx25,131,0.13740458,2.75638236,24,0.08333333,1.59934641,0.02315882,21,0.09523810,2.99432852,0.02651877
h4,1,50,superbb_bull+impulse_bull+elliott_impulse_bull+mtf_adx25,131,0.13740458,2.75638236,24,0.08333333,1.59934641,0.02315882,21,0.09523810,2.99432852,0.02651877
h4,1,50,rsi_up1+triangle_breakout_up,153,0.13725490,2.75337977,24,0.12500000,2.39901961,0.04344334,16,0.06250000,1.96502809,0.01111934
h4,1,50,price20_bull+rsi_up1+triangle_breakout_up,153,0.13725490,2.75337977,24,0.12500000,2.39901961,0.04344334,16,0.06250000,1.96502809,0.01111934
h4,1,50,ema20_rising+rsi_up1+triangle_breakout_up,153,0.13725490,2.75337977,24,0.12500000,2.39901961,0.04344334,16,0.06250000,1.96502809,0.01111934
h4,1,50,rsi_up1+triangle_breakout_up+retest_up,153,0.13725490,2.75337977,22,0.13636364,2.61711230,0.04749004,16,0.06250000,1.96502809,0.01111934
h4,1,50,price20_bull+rsi_up1+triangle_breakout_up+retest_up,153,0.13725490,2.75337977,22,0.13636364,2.61711230,0.04749004,16,0.06250000,1.96502809,0.01111934
h4,1,50,ema20_rising+rsi_up1+triangle_breakout_up+retest_up,153,0.13725490,2.75337977,22,0.13636364,2.61711230,0.04749004,16,0.06250000,1.96502809,0.01111934
h4,1,50,ichimoku_cloud_bull+atr_expand+mtf_volatility+cross_group_return_up,242,0.13636364,2.73550068,42,0.23809524,4.56956116,0.13480964,36,0.08333333,2.62003745,0.02874861
h4,1,50,rsi_up1+superbb_bull+breakout20_up+mtf_adx25,132,0.13636364,2.73550068,23,0.08695652,1.66888321,0.02418000,22,0.09090909,2.85822268,0.02529543
h4,1,50,rsi_up1+superbb_bull+retest_up+mtf_adx25,132,0.13636364,2.73550068,23,0.08695652,1.66888321,0.02418000,22,0.09090909,2.85822268,0.02529543
h4,1,50,ichimoku_cloud_bull+superbb_bull+impulse_bull+elliott_wave5_bull,140,0.13571429,2.72247448,35,0.17142857,3.29008403,0.08102640,20,0.10000000,3.14404494,0.02786648
h4,1,50,price20_bull+rsi_up1+atr_expand+mtf_volatility,231,0.13419913,2.69208003,44,0.11363636,2.18092692,0.04952781,36,0.16666667,5.24007491,0.07870448
h4,1,50,ema20_rising+rsi_up1+atr_expand+mtf_volatility,231,0.13419913,2.69208003,44,0.11363636,2.18092692,0.04952781,36,0.16666667,5.24007491,0.07870448
h4,1,50,price20_bull+atr_expand+impulse_bull+mtf_volatility,246,0.13414634,2.69102099,44,0.09090909,1.74474153,0.03592219,41,0.17073171,5.36788161,0.08525252
h4,1,50,ema20_rising+atr_expand+impulse_bull+mtf_volatility,246,0.13414634,2.69102099,44,0.09090909,1.74474153,0.03592219,41,0.17073171,5.36788161,0.08525252
h4,1,50,ichimoku_cloud_bull+superbb_bull+elliott_wave5_bull,142,0.13380282,2.68412977,35,0.17142857,3.29008403,0.08102640,20,0.10000000,3.14404494,0.02786648
h4,1,50,superbb_bull+breakout20_up+mtf_adx25,135,0.13333333,2.67471177,25,0.08000000,1.53537255,0.02222040,22,0.09090909,2.85822268,0.02529543
h4,1,50,superbb_bull+retest_up+mtf_adx25,135,0.13333333,2.67471177,25,0.08000000,1.53537255,0.02222040,22,0.09090909,2.85822268,0.02529543
h4,1,50,price20_bull+superbb_bull+breakout20_up+mtf_adx25,135,0.13333333,2.67471177,25,0.08000000,1.53537255,0.02222040,22,0.09090909,2.85822268,0.02529543
h4,1,50,ema20_rising+superbb_bull+breakout20_up+mtf_adx25,135,0.13333333,2.67471177,25,0.08000000,1.53537255,0.02222040,22,0.09090909,2.85822268,0.02529543
h4,1,50,price20_bull+superbb_bull+retest_up+mtf_adx25,135,0.13333333,2.67471177,25,0.08000000,1.53537255,0.02222040,22,0.09090909,2.85822268,0.02529543
h4,1,50,ema20_rising+superbb_bull+retest_up+mtf_adx25,135,0.13333333,2.67471177,25,0.08000000,1.53537255,0.02222040,22,0.09090909,2.85822268,0.02529543
h4,1,50,superbb_bull+breakout20_up+impulse_bull+mtf_adx25,135,0.13333333,2.67471177,25,0.08000000,1.53537255,0.02222040,22,0.09090909,2.85822268,0.02529543
h4,1,50,superbb_bull+breakout20_up+retest_up+mtf_adx25,135,0.13333333,2.67471177,25,0.08000000,1.53537255,0.02222040,22,0.09090909,2.85822268,0.02529543
h4,1,50,price20_bull+adx25+atr_expand+mtf_volatility,301,0.13289037,2.66582569,53,0.03773585,0.72423233,0.01041029,26,0.11538462,3.62774417,0.04003245
h4,1,50,ema20_rising+adx25+atr_expand+mtf_volatility,301,0.13289037,2.66582569,53,0.03773585,0.72423233,0.01041029,26,0.11538462,3.62774417,0.04003245
h4,1,50,ichimoku_cloud_bull+atr_expand+mtf_volatility+cross_group_bull,205,0.13170732,2.64209334,37,0.24324324,4.66836248,0.13361353,30,0.06666667,2.09602996,0.01847702
h4,1,50,adx25+breakout20_up+impulse_bull+mtf_volatility,487,0.13141684,2.63626622,82,0.14634146,2.80860832,0.08574162,88,0.10227273,3.21550051,0.05474450
h4,1,50,rsi_up1+superbb_bull+impulse_bull+mtf_adx25,137,0.13138686,2.63566489,25,0.08000000,1.53537255,0.02222040,22,0.09090909,2.85822268,0.02529543
h4,1,50,ichimoku_cloud_bull+rsi_up1+superbb_bull+elliott_impulse_bull,160,0.13125000,2.63291940,36,0.19444444,3.73180828,0.09753095,22,0.09090909,2.85822268,0.02529543
h4,1,50,ichimoku_cloud_bull+superbb_bull+breakout20_up+elliott_impulse_bull,160,0.13125000,2.63291940,39,0.17948718,3.44474610,0.08977265,22,0.09090909,2.85822268,0.02529543
h4,1,50,ichimoku_cloud_bull+superbb_bull+retest_up+elliott_impulse_bull,160,0.13125000,2.63291940,38,0.15789474,3.03034056,0.07443863,22,0.09090909,2.85822268,0.02529543
h4,1,50,adx25+atr_expand+impulse_bull+mtf_adx25,352,0.13068182,2.62152148,49,0.08163265,1.56670668,0.03220282,34,0.11764706,3.69887640,0.04671447
h4,1,50,adx_up3+atr_expand+pullback_bull+mtf_adx25,184,0.13043478,2.61656587,31,0.09677419,1.85730550,0.03346464,34,0.00000000,0.00000000,0.00000000
h4,1,50,rsi_up1+superbb_bull+mtf_adx25,138,0.13043478,2.61656587,25,0.08000000,1.53537255,0.02222040,22,0.09090909,2.85822268,0.02529543
h4,1,50,price20_bull+rsi_up1+superbb_bull+mtf_adx25,138,0.13043478,2.61656587,25,0.08000000,1.53537255,0.02222040,22,0.09090909,2.85822268,0.02529543
h4,1,50,ema20_rising+rsi_up1+superbb_bull+mtf_adx25,138,0.13043478,2.61656587,25,0.08000000,1.53537255,0.02222040,22,0.09090909,2.85822268,0.02529543
h4,1,50,adx_up3+atr_expand+impulse_bull+mtf_adx25,186,0.12903226,2.58843075,23,0.17391304,3.33776641,0.06978654,30,0.10000000,3.14404494,0.03459989
h4,1,50,rsi_up1+superbb_bull+elliott_wave5_bull+cross_group_return_up,186,0.12903226,2.58843075,40,0.15000000,2.87882353,0.07061188,36,0.11111111,3.49338327,0.04406640
h4,1,50,adx25+atr_expand+mtf_adx25,1102,0.12885662,2.58490748,156,0.07051282,1.35329311,0.03982640,131,0.09160305,2.88004117,0.05317812
h4,1,50,adx25+horizontal_break_up+impulse_bull+mtf_volatility,365,0.12876712,2.58311205,51,0.07843137,1.50526720,0.03092220,51,0.09803922,3.08239700,0.04260807
