timeframe,direction,horizon_bars,feature,disc_true_n,disc_false_n,disc_true_hit,disc_false_hit,disc_diff,disc_true_false_ratio,disc_ratio,val_true_n,val_false_n,val_true_hit,val_false_hit,val_diff,val_true_false_ratio,val_ratio,oos_true_n,oos_false_n,oos_true_hit,oos_false_hit,oos_diff,oos_true_false_ratio,oos_ratio,oos_base_lift
h4,bull,24,adx_cross25_up,1464,77995,0.59289617,0.58999936,0.00289682,1.00490986,1.00490986,345.00000000,19231.00000000,0.58840580,0.57656908,0.01183672,1.02052957,1.02052957,247.00000000,13744.00000000,0.49797571,0.53863504,-0.04065933,0.92451413,0.92451413,0.92574783
d1,bear,3,breakout20_down,824,14493,0.47451456,0.47581591,-0.00130135,0.99726502,0.99726502,133.00000000,3623.00000000,0.41353383,0.45459564,-0.04106180,0.90967400,0.90967400,131.00000000,2595.00000000,0.38167939,0.41387283,-0.03219344,0.92221417,0.92221417,0.92567439
h4,bear,24,rsi_cross45_down,3967,75492,0.57852281,0.57113337,0.00738945,1.01293822,1.01293822,1035.00000000,18541.00000000,0.54589372,0.53600129,0.00989243,1.01845597,1.01845597,636.00000000,13355.00000000,0.45754717,0.49681767,-0.03927050,0.92095591,0.92095591,0.92427699
d1,bear,20,di_strong_bear,4789,10528,0.77176864,0.78409954,-0.01233091,0.98427380,0.98427380,986.00000000,2770.00000000,0.73732252,0.77292419,-0.03560167,0.95393899,0.95393899,833.00000000,1893.00000000,0.66746699,0.74643423,-0.07896724,0.89420736,0.89420736,0.92408075
d1,bull,3,rsi_up1,3363,11954,0.47338686,0.50560482,-0.03221796,0.93627837,0.93627837,847.00000000,2909.00000000,0.47933884,0.48539017,-0.00605133,0.98753307,0.98753307,626.00000000,2100.00000000,0.40734824,0.45095238,-0.04360414,0.90330656,0.90330656,0.92381973
h4,bull,12,di_bull,37867,41592,0.44991681,0.43647817,0.01343865,1.03078881,1.03078881,9447.00000000,10129.00000000,0.41060654,0.43854280,-0.02793626,0.93629754,0.93629754,6276.00000000,7715.00000000,0.35213512,0.40492547,-0.05279035,0.86962946,0.86962946,0.92364500
d1,bull,20,bb_upper,3521,11796,0.80403295,0.79323499,0.01079795,1.01361255,1.01361255,901.00000000,2855.00000000,0.81798002,0.83887916,-0.02089914,0.97508683,0.97508683,664.00000000,2062.00000000,0.71234940,0.79097963,-0.07863023,0.90059133,0.90059133,0.92293938
d1,bear,5,bb_bear,7283,8034,0.57956886,0.58464028,-0.00507142,0.99132557,0.99132557,1610.00000000,2146.00000000,0.51118012,0.57688723,-0.06570711,0.88610060,0.88610060,1241.00000000,1485.00000000,0.45930701,0.52996633,-0.07065932,0.86667206,0.86667206,0.92267569
d1,bull,1,di_bull,8206,7111,0.24530831,0.26339474,-0.01808643,0.93133337,0.93133337,2216.00000000,1540.00000000,0.23962094,0.26623377,-0.02661283,0.90003962,0.90003962,1478.00000000,1248.00000000,0.18200271,0.21554487,-0.03354217,0.84438430,0.84438430,0.92219215
h4,bull,1,price200_cross_up,1599,77860,0.06504065,0.04953763,0.01550302,1.31295438,1.31295438,430.00000000,19146.00000000,0.04651163,0.05223023,-0.00571860,0.89051163,0.89051163,273.00000000,13718.00000000,0.02930403,0.03185596,-0.00255193,0.91989170,0.91989170,0.92133185
d1,bear,10,di_strong_bear,4789,10528,0.69972854,0.69262918,0.00709937,1.01024988,1.01024988,986.00000000,2770.00000000,0.62576065,0.68989170,-0.06413105,0.90704186,0.90704186,833.00000000,1893.00000000,0.57022809,0.64131009,-0.07108200,0.88916127,0.88916127,0.92033261
h4,bull,3,macd_cross_up,3150,76309,0.14793651,0.16105571,-0.01311920,0.91854247,0.91854247,731.00000000,18845.00000000,0.16963064,0.16418148,0.00544916,1.03318987,1.03318987,496.00000000,13495.00000000,0.11088710,0.12085958,-0.00997248,0.91748705,0.91748705,0.92017875
h4,bull,12,momentum_bull,27660,51799,0.43756327,0.44572289,-0.00815962,0.98169351,0.98169351,7189.00000000,12387.00000000,0.40130755,0.43884718,-0.03753963,0.91445855,0.91445855,5271.00000000,8720.00000000,0.35078733,0.39965596,-0.04886864,0.87772324,0.87772324,0.92010977
h4,bull,6,di_bull,37867,41592,0.29534951,0.28981535,0.00553416,1.01909548,1.01909548,9447.00000000,10129.00000000,0.26950355,0.29617929,-0.02667574,0.90993381,0.90993381,6276.00000000,7715.00000000,0.21191842,0.24536617,-0.03344775,0.86368231,0.86368231,0.91993503
d1,bear,20,price20_bear,7335,7982,0.76428085,0.79491356,-0.03063271,0.96146410,0.96146410,1538.00000000,2218.00000000,0.74447334,0.77682597,-0.03235263,0.95835280,0.95835280,1185.00000000,1541.00000000,0.66413502,0.76703439,-0.10289937,0.86584777,0.86584777,0.91946778
d1,bear,20,ema20_falling,7335,7982,0.76428085,0.79491356,-0.03063271,0.96146410,0.96146410,1538.00000000,2218.00000000,0.74447334,0.77682597,-0.03235263,0.95835280,0.95835280,1185.00000000,1541.00000000,0.66413502,0.76703439,-0.10289937,0.86584777,0.86584777,0.91946778
d1,bear,20,ema20_slope_down3,7332,7985,0.76527550,0.79398873,-0.02871322,0.96383674,0.96383674,1531.00000000,2225.00000000,0.73742652,0.78157303,-0.04414652,0.94351582,0.94351582,1182.00000000,1544.00000000,0.66412860,0.76683938,-0.10271078,0.86605959,0.86605959,0.91945889
