timeframe,direction,horizon_bars,feature,disc_true_n,disc_false_n,disc_true_hit,disc_false_hit,disc_diff,disc_true_false_ratio,disc_ratio,val_true_n,val_false_n,val_true_hit,val_false_hit,val_diff,val_true_false_ratio,val_ratio,oos_true_n,oos_false_n,oos_true_hit,oos_false_hit,oos_diff,oos_true_false_ratio,oos_ratio,oos_base_lift
h4,bull,3,di_strong_bull,26918,52541,0.15985586,0.16088388,-0.00102802,0.99361016,0.99361016,6583.00000000,12993.00000000,0.15600790,0.16862926,-0.01262136,0.92515319,0.92515319,4249.00000000,9742.00000000,0.10731937,0.12625744,-0.01893807,0.85000431,0.85000431,0.89057254
d1,bear,5,price20_bear,7335,7982,0.57518746,0.58869957,-0.01351212,0.97704752,0.97704752,1538.00000000,2218.00000000,0.50520156,0.57889991,-0.07369835,0.87269242,0.87269242,1185.00000000,1541.00000000,0.44303797,0.53990915,-0.09687118,0.82057875,0.82057875,0.88999375
d1,bear,5,ema20_falling,7335,7982,0.57518746,0.58869957,-0.01351212,0.97704752,0.97704752,1538.00000000,2218.00000000,0.50520156,0.57889991,-0.07369835,0.87269242,0.87269242,1185.00000000,1541.00000000,0.44303797,0.53990915,-0.09687118,0.82057875,0.82057875,0.88999375
d1,bear,5,breakout20_down,824,14493,0.58616505,0.58200511,0.00415994,1.00714761,1.00714761,133.00000000,3623.00000000,0.47368421,0.55147668,-0.07779247,0.85893789,0.85893789,131.00000000,2595.00000000,0.44274809,0.50057803,-0.05782994,0.88447367,0.88447367,0.88941142
h4,bull,3,rsi_cross50_up,4232,75227,0.14839319,0.16121871,-0.01282552,0.92044648,0.92044648,1102.00000000,18474.00000000,0.17150635,0.16396016,0.00754619,1.04602455,1.04602455,756.00000000,13235.00000000,0.10714286,0.12126936,-0.01412650,0.88351135,0.88351135,0.88910778
d1,bull,10,bb_upper,3521,11796,0.72564612,0.71286877,0.01277735,1.01792385,1.01792385,901.00000000,2855.00000000,0.70477248,0.74325744,-0.03848497,0.94822121,0.94822121,664.00000000,2062.00000000,0.60692771,0.70756547,-0.10063776,0.85776898,0.85776898,0.88855260
h4,bull,3,ema20_slope_up3,41324,38135,0.15981028,0.16132162,-0.00151134,0.99063150,0.99063150,10400.00000000,9176.00000000,0.15432692,0.17578466,-0.02145773,0.87793171,0.87793171,7789.00000000,6202.00000000,0.10707408,0.13737504,-0.03030096,0.77942892,0.77942892,0.88853703
h4,bull,1,di_strong_bull,26918,52541,0.04966937,0.04994195,-0.00027258,0.99454199,0.99454199,6583.00000000,12993.00000000,0.04952149,0.05341338,-0.00389188,0.92713657,0.92713657,4249.00000000,9742.00000000,0.02824194,0.03336071,-0.00511877,0.84656299,0.84656299,0.88793926
d1,bull,5,rsi60,3648,11669,0.60855263,0.60904962,-0.00049699,0.99918400,0.99918400,917.00000000,2839.00000000,0.54089422,0.62169778,-0.08080356,0.87002759,0.87002759,683.00000000,2043.00000000,0.50073206,0.58737151,-0.08663945,0.85249634,0.85249634,0.88521116
d1,bull,3,price20_cross_up,1019,14298,0.48184495,0.49972024,-0.01787529,0.96422940,0.96422940,268.00000000,3488.00000000,0.51865672,0.48136468,0.03729204,1.07747149,1.07747149,182.00000000,2544.00000000,0.39010989,0.44457547,-0.05446558,0.87748856,0.87748856,0.88472509
d1,bear,1,rsi40,3051,12266,0.24024910,0.25582912,-0.01558002,0.93909989,0.93909989,513.00000000,3243.00000000,0.27680312,0.25069380,0.02610932,1.10414823,1.10414823,433.00000000,2293.00000000,0.18706697,0.21631051,-0.02924354,0.86480761,0.86480761,0.88378609
h4,bear,1,body_expand,23176,56283,0.05967380,0.05191621,0.00775759,1.14942523,1.14942523,5825.00000000,13751.00000000,0.06403433,0.05628682,0.00774752,1.13764359,1.13764359,4190.00000000,9801.00000000,0.03818616,0.04540353,-0.00721737,0.84103939,0.84103939,0.88307856
h4,bull,3,price200_bull,42044,37415,0.16004662,0.16108513,-0.00103851,0.99355305,0.99355305,11903.00000000,7673.00000000,0.15760733,0.17489900,-0.01729167,0.90113339,0.90113339,8227.00000000,5764.00000000,0.10635712,0.14070090,-0.03434379,0.75590927,0.75590927,0.88258744
h4,bull,3,ema200_rising,42044,37415,0.16004662,0.16108513,-0.00103851,0.99355305,0.99355305,11903.00000000,7673.00000000,0.15760733,0.17489900,-0.01729167,0.90113339,0.90113339,8227.00000000,5764.00000000,0.10635712,0.14070090,-0.03434379,0.75590927,0.75590927,0.88258744
h4,bull,3,trend_bull,31203,48256,0.16065763,0.16045673,0.00020090,1.00125204,1.00125204,8827.00000000,10749.00000000,0.15463918,0.17238813,-0.01774895,0.89704074,0.89704074,6052.00000000,7939.00000000,0.10624587,0.13137675,-0.02513088,0.80871137,0.80871137,0.88166427
h4,bull,6,di_cross_up,3503,75956,0.30516700,0.29186634,0.01330066,1.04557105,1.04557105,896.00000000,18680.00000000,0.28906250,0.28302998,0.00603252,1.02131407,1.02131407,601.00000000,13390.00000000,0.20299501,0.23159074,-0.02859573,0.87652472,0.87652472,0.88119862
d1,bull,3,di_cross_up,724,14593,0.47237569,0.49982868,-0.02745299,0.94507519,0.94507519,196.00000000,3560.00000000,0.50000000,0.48314607,0.01685393,1.03488372,1.03488372,139.00000000,2587.00000000,0.38848921,0.44375725,-0.05526804,0.87545434,0.87545434,0.88104957
d1,bear,20,bb_lower,3133,12184,0.77210342,0.78233749,-0.01023408,0.98691859,0.98691859,599.00000000,3157.00000000,0.73121870,0.76971809,-0.03849939,0.94998248,0.94998248,494.00000000,2232.00000000,0.63562753,0.74148746,-0.10585992,0.85723302,0.85723302,0.88000033
h4,bull,3,momentum_bull,27660,51799,0.15271150,0.16471360,-0.01200211,0.92713348,0.92713348,7189.00000000,12387.00000000,0.15287244,0.17106644,-0.01819400,0.89364368,0.89364368,5271.00000000,8720.00000000,0.10586227,0.12935780,-0.02349553,0.81836787,0.81836787,0.87848099
d1,bear,10,bb_lower,3133,12184,0.69358442,0.69517400,-0.00158957,0.99771341,0.99771341,599.00000000,3157.00000000,0.61435726,0.68419385,-0.06983659,0.89792865,0.89792865,494.00000000,2232.00000000,0.54251012,0.63664875,-0.09413862,0.85213412,0.85213412,0.87559656
d1,bear,10,breakout20_down,824,14493,0.69781553,0.69468019,0.00313534,1.00451336,1.00451336,133.00000000,3623.00000000,0.56390977,0.67706321,-0.11315343,0.83287612,0.83287612,131.00000000,2595.00000000,0.54198473,0.62350674,-0.08152201,0.86925240,0.86925240,0.87474860
d1,bear,3,rsi40,3051,12266,0.45853818,0.48002609,-0.02148790,0.95523597,0.95523597,513.00000000,3243.00000000,0.41910331,0.45852606,-0.03942274,0.91402290,0.91402290,433.00000000,2293.00000000,0.36027714,0.42215438,-0.06187725,0.85342508,0.85342508,0.87376821
h4,bull,6,rsi60,19363,60096,0.28549295,0.29469515,-0.00920220,0.96877382,0.96877382,4831.00000000,14745.00000000,0.25212171,0.29352323,-0.04140151,0.85894979,0.85894979,3639.00000000,10352.00000000,0.20032976,0.24091963,-0.04058987,0.83152112,0.83152112,0.86962882
h4,bull,1,bb_upper,17834,61625,0.05018504,0.04975254,0.00043250,1.00869311,1.00869311,4615.00000000,14961.00000000,0.05070423,0.05253660,-0.00183237,0.96512203,0.96512203,3364.00000000,10627.00000000,0.02764566,0.03312318,-0.00547752,0.83463190,0.83463190,0.86919197
d1,bull,5,bb_upper,3521,11796,0.61715422,0.60647677,0.01067745,1.01760570,1.01760570,901.00000000,2855.00000000,0.56492786,0.61366025,-0.04873239,0.92058735,0.92058735,664.00000000,2062.00000000,0.49096386,0.58971872,-0.09875486,0.83253904,0.83253904,0.86794259
h4,bear,12,trend_bear,26705,52754,0.41261936,0.43782462,-0.02520526,0.94243069,0.94243069,5086.00000000,14490.00000000,0.38065277,0.41801242,-0.03735965,0.91062550,0.91062550,3923.00000000,10068.00000000,0.31761407,0.38498212,-0.06736805,0.82500992,0.82500992,0.86757877
d1,bear,20,breakout20_down,824,14493,0.78519417,0.77996274,0.00523143,1.00670729,1.00670729,133.00000000,3623.00000000,0.69172932,0.76621584,-0.07448652,0.90278651,0.90278651,131.00000000,2595.00000000,0.62595420,0.72716763,-0.10121343,0.86081142,0.86081142,0.86660800
d1,bull,1,momentum_bull,5271,10046,0.25801556,0.25144336,0.00657220,1.02613788,1.02613788,1533.00000000,2223.00000000,0.23874755,0.25865947,-0.01991192,0.92301880,0.92301880,1091.00000000,1635.00000000,0.17048579,0.21529052,-0.04480473,0.79188713,0.79188713,0.86383694
d1,bull,1,macd_bull,7771,7546,0.24990349,0.25761993,-0.00771644,0.97004718,0.97004718,1892.00000000,1864.00000000,0.23572939,0.26555794,-0.02982855,0.88767591,0.88767591,1359.00000000,1367.00000000,0.16997792,0.22457937,-0.05460145,0.75687239,0.75687239,0.86126361
d1,bull,5,breakout20_up,1039,14278,0.62271415,0.60792828,0.01478587,1.02432173,1.02432173,265.00000000,3491.00000000,0.49811321,0.60985391,-0.11174070,0.81677464,0.81677464,204.00000000,2522.00000000,0.48529412,0.57216495,-0.08687083,0.84817170,0.84817170,0.85791943
d1,bull,3,breakout20_up,1039,14278,0.49951877,0.49845917,0.00105960,1.00212575,1.00212575,265.00000000,3491.00000000,0.39622642,0.49069035,-0.09446393,0.80748769,0.80748769,204.00000000,2522.00000000,0.37745098,0.44607454,-0.06862356,0.84616122,0.84616122,0.85601612
d1,bear,20,momentum_bear,4856,10461,0.76420923,0.78768760,-0.02347838,0.97019329,0.97019329,908.00000000,2848.00000000,0.73568282,0.77247191,-0.03678909,0.95237485,0.95237485,740.00000000,1986.00000000,0.61216216,0.76334340,-0.15118124,0.80194858,0.80194858,0.84751349
d1,bear,5,momentum_bear,4856,10461,0.57104613,0.58741994,-0.01637381,0.97212588,0.97212588,908.00000000,2848.00000000,0.49008811,0.56741573,-0.07732762,0.86371963,0.86371963,740.00000000,1986.00000000,0.42162162,0.52618328,-0.10456166,0.80128281,0.80128281,0.84697166
d1,bull,1,macd_cross_up,612,14705,0.23366013,0.25453927,-0.02087914,0.91797281,0.91797281,164.00000000,3592.00000000,0.23170732,0.25139198,-0.01968467,0.92169732,0.92169732,114.00000000,2612.00000000,0.16666667,0.19869832,-0.03203165,0.83879255,0.83879255,0.84448575
d1,bull,3,bb_upper,3521,11796,0.50127805,0.49771109,0.00356696,1.00716672,1.00716672,901.00000000,2855.00000000,0.44173141,0.49737303,-0.05564162,0.88812900,0.88812900,664.00000000,2062.00000000,0.37198795,0.46314258,-0.09115463,0.80318236,0.80318236,0.84362659
d1,bull,3,rsi60,3648,11669,0.49972588,0.49815751,0.00156837,1.00314833,1.00314833,917.00000000,2839.00000000,0.42966194,0.50158507,-0.07192312,0.85660832,0.85660832,683.00000000,2043.00000000,0.37188873,0.46402349,-0.09213477,0.80144374,0.80144374,0.84340155
h4,bear,24,trend_bear,26705,52754,0.55255570,0.58109338,-0.02853768,0.95088969,0.95088969,5086.00000000,14490.00000000,0.48328746,0.55521049,-0.07192303,0.87045808,0.87045808,3923.00000000,10068.00000000,0.41549834,0.52602304,-0.11052470,0.78988620,0.78988620,0.83933545
d1,bear,10,momentum_bear,4856,10461,0.69151565,0.69639614,-0.00488049,0.99299179,0.99299179,908.00000000,2848.00000000,0.61123348,0.69276685,-0.08153337,0.88230763,0.88230763,740.00000000,1986.00000000,0.51486486,0.65861027,-0.14374541,0.78174436,0.78174436,0.83097787
d1,bear,5,rsi40,3051,12266,0.56571616,0.58633621,-0.02062006,0.96483237,0.96483237,513.00000000,3243.00000000,0.49707602,0.55689177,-0.05981574,0.89259000,0.89259000,433.00000000,2293.00000000,0.41108545,0.51417357,-0.10308812,0.79950716,0.79950716,0.82580614
d1,bull,1,bb_upper,3521,11796,0.24907697,0.25508647,-0.00600950,0.97644131,0.97644131,901.00000000,2855.00000000,0.21864595,0.26059545,-0.04194950,0.83902444,0.83902444,664.00000000,2062.00000000,0.16114458,0.20902037,-0.04787579,0.77095156,0.77095156,0.81650580
h4,bull,1,bb_bull,41080,38379,0.04839338,0.05140832,-0.00301494,0.94135301,0.94135301,10353.00000000,9223.00000000,0.04926108,0.05529654,-0.00603546,0.89085289,0.89085289,7678.00000000,6313.00000000,0.02591821,0.03896721,-0.01304900,0.66512864,0.66512864,0.81488010
h4,bull,1,di_bull,37867,41592,0.04880239,0.05080304,-0.00200065,0.96061945,0.96061945,9447.00000000,10129.00000000,0.04805758,0.05587916,-0.00782157,0.86002698,0.86002698,6276.00000000,7715.00000000,0.02581262,0.03668179,-0.01086917,0.70369032,0.70369032,0.81156036
d1,bull,1,rsi60,3648,11669,0.25000000,0.25486331,-0.00486331,0.98091796,0.98091796,917.00000000,2839.00000000,0.20937841,0.26382529,-0.05444688,0.79362523,0.79362523,683.00000000,2043.00000000,0.15959004,0.20998532,-0.05039527,0.76000573,0.76000573,0.80862911
h4,bull,3,rsi60,19363,60096,0.15483138,0.16237354,-0.00754216,0.95355058,0.95355058,4831.00000000,14745.00000000,0.14489754,0.17076975,-0.02587222,0.84849650,0.84849650,3639.00000000,10352.00000000,0.09700467,0.12876739,-0.03176272,0.75333260,0.75333260,0.80497768
d1,bear,20,rsi40,3051,12266,0.76860046,0.78314039,-0.01453993,0.98143382,0.98143382,513.00000000,3243.00000000,0.73489279,0.76811594,-0.03322315,0.95674721,0.95674721,433.00000000,2293.00000000,0.57736721,0.74967292,-0.17230571,0.77015881,0.77015881,0.79934129
h4,bull,1,ema20_slope_up3,41324,38135,0.04922079,0.05053101,-0.00131022,0.97407104,0.97407104,10400.00000000,9176.00000000,0.04721154,0.05765039,-0.01043885,0.81892831,0.81892831,7789.00000000,6202.00000000,0.02529208,0.03998710,-0.01469502,0.63250593,0.63250593,0.79519432
h4,bull,1,price20_bull,41315,38144,0.04862641,0.05117450,-0.00254809,0.95020782,0.95020782,10406.00000000,9170.00000000,0.04776091,0.05703381,-0.00927290,0.83741399,0.83741399,7758.00000000,6233.00000000,0.02526424,0.03994866,-0.01468442,0.63241779,0.63241779,0.79431917
h4,bull,1,ema20_rising,41315,38144,0.04862641,0.05117450,-0.00254809,0.95020782,0.95020782,10406.00000000,9170.00000000,0.04776091,0.05703381,-0.00927290,0.83741399,0.83741399,7758.00000000,6233.00000000,0.02526424,0.03994866,-0.01468442,0.63241779,0.63241779,0.79431917
d1,bear,10,rsi40,3051,12266,0.69255982,0.69541823,-0.00285841,0.99588965,0.99588965,513.00000000,3243.00000000,0.61793372,0.68177613,-0.06384241,0.90635869,0.90635869,433.00000000,2293.00000000,0.49191686,0.64369821,-0.15178135,0.76420417,0.76420417,0.79394041
d1,bull,1,breakout20_up,1039,14278,0.28007700,0.25178596,0.02829103,1.11236144,1.11236144,265.00000000,3491.00000000,0.25283019,0.25035806,0.00247213,1.00987436,1.00987436,204.00000000,2522.00000000,0.15196078,0.20103093,-0.04907014,0.75590749,0.75590749,0.76997230
h4,bull,1,momentum_bull,27660,51799,0.04663774,0.05156470,-0.00492696,0.90445096,0.90445096,7189.00000000,12387.00000000,0.04687717,0.05513845,-0.00826128,0.85017210,0.85017210,5271.00000000,8720.00000000,0.02428382,0.03635321,-0.01206939,0.66799648,0.66799648,0.76349412
d1,bear,20,price200_bear,6578,8739,0.75159623,0.80180799,-0.05021176,0.93737683,0.93737683,1507.00000000,2249.00000000,0.78699403,0.74788795,0.03910608,1.05228869,1.05228869,783.00000000,1943.00000000,0.54789272,0.79258878,-0.24469606,0.69126984,0.69126984,0.75853507
d1,bear,20,ema200_falling,6578,8739,0.75159623,0.80180799,-0.05021176,0.93737683,0.93737683,1507.00000000,2249.00000000,0.78699403,0.74788795,0.03910608,1.05228869,1.05228869,783.00000000,1943.00000000,0.54789272,0.79258878,-0.24469606,0.69126984,0.69126984,0.75853507
h4,bull,1,trend_bull,31203,48256,0.04813640,0.05095739,-0.00282100,0.94464009,0.94464009,8827.00000000,10749.00000000,0.04440920,0.05842404,-0.01401484,0.76011860,0.76011860,6052.00000000,7939.00000000,0.02379379,0.03791409,-0.01412031,0.62757102,0.62757102,0.74808736
d1,bear,10,price200_bear,6578,8739,0.66114320,0.72021970,-0.05907650,0.91797434,0.91797434,1507.00000000,2249.00000000,0.67816855,0.66963095,0.00853760,1.01274971,1.01274971,783.00000000,1943.00000000,0.45721584,0.68502316,-0.22780732,0.66744581,0.66744581,0.73793391
d1,bear,10,ema200_falling,6578,8739,0.66114320,0.72021970,-0.05907650,0.91797434,0.91797434,1507.00000000,2249.00000000,0.67816855,0.66963095,0.00853760,1.01274971,1.01274971,783.00000000,1943.00000000,0.45721584,0.68502316,-0.22780732,0.66744581,0.66744581,0.73793391
d1,bear,3,price200_bear,6578,8739,0.43523867,0.50623641,-0.07099774,0.85975379,0.85975379,1507.00000000,2249.00000000,0.46516257,0.44508671,0.02007587,1.04510552,1.04510552,783.00000000,1943.00000000,0.30140485,0.45702522,-0.15562037,0.65949283,0.65949283,0.73098721
d1,bear,3,ema200_falling,6578,8739,0.43523867,0.50623641,-0.07099774,0.85975379,0.85975379,1507.00000000,2249.00000000,0.46516257,0.44508671,0.02007587,1.04510552,1.04510552,783.00000000,1943.00000000,0.30140485,0.45702522,-0.15562037,0.65949283,0.65949283,0.73098721
d1,bear,20,trend_bear,4913,10404,0.74638714,0.79623222,-0.04984508,0.93739881,0.93739881,1028.00000000,2728.00000000,0.78599222,0.75513196,0.03086025,1.04086736,1.04086736,457.00000000,2269.00000000,0.52735230,0.76156897,-0.23421668,0.69245507,0.69245507,0.73009770
h4,bull,1,price200_bull,42044,37415,0.04873466,0.05110250,-0.00236784,0.95366489,0.95366489,11903.00000000,7673.00000000,0.04536671,0.06255702,-0.01719030,0.72520583,0.72520583,8227.00000000,5764.00000000,0.02309469,0.04424011,-0.02114542,0.52203052,0.52203052,0.72610738
h4,bull,1,ema200_rising,42044,37415,0.04873466,0.05110250,-0.00236784,0.95366489,0.95366489,11903.00000000,7673.00000000,0.04536671,0.06255702,-0.01719030,0.72520583,0.72520583,8227.00000000,5764.00000000,0.02309469,0.04424011,-0.02114542,0.52203052,0.52203052,0.72610738
d1,bear,5,price200_bear,6578,8739,0.54089389,0.61334249,-0.07244860,0.88187905,0.88187905,1507.00000000,2249.00000000,0.55607167,0.54379724,0.01227442,1.02257169,1.02257169,783.00000000,1943.00000000,0.36015326,0.55326814,-0.19311489,0.65095607,0.65095607,0.72349136
d1,bear,5,ema200_falling,6578,8739,0.54089389,0.61334249,-0.07244860,0.88187905,0.88187905,1507.00000000,2249.00000000,0.55607167,0.54379724,0.01227442,1.02257169,1.02257169,783.00000000,1943.00000000,0.36015326,0.55326814,-0.19311489,0.65095607,0.65095607,0.72349136
d1,bear,10,trend_bear,4913,10404,0.64400570,0.71885813,-0.07485243,0.89587315,0.89587315,1028.00000000,2728.00000000,0.67509728,0.67228739,0.00280989,1.00417959,1.00417959,457.00000000,2269.00000000,0.44201313,0.65535478,-0.21334165,0.67446388,0.67446388,0.71339715
h4,bull,1,rsi60,19363,60096,0.04771988,0.05053581,-0.00281593,0.94427850,0.94427850,4831.00000000,14745.00000000,0.04553923,0.05425568,-0.00871645,0.83934486,0.83934486,3639.00000000,10352.00000000,0.02253366,0.03506569,-0.01253202,0.64261289,0.64261289,0.70846850
d1,bear,5,trend_bear,4913,10404,0.52635864,0.60861207,-0.08225343,0.86485080,0.86485080,1028.00000000,2728.00000000,0.56809339,0.54142229,0.02667110,1.04926117,1.04926117,457.00000000,2269.00000000,0.33260394,0.53107096,-0.19846702,0.62628908,0.62628908,0.66814911
d1,bear,1,price200_bear,6578,8739,0.21723928,0.27943701,-0.06219772,0.77741773,0.77741773,1507.00000000,2249.00000000,0.26940942,0.24410849,0.02530093,1.10364625,1.10364625,783.00000000,1943.00000000,0.13920817,0.24086464,-0.10165647,0.57795188,0.57795188,0.65768021
d1,bear,1,ema200_falling,6578,8739,0.21723928,0.27943701,-0.06219772,0.77741773,0.77741773,1507.00000000,2249.00000000,0.26940942,0.24410849,0.02530093,1.10364625,1.10364625,783.00000000,1943.00000000,0.13920817,0.24086464,-0.10165647,0.57795188,0.57795188,0.65768021
d1,bear,3,trend_bear,4913,10404,0.42336658,0.50048058,-0.07711401,0.84592008,0.84592008,1028.00000000,2728.00000000,0.49124514,0.43878299,0.05246214,1.11956285,1.11956285,457.00000000,2269.00000000,0.25164114,0.44468929,-0.19304815,0.56588081,0.56588081,0.61029692
h4,bull,1,macd_cross_up,3150,76309,0.05142857,0.04978443,0.00164414,1.03302523,1.03302523,731.00000000,18845.00000000,0.05471956,0.05200318,0.00271638,1.05223485,1.05223485,496.00000000,13495.00000000,0.01814516,0.03230826,-0.01416310,0.56162604,0.56162604,0.57049203
d1,bear,1,trend_bear,4913,10404,0.20496642,0.27527874,-0.07031232,0.74457772,0.74457772,1028.00000000,2728.00000000,0.29182879,0.24010264,0.05172615,1.21543351,1.21543351,457.00000000,2269.00000000,0.08971554,0.23622741,-0.14651188,0.37978461,0.37978461,0.42385538
d1,bull,1,adx_cross25_up,262,15055,0.30534351,0.25280638,0.05253713,1.20781570,1.20781570,,,,,,,,,,,,,,,
d1,bull,1,price200_cross_up,377,14940,0.26525199,0.25341365,0.01183833,1.04671546,1.04671546,,,,,,,,,,,,,,,
d1,bull,3,adx_cross25_up,262,15055,0.53816794,0.49784125,0.04032669,1.08100311,1.08100311,,,,,,,,,,,,,,,
d1,bull,3,price200_cross_up,377,14940,0.46949602,0.49926372,-0.02976770,0.94037680,0.94037680,,,,,,,,,,,,,,,
d1,bull,5,adx_cross25_up,262,15055,0.61832061,0.60876785,0.00955276,1.01569196,1.01569196,,,,,,,,,,,,,,,
d1,bull,5,price200_cross_up,377,14940,0.58355438,0.60957162,-0.02601724,0.95731881,0.95731881,,,,,,,,,,,,,,,
d1,bull,10,adx_cross25_up,262,15055,0.70992366,0.71590834,-0.00598467,0.99164045,0.99164045,,,,,,,,,,,,,,,
d1,bull,10,price200_cross_up,377,14940,0.70557029,0.71606426,-0.01049397,0.98534494,0.98534494,,,,,,,,,,,,,,,
d1,bull,20,adx_cross25_up,262,15055,0.79007634,0.79581534,-0.00573901,0.99278852,0.99278852,,,,,,,,,,,,,,,
d1,bull,20,price200_cross_up,377,14940,0.79045093,0.79585007,-0.00539914,0.99321588,0.99321588,,,,,,,,,,,,,,,
d1,bear,1,adx_cross25_up,262,15055,0.25954198,0.25260711,0.00693488,1.02745322,1.02745322,,,,,,,,,,,,,,,
d1,bear,1,price200_cross_down,379,14938,0.21108179,0.25378230,-0.04270051,0.83174356,0.83174356,,,,,,,,,,,,,,,
d1,bear,3,adx_cross25_up,262,15055,0.45801527,0.47605447,-0.01803920,0.96210686,0.96210686,,,,,,,,,,,,,,,
d1,bear,3,price200_cross_down,379,14938,0.41952507,0.47717231,-0.05764725,0.87918988,0.87918988,,,,,,,,,,,,,,,
d1,bear,5,adx_cross25_up,262,15055,0.59923664,0.58193291,0.01730373,1.02973492,1.02973492,,,,,,,,,,,,,,,
d1,bear,5,price200_cross_down,379,14938,0.53562005,0.58341143,-0.04779138,0.91808289,0.91808289,,,,,,,,,,,,,,,
d1,bear,10,adx_cross25_up,262,15055,0.74427481,0.69398871,0.05028610,1.07245954,1.07245954,,,,,,,,,,,,,,,
d1,bear,10,price200_cross_down,379,14938,0.66226913,0.69567546,-0.03340633,0.95198001,0.95198001,,,,,,,,,,,,,,,
d1,bear,20,adx_cross25_up,262,15055,0.83206107,0.77934241,0.05271866,1.06764505,1.06764505,,,,,,,,,,,,,,,
d1,bear,20,price200_cross_down,379,14938,0.74142480,0.78122908,-0.03980428,0.94904916,0.94904916,,,,,,,,,,,,,,,
