pair,timeframe,direction,threshold_pips,events,median_bars_to_hit,median_max_excursion
eurusd,h4,bull,200,47,23.0,214.1
eurusd,h4,bull,300,11,24.0,312.7
gbpjpy,d1,bear,50,376,1.0,150.4
gbpjpy,d1,bear,100,231,2.0,195.7
gbpjpy,d1,bear,150,163,4.0,226.2
gbpjpy,d1,bear,200,120,6.0,266.7
gbpjpy,d1,bear,300,78,11.0,375.55
gbpjpy,d1,bull,50,404,2.0,267.0
gbpjpy,d1,bull,100,247,3.0,257.9
gbpjpy,d1,bull,150,174,6.0,264.5
gbpjpy,d1,bull,200,135,8.0,293.7
gbpjpy,d1,bull,300,94,11.0,385.75
gbpjpy,h4,bear,50,1053,4.0,93.9
gbpjpy,h4,bear,100,529,8.0,137.4
gbpjpy,h4,bear,150,333,12.0,184.0
gbpjpy,h4,bear,200,219,16.0,239.3
gbpjpy,h4,bear,300,115,22.0,330.4
gbpjpy,h4,bull,50,1056,4.0,112.75
gbpjpy,h4,bull,100,531,11.0,141.3
gbpjpy,h4,bull,150,359,14.0,187.2
gbpjpy,h4,bull,200,247,19.0,224.5
gbpjpy,h4,bull,300,116,22.0,323.25
gbpusd,d1,bear,50,283,2.0,149.2
gbpusd,d1,bear,100,157,6.0,160.2
gbpusd,d1,bear,150,110,10.5,190.8
gbpusd,d1,bear,200,79,13.0,244.0
gbpusd,d1,bear,300,46,16.0,334.85
gbpusd,d1,bull,50,301,3.0,120.9
gbpusd,d1,bull,100,159,5.0,160.8
gbpusd,d1,bull,150,101,10.0,191.5
gbpusd,d1,bull,200,68,13.0,238.0
gbpusd,d1,bull,300,40,17.5,344.0
gbpusd,h4,bear,50,666,7.0,74.6
gbpusd,h4,bear,100,303,15.0,119.6
gbpusd,h4,bear,150,169,20.0,164.6
gbpusd,h4,bear,200,92,21.0,214.2
gbpusd,h4,bear,300,27,23.0,327.5
gbpusd,h4,bull,50,635,7.0,73.7
gbpusd,h4,bull,100,301,16.0,119.3
gbpusd,h4,bull,150,159,20.0,167.1
gbpusd,h4,bull,200,78,22.0,216.0
gbpusd,h4,bull,300,23,20.0,320.7
nzdusd,d1,bear,50,207,4.0,91.5
nzdusd,d1,bear,100,97,11.0,127.2
nzdusd,d1,bear,150,64,14.0,172.14999999999998
nzdusd,d1,bear,200,40,18.0,221.14999999999998
nzdusd,d1,bear,300,18,16.0,335.05
nzdusd,d1,bull,50,197,4.0,89.6
nzdusd,d1,bull,100,105,8.0,126.2
nzdusd,d1,bull,150,56,15.0,169.85
nzdusd,d1,bull,200,33,18.0,217.8
nzdusd,d1,bull,300,14,17.0,331.2
nzdusd,h4,bear,50,413,13.0,64.4
nzdusd,h4,bear,100,166,19.5,108.8
nzdusd,h4,bear,150,59,23.0,156.4
nzdusd,h4,bear,200,18,23.0,212.05
nzdusd,h4,bear,300,1,11.0,339.4
nzdusd,h4,bull,50,396,13.0,61.4
nzdusd,h4,bull,100,160,20.0,108.0
nzdusd,h4,bull,150,53,20.0,157.7
nzdusd,h4,bull,200,12,21.5,216.65
nzdusd,h4,bull,300,2,24.0,316.25
usdcad,d1,bear,50,228,3.5,105.6
usdcad,d1,bear,100,131,7.0,138.4
usdcad,d1,bear,150,85,10.0,181.3
usdcad,d1,bear,200,53,14.0,224.0
usdcad,d1,bear,300,29,17.0,338.9
usdcad,d1,bull,50,257,3.0,127.9
usdcad,d1,bull,100,145,7.0,155.6
usdcad,d1,bull,150,90,12.0,189.35000000000002
usdcad,d1,bull,200,64,15.0,230.95
usdcad,d1,bull,300,29,19.0,327.3
usdcad,h4,bear,50,511,10.0,67.7
usdcad,h4,bear,100,228,18.0,113.15
usdcad,h4,bear,150,108,21.0,161.55
usdcad,h4,bear,200,43,22.0,217.8
usdcad,h4,bear,300,10,21.5,310.25
usdcad,h4,bull,50,551,9.0,70.3
usdcad,h4,bull,100,246,17.0,115.5
usdcad,h4,bull,150,118,20.0,163.2
usdcad,h4,bull,200,54,23.0,211.05
usdcad,h4,bull,300,12,24.0,305.5
usdchf,d1,bear,50,189,5.0,95.7
usdchf,d1,bear,100,109,9.0,130.3
usdchf,d1,bear,150,64,15.0,171.95
usdchf,d1,bear,200,44,15.0,217.35
usdchf,d1,bear,300,21,20.0,318.1
usdchf,d1,bull,50,232,4.0,95.95
usdchf,d1,bull,100,108,8.0,132.55
usdchf,d1,bull,150,69,13.0,181.8
usdchf,d1,bull,200,43,18.0,217.3
usdchf,d1,bull,300,17,19.0,317.1
usdchf,h4,bear,50,433,11.0,66.8
usdchf,h4,bear,100,174,19.5,114.35
usdchf,h4,bear,150,70,22.0,163.0
usdchf,h4,bear,200,30,21.0,211.4
usdchf,h4,bear,300,11,24.0,310.7
usdchf,h4,bull,50,430,12.0,67.2
usdchf,h4,bull,100,164,19.5,109.45
usdchf,h4,bull,150,63,21.0,160.1
usdchf,h4,bull,200,21,23.0,209.6
usdchf,h4,bull,300,1,24.0,327.0
usdjpy,d1,bear,50,291,2.0,125.6
usdjpy,d1,bear,100,190,3.5,160.9
usdjpy,d1,bear,150,129,5.0,238.7
usdjpy,d1,bear,200,93,7.0,276.3
usdjpy,d1,bear,300,54,11.0,369.3
usdjpy,d1,bull,50,359,2.0,223.5
usdjpy,d1,bull,100,204,5.0,215.45
usdjpy,d1,bull,150,149,7.0,237.1
usdjpy,d1,bull,200,110,10.0,288.7
usdjpy,d1,bull,300,65,16.0,351.8
usdjpy,h4,bear,50,741,5.0,86.2
usdjpy,h4,bear,100,378,10.0,131.15
usdjpy,h4,bear,150,227,15.0,179.1
usdjpy,h4,bear,200,141,20.0,233.6
usdjpy,h4,bear,300,73,21.0,329.5
usdjpy,h4,bull,50,784,6.0,94.05000000000001
usdjpy,h4,bull,100,404,13.0,129.85
usdjpy,h4,bull,150,240,17.5,176.0
usdjpy,h4,bull,200,153,20.0,227.5
usdjpy,h4,bull,300,64,22.5,319.75
