timeframe,from_target,to_target,conditions,discovery_n,oos_n,oos_continuation_rate,oos_pairs_n_ge5,oos_pair_continuation_mean,oos_pair_continuation_min
d1,150,200,volatility+close_near_high+cross_group_return_up,508,33,0.27272727,3,0.24603175,0.00000000
d1,200,300,volatility+close_near_high+cross_group_return_up,508,21,0.04761905,2,0.00000000,0.00000000
d1,50,100,volatility+nr4+cross_group_bull,250,35,0.48571429,1,0.60000000,0.60000000
d1,50,100,volatility+nr4+mtf_trend_bull+cross_target_relative_up,122,17,0.47058824,1,0.44444444,0.44444444
d1,100,150,volatility+nr4+mtf_trend_bull+cross_target_relative_up,122,10,0.90000000,1,0.83333333,0.83333333
d1,150,200,volatility+nr4+mtf_trend_bull+cross_target_relative_up,122,9,0.22222222,1,0.20000000,0.20000000
d1,50,100,trend_bull+volatility+strong_close_bull,412,63,0.50793651,5,0.49353535,0.22222222
d1,100,150,trend_bull+volatility+strong_close_bull,412,46,0.34782609,4,0.33750000,0.20000000
d1,150,200,trend_bull+volatility+strong_close_bull,412,26,0.46153846,3,0.27777778,0.00000000
d1,200,300,trend_bull+volatility+strong_close_bull,412,19,0.15789474,1,0.16666667,0.16666667
d1,50,100,price200_bull+volatility+nr4,576,103,0.48543689,8,0.51986607,0.28571429
d1,100,150,price200_bull+volatility+nr4,576,78,0.53846154,7,0.51165739,0.20000000
d1,150,200,price200_bull+volatility+nr4,576,65,0.53846154,6,0.63452381,0.25000000
d1,200,300,price200_bull+volatility+nr4,576,47,0.31914894,5,0.34200244,0.14285714
d1,50,100,volatility+strong_close_bull,922,129,0.45736434,11,0.45557832,0.25000000
d1,100,150,volatility+strong_close_bull,922,93,0.40860215,8,0.42594697,0.20000000
d1,150,200,volatility+strong_close_bull,922,61,0.37704918,5,0.39878788,0.27272727
d1,200,300,volatility+strong_close_bull,922,41,0.19512195,4,0.24196429,0.12500000
d1,50,100,price200_bull+nr4+mtf_volatility+cross_group_return_up,139,24,0.29166667,2,0.28750000,0.20000000
d1,100,150,price200_bull+nr4+mtf_volatility+cross_group_return_up,139,15,0.60000000,1,0.83333333,0.83333333
d1,150,200,price200_bull+nr4+mtf_volatility+cross_group_return_up,139,12,0.33333333,1,0.20000000,0.20000000
d1,50,100,volatility+nr4+cross_group_return_up,371,58,0.50000000,6,0.50555556,0.33333333
d1,100,150,volatility+nr4+cross_group_return_up,371,43,0.53488372,5,0.59333333,0.16666667
d1,150,200,volatility+nr4+cross_group_return_up,371,34,0.55882353,4,0.58571429,0.14285714
d1,50,100,volatility+mtf_di_strong_bull+cross_group_bull,603,69,0.46376812,7,0.49440322,0.25000000
d1,100,150,volatility+mtf_di_strong_bull+cross_group_bull,603,45,0.46666667,3,0.62857143,0.42857143
d1,150,200,volatility+mtf_di_strong_bull+cross_group_bull,603,30,0.33333333,2,0.31428571,0.20000000
d1,50,100,volatility+nr4,1040,170,0.49411765,11,0.50089633,0.26666667
d1,100,150,volatility+nr4,1040,126,0.48412698,11,0.45744256,0.10000000
d1,150,200,volatility+nr4,1040,98,0.48979592,8,0.49482323,0.20000000
d1,200,300,volatility+nr4,1040,68,0.35294118,6,0.35707071,0.14285714
d1,50,100,price200_bull+volatility+nr4+cross_group_bull,135,26,0.53846154,1,0.60000000,0.60000000
d1,50,100,volatility+nr4+cross_target_relative_up,257,46,0.45652174,3,0.50000000,0.50000000
d1,100,150,volatility+nr4+cross_target_relative_up,257,30,0.60000000,2,0.52857143,0.20000000
d1,150,200,volatility+nr4+cross_target_relative_up,257,26,0.46153846,1,0.33333333,0.33333333
d1,50,100,price200_bull+volatility+mtf_di_strong_bull+cross_group_return_up,478,70,0.50000000,6,0.55793651,0.28571429
d1,100,150,price200_bull+volatility+mtf_di_strong_bull+cross_group_return_up,478,50,0.48000000,4,0.63564214,0.27272727
d1,150,200,price200_bull+volatility+mtf_di_strong_bull+cross_group_return_up,478,33,0.33333333,3,0.33055556,0.12500000
d1,50,100,price200_bull+volatility+strong_close_bull,571,91,0.49450549,7,0.52594905,0.36363636
d1,100,150,price200_bull+volatility+strong_close_bull,571,65,0.44615385,6,0.47979798,0.20000000
d1,150,200,price200_bull+volatility+strong_close_bull,571,43,0.41860465,5,0.47621212,0.27272727
d1,200,300,price200_bull+volatility+strong_close_bull,571,30,0.23333333,3,0.28095238,0.14285714
d1,50,100,price200_bull+volatility+mtf_di_strong_bull+cross_group_bull,401,51,0.47058824,6,0.53116883,0.27272727
d1,100,150,price200_bull+volatility+mtf_di_strong_bull+cross_group_bull,401,34,0.52941176,3,0.70000000,0.50000000
d1,150,200,price200_bull+volatility+mtf_di_strong_bull+cross_group_bull,401,25,0.36000000,2,0.40000000,0.20000000
