timeframe,from_target,to_target,condition,oos_n,oos_exit_precision,oos_pairs_n_ge5,oos_pair_precision_mean,oos_pair_precision_min
h4,150,200,price20_cross_down+adx_down3,20,1.00000000,2,1.00000000,1.00000000
h4,150,200,di_spread_down3+macd_accel_down,413,0.88619855,10,0.93185006,0.81553398
h4,150,200,ema20_slope_down3,68,0.97058824,4,0.98611111,0.94444444
h4,150,200,di_spread_down3,415,0.88674699,10,0.93220142,0.81904762
h4,150,200,strong_close_bear+adx_down3,37,0.86486486,1,0.83333333,0.83333333
h4,150,200,strong_close_bear,380,0.81842105,10,0.87371275,0.66197183
h4,150,200,close_near_low,433,0.78290993,10,0.85166520,0.66197183
h4,150,200,adx_down3+structure_lh,107,0.85981308,6,0.84107143,0.60000000
h4,150,200,adx_down3,134,0.76865672,6,0.78957130,0.60000000
h4,150,200,range_compression+adx_down3,115,0.77391304,6,0.79071970,0.60000000
h4,150,200,macd_accel_down,607,0.73805601,10,0.82411369,0.60000000
h4,150,200,structure_lh,613,0.74061990,10,0.82757794,0.60215054
h4,150,200,pullback_bull,615,0.71544715,10,0.80412918,0.60526316
h4,150,200,nr4,586,0.73208191,10,0.82525700,0.60220994
h4,150,200,range_compression,592,0.69256757,10,0.80344065,0.50819672
h4,150,200,mtf_adx_rising,450,0.64000000,10,0.76612766,0.49275362
h4,150,200,mtf_di_strong_bull,395,0.63291139,10,0.78193839,0.39473684
h4,150,200,false_break_up+adx_down3,26,0.61538462,2,0.61616162,0.45454545
h4,150,200,volatility,309,0.77346278,10,0.81671641,0.61818182
h4,150,200,mtf_trend_bull,361,0.61495845,9,0.75905875,0.50340136
h4,150,200,mtf_macd_bull,424,0.70518868,10,0.80916458,0.53846154
h4,150,200,atr_expand,194,0.68041237,7,0.72552445,0.44186047
h4,150,200,price200_bull,485,0.63298969,10,0.77595283,0.45033113
h4,150,200,bb_expand,493,0.62474645,10,0.74695393,0.40625000
h4,150,200,false_break_up,315,0.62222222,9,0.70052580,0.44736842
h4,200,300,price20_cross_down+di_spread_down3,16,1.00000000,1,1.00000000,1.00000000
h4,200,300,mtf_trend_bull+adx_down3+di_spread_down3,10,1.00000000,1,1.00000000,1.00000000
h4,200,300,adx_down3+di_spread_down3,14,1.00000000,1,1.00000000,1.00000000
h4,200,300,price20_cross_down,16,1.00000000,1,1.00000000,1.00000000
h4,200,300,adx_down3+macd_accel_down,25,1.00000000,3,1.00000000,1.00000000
h4,200,300,rsi_down3,157,0.98726115,6,0.98550725,0.91304348
h4,200,300,di_spread_down3+macd_accel_down,154,1.00000000,6,1.00000000,1.00000000
h4,200,300,di_spread_down3,154,1.00000000,6,1.00000000,1.00000000
h4,200,300,ema20_slope_down3,11,1.00000000,1,1.00000000,1.00000000
h4,200,300,strong_close_bear,148,0.96621622,6,0.97765432,0.92592593
h4,200,300,strong_close_bear+adx_down3,8,1.00000000,1,1.00000000,1.00000000
h4,200,300,close_near_low,164,0.95731707,6,0.96753938,0.92592593
h4,200,300,adx_down3+structure_lh,23,1.00000000,3,1.00000000,1.00000000
h4,200,300,range_compression+adx_down3,25,1.00000000,3,1.00000000,1.00000000
h4,200,300,macd_accel_down,202,0.95544554,6,0.96735448,0.93103448
h4,200,300,adx_down3,30,1.00000000,3,1.00000000,1.00000000
h4,200,300,structure_lh,203,0.95566502,6,0.96747400,0.93103448
h4,200,300,pullback_bull,203,0.95073892,6,0.96548987,0.92857143
h4,200,300,nr4,197,0.94416244,6,0.96094378,0.91566265
h4,200,300,range_compression,197,0.92893401,6,0.94748011,0.89743590
h4,200,300,mtf_trend_bull,122,0.93442623,5,0.94305443,0.85714286
h4,200,300,mtf_di_strong_bull,139,0.94244604,6,0.96296296,0.92592593
h4,200,300,mtf_adx_rising,148,0.92567568,5,0.94947485,0.89552239
h4,200,300,price200_bull,150,0.90666667,6,0.91775878,0.77777778
h4,200,300,volatility,106,0.97169811,6,0.97769424,0.89473684
h4,200,300,mtf_macd_bull,158,0.96202532,6,0.95887612,0.88888889
h4,200,300,bb_expand,172,0.92441860,6,0.95090254,0.86567164
h4,200,300,atr_expand,75,0.98666667,6,0.99444444,0.96666667
h4,200,300,false_break_up,105,0.89523810,5,0.91728070,0.82500000
d1,50,100,price20_cross_down+di_spread_down3,195,0.99487179,10,0.99523810,0.95238095
d1,50,100,rsi_down3,661,0.90922844,12,0.91342633,0.78947368
d1,50,100,di_spread_down3+macd_accel_down,610,0.88196721,12,0.88741926,0.80000000
d1,50,100,adx_down3+di_spread_down3,117,0.95726496,8,0.89166667,0.40000000
d1,50,100,di_spread_down3,663,0.84464555,12,0.84815416,0.66101695
