timeframe,horizon_bars,target_pips,conditions,discovery_n,discovery_hit,discovery_lift,validation_n,validation_hit,validation_lift,validation_wilson95,oos_n,oos_hit,oos_lift,oos_wilson95
d1,10,50,sma_stack_bull+close_near_high+elliott_impulse_bull+cross_group_return_up,173,0.80346821,1.12246649,66,0.66666667,0.90823359,0.54656344,49,0.71428571,1.04572656,0.57591116
d1,3,50,adx_up3+volatility+mtf_adx25,720,0.62361111,1.25089725,119,0.70588235,1.45835760,0.61861188,166,0.65060241,1.47549265,0.57541113
d1,5,50,price200_bull+adx_up3+volatility+mtf_volatility,278,0.73381295,1.20508341,39,0.84615385,1.40564080,0.70270536,60,0.70000000,1.23748379,0.57491292
d1,10,50,sma_stack_bull+rci_bull+elliott_wave5_bull+cross_group_return_up,202,0.80198020,1.12038770,101,0.68316832,0.93071462,0.58714909,46,0.71739130,1.05027320,0.57451439
d1,3,50,ichimoku_cloud_bull+adx_up3+volatility+mtf_adx25,443,0.65462754,1.31311289,61,0.68852459,1.42249635,0.56408566,93,0.66666667,1.51192457,0.56593470
d1,5,50,sma_stack_bull+bb_expand+close_near_high+mtf_volatility,150,0.74666667,1.22619206,44,0.68181818,1.13264445,0.53443104,39,0.71794872,1.26921414,0.56224681
d1,5,50,trend_bull+adx_up3+volatility+mtf_volatility,206,0.76699029,1.25956795,26,0.84615385,1.40564080,0.66468801,47,0.70212766,1.24124514,0.56022326
d1,10,50,sma_stack_bull+elliott_impulse_bull+mtf_di_strong_bull+cross_group_bull,208,0.80769231,1.12836766,104,0.67307692,0.91696660,0.57816323,47,0.70212766,1.02792696,0.56022326
d1,10,50,sma_stack_bull+di_spread_up3+volatility,370,0.80810811,1.12894855,67,0.80597015,1.09801374,0.69580888,73,0.67123288,0.98269647,0.55729006
d1,10,50,sma_stack_bull+bb_expand+elliott_impulse_bull+cross_group_return_up,123,0.81300813,1.13579401,65,0.64615385,0.88028794,0.52475106,30,0.73333333,1.07361260,0.55552038
d1,5,50,trend_bull+adx_up3+bb_expand+close_near_high,231,0.71861472,1.18012455,30,0.70000000,1.16284830,0.52124213,41,0.70731707,1.25041916,0.55520532
d1,10,50,sma_stack_bull+elliott_impulse_bull+mtf_rsi60+cross_group_bull,223,0.80269058,1.12138012,109,0.68807339,0.93739705,0.59595278,54,0.68518519,1.00312289,0.55256555
d1,10,50,sma_stack_bull+elliott_impulse_bull+cross_group_bull,228,0.80263158,1.12129769,110,0.69090909,0.94126026,0.59933398,54,0.68518519,1.00312289,0.55256555
d1,10,50,trend_bull+di_spread_up3+volatility,500,0.79800000,1.11482725,76,0.78947368,1.07553977,0.68504360,82,0.65853659,0.96410888,0.55087740
d1,10,50,sma_stack_bull+di_spread_up3+elliott_impulse_bull+cross_group_bull,159,0.80503145,1.12465037,84,0.70238095,0.95688896,0.59750915,43,0.69767442,1.02140734,0.54894636
d1,10,50,trend_bull+di_spread_up3+bb_expand+cross_group_bull,253,0.79446640,1.10989072,101,0.69306931,0.94420323,0.59742652,43,0.69767442,1.02140734,0.54894636
d1,3,50,ichimoku_cloud_bull+adx25+volatility+mtf_volatility,585,0.63076923,1.26525567,82,0.47560976,0.98261290,0.37104980,111,0.63963964,1.45063033,0.54703636
d1,10,50,sma_stack_bull+close_near_high+elliott_wave5_bull+cross_group_return_up,148,0.82432432,1.15160303,58,0.62068966,0.84559679,0.49202807,32,0.71875000,1.05226235,0.54625491
d1,10,50,sma_stack_bull+elliott_impulse_bull+mtf_trend_bull+cross_group_bull,219,0.80365297,1.12272460,109,0.68807339,0.93739705,0.59595278,53,0.67924528,0.99442677,0.54518520
d1,3,50,volatility+close_near_high+elliott_pullback_bull,127,0.62992126,1.26355473,19,0.57894737,1.19610908,0.36275904,37,0.70270270,1.59365022,0.54216864
d1,10,50,trend_bull+close_near_high+elliott_impulse_bull+cross_group_bull,255,0.79607843,1.11214277,69,0.63768116,0.86874517,0.51979771,42,0.69047619,1.01086901,0.53974006
d1,10,50,sma_stack_bull+strong_close_bull+elliott_impulse_bull+cross_group_return_up,146,0.80136986,1.11953504,55,0.69090909,0.94126026,0.55971410,34,0.70588235,1.03342390,0.53831090
d1,10,50,sma_stack_bull+rci_bull+elliott_impulse_bull+cross_group_bull,207,0.81642512,1.14056764,97,0.69072165,0.94100490,0.59295416,49,0.67346939,0.98597076,0.53379205
d1,3,50,ichimoku_cloud_bull+adx_up3+volatility,520,0.65192308,1.30768803,72,0.65277778,1.34864320,0.53761304,107,0.62616822,1.42007869,0.53161942
d1,3,50,adx_up3+volatility+mtf_volatility+cross_target_relative_up,200,0.65000000,1.30383054,34,0.73529412,1.51912250,0.56882859,33,0.69696970,1.58064841,0.52661865
d1,10,50,sma_stack_bull+close_near_high+elliott_impulse_bull+cross_group_bull,162,0.83333333,1.16418886,58,0.65517241,0.89257439,0.52667777,38,0.68421053,1.00169597,0.52544240
