timeframe,direction,horizon_bars,feature,disc_true_n,disc_false_n,disc_true_hit,disc_false_hit,disc_diff,disc_true_false_ratio,val_true_n,val_false_n,val_true_hit,val_false_hit,val_diff,val_true_false_ratio,oos_true_n,oos_false_n,oos_true_hit,oos_false_hit,oos_diff,oos_true_false_ratio,oos_base_lift
d1,bull,20,elliott_wave4_bull,1293,14024,0.79814385,0.79549344,0.00265041,1.00333178,371,3385,0.80323450,0.83722304,-0.03398854,0.95940324,229,2497,0.78602620,0.77052463,0.01550157,1.02011820,1.01839706
h4,bear,12,inside_bar,13185,66274,0.43208191,0.42881069,0.00327122,1.00762858,3015,16561,0.40298507,0.40927480,-0.00628973,0.98463202,2227,11764,0.37269870,0.36484189,0.00785681,1.02153483,1.01804519
h4,bear,3,engulf_bear,6066,73393,0.17738213,0.16426635,0.01311578,1.07984461,1483,18093,0.20836143,0.16879456,0.03956687,1.23440843,1118,12873,0.13685152,0.13423444,0.00261708,1.01949631,1.01791049
h4,bull,12,fib_time_5,15895,63564,0.44083045,0.44339563,-0.00256518,0.99421469,3916,15660,0.42236977,0.42573436,-0.00336459,0.99209697,2799,11192,0.38799571,0.37955683,0.00843889,1.02223353,1.01770679
d1,bull,20,elliott_wave3_bull,863,14454,0.77520278,0.79694202,-0.02173924,0.97272168,202,3554,0.78712871,0.83652223,-0.04939352,0.94095373,177,2549,0.78531073,0.77089055,0.01442019,1.01870588,1.01747009
d1,bull,10,inside_bar,3028,12289,0.72523118,0.71348360,0.01174757,1.01646509,724,3032,0.75966851,0.72790237,0.03176613,1.04364065,518,2208,0.69498069,0.68025362,0.01472707,1.02164938,1.01746368
h4,bear,12,compression,10205,69254,0.41234689,0.43185953,-0.01951264,0.95481715,2300,17276,0.40869565,0.40825423,0.00044143,1.00108125,1635,12356,0.37247706,0.36524765,0.00722941,1.01979318,1.01743979
d1,bear,5,fib_time_5,3066,12251,0.57729941,0.58346257,-0.00616316,0.98943692,756,3000,0.54497354,0.54966667,-0.00469312,0.99146188,543,2183,0.50644567,0.49564819,0.01079748,1.02178457,1.01736986
d1,bull,10,superbb_expand,3389,11928,0.73207436,0.71118377,0.02089059,1.02937439,787,2969,0.73824651,0.73290670,0.00533980,1.00728579,603,2123,0.69485904,0.67969854,0.01516050,1.02230474,1.01728557
d1,bear,10,superbb_squeeze,3146,12171,0.68213605,0.69813491,-0.01599887,0.97708342,952,2804,0.63340336,0.68651926,-0.05311590,0.92263014,611,2115,0.63011457,0.61654846,0.01356610,1.02200330,1.01698775
h4,bear,6,rci_cross_down,2913,76546,0.30175077,0.28836255,0.01338822,1.04642842,688,18888,0.31104651,0.27716010,0.03388641,1.12226294,525,13466,0.24000000,0.23585326,0.00414674,1.01758186,1.01691096
h4,bull,3,fib_time_5,15895,63564,0.15690469,0.16144358,-0.00453890,0.97188555,3916,15660,0.16521961,0.16417625,0.00104337,1.00635516,2799,11192,0.12254377,0.11999643,0.00254734,1.02122846,1.01690974
h4,bear,6,sma50_bear,37893,41566,0.28527696,0.29211375,-0.00683678,0.97659548,8843,10733,0.27875155,0.27802106,0.00073050,1.00262749,6147,7844,0.23995445,0.23291688,0.00703757,1.03021494,1.01671796
d1,bear,20,fib_time_13,1187,14130,0.77085088,0.78103326,-0.01018238,0.98696294,289,3467,0.79584775,0.76088838,0.03495937,1.04594547,207,2519,0.73429952,0.72131798,0.01298153,1.01799696,1.01660766
d1,bull,10,elliott_wave4_bull,1293,14024,0.72003094,0.71541643,0.00461451,1.00645010,371,3385,0.69272237,0.73855244,-0.04583007,0.93794609,229,2497,0.69432314,0.68201842,0.01230472,1.01804163,1.01650102
h4,bear,12,elliott_wave4_bear,6701,72758,0.41650500,0.43053685,-0.01403185,0.96740848,1697,17879,0.41367118,0.40779686,0.00587433,1.01440503,1188,12803,0.37205387,0.36553933,0.00651455,1.01782174,1.01628382
h4,bull,24,gap_proxy_up,391,79068,0.59335038,0.59003642,0.00331396,1.00561653,120,19456,0.60833333,0.57658306,0.03175027,1.05506626,75,13916,,,,,1.01626539
h4,bull,1,stoch_bull,39592,39867,0.05056577,0.04913839,0.00142739,1.02904828,9803,9773,0.05335101,0.05085439,0.00249662,1.04909350,7056,6935,0.03231293,0.03129056,0.00102237,1.03267344,1.01593289
h4,bull,1,hh20,10015,69444,0.05921118,0.04849951,0.01071167,1.22086146,2615,16961,0.05621415,0.05147102,0.00474313,1.09215141,1857,12134,0.03231018,0.03172903,0.00058115,1.01831609,1.01584651
h4,bull,24,retest_up,5106,74353,0.59146103,0.58995602,0.00150501,1.00255105,1240,18336,0.55403226,0.57831588,-0.02428362,0.95800976,959,13032,0.54640250,0.53729282,0.00910968,1.01695479,1.01577430
h4,bull,3,structure_bull_transition,26921,52538,0.16188106,0.15984621,0.00203485,1.01273007,6681,12895,0.16958539,0.16169058,0.00789481,1.04882668,4919,9072,0.12238260,0.11948854,0.00289406,1.02422042,1.01557232
d1,bull,10,elliott_pullback_bull,2791,12526,0.71873880,0.71515248,0.00358632,1.00501476,735,3021,0.70068027,0.74213836,-0.04145809,0.94413698,522,2204,0.69348659,0.68058076,0.01290583,1.01896296,1.01527629
h4,bull,3,ellipse_compression,4550,74909,0.13164835,0.16229025,-0.03064189,0.81119079,808,18768,0.14727723,0.16512148,-0.01784426,0.89193256,654,13337,0.12232416,0.12041689,0.00190727,1.01583892,1.01508737
h4,bull,24,fib_time_8,9937,69522,0.58891013,0.59021605,-0.00130591,0.99778740,2448,17128,0.57352941,0.57724194,-0.00371253,0.99356850,1749,12242,0.54602630,0.53675870,0.00926760,1.01726586,1.01507494
d1,bear,1,stoch_bear,7295,8022,0.24482522,0.25991025,-0.01508502,0.94196064,1882,1874,0.26089267,0.24759872,0.01329395,1.05369151,1299,1427,0.21478060,0.20882971,0.00595089,1.02849637,1.01471736
h4,bear,6,stoch_bear,38909,40550,0.29242592,0.28542540,0.00700052,1.02452661,9674,9902,0.28064916,0.27610584,0.00454333,1.01645501,6882,7109,0.23946527,0.23266282,0.00680245,1.02923737,1.01464525
h4,bear,24,stoch_cross_down,15645,63814,0.57078939,0.57167706,-0.00088767,0.99844725,3929,15647,0.53754136,0.53626893,0.00127243,1.00237274,2744,11247,0.50218659,0.49328710,0.00889949,1.01804120,1.01445171
d1,bull,10,elliott_wave2_bull,1498,13819,0.71762350,0.71560894,0.00201455,1.00281516,364,3392,0.70879121,0.73673349,-0.02794228,0.96207274,293,2433,0.69283276,0.68187423,0.01095854,1.01607120,1.01431907
d1,bull,5,sma200_bull,7189,8128,0.64209209,0.57960138,0.06249071,1.10781670,2245,1511,0.59064588,0.61879550,-0.02814962,0.95450901,1874,852,0.57363927,0.54812207,0.02551721,1.04655388,1.01409900
d1,bear,20,nr7,1550,13767,0.76645161,0.78179705,-0.01534544,0.98037158,364,3392,0.76648352,0.76326651,0.00321701,1.00421479,314,2412,0.73248408,0.72097844,0.01150564,1.01595836,1.01409426
h4,bear,6,fib_below382,45560,33899,0.28439421,0.29484646,-0.01045225,0.96455019,10670,8906,0.27497657,0.28239389,-0.00741732,0.97373413,7454,6537,0.23933459,0.23221661,0.00711797,1.03065230,1.01409152
h4,bear,12,shape_triangle_proxy,9430,70029,0.39766702,0.43362036,-0.03595334,0.91708568,2178,17398,0.40404040,0.40884010,-0.00479969,0.98826022,1565,12426,0.37124601,0.36544343,0.00580258,1.01587819,1.01407709
h4,bear,12,fib_time_13,6117,73342,0.43763283,0.42866298,0.00896985,1.02092518,1507,18069,0.40875912,0.40826830,0.00049082,1.00120220,1075,12916,0.37116279,0.36567049,0.00549230,1.01501982,1.01384979
d1,bull,20,rectangle_range,7923,7394,0.79793008,0.79334596,0.00458412,1.00577821,2085,1671,0.82925659,0.83961700,-0.01036040,0.98766056,1356,1370,0.78244838,0.76131387,0.02113451,1.02776057,1.01376154
d1,bear,10,fib_time_13,1187,14130,0.68491997,0.69568294,-0.01076298,0.98452890,289,3467,0.69896194,0.67089703,0.02806491,1.04183192,207,2519,0.62801932,0.61889639,0.00912294,1.01474065,1.01360608
d1,bear,10,fib_time_5,3066,12251,0.69960861,0.69365766,0.00595095,1.00857909,756,3000,0.66798942,0.67433333,-0.00634392,0.99059232,543,2183,0.62799263,0.61749885,0.01049378,1.01699401,1.01356301
d1,bull,10,superbb_squeeze,3146,12171,0.70502225,0.71859338,-0.01357113,0.98111432,952,2804,0.79411765,0.71362340,0.08049425,1.11279654,611,2115,0.69230769,0.68037825,0.01192944,1.01753354,1.01355036
d1,bear,5,rci_cross_down,542,14775,0.54981550,0.58341794,-0.03360244,0.94240417,152,3604,0.51315789,0.55022198,-0.03706408,0.93263795,111,2615,0.50450450,0.49751434,0.00699016,1.01405018,1.01347036
d1,bull,1,superbb_bull,34,15283,,,,,8,3748,,,,,5,2721,,,,,1.01338290
h4,bull,24,nr7,12186,67273,0.59568357,0.58903275,0.00665082,1.01129109,3004,16572,0.55992011,0.57983345,-0.01991335,0.96565678,2086,11905,0.54506232,0.53666527,0.00839705,1.01564672,1.01328288
h4,bear,24,retest_down,4115,75344,0.56597813,0.57180399,-0.00582586,0.98981143,889,18687,0.51293588,0.53764649,-0.02471061,0.95403930,632,13359,0.50158228,0.49472266,0.00685962,1.01386559,1.01323096
h4,bear,24,channel_breakout_down,4118,75341,0.56629432,0.57178694,-0.00549262,0.99039393,896,18680,0.51227679,0.53768737,-0.02541058,0.95274098,640,13351,0.50156250,0.49471950,0.00684300,1.01383209,1.01319101
h4,bear,24,breakout_down20,4118,75341,0.56629432,0.57178694,-0.00549262,0.99039393,896,18680,0.51227679,0.53768737,-0.02541058,0.95274098,640,13351,0.50156250,0.49471950,0.00684300,1.01383209,1.01319101
h4,bear,3,sma200_bear,36593,42866,0.16437570,0.16602902,-0.00165332,0.99004198,7643,11933,0.17349208,0.17070309,0.00278899,1.01633826,6065,7926,0.13619126,0.13310623,0.00308503,1.02317719,1.01299944
d1,bull,20,inside_bar,3028,12289,0.79689564,0.79542680,0.00146884,1.00184660,724,3032,0.85911602,0.82783641,0.03127961,1.03778477,518,2208,0.78185328,0.76947464,0.01237864,1.01608714,1.01299052
h4,bear,24,dmi_adx_strong_bear,19842,59617,0.55866344,0.57577537,-0.01711192,0.97028021,4783,14793,0.49989546,0.54836747,-0.04847201,0.91160670,3771,10220,0.50145850,0.49266145,0.00879705,1.01785618,1.01298092
d1,bull,10,engulf_bull,1017,14300,0.70698132,0.71643357,-0.00945225,0.98680652,266,3490,0.76315789,0.73180516,0.03135274,1.04284301,159,2567,0.69182390,0.68250877,0.00931513,1.01364837,1.01284208
h4,bull,3,strong_close_bull,13844,65615,0.15775787,0.16112169,-0.00336382,0.97912248,3536,16040,0.16006787,0.16533666,-0.00526879,0.96813299,2688,11303,0.12202381,0.12014509,0.00187872,1.01563705,1.01259497
h4,bull,12,rci_cross_up,2910,76549,0.44845361,0.44267071,0.00578290,1.01306366,694,18882,0.45389049,0.42400169,0.02988880,1.07049216,526,13465,0.38593156,0.38106201,0.00486955,1.01277888,1.01229255
d1,bull,10,vertical_week_open,2508,12809,0.72488038,0.71402920,0.01085118,1.01519712,624,3132,0.73397436,0.73403576,-0.00006140,0.99991635,444,2282,0.69144144,0.68141981,0.01002163,1.01470699,1.01228215
d1,bear,5,inside_bar,3028,12289,0.60204756,0.57734559,0.02470196,1.04278540,724,3032,0.54972376,0.54848285,0.00124091,1.00226244,518,2208,0.50386100,0.49637681,0.00748419,1.01507764,1.01217767
d1,bear,10,elliott_pullback_bear,2796,12521,0.70064378,0.69355483,0.00708895,1.01022118,729,3027,0.65980796,0.67624711,-0.01643915,0.97569061,488,2238,0.62704918,0.61796247,0.00908671,1.01470431,1.01204030
d1,bull,3,superbb_expand,3389,11928,0.51873709,0.49279007,0.02594702,1.05265329,787,2969,0.49682338,0.48063321,0.01619017,1.03368508,603,2123,0.44610282,0.43947244,0.00663037,1.01508712,1.01171072
d1,bear,3,fib_time_zone,5417,9900,0.47258630,0.47747475,-0.00488845,0.98976188,1342,2414,0.45976155,0.44946147,0.01030008,1.02291648,959,1767,0.41710115,0.40973401,0.00736713,1.01798029,1.01158161
h4,bear,24,superbb_expand,18448,61011,0.58288161,0.56806150,0.01482012,1.02608893,4476,15100,0.54669348,0.53350993,0.01318354,1.02471096,3307,10684,0.50045358,0.49335455,0.00709903,1.01438932,1.01095092
h4,bull,1,fib_time_5,15895,63564,0.05026738,0.04974514,0.00052224,1.01049833,3916,15660,0.05158325,0.05223499,-0.00065175,0.98752282,2799,11192,0.03215434,0.03171909,0.00043526,1.01372220,1.01094693
h4,bull,24,inside_bar,13185,66274,0.59848312,0.58837553,0.01010759,1.01717881,3015,16561,0.58606965,0.57508605,0.01098361,1.01909907,2227,11764,0.54378087,0.53680721,0.00697366,1.01299100,1.01090063
h4,bull,3,fib_time_zone,28118,51341,0.15982645,0.16092402,-0.00109757,0.99317956,6930,12646,0.16075036,0.16637672,-0.00562636,0.96618301,4950,9041,0.12181818,0.11978763,0.00203055,1.01695123,1.01088860
h4,bear,1,stoch_fall_down,5373,74086,0.06197655,0.05361337,0.00836318,1.15599059,1334,18242,0.05922039,0.05854621,0.00067418,1.01151531,984,13007,0.04369919,0.04320750,0.00049168,1.01137958,1.01057079
h4,bear,6,ichimoku_bear,32353,47106,0.28056131,0.29454847,-0.01398716,0.95251322,7186,12390,0.26816031,0.28426150,-0.01610119,0.94335783,5036,8955,0.23848292,0.23461753,0.00386539,1.01647529,1.01048291
h4,bear,12,stoch_cross_down,15645,63814,0.42972196,0.42926317,0.00045878,1.00106877,3929,15647,0.41206414,0.40736243,0.00470170,1.01154182,2744,11247,0.36989796,0.36516404,0.00473392,1.01296380,1.01039484
h4,bear,24,triangle_breakout_down,194,79265,0.57731959,0.57148805,0.00583154,1.01020414,42,19534,,,,,22,13969,,,,,1.01003465
h4,bull,12,fib_time_zone,28118,51341,0.44242122,0.44313512,-0.00071389,0.99838900,6930,12646,0.42005772,0.42780326,-0.00774554,0.98189463,4950,9041,0.38505051,0.37916160,0.00588891,1.01553139,1.00998156
h4,bull,24,elliott_impulse_bull,7054,72405,0.58293167,0.59074650,-0.00781483,0.98677127,1643,17933,0.58003652,0.57647912,0.00355740,1.00617091,1274,12717,0.54317111,0.53739089,0.00578022,1.01075608,1.00976708
d1,bear,20,compression,1482,13835,0.80296896,0.77780990,0.02515906,1.03234602,354,3402,0.75423729,0.76455026,-0.01031298,0.98651106,314,2412,0.72929936,0.72139303,0.00790633,1.01095981,1.00968515
d1,bull,20,vertical_week_open,2508,12809,0.79864434,0.79514404,0.00350030,1.00440209,624,3132,0.83173077,0.83429119,-0.00256042,0.99693103,444,2282,0.77927928,0.77037686,0.00890242,1.01155592,1.00965557
h4,bear,6,trendline_down,38169,41290,0.28007021,0.29697263,-0.01690242,0.94308426,9325,10251,0.28718499,0.27031509,0.01686990,1.06240826,6258,7733,0.23825503,0.23419113,0.00406390,1.01735294,1.00951732
h4,bear,24,fib_time_8,9937,69522,0.57069538,0.57161762,-0.00092224,0.99838662,2448,17128,0.54084967,0.53590612,0.00494355,1.00922467,1749,12242,0.49971412,0.49436367,0.00535046,1.01082292,1.00945716
h4,bear,12,range_compression,62805,16654,0.42958363,0.42848565,0.00109798,1.00256247,15685,3891,0.41039209,0.39989720,0.01049490,1.02624398,11265,2726,0.36955171,0.35179751,0.01775420,1.05046711,1.00944904
d1,bull,3,sma200_bull,7189,8128,0.53428850,0.46690453,0.06738397,1.14432066,2245,1511,0.47260579,0.50099272,-0.02838693,0.94333864,1874,852,0.44503735,0.43192488,0.01311247,1.03035822,1.00929436
d1,bear,20,stoch_cross_down,2979,12338,0.78818395,0.77832712,0.00985683,1.01266413,726,3030,0.76721763,0.76270627,0.00451136,1.00591494,546,2180,0.72893773,0.72064220,0.00829553,1.01151130,1.00918448
h4,bull,24,inside_2,1938,77521,0.60887513,0.58958218,0.01929295,1.03272309,318,19258,0.59119497,0.57653962,0.01465535,1.02541950,234,13757,0.54273504,0.53783528,0.00489976,1.00911015,1.00895642
h4,bull,6,elliott_wave4_bull,6776,72683,0.28837072,0.29283326,-0.00446254,0.98476081,1817,17759,0.24931205,0.28678417,-0.03747211,0.86933688,1308,12683,0.23241590,0.23015060,0.00226531,1.00984272,1.00891433
d1,bear,20,rectangle_range,7923,7394,0.76776474,0.79361645,-0.02585171,0.96742544,2085,1671,0.75827338,0.77019749,-0.01192411,0.98451812,1356,1370,0.72861357,0.71605839,0.01255518,1.01753373,1.00873570
h4,bull,12,elliott_wave4_bull,6776,72683,0.43978749,0.44317103,-0.00338355,0.99236515,1817,17759,0.40781508,0.42682583,-0.01901075,0.95546016,1308,12683,0.38455657,0.38090357,0.00365300,1.00959036,1.00868598
h4,bear,3,inside_bar,13185,66274,0.14531665,0.16923680,-0.02392016,0.85865866,3015,16561,0.16318408,0.17335910,-0.01017502,0.94130670,2227,11764,0.13560844,0.13422305,0.00138539,1.01032154,1.00866439
h4,bull,24,compression,10205,69254,0.59853013,0.58880353,0.00972660,1.01651926,2300,17276,0.55869565,0.57918500,-0.02048934,0.96462383,1635,12356,0.54250765,0.53730981,0.00519784,1.00967382,1.00853368
h4,bull,24,rectangle_range,39635,39824,0.58143055,0.59863399,-0.01720344,0.97126218,10157,9419,0.58196318,0.57118590,0.01077728,1.01886825,7224,6767,0.54249723,0.53302793,0.00946930,1.01776511,1.00851432
h4,bear,6,channel_mid_bear,37489,41970,0.28261623,0.29442459,-0.01180835,0.95989345,8970,10606,0.28506132,0.27267584,0.01238547,1.04542196,5967,8024,0.23797553,0.23454636,0.00342917,1.01462044,1.00833303
h4,bull,24,rci_strong_bull,12232,67227,0.59115435,0.58985229,0.00130206,1.00220743,3042,16534,0.52662722,0.58600460,-0.05937738,0.89867421,2398,11593,0.54211843,0.53704822,0.00507021,1.00944089,1.00781012
h4,bull,24,stoch_bull,39592,39867,0.59274601,0.58737803,0.00536798,1.00913888,9803,9773,0.57482403,0.57873734,-0.00391330,0.99323820,7056,6935,0.54209184,0.53366979,0.00842205,1.01578138,1.00776068
d1,bull,5,fib_time_13,1187,14130,0.62931761,0.60721868,0.02209892,1.03639368,289,3467,0.57785467,0.60398039,-0.02612572,0.95674410,207,2519,0.57004831,0.56530369,0.00474462,1.00839304,1.00775077
h4,bull,6,fib_time_8,9937,69522,0.29767535,0.29170622,0.00596913,1.02046282,2448,17128,0.28104575,0.28362915,-0.00258339,0.99089165,1749,12242,0.23213265,0.23010946,0.00202319,1.00879229,1.00768472
d1,bear,5,fib_time_zone,5417,9900,0.57522614,0.58606061,-0.01083447,0.98151306,1342,2414,0.54918033,0.54846727,0.00071305,1.00130008,959,1767,0.50156413,0.49575552,0.00580861,1.01171669,1.00756361
h4,bull,12,stoch_bull,39592,39867,0.44865124,0.43715354,0.01149771,1.02630130,9803,9773,0.42446190,0.42566254,-0.00120064,0.99717936,7056,6935,0.38407029,0.37837058,0.00569971,1.01506383,1.00741048
h4,bull,24,rci_cross_up,2910,76549,0.58350515,0.59030164,-0.00679648,0.98848642,694,18882,0.59942363,0.57594534,0.02347829,1.04076478,526,13465,0.54182510,0.53776457,0.00406052,1.00755074,1.00726480
h4,bear,24,elliott_wave3_bear,4367,75092,0.57865812,0.57108613,0.00757198,1.01325892,964,18612,0.55497925,0.53556845,0.01941080,1.03624336,682,13309,0.49853372,0.49485311,0.00368062,1.00743780,1.00707267
h4,bear,12,stoch_bear,38909,40550,0.43216222,0.42665845,0.00550378,1.01289973,9674,9902,0.41172214,0.40496869,0.00675345,1.01667647,6882,7109,0.36864284,0.36362358,0.00501926,1.01380345,1.00696640
h4,bear,24,inside_bar,13185,66274,0.57155859,0.57149108,0.00006751,1.00011812,3015,16561,0.52802653,0.53807137,-0.01004484,0.98133177,2227,11764,0.49842838,0.49438966,0.00403872,1.00816909,1.00685987
h4,bear,24,elliott_wave2_bear,7736,71723,0.57419855,0.57121147,0.00298709,1.00522939,2070,17506,0.54685990,0.53530218,0.01155772,1.02159102,1439,12552,0.49826268,0.49466221,0.00360048,1.00727866,1.00652515
h4,bear,24,bb_lower,15951,63508,0.56247257,0.57377023,-0.01129766,0.98030978,3886,15690,0.51904272,0.54085405,-0.02181133,0.95967243,2575,11416,0.49825243,0.49430624,0.00394619,1.00798329,1.00650443
d1,bear,10,shape_triangle_proxy,584,14733,0.66609589,0.69598860,-0.02989271,0.95705001,143,3613,0.58041958,0.67672294,-0.09630336,0.85769159,178,2548,0.62359551,0.61930926,0.00428624,1.00692101,1.00646616
d1,bear,20,range_tight,870,14447,0.71609195,0.78410743,-0.06801547,0.91325746,327,3429,0.66360856,0.77311169,-0.10950313,0.85836053,172,2554,0.72674419,0.72200470,0.00473949,1.00656434,1.00614761
d1,bull,20,fib_time_8,1919,13398,0.79520584,0.79579042,-0.00058458,0.99926541,472,3284,0.83262712,0.83404385,-0.00141673,0.99830137,340,2386,0.77647059,0.77116513,0.00530546,1.00687980,1.00601655
h4,bull,12,vertical_day_open,12868,66591,0.44303699,0.44285264,0.00018435,1.00041629,3166,16410,0.42924826,0.42425350,0.00499476,1.01177305,2258,11733,0.38352524,0.38080627,0.00271897,1.00714004,1.00598082
d1,bull,20,ichimoku_cloud_bull,7734,7583,0.79712956,0.79427667,0.00285289,1.00359180,2167,1589,0.82371943,0.84770296,-0.02398353,0.97170762,1613,1113,0.77619343,0.76549865,0.01069478,1.01397099,1.00565746
d1,bull,5,superbb_expand,3389,11928,0.63145471,0.60253186,0.02892285,1.04800219,787,2969,0.63659466,0.59279219,0.04380248,1.07389179,603,2123,0.56882255,0.56476684,0.00405571,1.00718122,1.00558384
h4,bear,12,sma20_bear,38151,41308,0.41831145,0.43955166,-0.02124021,0.95167755,9223,10353,0.41038708,0.40645224,0.00393484,1.00968094,6313,7678,0.36812926,0.36441782,0.00371144,1.01018457,1.00556354
h4,bear,12,bb_bear,38151,41308,0.41831145,0.43955166,-0.02124021,0.95167755,9223,10353,0.41038708,0.40645224,0.00393484,1.00968094,6313,7678,0.36812926,0.36441782,0.00371144,1.01018457,1.00556354
h4,bear,3,horizontal_resistance_near,5230,74229,0.16730402,0.16512414,0.00217987,1.01320142,1270,18306,0.13858268,0.17409592,-0.03551325,0.79601333,1006,12985,0.13518887,0.13438583,0.00080304,1.00597561,1.00554356
h4,bear,6,range_compression,62805,16654,0.28903750,0.28815900,0.00087850,1.00304865,15685,3891,0.27752630,0.28167566,-0.00414936,0.98526900,11265,2726,0.23728362,0.23074101,0.00654261,1.02835477,1.00540132
h4,bear,3,compression,10205,69254,0.15316022,0.16705172,-0.01389151,0.91684308,2300,17276,0.18347826,0.17023617,0.01324210,1.07778662,1635,12356,0.13516820,0.13434769,0.00082051,1.00610737,1.00538981
h4,bull,24,trendline_up,41062,38397,0.58618674,0.59418705,-0.00800030,0.98653571,10251,9325,0.55136084,0.60471850,-0.05335766,0.91176447,7733,6258,0.54079917,0.53435602,0.00644315,1.01205778,1.00535759
h4,bear,12,superbb_expand,18448,61011,0.44996748,0.42312042,0.02684706,1.06345015,4476,15100,0.41175156,0.40728477,0.00446680,1.01096725,3307,10684,0.36800726,0.36549981,0.00250744,1.00686032,1.00523029
d1,bull,10,structure_bull_transition,5634,9683,0.70855520,0.72002479,-0.01146959,0.98407057,1447,2309,0.72149274,0.74187960,-0.02038686,0.97251999,1088,1638,0.68658088,0.68070818,0.00587270,1.00862734,1.00516621
d1,bear,20,inside_bar,3028,12289,0.78434610,0.77923346,0.00511264,1.00656112,724,3032,0.77071823,0.76187335,0.00884488,1.01160939,518,2208,0.72586873,0.72146739,0.00440133,1.00610053,1.00493557
d1,bull,10,sma200_bull,7189,8128,0.73793295,0.69623524,0.04169772,1.05989027,2245,1511,0.72293987,0.75049636,-0.02755649,0.96328231,1874,852,0.68623266,0.67605634,0.01017632,1.01505247,1.00465640
h4,bull,24,fib_time_zone,28118,51341,0.58930223,0.59046376,-0.00116154,0.99803284,6930,12646,0.57734488,0.57646687,0.00087801,1.00152309,4950,9041,0.54040404,0.53655569,0.00384835,1.00717232,1.00462303
d1,bull,20,shape_triangle_proxy,584,14733,0.75342466,0.79739361,-0.04396895,0.94485917,143,3613,0.83216783,0.83393302,-0.00176519,0.99788330,178,2548,0.77528090,0.77158556,0.00369534,1.00478928,1.00447516
d1,bear,5,nr7,1550,13767,0.58064516,0.58240721,-0.00176204,0.99697455,364,3392,0.53571429,0.55011792,-0.01440364,0.97381718,314,2412,0.50000000,0.49751244,0.00248756,1.00500000,1.00442152
d1,bear,5,inside_2,308,15009,0.57792208,0.58231728,-0.00439520,0.99245223,83,3673,,,,,52,2674,,,,,1.00442152
d1,bull,10,range_tight,870,14447,0.71379310,0.71592718,-0.00213408,0.99701914,327,3429,0.82568807,0.72528434,0.10040373,1.13843362,172,2554,0.68604651,0.68285043,0.00319608,1.00468050,1.00438388
d1,bear,3,compression,1482,13835,0.48178138,0.47509939,0.00668199,1.01406441,354,3402,0.46892655,0.45149912,0.01742744,1.03859905,314,2412,0.41401274,0.41210614,0.00190660,1.00462649,1.00409139
h4,bull,24,range_compression,62805,16654,0.59097206,0.58658581,0.00438625,1.00747760,15685,3891,0.57953459,0.56566435,0.01387023,1.02452025,11265,2726,0.54007989,0.52898019,0.01109970,1.02098321,1.00402043
d1,bull,5,superbb_squeeze,3146,12171,0.59090909,0.61358968,-0.02268059,0.96303623,952,2804,0.66176471,0.58166904,0.08009566,1.13769972,611,2115,0.56792144,0.56501182,0.00290962,1.00514966,1.00399082
d1,bull,1,rci_cross_up,544,14773,0.25000000,0.25384147,-0.00384147,0.98486667,155,3601,0.24516129,0.25076368,-0.00560239,0.97765870,106,2620,0.19811321,0.19732824,0.00078496,1.00397796,1.00382268
h4,bear,12,ichimoku_tk_bear,36422,43037,0.42065235,0.43671724,-0.01606489,0.96321444,8777,10799,0.39808591,0.41661265,-0.01852674,0.95553005,5897,8094,0.36747499,0.36508525,0.00238974,1.00654570,1.00377637
h4,bear,12,elliott_wave5_bear,4544,74915,0.43595951,0.42895281,0.00700669,1.01633442,1004,18572,0.41832669,0.40776438,0.01056232,1.02590299,694,13297,0.36743516,0.36602241,0.00141275,1.00385973,1.00366757
h4,bull,24,fib_time_5,15895,63564,0.58930481,0.59023976,-0.00093495,0.99841599,3916,15660,0.58171604,0.57554278,0.00617325,1.01072597,2799,11192,0.53983566,0.53743746,0.00239820,1.00446229,1.00356639
h4,bear,24,range_compression,62805,16654,0.57108510,0.57307554,-0.00199043,0.99652675,15685,3891,0.53866752,0.52788486,0.01078265,1.02042615,11265,2726,0.49658233,0.48862803,0.00795431,1.01627886,1.00313073
h4,bear,12,rci_bear,37757,41702,0.41579045,0.44163349,-0.02584305,0.94148305,9242,10334,0.42360961,0.39461970,0.02898991,1.07346290,6413,7578,0.36722283,0.36513592,0.00208691,1.00571543,1.00308758
h4,bull,6,hh20,10015,69444,0.29875187,0.29154427,0.00720761,1.02472217,2615,16961,0.26730402,0.28577324,-0.01846923,0.93537103,1857,12134,0.23101777,0.23026207,0.00075570,1.00328190,1.00284506
d1,bear,5,dmi_adx_strong_bear,3079,12238,0.56122118,0.58751430,-0.02629312,0.95524684,684,3072,0.48976608,0.56184896,-0.07208288,0.87170417,553,2173,0.49909584,0.49746894,0.00162690,1.00327036,1.00260520
h4,bull,6,fib_time_zone,28118,51341,0.29454442,0.29130714,0.00323728,1.01111294,6930,12646,0.28008658,0.28507038,-0.00498380,0.98251731,4950,9041,0.23090909,0.23006305,0.00084604,1.00367745,1.00237328
h4,bull,24,elliott_wave4_bull,6776,72683,0.58234947,0.59077088,-0.00842141,0.98574504,1817,17759,0.56521739,0.57796047,-0.01274308,0.97795164,1308,12683,0.53899083,0.53780651,0.00118431,1.00220212,1.00199583
