timeframe,direction,horizon_bars,feature,disc_true_n,disc_false_n,disc_true_hit,disc_false_hit,disc_diff,disc_true_false_ratio,val_true_n,val_false_n,val_true_hit,val_false_hit,val_diff,val_true_false_ratio,oos_true_n,oos_false_n,oos_true_hit,oos_false_hit,oos_diff,oos_true_false_ratio,oos_base_lift
h4,bear,12,breakout_down20,4118,75341,0.43467703,0.42906253,0.00561450,1.01308550,896,18680,0.41183036,0.40813704,0.00369331,1.00904920,640,13351,0.39218750,0.36484158,0.02734592,1.07495285,1.07127983
d1,bear,3,rci_cross_down,542,14775,0.44280443,0.47695431,-0.03414989,0.92840009,152,3604,0.39473684,0.45560488,-0.06086804,0.86640169,111,2615,0.44144144,0.41108987,0.03035158,1.07383197,1.07061332
h4,bear,3,rci_bear,37757,41702,0.16338692,0.16697041,-0.00358349,0.97853819,9242,10334,0.18816274,0.15715115,0.03101158,1.19733603,6413,7578,0.14392640,0.12641858,0.01750782,1.13849087,1.07053389
h4,bear,3,elliott_pullback_bear,14437,65022,0.16651659,0.16499031,0.00152628,1.00925072,3767,15809,0.18290417,0.16914416,0.01376001,1.08135078,2627,11364,0.14389037,0.13225977,0.01163060,1.08793756,1.07026590
d1,bear,10,range_tight,870,14447,0.60114943,0.70049145,-0.09934203,0.85818239,327,3429,0.57186544,0.68270633,-0.11084088,0.83764485,172,2554,0.66279070,0.61667972,0.04611098,1.07477298,1.06972613
d1,bull,10,shape_triangle_proxy,584,14733,0.63698630,0.71893029,-0.08194399,0.88601956,143,3613,0.69230769,0.73567672,-0.04336903,0.94104879,178,2548,0.73033708,0.67974882,0.05058826,1.07442198,1.06922603
h4,bear,12,bb_lower,15951,63508,0.42223058,0.43114253,-0.00891195,0.97932945,3886,15690,0.40298507,0.40962396,-0.00663889,0.98379272,2575,11416,0.39029126,0.36063420,0.02965706,1.08223586,1.06610017
h4,bull,3,elliott_wave5_bull,5615,73844,0.15903829,0.16064948,-0.00161119,0.98997079,1274,18302,0.16797488,0.16413507,0.00383982,1.02339424,1044,12947,0.12835249,0.11987333,0.00847916,1.07073434,1.06511251
d1,bear,1,elliott_impulse_bear,1216,14101,0.23848684,0.25395362,-0.01546678,0.93909605,226,3530,0.24778761,0.25467422,-0.00688661,0.97295914,173,2553,0.22543353,0.21073247,0.01470105,1.06976169,1.06504643
h4,bull,12,horizontal_support_near,4165,75294,0.43457383,0.44334210,-0.00876827,0.98022234,799,18777,0.48060075,0.42269798,0.05790277,1.13698378,564,13427,0.40602837,0.38020407,0.02582430,1.06792222,1.06500617
d1,bull,1,ichimoku_cloud_bull,7734,7583,0.26907163,0.23803244,0.03103919,1.13039899,2167,1589,0.25103830,0.24984267,0.00119563,1.00478555,1613,1113,0.21016739,0.17879605,0.03137134,1.17545882,1.06490020
d1,bear,3,stoch_fall_down,1033,14284,0.49564376,0.47430692,0.02133684,1.04498530,283,3473,0.43816254,0.45436222,-0.01619968,0.96434633,212,2514,0.43867925,0.41010342,0.02857582,1.06967956,1.06391426
h4,bear,12,horizontal_resistance_near,5230,74229,0.44799235,0.42804025,0.01995210,1.04661267,1270,18306,0.43622047,0.40636950,0.02985098,1.07345772,1006,12985,0.38866799,0.36434347,0.02432452,1.06676260,1.06166612
h4,bear,6,inside_bar,13185,66274,0.29381873,0.28786553,0.00595321,1.02068051,3015,16561,0.27197347,0.27951211,-0.00753864,0.97302929,2227,11764,0.25056129,0.23325400,0.01730730,1.07419936,1.06166052
h4,bear,1,ellipse_compression,4550,74909,0.04681319,0.05462628,-0.00781309,0.85697190,808,18768,0.06064356,0.05850384,0.00213973,1.03657415,654,13337,0.04587156,0.04311314,0.00275842,1.06398085,1.06080825
d1,bear,20,rci_cross_down,542,14775,0.75461255,0.78118443,-0.02657189,0.96598513,152,3604,0.73684211,0.76470588,-0.02786378,0.96356275,111,2615,0.76576577,0.72045889,0.04530687,1.06288613,1.06017140
d1,bear,5,vertical_week_open,2508,12809,0.60964912,0.57686002,0.03278910,1.05684066,624,3132,0.56891026,0.54469987,0.02421038,1.04444720,444,2282,0.52702703,0.49211218,0.03491484,1.07094895,1.05871457
d1,bear,3,elliott_pullback_bear,2796,12521,0.49356223,0.47176743,0.02179480,1.04619819,729,3027,0.45130316,0.45358441,-0.00228125,0.99497061,488,2238,0.43647541,0.40705987,0.02941553,1.07226341,1.05856937
h4,bull,24,stoch_recover_up,4858,74601,0.58727872,0.59023337,-0.00295466,0.99499408,1248,18328,0.57532051,0.57687691,-0.00155640,0.99730203,794,13197,0.56926952,0.53603092,0.03323861,1.06200875,1.05828460
d1,bull,5,inside_bar,3028,12289,0.62978864,0.60379201,0.02599663,1.04305561,724,3032,0.62707182,0.59597625,0.03109557,1.05217585,518,2208,0.59845560,0.55797101,0.04048458,1.07255679,1.05797014
d1,bear,20,stoch_fall_down,1033,14284,0.79670862,0.77905349,0.01765513,1.02266228,283,3473,0.77738516,0.76245321,0.01493195,1.01958409,212,2514,0.76415094,0.71877486,0.04537608,1.06312976,1.05793574
h4,bear,24,compression,10205,69254,0.56805488,0.57201028,-0.00395541,0.99308508,2300,17276,0.54521739,0.53536698,0.00985041,1.01839936,1635,12356,0.52354740,0.49125931,0.03228809,1.06572515,1.05760203
h4,bear,12,elliott_wave3_bear,4367,75092,0.45156858,0.42806158,0.02350700,1.05491501,964,18612,0.44294606,0.40651193,0.03643413,1.08962623,682,13309,0.38709677,0.36501615,0.02208062,1.06049217,1.05737426
h4,bear,1,rci_cross_down,2913,76546,0.06522485,0.05375852,0.01146633,1.21329324,688,18888,0.07267442,0.05807920,0.01459521,1.25129847,525,13466,0.04571429,0.04314570,0.00256859,1.05953283,1.05717119
d1,bear,3,elliott_wave3_bear,888,14429,0.43243243,0.47841153,-0.04597910,0.90389216,162,3594,0.40123457,0.45548136,-0.05424679,0.88090228,117,2609,0.43589744,0.41126869,0.02462875,1.05988482,1.05716762
