pair,timestamp,event,direction,state,reason,touch_candle,reference_level,signal_candle,sma_stack_bull,di_strong_bull,strong_close_bear
eurjpy,2022-01-25T00:00:00+00:00,TRIGGERED,short,ARMED,entry conditions satisfied,,128.793,2022-01-25T00:00:00+00:00,False,False,True
eurjpy,2022-02-03T16:00:00+00:00,GC,long,SEARCH_TOUCH,new long search,,,,,,
eurjpy,2022-02-11T04:00:00+00:00,ARMED,long,ARMED,first EMA20 touch,2022-02-11T04:00:00+00:00,132.303,,,,
eurjpy,2022-02-11T16:00:00+00:00,BREACH_TOLERATED,long,ARMED,one close through touch extreme,,,,,,
eurjpy,2022-02-11T20:00:00+00:00,INVALIDATED,long,ARMED,two consecutive closes through touch extreme,,,,,,
eurjpy,2022-02-22T00:00:00+00:00,DC,short,SEARCH_TOUCH,new short search,,,,,,
eurjpy,2022-02-22T08:00:00+00:00,ARMED,short,ARMED,first EMA20 touch,2022-02-22T08:00:00+00:00,129.591,,,,
eurjpy,2022-02-24T00:00:00+00:00,TRIGGERED,short,ARMED,entry conditions satisfied,,129.591,2022-02-24T00:00:00+00:00,False,False,True
eurjpy,2022-03-16T00:00:00+00:00,GC,long,SEARCH_TOUCH,new long search,,,,,,
eurjpy,2022-03-23T12:00:00+00:00,ARMED,long,ARMED,first EMA20 touch,2022-03-23T12:00:00+00:00,133.201,,,,
eurjpy,2022-03-23T16:00:00+00:00,TRIGGERED,long,ARMED,entry conditions satisfied,,133.201,2022-03-23T16:00:00+00:00,True,True,False
eurjpy,2022-05-12T16:00:00+00:00,DC,short,SEARCH_TOUCH,new short search,,,,,,
eurjpy,2022-05-16T08:00:00+00:00,ARMED,short,ARMED,first EMA20 touch,2022-05-16T08:00:00+00:00,134.579,,,,
eurjpy,2022-05-17T04:00:00+00:00,BREACH_TOLERATED,short,ARMED,one close through touch extreme,,,,,,
eurjpy,2022-05-17T08:00:00+00:00,INVALIDATED,short,ARMED,two consecutive closes through touch extreme,,,,,,
eurjpy,2022-05-24T08:00:00+00:00,GC,long,SEARCH_TOUCH,new long search,,,,,,
eurjpy,2022-05-24T12:00:00+00:00,ARMED,long,ARMED,first EMA20 touch,2022-05-24T12:00:00+00:00,136.527,,,,
eurjpy,2022-05-25T08:00:00+00:00,BREACH_TOLERATED,long,ARMED,one close through touch extreme,,,,,,
eurjpy,2022-05-26T04:00:00+00:00,BREACH_TOLERATED,long,ARMED,one close through touch extreme,,,,,,
eurjpy,2022-06-02T00:00:00+00:00,TRIGGERED,long,ARMED,entry conditions satisfied,,136.527,2022-06-02T00:00:00+00:00,True,True,False
eurjpy,2022-07-06T08:00:00+00:00,DC,short,SEARCH_TOUCH,new short search,,,,,,
eurjpy,2022-07-10T20:00:00+00:00,ARMED,short,ARMED,first EMA20 touch,2022-07-10T20:00:00+00:00,138.316,,,,
eurjpy,2022-07-11T00:00:00+00:00,BREACH_TOLERATED,short,ARMED,one close through touch extreme,,,,,,
eurjpy,2022-07-12T16:00:00+00:00,TRIGGERED,short,ARMED,entry conditions satisfied,,138.316,2022-07-12T16:00:00+00:00,False,False,True
eurjpy,2022-07-19T08:00:00+00:00,GC,long,SEARCH_TOUCH,new long search,,,,,,
eurjpy,2022-07-20T16:00:00+00:00,ARMED,long,ARMED,first EMA20 touch,2022-07-20T16:00:00+00:00,141.202,,,,
eurjpy,2022-07-21T16:00:00+00:00,BREACH_TOLERATED,long,ARMED,one close through touch extreme,,,,,,
eurjpy,2022-07-21T20:00:00+00:00,INVALIDATED,long,ARMED,two consecutive closes through touch extreme,,,,,,
