timeframe,feature,origin_pairs,turn_on_n,turn_on_rate
d1,price20_cross_up,3160,50,0.01582278
d1,price200_cross_up,3160,36,0.01139241
d1,breakout20_up,3160,110,0.03481013
d1,atr_expand,3160,148,0.04683544
d1,bb_expand,3160,281,0.08892405
d1,body_expand,3160,710,0.22468354
d1,sma20_bull,3160,43,0.01360759
d1,sma50_bull,3160,54,0.01708861
d1,sma200_bull,3160,28,0.00886076
d1,sma_stack_bull,3160,29,0.00917722
d1,ichimoku_bull,3160,48,0.01518987
d1,ichimoku_tk_bull,3160,85,0.02689873
d1,ichimoku_cloud_bull,3160,23,0.00727848
d1,span_model_bull,3160,73,0.02310127
d1,superbb_bull,3160,19,0.00601266
d1,superbb_squeeze,3160,59,0.01867089
d1,superbb_expand,3160,281,0.08892405
d1,stoch_bull,3160,268,0.08481013
d1,stoch_cross_up,3160,266,0.08417722
d1,stoch_recover_up,3160,44,0.01392405
d1,rci_bull,3160,103,0.03259494
d1,rci_strong_bull,3160,125,0.03955696
d1,rci_cross_up,3160,102,0.03227848
d1,dmi_adx_bull,3160,61,0.01930380
d1,dmi_adx_strong_bull,3160,76,0.02405063
d1,fib_above382,3160,59,0.01867089
d1,fib_above500,3160,51,0.01613924
d1,fib_above618,3160,53,0.01677215
d1,fib_retrace38_bull,3160,0,0.00000000
d1,fib_retrace62_bull,3160,0,0.00000000
d1,fib_time_zone,3160,858,0.27151899
d1,fib_time_5,3160,635,0.20094937
d1,fib_time_8,3160,418,0.13227848
d1,fib_time_13,3160,250,0.07911392
d1,fib_fan_up,3160,59,0.01867089
d1,fib_arc_bull,3160,51,0.01613924
d1,trendline_up,3160,108,0.03417722
d1,channel_upper,3160,95,0.03006329
d1,channel_mid_bull,3160,46,0.01455696
d1,channel_breakout_up,3160,110,0.03481013
d1,horizontal_resistance_near,3160,88,0.02784810
d1,horizontal_support_near,3160,127,0.04018987
d1,horizontal_break_up,3160,77,0.02436709
d1,vertical_session,3160,0,0.00000000
d1,vertical_day_open,3160,0,0.00000000
d1,vertical_week_open,3160,193,0.06107595
d1,rectangle_range,3160,510,0.16139241
d1,triangle_breakout_up,3160,17,0.00537975
d1,ellipse_compression,3160,42,0.01329114
d1,elliott_wave2_bull,3160,313,0.09905063
d1,elliott_wave3_bull,3160,147,0.04651899
d1,elliott_wave4_bull,3160,294,0.09303797
d1,elliott_wave5_bull,3160,174,0.05506329
d1,elliott_impulse_bull,3160,169,0.05348101
d1,elliott_pullback_bull,3160,523,0.16550633
d1,range_compression,3160,171,0.05411392
