timeframe,direction,horizon_bars,conditions,discovery_samples,discovery_hit_rate,discovery_lift,validation_samples,validation_hit_rate,validation_lift,validation_wilson95_lower,oos_samples,oos_hit_rate,oos_lift,oos_wilson95_lower,all_samples,all_hit_rate,all_lift,all_wilson95_lower
h4,bear,1,rsi_cross45_down+breakout20_down,567,0.09876543,1.98126798,144,0.06944444,1.33278867,0.03815514,102,0.05882353,1.84943820,0.02723564,813,0.08856089,1.84476275,0.07091660
h4,bear,1,price200_cross_down+breakout20_down,355,0.09859155,1.97777983,101,0.11881188,2.28025626,0.06928719,72,0.08333333,2.62003745,0.03875242,528,0.10037879,2.09093492,0.07756340
h4,bear,1,bb_lower+atr_expand,1846,0.09750813,1.95604599,347,0.08069164,1.54864666,0.05641581,334,0.10179641,3.20052479,0.07376414,2527,0.09576573,1.99484287,0.08489823
h4,bear,1,adx_cross25_up+atr_expand,196,0.09693878,1.94462463,38,0.05263158,1.01011352,0.01455421,38,0.07894737,2.48214075,0.02721460,272,0.08823529,1.83798053,0.06001007
h4,bear,1,adx25+atr_expand,2444,0.09656301,1.93708668,473,0.08245243,1.58244000,0.06090060,347,0.06051873,1.90273613,0.03992031,3264,0.09068627,1.88903554,0.08131002
h4,bear,1,adx_up3+atr_expand,1626,0.09594096,1.92460810,337,0.07121662,1.36680049,0.04832126,330,0.08787879,2.76294859,0.06188288,2293,0.09114697,1.89863202,0.08004028
h4,bear,1,rsi40+price20_cross_down,294,0.09523810,1.91050841,50,0.04000000,0.76768627,0.01103888,44,0.15909091,5.00188968,0.07926677,388,0.09536082,1.98640851,0.06997702
h4,bear,1,rsi_cross50_down+bb_expand,308,0.09415584,1.88879809,56,0.00000000,0.00000000,0.00000000,50,0.18000000,5.65928090,0.09770193,414,0.09178744,1.91197330,0.06760322
h4,bear,1,di_strong_bear+atr_expand,2257,0.09348693,1.87537943,431,0.09048724,1.73664528,0.06689956,421,0.08788599,2.76317489,0.06443298,3109,0.09231264,1.92291348,0.08263455
h4,bear,1,di_cross_down+breakout20_down,300,0.09333333,1.87229824,81,0.09876543,1.89552167,0.05090012,34,0.05882353,1.84943820,0.01628266,415,0.09156627,1.90736614,0.06743852
h4,bear,1,volatility+atr_expand,2864,0.09287709,1.86314595,605,0.10413223,1.99852212,0.08224061,491,0.07739308,2.43327307,0.05690261,3960,0.09267677,1.93049840,0.08403562
h4,bear,1,rsi_cross50_down+atr_expand,493,0.09127789,1.83106536,74,0.04054054,0.77806041,0.01388243,68,0.11764706,3.69887640,0.06083493,635,0.08818898,1.83701571,0.06853699
h4,bear,1,price20_cross_down+bb_expand,288,0.09027778,1.81100276,54,0.00000000,0.00000000,0.00000000,42,0.21428571,6.73723917,0.11705800,384,0.09114583,1.89860836,0.06626639
h4,bear,1,macd_bear+atr_expand,2630,0.08973384,1.80009119,500,0.08400000,1.61214118,0.06274414,431,0.08352668,2.62611643,0.06094200,3561,0.08817748,1.83677620,0.07930256
