timeframe,direction,horizon_bars,conditions,discovery_samples,discovery_hit_rate,discovery_lift,validation_samples,validation_hit_rate,validation_lift,validation_wilson95_lower,oos_samples,oos_hit_rate,oos_lift,oos_wilson95_lower
d1,bear,10,atr_expand+mtf_di_strong_bear+impulse_bear,233,0.81545064,1.13920627,38,0.92105263,1.25479640,0.79200629,54,0.87037037,1.27423718,0.75578270
d1,bear,10,atr_expand+mtf_rsi40,281,0.81494662,1.13850213,54,0.88888889,1.21097812,0.77805299,79,0.74683544,1.09337992,0.64105741
d1,bear,10,atr_expand+mtf_di_strong_bear,368,0.81250000,1.13508414,71,0.85915493,1.17047005,0.75978251,101,0.78217822,1.14512235,0.69215486
d1,bear,10,atr_expand+mtf_adx_rising+structure_lh,213,0.81220657,1.13467421,42,0.85714286,1.16772890,0.72158911,69,0.72463768,1.06088202,0.60952703
d1,bear,10,atr_expand+mtf_di_strong_bear+range_expand,280,0.80714286,1.12760007,44,0.88636364,1.20753784,0.76020848,71,0.78873239,1.15471778,0.68025022
d1,bear,10,macd_bear+atr_expand,392,0.80612245,1.12617453,96,0.86458333,1.17786543,0.78198861,99,0.77777778,1.13868003,0.68638479
d1,bear,10,rsi_down3+atr_expand,335,0.80597015,1.12596176,59,0.89830508,1.22380627,0.79536186,91,0.78021978,1.14225517,0.68476076
d1,bear,10,volatility+adx_up3,853,0.80539273,1.12515510,142,0.81690141,1.11290594,0.74523413,189,0.85185185,1.24712575,0.79421606
d1,bear,10,atr_expand+mtf_di_strong_bear+structure_lh,287,0.80487805,1.12443607,55,0.85454545,1.16419033,0.73839087,85,0.75294118,1.10231882,0.65165447
d1,bear,10,atr_expand+mtf_price200_bear+impulse_bear,201,0.80099502,1.11901138,30,0.90000000,1.22611534,0.74378917,50,0.82000000,1.20049409,0.69203946
d1,bear,10,adx25+atr_expand,323,0.79566563,1.11156608,47,0.80851064,1.10147478,0.67455995,69,0.79710145,1.16697022,0.68775960
d1,bear,10,adx_rising+atr_expand,401,0.79551122,1.11135036,97,0.86597938,1.17976734,0.78410006,114,0.71052632,1.04022274,0.62149339
d1,bear,10,bb_lower+mtf_volatility,1247,0.79390537,1.10910695,248,0.76209677,1.03824283,0.70535877,226,0.74336283,1.08829596,0.68268216
d1,bear,10,adx_up3+mtf_rsi40,620,0.79193548,1.10635496,99,0.81818182,1.11465031,0.73081206,151,0.68874172,1.00832972,0.61098126
d1,bear,10,atr_expand+mtf_di_bear,430,0.79069767,1.10462571,83,0.84337349,1.14897020,0.75024865,108,0.77777778,1.13868003,0.69059916
d1,bear,10,atr_expand+mtf_trend_bear+structure_lh,186,0.79032258,1.10410169,40,0.77500000,1.05582155,0.62496903,44,0.63636364,0.93164730,0.48866377
d1,bear,10,breakout20_down+mtf_volatility,386,0.79015544,1.10386819,72,0.84722222,1.15421352,0.74677711,71,0.80281690,1.17533774,0.69580318
d1,bear,10,mtf_volatility+structure_breakout20_down,386,0.79015544,1.10386819,72,0.84722222,1.15421352,0.74677711,71,0.80281690,1.17533774,0.69580318
d1,bear,10,atr_expand+mtf_price200_bear+structure_lh,266,0.78947368,1.10291576,50,0.82000000,1.11712731,0.69203946,76,0.69736842,1.02095935,0.58665798
d1,bear,10,adx_up3+structure_ll,492,0.78861789,1.10172019,91,0.76923077,1.04796183,0.67283329,101,0.67326733,0.98567494,0.57691616
d1,bear,10,atr_expand+mtf_price20_bear,420,0.78809524,1.10099004,75,0.85333333,1.16253899,0.75615232,104,0.77884615,1.14024415,0.68995597
d1,bear,10,atr_expand+mtf_ema20_falling,420,0.78809524,1.10099004,75,0.85333333,1.16253899,0.75615232,104,0.77884615,1.14024415,0.68995597
d1,bear,10,adx_up3+mtf_macd_bear+structure_ll,363,0.78787879,1.10068765,57,0.73684211,1.00383712,0.61023421,75,0.65333333,0.95649123,0.54054746
d1,bear,20,rsi40+atr_expand,236,0.91525424,1.15022556,50,0.90000000,1.07931034,0.78639769,70,0.81428571,1.05501086,0.70774422
d1,bear,20,atr_expand+mtf_price200_bear+structure_ll,223,0.91479821,1.14965246,51,0.90196078,1.08166178,0.79021765,58,0.82758621,1.07224335,0.71091743
d1,bear,20,atr_expand+mtf_di_strong_bear+structure_ll,242,0.91322314,1.14767303,48,0.93750000,1.12428161,0.83164562,63,0.84126984,1.08997224,0.73188423
d1,bear,20,atr_expand+mtf_price20_bear+structure_ll,251,0.91235060,1.14657648,49,0.93877551,1.12581124,0.83479512,64,0.84375000,1.09318560,0.73571938
d1,bear,20,bb_lower+atr_expand,275,0.90545455,1.13791002,55,0.90909091,1.09021247,0.80422505,85,0.80000000,1.03650190,0.70284629
d1,bear,20,atr_expand+mtf_macd_bear+structure_ll,243,0.90534979,1.13777837,48,0.95833333,1.14926564,0.86024344,62,0.85483871,1.10755243,0.74656606
d1,bear,20,atr_expand+structure_ll,272,0.90441176,1.13659952,59,0.91525424,1.09760374,0.81648205,64,0.84375000,1.09318560,0.73571938
d1,bear,20,atr_expand+mtf_adx_rising+impulse_bear,194,0.90206186,1.13364633,32,1.00000000,1.19923372,0.89282080,51,0.88235294,1.14320063,0.76619156
d1,bear,20,atr_expand+mtf_adx_rising+structure_ll,201,0.90049751,1.13168037,40,0.95000000,1.13927203,0.83496123,58,0.86206897,1.11692015,0.75074091
d1,bear,20,atr_expand+mtf_price200_bear+impulse_bear,201,0.89552239,1.12542800,30,0.96666667,1.15925926,0.83329609,50,0.86000000,1.11423954,0.73813806
d1,bear,20,adx_up3+mtf_macd_bear+structure_ll,363,0.88980716,1.11824551,57,0.84210526,1.00988102,0.72636823,75,0.78666667,1.01922687,0.68120034
d1,bear,20,atr_expand+mtf_rsi40,281,0.88967972,1.11808535,54,0.96296296,1.15481765,0.87464823,79,0.81012658,1.04962218,0.71007358
d1,bear,20,adx_up3+mtf_rsi40,620,0.88870968,1.11686627,99,0.88888889,1.06598553,0.81191091,151,0.80794702,1.04679828,0.73779363
d1,bear,20,atr_expand+mtf_di_strong_bear+impulse_bear,233,0.88841202,1.11649219,38,0.97368421,1.16767493,0.86505124,54,0.88888889,1.15166878,0.77805299
d1,bear,20,atr_expand+mtf_di_strong_bear+range_expand,280,0.88214286,1.10861357,44,0.97727273,1.17197840,0.88192290,71,0.83098592,1.07664810,0.72740872
d1,bear,20,adx_up3+structure_ll,492,0.88211382,1.10857708,91,0.87912088,1.05427140,0.79638502,101,0.80198020,1.03906750,0.71383591
d1,bear,20,atr_expand+mtf_di_strong_bear,368,0.88043478,1.10646698,71,0.94366197,1.13167125,0.86390394,101,0.82178218,1.06472349,0.73579442
d1,bear,20,di_spread_down3+atr_expand,342,0.88011696,1.10606756,57,0.98245614,1.17819453,0.90709251,95,0.81052632,1.05014008,0.72026403
d1,bear,20,adx_up3+breakout20_down,250,0.88000000,1.10592058,32,0.87500000,1.04932950,0.71931695,49,0.83673469,1.08409638,0.70963662
d1,bear,20,adx_up3+structure_breakout20_down,250,0.88000000,1.10592058,32,0.87500000,1.04932950,0.71931695,49,0.83673469,1.08409638,0.70963662
d1,bear,20,adx_up3+mtf_price20_bear+structure_breakout20_down,250,0.88000000,1.10592058,32,0.87500000,1.04932950,0.71931695,49,0.83673469,1.08409638,0.70963662
d1,bear,20,adx_up3+mtf_price200_bear+structure_breakout20_down,250,0.88000000,1.10592058,32,0.87500000,1.04932950,0.71931695,49,0.83673469,1.08409638,0.70963662
d1,bear,20,adx_up3+mtf_di_strong_bear+structure_breakout20_down,249,0.87951807,1.10531493,32,0.87500000,1.04932950,0.71931695,49,0.83673469,1.08409638,0.70963662
d1,bear,20,adx_up3+mtf_price20_bear+structure_ll,463,0.87904968,1.10472628,82,0.89024390,1.06761050,0.80438763,96,0.80208333,1.03920112,0.71144833
d1,bear,20,adx_up3+mtf_di_strong_bear+structure_ll,454,0.87885463,1.10448115,79,0.88607595,1.06261215,0.79745207,95,0.80000000,1.03650190,0.70862656
d1,bear,20,adx_up3+mtf_adx_rising+structure_ll,330,0.87878788,1.10439727,57,0.87719298,1.05195940,0.76753552,73,0.80821918,1.04715089,0.70344497
d1,bear,20,adx_up3+mtf_trend_bear+structure_breakout20_down,246,0.87804878,1.10346843,32,0.87500000,1.04932950,0.71931695,46,0.82608696,1.07030088,0.69276646
d1,bear,20,adx_up3+mtf_price200_bear+structure_ll,459,0.87799564,1.10340165,87,0.88505747,1.06139076,0.80119418,98,0.79591837,1.03121363,0.70568967
d1,bear,20,adx_up3+atr_expand,229,0.87772926,1.10306687,38,0.92105263,1.10455737,0.79200629,60,0.70000000,0.90693916,0.57491292
d1,bear,20,adx_up3+mtf_trend_bear+structure_ll,448,0.87723214,1.10244213,85,0.88235294,1.05814740,0.79681397,91,0.78021978,1.01087411,0.68476076
