timeframe,direction,horizon_bars,conditions,discovery_samples,discovery_hit_rate,discovery_lift,validation_samples,validation_hit_rate,validation_lift,validation_wilson95_lower,oos_samples,oos_hit_rate,oos_lift,oos_wilson95_lower
h4,bull,1,atr_expand+mtf_adx_rising,2496,0.08253205,1.65562087,458,0.07860262,1.50855381,0.05731476,371,0.08625337,2.71184470,0.06175890
h4,bull,1,atr_expand+mtf_price200_bull+close_near_high,862,0.08236659,1.65230165,127,0.08661417,1.66231280,0.04905186,140,0.05000000,1.57202247,0.02442827
h4,bull,1,adx25+di_cross_up,681,0.08223201,1.64960197,154,0.10389610,1.99399032,0.06496888,106,0.00943396,0.29660801,0.00166727
h4,bull,1,atr_expand+mtf_trend_bull+structure_hh,742,0.08221024,1.64916528,138,0.13043478,2.50332481,0.08412360,72,0.05555556,1.74669164,0.02181422
h4,bull,1,breakout20_up+mtf_di_strong_bull+range_expand,1657,0.08207604,1.64647315,394,0.07868020,1.51004280,0.05598100,293,0.03071672,0.96574759,0.01624274
h4,bull,1,adx_up3+range_expand,4973,0.08204303,1.64581098,1184,0.07770270,1.49128246,0.06378349,990,0.05757576,1.81020769,0.04470309
h4,bull,1,bb_expand+mtf_price20_bull+range_expand,3938,0.08202133,1.64537564,965,0.06839378,1.31262420,0.05411876,833,0.03601441,1.13230910,0.02534180
h4,bull,1,macd_cross_up+mtf_adx_rising+structure_breakout20_up,244,0.08196721,1.64429002,62,0.06451613,1.23820367,0.02537291,35,0.05714286,1.79659711,0.01581316
h4,bull,1,atr_expand+mtf_trend_bull+pullback_bull,806,0.08188586,1.64265797,123,0.08130081,1.56033796,0.04475887,126,0.07142857,2.24574639,0.03803114
h4,bull,1,atr_expand+range_expand,3434,0.08182877,1.64151283,688,0.08139535,1.56215230,0.06321198,510,0.07843137,2.46591760,0.05812465
h4,bull,1,atr_expand+mtf_price20_bull+range_expand,1902,0.08149317,1.63478046,333,0.06906907,1.32558441,0.04646201,303,0.08250825,2.59409649,0.05650931
h4,bull,1,rsi_cross55_up+price200_cross_up,381,0.08136483,1.63220600,97,0.09278351,1.78071559,0.04958322,53,0.03773585,1.18643205,0.01041029
h4,bull,3,atr_expand+mtf_volatility,1172,0.29266212,1.82303536,192,0.34375000,2.09112803,0.28022437,172,0.25000000,2.07458482,0.19122773
h4,bull,3,adx_up3+mtf_trend_bull+structure_breakout20_up,820,0.25000000,1.55728677,188,0.19680851,1.19724158,0.14629192,134,0.15671642,1.30048600,0.10484593
h4,bull,3,adx_cross25_up+atr_expand,196,0.24489796,1.52550540,38,0.07894737,0.48025907,0.02721460,38,0.21052632,1.74701879,0.11074792
h4,bull,3,mtf_adx25+mtf_volatility,11657,0.23436562,1.45989790,1838,0.20130577,1.22459966,0.18360596,2194,0.19234275,1.59612542,0.17639383
h4,bull,3,adx_up3+mtf_trend_bull+structure_hh,1590,0.23207547,1.44563224,380,0.17631579,1.07257859,0.14129385,259,0.13127413,1.08935728,0.09548341
h4,bull,3,volatility+mtf_volatility,9620,0.23160083,1.44267564,1647,0.32240437,1.96127656,0.30026724,1395,0.23082437,1.91545896,0.20947027
h4,bull,3,adx_up3+mtf_trend_bull+range_expand,2232,0.23073477,1.43728080,521,0.19769674,1.20264491,0.16576518,568,0.16021127,1.32948745,0.13234368
h4,bull,3,adx_up3+atr_expand,1626,0.22755228,1.41745659,337,0.19584570,1.19138452,0.15700375,330,0.19090909,1.58422841,0.15215703
h4,bull,3,body_bull+mtf_volatility,3533,0.22615341,1.40874286,664,0.25000000,1.52082039,0.21856587,668,0.19610778,1.62736893,0.16777166
h4,bull,3,adx25+mtf_volatility,11278,0.22468523,1.39959733,1982,0.26337033,1.60215589,0.24445025,1979,0.21374432,1.77372284,0.19624635
h4,bull,3,breakout20_up+mtf_trend_bull+impulse_bull,1736,0.22465438,1.39940516,415,0.18554217,1.12870525,0.15108593,356,0.15730337,1.30535674,0.12316620
h4,bull,3,mtf_volatility+impulse_bull,4049,0.22375895,1.39382742,758,0.25593668,1.55693485,0.22615536,731,0.21477428,1.78226986,0.18653590
h4,bull,3,breakout20_up+mtf_volatility,1437,0.22338205,1.39147962,272,0.22058824,1.34190034,0.17539294,264,0.18939394,1.57165516,0.14671352
h4,bull,3,mtf_volatility+structure_breakout20_up,1437,0.22338205,1.39147962,272,0.22058824,1.34190034,0.17539294,264,0.18939394,1.57165516,0.14671352
h4,bull,3,adx_up3+mtf_trend_bull+impulse_bull,1147,0.22319093,1.39028915,256,0.19921875,1.21190374,0.15489814,280,0.21071429,1.74857863,0.16702492
h4,bull,3,mtf_price200_bull+mtf_volatility,12886,0.22287754,1.38833698,2129,0.19210897,1.16865296,0.17593498,2553,0.20368194,1.69022186,0.18851033
h4,bull,3,macd_cross_up+mtf_trend_bull+structure_breakout20_up,238,0.22268908,1.38716300,54,0.12962963,0.78857353,0.06423721,43,0.18604651,1.54387707,0.09741751
h4,bull,3,mtf_volatility+pullback_bull,9884,0.22258195,1.38649571,1962,0.24974516,1.51927011,0.23109301,1706,0.19695193,1.63437397,0.17877007
h4,bull,3,mtf_trend_bull+mtf_volatility,10188,0.21996466,1.37019224,1648,0.19053398,1.15907185,0.17230133,1919,0.19332986,1.60431676,0.17628071
h4,bull,3,bb_expand+mtf_volatility,5030,0.21988072,1.36966932,996,0.27108434,1.64908235,0.24439653,903,0.20487265,1.70010273,0.17982415
h4,bull,3,adx_up3+mtf_trend_bull+close_near_high,1492,0.21983914,1.36941035,353,0.18130312,1.10291790,0.14461326,371,0.18598383,1.54335690,0.14968138
h4,bull,3,body_expand+mtf_volatility,6625,0.21871698,1.36242024,1278,0.25821596,1.57080040,0.23497101,1136,0.19278169,1.59976787,0.17089268
h4,bull,3,rsi_up1+mtf_volatility,4734,0.21715251,1.35267494,931,0.25993555,1.58126115,0.23278917,859,0.21769499,1.80650692,0.19138756
h4,bull,3,adx_up3+mtf_price200_bull+structure_breakout20_up,1182,0.21573604,1.34385152,283,0.19081272,1.16076750,0.14929213,203,0.13300493,1.10372000,0.09304386
h4,bull,3,price20_cross_up+mtf_volatility,1290,0.21550388,1.34240534,245,0.25714286,1.56427240,0.20645932,221,0.19004525,1.57705995,0.14378573
h4,bull,3,mtf_trend_bull+breakout20_up+cross_group_bull,1425,0.21543860,1.34199870,361,0.18559557,1.12903009,0.14887556,316,0.17721519,1.47059177,0.13906485
h4,bull,3,breakout20_up+mtf_trend_bull+range_expand,1477,0.21530129,1.34114338,366,0.18579235,1.13022717,0.14928291,304,0.14802632,1.22837259,0.11250564
h4,bull,3,adx_up3+mtf_price200_bull+range_expand,2860,0.21503497,1.33948442,673,0.17682021,1.07564711,0.14985391,708,0.15395480,1.27756918,0.12924410
h4,bull,3,adx_up3+mtf_volatility,4001,0.21419645,1.33426119,705,0.29219858,1.77752624,0.25982712,753,0.21381142,1.77427971,0.18601839
h4,bull,3,bb_expand+mtf_trend_bull+structure_breakout20_up,1352,0.21375740,1.33152626,334,0.16167665,0.98352456,0.12607819,305,0.13770492,1.14272213,0.10351684
h4,bull,3,rsi_up3+mtf_volatility,5637,0.21270179,1.32495074,1083,0.26962142,1.64018302,0.24404062,974,0.20636550,1.71249096,0.18212738
h4,bull,3,volatility+mtf_trend_bull,11318,0.21213995,1.32145097,2559,0.18679172,1.13630660,0.17216466,2160,0.18240741,1.51367855,0.16669006
h4,bull,3,di_spread_up3+mtf_volatility,5950,0.21193277,1.32016041,1112,0.27068345,1.64664365,0.24539128,1013,0.21026654,1.74486304,0.18629071
h4,bull,3,bb_expand+mtf_trend_bull+range_expand,3271,0.21186182,1.31971841,800,0.19125000,1.16342759,0.16549788,756,0.14021164,1.16352376,0.11727632
h4,bull,3,macd_rising+mtf_volatility,11659,0.21168196,1.31859808,2141,0.26623073,1.61955651,0.24793966,1977,0.20839656,1.72934536,0.19106676
h4,bull,3,macd_accel_up+mtf_volatility,11659,0.21168196,1.31859808,2141,0.26623073,1.61955651,0.24793966,1977,0.20839656,1.72934536,0.19106676
h4,bull,3,mtf_adx_rising+mtf_volatility,10972,0.21153846,1.31770419,2008,0.24402390,1.48446611,0.22573816,1945,0.20925450,1.73646482,0.19175860
h4,bull,3,di_cross_up+mtf_volatility,904,0.21128319,1.31611404,185,0.21081081,1.28242151,0.15822188,151,0.19205298,1.59372079,0.13717929
h4,bull,3,mtf_volatility,22922,0.21093273,1.31393099,4310,0.24756381,1.50600033,0.23490727,3968,0.19480847,1.61658676,0.18278308
h4,bull,3,atr_expand+mtf_trend_bull+range_expand,1627,0.21081746,1.31321293,292,0.21232877,1.29165567,0.16931364,292,0.19863014,1.64830026,0.15691232
h4,bull,3,mtf_volatility+structure_hl,11891,0.21074762,1.31277795,2208,0.24637681,1.49877951,0.22885430,2082,0.18683958,1.55045820,0.17067892
h4,bull,3,mtf_macd_rising+mtf_volatility,11795,0.21068249,1.31237223,2278,0.23617208,1.43670126,0.21918378,2197,0.18297679,1.51840345,0.16736708
h4,bull,3,breakout20_up+mtf_price200_bull+impulse_bull,2445,0.21063395,1.31206983,564,0.17198582,1.04623814,0.14308719,535,0.14953271,1.24087316,0.12181749
h4,bull,3,breakout20_up+mtf_trend_bull+structure_hl,2116,0.21030246,1.31000494,528,0.16666667,1.01388026,0.13730982,454,0.14317181,1.18808822,0.11394398
h4,bull,3,rsi_cross50_up+mtf_volatility,1123,0.21015138,1.30906385,226,0.27433628,1.66886485,0.22030235,201,0.17910448,1.48626972,0.13226931
h4,bull,3,breakout20_up+mtf_rsi60,2157,0.21001391,1.30820752,469,0.17910448,1.08954296,0.14705222,380,0.11578947,0.96086034,0.08739459
h4,bull,3,mtf_rsi60+structure_breakout20_up,2157,0.21001391,1.30820752,469,0.17910448,1.08954296,0.14705222,380,0.11578947,0.96086034,0.08739459
h4,bull,3,adx_up3+mtf_price200_bull+structure_hh,2287,0.20988194,1.30738548,573,0.16753927,1.01918853,0.13919682,393,0.11959288,0.99242225,0.09113835
h4,bull,3,atr_expand+mtf_trend_bull,2370,0.20970464,1.30628105,379,0.22427441,1.36432436,0.18516820,401,0.19451372,1.61414080,0.15874603
h4,bull,3,volatility+mtf_adx25,10494,0.20964361,1.30590085,1814,0.18853363,1.14690314,0.17119936,1602,0.19912609,1.65241587,0.18030075
h4,bull,3,breakout20_up+mtf_trend_bull,2446,0.20932134,1.30389342,609,0.16748768,1.01887474,0.13993475,509,0.14145383,1.17383188,0.11385920
h4,bull,3,mtf_trend_bull+structure_breakout20_up,2446,0.20932134,1.30389342,609,0.16748768,1.01887474,0.13993475,509,0.14145383,1.17383188,0.11385920
h4,bull,3,breakout20_up+mtf_trend_bull+structure_hh,2446,0.20932134,1.30389342,609,0.16748768,1.01887474,0.13993475,509,0.14145383,1.17383188,0.11385920
h4,bull,3,breakout20_up+mtf_trend_bull+structure_breakout20_up,2446,0.20932134,1.30389342,609,0.16748768,1.01887474,0.13993475,509,0.14145383,1.17383188,0.11385920
h4,bull,3,bb_expand+mtf_trend_bull+impulse_bull,1730,0.20924855,1.30344002,418,0.16746411,1.01873136,0.13473223,394,0.14974619,1.24264471,0.11790274
h4,bull,3,macd_accel_up+mtf_trend_bull+structure_breakout20_up,2288,0.20891608,1.30136901,564,0.16666667,1.01388026,0.13818617,494,0.14170040,1.17587803,0.11370635
h4,bull,3,mtf_macd_bull+mtf_volatility,11189,0.20824024,1.29715906,2013,0.24987581,1.52006489,0.23145147,1782,0.15824916,1.31320520,0.14204098
h4,bull,3,adx25+volatility,13559,0.20768493,1.29369999,2791,0.21390183,1.30122504,0.19908747,2339,0.16460026,1.36590877,0.15012466
h4,bull,3,atr_expand+mtf_price200_bull+range_expand,2102,0.20742150,1.29205905,355,0.19154930,1.16524830,0.15400176,368,0.17934783,1.48828911,0.14352609
h4,bull,3,bb_expand+mtf_trend_bull+structure_hh,2409,0.20713989,1.29030485,598,0.17056856,1.03761658,0.14254763,505,0.12277228,1.01880601,0.09696394
h4,bull,3,atr_expand+mtf_price200_bull+structure_hh,985,0.20710660,1.29009746,166,0.21686747,1.31926588,0.16096288,121,0.13223140,1.09730106,0.08305918
h4,bull,3,macd_bull+mtf_volatility,11888,0.20701548,1.28952986,2227,0.24651998,1.49965046,0.22906669,2144,0.18470149,1.53271565,0.16884452
h4,bull,3,mtf_volatility+close_near_high,5271,0.20660216,1.28695526,996,0.24799197,1.50860496,0.22217490,972,0.18827160,1.56234165,0.16494040
h4,bull,3,atr_expand+mtf_price200_bull,3055,0.20654664,1.28660943,460,0.20434783,1.24310536,0.17001951,513,0.18323587,1.52055339,0.15215516
h4,bull,3,adx_up3+mtf_trend_bull,6089,0.20627361,1.28490864,1437,0.17466945,1.06256344,0.15591284,1428,0.17507003,1.45279049,0.15623840
h4,bull,3,adx25+atr_expand,2444,0.20621931,1.28457043,473,0.19450317,1.18321755,0.16135230,347,0.12680115,1.05223898,0.09582989
h4,bull,3,adx_up3+mtf_price200_bull+impulse_bull,1504,0.20611702,1.28393324,342,0.19005848,1.15617924,0.15200768,368,0.19021739,1.57848845,0.15339823
h4,bull,3,bb_bull+mtf_volatility,11822,0.20563356,1.28092172,2284,0.23423818,1.42493679,0.21732423,2137,0.16471689,1.36687666,0.14959463
h4,bull,3,atr_expand+mtf_rsi60,1369,0.20525931,1.27859045,197,0.22335025,1.35870248,0.17079852,194,0.16494845,1.36879823,0.11933107
h4,bull,3,bb_expand+mtf_di_strong_bull+structure_breakout20_up,1528,0.20484293,1.27599675,354,0.19209040,1.16853996,0.15444559,294,0.11904762,0.98789753,0.08685593
h4,bull,3,adx_up3+mtf_trend_bull+structure_hl,3266,0.20453154,1.27405702,793,0.17150063,1.04328662,0.14686416,752,0.16888298,1.40144825,0.14380392
h4,bull,3,mtf_volatility+range_expand,8716,0.20422212,1.27212962,1628,0.25859951,1.57313362,0.23791554,1480,0.19459459,1.61481196,0.17522660
h4,bull,3,atr_expand+mtf_price200_bull+close_near_high,862,0.20417633,1.27184441,127,0.25984252,1.58069520,0.19141968,140,0.16428571,1.36329859,0.11203834
h4,bull,3,di_bull+mtf_volatility,10789,0.20400408,1.27077141,2083,0.23571771,1.43393722,0.21798702,1724,0.16357309,1.35738496,0.14686424
h4,bull,3,adx_rising+mtf_volatility,10662,0.20380792,1.26954948,1981,0.25441696,1.54769000,0.23572590,1791,0.20268007,1.68190796,0.18470793
h4,bull,3,di_strong_bull+mtf_volatility,7730,0.20375162,1.26919879,1471,0.23181509,1.41019647,0.21096560,1214,0.15403624,1.27824501,0.13482415
h4,bull,3,atr_expand+mtf_adx25,1886,0.20307529,1.26498586,283,0.17314488,1.05328903,0.13351681,262,0.18320611,1.52030643,0.14105799
h4,bull,3,breakout20_up+mtf_price200_bull+range_expand,2086,0.20278044,1.26314919,493,0.17241379,1.04884165,0.14163537,456,0.14254386,1.18287731,0.11343685
h4,bull,3,ema20_slope_up3+mtf_volatility,11773,0.20266712,1.26244329,2257,0.23083739,1.40424886,0.21391970,2085,0.16642686,1.38106653,0.15105581
h4,bull,3,mtf_volatility+mtf_bb_bull,11296,0.20237252,1.26060820,2243,0.21756576,1.32351377,0.20098173,1840,0.15434783,1.28083063,0.13856179
h4,bull,6,atr_expand+mtf_volatility,1172,0.46075085,1.57547130,192,0.46875000,1.65457086,0.39947015,172,0.37209302,1.61525085,0.30338948
h4,bull,6,adx_cross25_up+atr_expand,196,0.40306122,1.37820991,38,0.23684211,0.83599370,0.12993707,38,0.23684211,1.02812842,0.12993707
h4,bull,6,atr_expand+mtf_di_strong_bull+structure_breakout20_up,375,0.39466667,1.34950592,75,0.44000000,1.55309052,0.33331457,48,0.22916667,0.99480944,0.13307826
h4,bull,6,adx_up3+atr_expand,1626,0.39360394,1.34587207,337,0.37685460,1.33020296,0.32677757,330,0.26969697,1.17075095,0.22466669
h4,bull,6,macd_cross_up+mtf_trend_bull+structure_breakout20_up,238,0.39075630,1.33613500,54,0.33333333,1.17658372,0.22241417,43,0.32558140,1.41334449,0.20493297
h4,bull,6,adx_up3+mtf_trend_bull+structure_breakout20_up,820,0.38780488,1.32604302,188,0.35106383,1.23916796,0.28643881,134,0.27611940,1.19863064,0.20746374
h4,bull,6,atr_expand+mtf_adx_rising+close_near_high,737,0.38534600,1.31763524,105,0.33333333,1.17658372,0.25045910,113,0.16814159,0.72990041,0.11036732
h4,bull,6,atr_expand+mtf_trend_bull+range_expand,1627,0.38475722,1.31562200,292,0.34931507,1.23299527,0.29690986,292,0.32191781,1.39744091,0.27094070
h4,bull,6,atr_expand+mtf_trend_bull,2370,0.38185654,1.30570354,379,0.36411609,1.28523921,0.31726024,401,0.30673317,1.33152459,0.26360999
h4,bull,6,atr_expand+mtf_price200_bull+impulse_bull,955,0.38010471,1.29971341,147,0.36054422,1.27263137,0.28738815,150,0.27333333,1.18653635,0.20834143
h4,bull,6,atr_expand+mtf_price200_bull+close_near_high,862,0.37935035,1.29713397,127,0.38582677,1.36187250,0.30570174,140,0.23571429,1.02323257,0.17305134
h4,bull,6,atr_expand+mtf_macd_bull+structure_breakout20_up,425,0.37882353,1.29533259,76,0.28947368,1.02177008,0.19961017,50,0.24000000,1.04183680,0.14297391
h4,bull,6,atr_expand+mtf_price200_bull+range_expand,2102,0.37868696,1.29486563,355,0.34084507,1.20309829,0.29347717,368,0.30163043,1.30937369,0.25698502
h4,bull,6,atr_expand+mtf_rsi60,1369,0.37764792,1.29131276,197,0.32994924,1.16463871,0.26809271,194,0.26288660,1.14118721,0.20597847
h4,bull,6,atr_expand+mtf_trend_bull+impulse_bull,735,0.37687075,1.28865534,122,0.36065574,1.27302501,0.28090393,112,0.27678571,1.20152309,0.20237780
h4,bull,6,mtf_price200_bull+mtf_volatility,12886,0.37676548,1.28829540,2129,0.34147487,1.20532133,0.32163344,2553,0.33411673,1.45039625,0.31608138
h4,bull,6,volatility+mtf_volatility,9620,0.37619543,1.28634617,1647,0.45962356,1.62235679,0.43567676,1395,0.35483871,1.54035010,0.33016076
h4,bull,6,mtf_adx25+mtf_volatility,11657,0.37565411,1.28449523,1838,0.32644178,1.15225827,0.30538599,2194,0.31768459,1.37906459,0.29853626
h4,bull,6,atr_expand+mtf_price200_bull+structure_breakout20_up,458,0.37554585,1.28412505,81,0.40740741,1.43804677,0.30696278,60,0.25000000,1.08524666,0.15776523
h4,bull,6,di_cross_up+mtf_volatility,904,0.37500000,1.28225859,185,0.38378378,1.35466126,0.31674757,151,0.32450331,1.40866454,0.25498497
h4,bull,6,atr_expand+mtf_price200_bull,3055,0.37479542,1.28155904,460,0.35652174,1.25843303,0.31410518,513,0.29239766,1.26929434,0.25469544
h4,bull,6,atr_expand+mtf_adx_rising+structure_breakout20_up,385,0.37402597,1.27892804,71,0.35211268,1.24287013,0.25122748,43,0.25581395,1.11048496,0.14929517
h4,bull,6,mtf_volatility+impulse_bull,4049,0.37342554,1.27687494,758,0.39709763,1.40165581,0.36286797,731,0.34610123,1.50242083,0.31250033
h4,bull,6,body_bull+mtf_volatility,3533,0.37333711,1.27657256,664,0.38403614,1.35555203,0.34781000,668,0.33682635,1.46215868,0.30200907
h4,bull,6,atr_expand+mtf_adx_rising+impulse_bull,828,0.37318841,1.27606410,145,0.32413793,1.14412624,0.25334644,105,0.24761905,1.07491098,0.17494984
h4,bull,6,atr_expand+mtf_price200_bull+structure_hh,985,0.37258883,1.27401394,166,0.36746988,1.29707724,0.29789887,121,0.24793388,1.07627768,0.17954720
h4,bull,6,atr_expand+mtf_di_strong_bull+close_near_high,612,0.37254902,1.27387781,91,0.41758242,1.47396203,0.32161298,84,0.23809524,1.03356825,0.15974691
h4,bull,6,mtf_trend_bull+mtf_volatility,10188,0.37210444,1.27235762,1648,0.33616505,1.18657897,0.31376200,1919,0.31787389,1.37988633,0.29742150
h4,bull,6,atr_expand+mtf_trend_bull+close_near_high,676,0.37130178,1.26961304,108,0.39814815,1.40536389,0.31085681,104,0.24038462,1.04350641,0.16845379
h4,bull,6,mtf_macd_bull+adx_up3+atr_expand,765,0.37124183,1.26940806,148,0.25000000,0.88243779,0.18716127,168,0.27976190,1.21444270,0.21739040
h4,bull,6,adx_up3+mtf_trend_bull+range_expand,2232,0.36962366,1.26387495,521,0.32821497,1.15851718,0.28928019,568,0.31161972,1.35273704,0.27490317
h4,bull,6,atr_expand+mtf_trend_bull+structure_breakout20_up,339,0.36873156,1.26082457,66,0.42424242,1.49747019,0.31242510,34,0.26470588,1.14908470,0.14601191
h4,bull,6,atr_expand+mtf_price20_bull+structure_breakout20_up,481,0.36798337,1.25826622,95,0.40000000,1.41190047,0.30722900,65,0.24615385,1.06855056,0.15757987
h4,bull,6,adx_up3+mtf_trend_bull+impulse_bull,1147,0.36704446,1.25505577,256,0.35156250,1.24092815,0.29566191,280,0.31785714,1.37981362,0.26609555
h4,bull,6,di_spread_up3+mtf_volatility,5950,0.36672269,1.25395551,1112,0.39208633,1.38396719,0.36380978,1013,0.35241856,1.52984426,0.32360796
h4,bull,6,mtf_trend_bull+breakout20_up+cross_group_bull,1425,0.36631579,1.25256418,361,0.34626039,1.22221301,0.29903207,316,0.31962025,1.38746725,0.27063461
h4,bull,6,mtf_volatility+pullback_bull,9884,0.36554027,1.24991239,1962,0.38990826,1.37627913,0.36856212,1706,0.32590856,1.41476470,0.30407965
h4,bull,6,macd_cross_up+mtf_price200_bull+structure_breakout20_up,323,0.36532508,1.24917658,72,0.31944444,1.12755940,0.22325610,65,0.27692308,1.20211938,0.18293584
h4,bull,6,price200_cross_up+mtf_volatility,386,0.36528497,1.24903945,85,0.40000000,1.41190047,0.30236232,75,0.30666667,1.33123591,0.21386867
h4,bull,6,body_expand+mtf_volatility,6625,0.36528302,1.24903277,1278,0.39123631,1.38096681,0.36484405,1136,0.33802817,1.46737577,0.31110726
h4,bull,6,atr_expand+mtf_trend_bull+structure_hh,742,0.36522911,1.24884843,138,0.37681159,1.33005117,0.30033039,72,0.25000000,1.08524666,0.16439051
h4,bull,6,price20_cross_up+mtf_volatility,1290,0.36511628,1.24846262,245,0.37959184,1.33986473,0.32112662,221,0.34389140,1.49282799,0.28441318
h4,bull,6,rsi_up1+mtf_volatility,4734,0.36480777,1.24740773,931,0.40279270,1.42175799,0.37174961,859,0.35972061,1.56154235,0.32831694
h4,bull,6,rsi_up3+mtf_volatility,5637,0.36420082,1.24533233,1083,0.39704524,1.40147092,0.36831796,974,0.34394251,1.49304983,0.31477591
h4,bull,6,adx25+atr_expand,2444,0.36333879,1.24238475,473,0.33615222,1.18653369,0.29505189,347,0.21613833,0.93825360,0.17606407
h4,bull,6,mtf_macd_bull+mtf_volatility,11189,0.36330324,1.24226321,2013,0.38996523,1.37648021,0.36888737,1782,0.28226712,1.22531778,0.26185466
h4,bull,6,atr_expand+mtf_macd_bull+close_near_high,713,0.36325386,1.24209434,103,0.23300971,0.82246629,0.16187608,93,0.21505376,0.93354552,0.14375022
h4,bull,6,mtf_volatility+structure_hl,11891,0.36287949,1.24081424,2208,0.38088768,1.34443874,0.36085611,2082,0.32853026,1.42614547,0.30868739
h4,bull,6,breakout20_up+mtf_trend_bull+impulse_bull,1736,0.36232719,1.23892573,415,0.33012048,1.16524316,0.28661581,356,0.26404494,1.14621558,0.22094755
h4,bull,6,adx_up3+mtf_trend_bull+structure_hh,1590,0.36226415,1.23871018,380,0.31052632,1.09608063,0.26609448,259,0.28957529,1.25704247,0.23773163
h4,bull,6,atr_expand+mtf_adx_rising+structure_hh,828,0.36111111,1.23476753,158,0.33544304,1.18403046,0.26650326,87,0.18390805,0.79834237,0.11649467
h4,bull,6,bb_expand+mtf_trend_bull+structure_breakout20_up,1352,0.36094675,1.23420550,334,0.28443114,1.00397114,0.23871314,305,0.26885246,1.16708494,0.22219704
h4,bull,6,rsi_cross50_up+mtf_volatility,1123,0.36064114,1.23316053,226,0.41150442,1.45250823,0.34934644,201,0.33830846,1.46859250,0.27647750
h4,bull,6,macd_rising+mtf_volatility,11659,0.36049404,1.23265754,2141,0.38907053,1.37332215,0.36863535,1977,0.33383915,1.44919130,0.31339152
h4,bull,6,macd_accel_up+mtf_volatility,11659,0.36049404,1.23265754,2141,0.38907053,1.37332215,0.36863535,1977,0.33383915,1.44919130,0.31339152
h4,bull,6,breakout20_up+mtf_volatility,1437,0.36047321,1.23258631,272,0.34558824,1.21984048,0.29157671,264,0.33333333,1.44699555,0.27921806
h4,bull,6,mtf_volatility+structure_breakout20_up,1437,0.36047321,1.23258631,272,0.34558824,1.21984048,0.29157671,264,0.33333333,1.44699555,0.27921806
h4,bull,6,atr_expand+mtf_macd_bull+structure_hh,880,0.36022727,1.23174537,146,0.26027397,0.91870236,0.19589557,96,0.26041667,1.13046528,0.18305900
h4,bull,6,rsi_cross55_up+mtf_volatility,1025,0.36000000,1.23096824,194,0.41237113,1.45556749,0.34545767,186,0.33870968,1.47033419,0.27457149
h4,bull,6,adx_up3+mtf_trend_bull+close_near_high,1492,0.35991957,1.23069323,353,0.30594901,1.07992387,0.26018107,371,0.28301887,1.22858113,0.23958615
h4,bull,6,atr_expand+mtf_price20_bull+close_near_high,768,0.35937500,1.22883114,114,0.36842105,1.30043464,0.28551141,113,0.24778761,1.07564271,0.17736019
h4,bull,6,macd_cross_up+mtf_di_strong_bull+structure_breakout20_up,298,0.35906040,1.22775542,69,0.31884058,1.12542791,0.22094760,46,0.30434783,1.32116985,0.19079841
h4,bull,6,adx25+mtf_volatility,11278,0.35884022,1.22700254,1982,0.39455096,1.39266671,0.37325755,1979,0.35320869,1.53327422,0.33245328
h4,bull,6,adx_rising+atr_expand,3127,0.35881036,1.22690044,620,0.38064516,1.34358270,0.34327163,565,0.25132743,1.09100904,0.21732059
h4,bull,6,bb_expand+mtf_volatility,5030,0.35864811,1.22634565,996,0.40562249,1.43174646,0.37554784,903,0.33333333,1.44699555,0.30334976
h4,bull,6,atr_expand+mtf_adx25,1886,0.35843054,1.22560170,283,0.33215548,1.17242618,0.27985207,262,0.31297710,1.35862941,0.25987264
h4,bull,6,bb_expand+mtf_trend_bull+impulse_bull,1730,0.35780347,1.22345752,418,0.31100478,1.09776950,0.26851850,394,0.26649746,1.15686193,0.22524858
h4,bull,6,di_bull+mtf_volatility,10789,0.35740106,1.22208153,2083,0.36341815,1.28277563,0.34303164,1724,0.28364269,1.23128914,0.26286397
h4,bull,6,mtf_volatility+mtf_bb_bull,11296,0.35738314,1.22202028,2243,0.35800267,1.26366036,0.33842086,1840,0.27717391,1.20320826,0.25720236
h4,bull,6,adx_up3+mtf_price200_bull+structure_breakout20_up,1182,0.35702200,1.22078539,283,0.33922261,1.19737142,0.28654402,203,0.23645320,1.02644020,0.18323581
h4,bull,6,adx_up3+mtf_price200_bull+range_expand,2860,0.35699301,1.22068626,673,0.31797920,1.12238745,0.28391357,708,0.29096045,1.26305544,0.25870312
h4,bull,6,mtf_volatility,22922,0.35681878,1.22009051,4310,0.38561485,1.36112447,0.37119145,3968,0.32358871,1.40469427,0.30920862
h4,bull,6,mtf_macd_rising+mtf_volatility,11795,0.35667656,1.21960421,2278,0.37181738,1.31242285,0.35220244,2197,0.31087847,1.34951929,0.29186841
h4,bull,6,mtf_volatility+close_near_high,5271,0.35666856,1.21957687,996,0.36746988,1.29707724,0.33809106,972,0.31069959,1.34874277,0.28239947
h4,bull,6,mtf_volatility+structure_hh,5538,0.35662694,1.21943455,1097,0.36827712,1.29992659,0.34024019,980,0.31224490,1.35545094,0.28401195
h4,bull,6,atr_expand+mtf_price20_bull+structure_hh,960,0.35625000,1.21814566,166,0.37349398,1.31834080,0.30354942,111,0.22522523,0.97769970,0.15746530
h4,bull,6,price200_bull+mtf_volatility,11246,0.35585986,1.21681163,2371,0.34036272,1.20139570,0.32156220,1925,0.28259740,1.22675155,0.26293176
