timeframe,horizon_bars,conditions,discovery_n,oos_n,discovery_lift,oos_lift,oos_pairs_n_ge5,oos_pairs_above_base,oos_pair_hit_mean,oos_min_pair_hit
h4,3,trend_bull+pin_bull+cross_group_bull,292,59,1.74928103,1.52082039,4,3,0.16637223,0.09090909
h4,3,adx25+horizontal_resistance_near+mtf_trend_bull+cross_group_bull,905,126,1.74829100,1.12215873,8,4,0.17059071,0.00000000
h4,3,sma_stack_bull+pin_bull+mtf_trend_bull+cross_group_bull,193,45,1.74287016,1.27552677,4,3,0.18286713,0.07692308
h4,3,sma_stack_bull+adx25+elliott_wave5_bull+mtf_trend_bull,738,102,1.73875921,1.22407494,8,4,0.10490915,0.00000000
h4,3,sma_stack_bull+adx25+horizontal_break_up+mtf_trend_bull,848,103,1.73358338,1.34093840,8,3,0.09497620,0.00000000
h4,3,atr_expand+mtf_volatility+cross_target_relative_up,514,70,1.73301173,2.21210238,9,7,0.24101732,0.00000000
h4,3,trend_bull+pin_bull+mtf_trend_bull+cross_group_bull,241,58,1.73175458,1.55981578,4,3,0.16864496,0.10000000
h4,6,volatility+pin_bull+mtf_volatility,246,36,2.16837224,1.80792133,4,4,0.46825397,0.40000000
h4,6,ichimoku_cloud_bull+pin_bull+mtf_volatility,235,36,2.12436600,1.76487559,4,4,0.43700397,0.37500000
h4,6,pin_bull+mtf_volatility,488,86,1.99696009,1.93977317,4,4,0.45225528,0.36000000
h4,6,ichimoku_cloud_bull+volatility+pin_bull,243,59,1.94185662,1.60443235,4,4,0.50625843,0.41666667
h4,6,ichimoku_cloud_bull+volatility+pin_bull+mtf_trend_bull,184,52,1.93267961,1.33558152,4,4,0.51871958,0.45454545
h4,6,pin_bull+mtf_volatility+cross_group_bull,211,47,1.89604113,1.49033938,4,4,0.39696970,0.30000000
h4,6,pin_bull+mtf_volatility+cross_group_return_up,250,53,1.88748464,1.58478624,4,4,0.40815781,0.37500000
h4,6,volatility+pin_bull+mtf_trend_bull,299,69,1.88693571,1.15629780,4,4,0.52341137,0.47826087
h4,6,ichimoku_cloud_bull+volatility+pin_bull+mtf_price200_bull,209,52,1.88146395,1.32365669,4,4,0.49546784,0.40000000
h4,6,volatility+pin_bull,479,82,1.87743359,1.57207405,4,4,0.47158027,0.43478261
h4,6,price200_bull+pin_bull+mtf_volatility,232,23,1.87180276,1.76487559,2,2,0.47727273,0.45454545
h4,6,pin_bull+mtf_volatility+cross_target_relative_up,234,44,1.84119181,1.57578177,4,4,0.47649573,0.44444444
h4,6,volatility+pin_bull+mtf_price200_bull,352,71,1.81653300,1.21335197,4,4,0.46696429,0.40000000
h4,6,volatility+pin_bull+cross_group_bull,202,40,1.81124315,1.42428556,4,4,0.48611111,0.44444444
h4,6,sma_stack_bull+atr_expand+mtf_volatility+cross_group_return_up,164,19,1.77222731,1.68814186,1,0,0.16666667,0.16666667
h4,6,sma_stack_bull+volatility+pin_bull,157,19,1.76412646,0.88243779,2,2,0.42222222,0.40000000
h4,6,volatility+pin_bull+mtf_price200_bull+cross_group_return_up,174,34,1.74898106,1.35759660,4,4,0.52857143,0.40000000
h4,6,volatility+pin_bull+cross_target_relative_up,204,46,1.72643966,1.59941850,4,4,0.49038462,0.38461538
h4,6,volatility+pin_bull+cross_group_return_up,235,43,1.71695334,1.50448411,4,4,0.48795094,0.42857143
h4,6,sma_stack_bull+atr_expand+mtf_volatility,359,49,1.71444045,1.59408117,5,2,0.34555556,0.08333333
h4,6,price200_bull+volatility+pin_bull+mtf_trend_bull,213,28,1.70165146,1.17658372,2,2,0.45000000,0.40000000
h4,6,pin_bull+elliott_pullback_bull+mtf_trend_bull,156,39,1.68775916,2.11785070,4,4,0.37380952,0.26666667
h4,6,volatility+pin_bull+mtf_price200_bull+cross_target_relative_up,152,39,1.68718235,1.60443235,3,3,0.47202797,0.45454545
h4,6,price200_bull+atr_expand+mtf_volatility+cross_group_bull,230,38,1.67994458,1.58838803,5,3,0.36666667,0.20000000
h4,6,price200_bull+atr_expand+mtf_volatility+cross_group_return_up,269,44,1.67789971,1.53467442,5,3,0.33333333,0.20000000
h4,6,ichimoku_cloud_bull+pin_bull,793,172,1.67733868,1.58915204,4,4,0.44520677,0.42857143
h4,6,ichimoku_cloud_bull+pin_bull+mtf_trend_bull+cross_group_return_up,287,85,1.65606451,1.51975398,4,4,0.47230849,0.43478261
h4,6,ichimoku_cloud_bull+pin_bull+cross_target_relative_up,362,80,1.65300370,1.67032868,4,4,0.43091245,0.29411765
h4,6,ichimoku_cloud_bull+pin_bull+mtf_price200_bull,665,163,1.65054639,1.38022321,4,4,0.43802333,0.41666667
h4,6,price200_bull+volatility+pin_bull,253,28,1.64885952,1.33005117,2,2,0.45000000,0.40000000
h4,6,ichimoku_cloud_bull+pin_bull+mtf_trend_bull+cross_group_bull,241,73,1.64583121,1.42243704,4,4,0.46058529,0.41176471
h4,6,ichimoku_cloud_bull+pin_bull+mtf_trend_bull,551,146,1.64451797,1.41705339,4,4,0.45113643,0.41935484
h4,6,pin_bull+elliott_pullback_bull+mtf_price200_bull,183,46,1.64428059,1.88253396,4,4,0.33858543,0.23529412
h4,6,ichimoku_cloud_bull+pin_bull+elliott_pullback_bull,150,36,1.64129099,2.18508406,4,4,0.39437229,0.27272727
h4,6,atr_expand+elliott_impulse_bull+mtf_volatility,171,23,1.63969129,1.17658372,1,1,0.40000000,0.40000000
h4,6,pin_bull+elliott_pullback_bull,247,49,1.61969505,2.00830670,4,4,0.37479575,0.23529412
h4,6,ichimoku_cloud_bull+pin_bull+mtf_price200_bull+cross_group_return_up,340,93,1.61916574,1.46355536,4,4,0.44602823,0.40909091
h4,6,pin_bull+mtf_price200_bull,1027,250,1.61811794,1.37019877,4,4,0.41579030,0.37931034
h4,6,pin_bull+cross_target_relative_up,625,136,1.61393614,1.47964317,4,4,0.41959459,0.37837838
h4,6,price200_bull+volatility+pin_bull+mtf_price200_bull,238,28,1.60910881,1.13456288,2,2,0.45000000,0.40000000
h4,6,ichimoku_cloud_bull+pin_bull+cross_group_return_up,406,99,1.60861340,1.72038292,4,4,0.45058374,0.40740741
h4,6,ichimoku_cloud_bull+pin_bull+mtf_price200_bull+cross_target_relative_up,309,73,1.60455227,1.45342695,4,4,0.40972222,0.26666667
h4,6,pin_bull+mtf_trend_bull,829,199,1.60449888,1.35625907,4,4,0.42732790,0.40000000
h4,6,pin_bull+mtf_trend_bull+cross_group_bull,363,104,1.59193169,1.24789183,4,4,0.43623188,0.36666667
h4,6,ichimoku_cloud_bull+pin_bull+mtf_price200_bull+cross_group_bull,282,78,1.58842435,1.38328086,4,4,0.43735676,0.40909091
h4,6,price200_bull+atr_expand+mtf_volatility,539,90,1.58597228,1.57712286,8,5,0.33624292,0.00000000
h4,6,ichimoku_cloud_bull+atr_expand+mtf_volatility+cross_group_bull,205,30,1.58457971,1.71717625,2,1,0.31428571,0.20000000
h4,6,pin_bull+mtf_price200_bull+cross_group_bull,437,130,1.58057199,1.20926661,4,4,0.40952381,0.33333333
h4,6,pin_bull+mtf_trend_bull+cross_group_return_up,435,113,1.57997839,1.37268101,4,4,0.45002444,0.39393939
h4,6,ichimoku_cloud_bull+pin_bull+cross_group_bull,340,83,1.57893802,1.69827651,4,4,0.43438057,0.40909091
h4,6,pin_bull+mtf_price200_bull+cross_target_relative_up,475,122,1.57650319,1.29214105,4,4,0.40505952,0.37500000
h4,6,atr_expand+mtf_volatility,1172,172,1.57547130,1.65457086,11,8,0.39936327,0.14285714
h4,6,pin_bull+mtf_price200_bull+cross_group_return_up,530,144,1.57419419,1.32365669,4,4,0.42346679,0.38461538
h4,6,pin_bull+cross_group_return_up,685,162,1.57240469,1.51539056,4,4,0.41156738,0.35714286
h4,6,atr_expand+mtf_volatility+cross_target_relative_up,514,70,1.56332434,1.76487559,9,7,0.34220779,0.00000000
h4,6,pin_bull+cross_group_bull,569,146,1.56244749,1.46902939,4,4,0.39453427,0.31250000
h4,6,ichimoku_cloud_bull+pin_bull+mtf_trend_bull+cross_target_relative_up,254,65,1.56159576,1.48621102,4,4,0.43365385,0.38461538
h4,6,price200_bull+pin_bull+elliott_pullback_bull,167,35,1.55611421,1.81530060,4,4,0.41666667,0.33333333
h4,6,ichimoku_cloud_bull+atr_expand+mtf_volatility+cross_group_return_up,242,36,1.55425283,1.59679220,3,1,0.25714286,0.14285714
h4,6,price200_bull+pin_bull+elliott_pullback_bull+mtf_price200_bull,154,34,1.55425283,1.89093813,4,4,0.41666667,0.33333333
h4,6,sma_stack_bull+pin_bull+cross_group_return_up,291,47,1.55104819,1.01480346,4,4,0.40008429,0.27272727
h4,6,ichimoku_cloud_bull+atr_expand+mtf_volatility,569,93,1.55042866,1.80017310,8,6,0.41481175,0.06250000
h4,6,sma_stack_bull+volatility+engulf_bull+mtf_volatility,212,26,1.54838773,1.10304724,2,2,0.61428571,0.42857143
h4,6,sma_stack_bull+atr_expand+mtf_volatility+cross_target_relative_up,166,22,1.54488986,1.56877830,1,0,0.16666667,0.16666667
h4,6,sma_stack_bull+pin_bull+cross_group_bull,235,45,1.54234792,0.91870236,4,4,0.37447552,0.27272727
h4,6,sma_stack_bull+pin_bull+mtf_trend_bull+cross_group_bull,193,45,1.54136783,0.85397206,4,4,0.37447552,0.27272727
h4,6,price200_bull+atr_expand+mtf_volatility+cross_target_relative_up,278,38,1.53748032,1.59837789,3,2,0.22619048,0.00000000
h4,6,pin_bull+mtf_trend_bull+cross_target_relative_up,373,95,1.52175103,1.28001966,4,4,0.40621878,0.35714286
h4,6,sma_stack_bull+pin_bull+mtf_trend_bull+cross_group_return_up,237,47,1.51490466,0.96265941,4,4,0.40008429,0.27272727
h4,6,pin_bull+elliott_pullback_bull+cross_group_return_up,163,31,1.51039048,2.26266101,4,4,0.34794372,0.27272727
h4,6,sma_stack_bull+pin_bull,538,93,1.50629633,1.22971976,4,4,0.37435818,0.28000000
h4,6,price200_bull+pin_bull+mtf_trend_bull+cross_group_bull,309,78,1.50495937,1.23916796,4,4,0.40158730,0.33333333
h4,6,atr_expand+mtf_volatility+cross_group_return_up,505,77,1.50316254,1.46742464,8,5,0.28482143,0.00000000
h4,6,price200_bull+pin_bull+mtf_trend_bull+cross_group_return_up,374,86,1.49939685,1.38421615,4,4,0.40772372,0.34782609
h4,6,sma_stack_bull+pin_bull+mtf_price200_bull+cross_group_return_up,274,47,1.49752827,0.98048644,4,4,0.40008429,0.27272727
h4,6,ichimoku_cloud_bull+atr_expand+mtf_volatility+cross_target_relative_up,256,33,1.49596835,1.47072966,2,1,0.33333333,0.16666667
h4,6,price200_bull+pin_bull+mtf_price200_bull+cross_group_return_up,433,97,1.48461656,1.31982000,4,4,0.39560709,0.34615385
h4,6,price200_bull+pin_bull,841,152,1.48402500,1.40372344,4,4,0.38171373,0.32142857
h4,6,price200_bull+pin_bull+cross_group_return_up,468,98,1.48318229,1.41190047,4,4,0.39560709,0.34615385
h4,6,price200_bull+pin_bull+mtf_trend_bull,670,131,1.48001986,1.32840098,4,4,0.38058763,0.30434783
h4,6,price200_bull+pin_bull+mtf_price200_bull,781,150,1.47982382,1.32164199,4,4,0.38171373,0.32142857
h4,6,ichimoku_cloud_bull+volatility+engulf_bull+mtf_volatility,352,52,1.47654019,1.76487559,6,3,0.29126984,0.14285714
h4,6,sma_stack_bull+pin_bull+mtf_price200_bull+cross_group_bull,220,45,1.47654019,0.85569725,4,4,0.37447552,0.27272727
h4,6,atr_expand+mtf_volatility+cross_group_bull,422,71,1.47469866,1.42977263,8,5,0.29672619,0.00000000
h4,6,price200_bull+pin_bull+cross_group_bull,387,87,1.46670060,1.29894843,4,4,0.38695652,0.34782609
h4,6,sma_stack_bull+pin_bull+mtf_trend_bull,436,89,1.46655875,1.10678638,4,4,0.37435818,0.28000000
h4,6,sma_stack_bull+pin_bull+mtf_price200_bull,504,92,1.46543838,1.15940732,4,4,0.37435818,0.28000000
h4,6,price200_bull+volatility+engulf_bull+mtf_volatility,343,40,1.46543838,1.42170533,3,2,0.38888889,0.20000000
h4,6,price200_bull+pin_bull+mtf_price200_bull+cross_group_bull,356,86,1.45994985,1.18789703,4,4,0.38695652,0.34782609
h4,6,volatility+inside_2+mtf_trend_bull,293,49,1.45876972,1.76487559,5,5,0.53611111,0.33333333
h4,6,ichimoku_cloud_bull+horizontal_break_up+mtf_trend_bull+cross_group_return_up,853,178,1.44711324,1.25054042,7,4,0.25762065,0.13793103
h4,6,sma_stack_bull+stoch_recover_up+atr_expand,156,23,1.44665071,1.17658372,2,1,0.30000000,0.20000000
h4,6,ichimoku_cloud_bull+horizontal_break_up+mtf_trend_bull+cross_group_bull,720,154,1.44372818,1.27071042,7,5,0.28159931,0.14285714
h4,6,ichimoku_cloud_bull+atr_expand+horizontal_break_up+mtf_trend_bull,190,21,1.43972894,1.28354588,1,0,0.16666667,0.16666667
h4,6,price200_bull+pin_bull+mtf_price200_bull+cross_target_relative_up,385,74,1.43879405,1.23208296,4,3,0.34454887,0.20000000
h4,6,volatility+horizontal_break_up+mtf_trend_bull+cross_group_bull,302,77,1.43794119,1.78666417,7,5,0.44580601,0.14285714
h4,6,stoch_recover_up+atr_expand+mtf_price200_bull,298,50,1.43429372,1.29664329,5,4,0.34285714,0.20000000
h4,6,atr_expand+horizontal_break_up+mtf_trend_bull+cross_group_return_up,177,24,1.42956136,1.76487559,1,1,0.66666667,0.66666667
h4,6,ichimoku_cloud_bull+volatility+inside_2+mtf_trend_bull,194,32,1.42766935,2.04953294,4,4,0.60555556,0.40000000
h4,6,horizontal_break_up+elliott_wave5_bull+mtf_trend_bull+cross_group_bull,846,190,1.42675266,1.29483334,9,6,0.35355727,0.11538462
h4,6,price200_bull+pin_bull+cross_target_relative_up,413,75,1.42404182,1.36975419,4,3,0.34454887,0.20000000
h4,6,sma_stack_bull+horizontal_break_up+mtf_trend_bull+cross_group_bull,820,188,1.42195180,1.29006134,8,5,0.31352733,0.14285714
h4,6,volatility+engulf_bull+mtf_volatility+cross_target_relative_up,291,38,1.42179417,1.92531882,4,2,0.30000000,0.00000000
h4,6,sma_stack_bull+atr_expand+retest_up+mtf_trend_bull,222,25,1.41703051,1.45342695,3,1,0.31428571,0.00000000
h4,6,price200_bull+pin_bull+mtf_trend_bull+cross_target_relative_up,321,64,1.41674261,1.25772743,4,3,0.32450762,0.22222222
h4,6,horizontal_break_up+elliott_impulse_bull+mtf_trend_bull+cross_group_bull,945,205,1.41478125,1.25145723,9,6,0.36085230,0.11111111
h4,6,sma_stack_bull+atr_expand+elliott_impulse_bull+mtf_trend_bull,223,28,1.41067611,1.59408117,3,1,0.30833333,0.00000000
h4,6,ichimoku_cloud_bull+di_cross_up+volatility+mtf_volatility,187,15,1.40797021,1.87518031,1,0,0.00000000,0.00000000
h4,6,price200_bull+volatility+inside_2+mtf_trend_bull,224,26,1.40437845,1.64721721,3,3,0.48253968,0.33333333
h4,6,ichimoku_cloud_bull+horizontal_break_up+elliott_wave5_bull+mtf_trend_bull,974,198,1.40074244,1.09972147,8,4,0.21684460,0.07692308
h4,6,sma_stack_bull+atr_expand+horizontal_break_up+mtf_trend_bull,210,24,1.40030779,1.43396141,3,1,0.32222222,0.00000000
h4,6,atr_expand+elliott_impulse_bull+mtf_trend_bull+cross_group_bull,193,26,1.39963286,1.89401282,1,1,0.75000000,0.75000000
h4,6,ichimoku_cloud_bull+horizontal_break_up+elliott_impulse_bull+mtf_trend_bull,1097,218,1.39953596,1.07010556,8,4,0.23746516,0.07692308
h4,6,atr_expand+elliott_impulse_bull+mtf_trend_bull+cross_group_return_up,237,31,1.39948335,1.91194855,2,2,0.57500000,0.40000000
h4,6,ichimoku_cloud_bull+engulf_bull+mtf_volatility+cross_target_relative_up,333,55,1.39649383,1.47072966,5,4,0.38666667,0.11111111
h4,6,horizontal_break_up+elliott_wave5_bull+mtf_trend_bull+cross_group_return_up,977,222,1.39644128,1.21193173,9,5,0.33409161,0.08333333
h4,12,ichimoku_cloud_bull+pin_bull+mtf_volatility,235,36,1.65261645,1.44775499,4,4,0.51686508,0.42857143
h4,12,volatility+pin_bull+mtf_volatility,246,36,1.64296916,1.49189386,4,4,0.54603175,0.42857143
h4,12,pin_bull+mtf_volatility,488,86,1.58703237,1.65317968,4,4,0.60124587,0.55555556
h4,12,pin_bull+mtf_volatility+cross_group_return_up,250,53,1.58055469,1.48838076,4,4,0.52981914,0.42857143
h4,12,pin_bull+mtf_volatility+cross_group_bull,211,47,1.57306391,1.41156111,4,4,0.52196970,0.40000000
h4,12,stoch_cross_up+pin_bull+mtf_price200_bull,167,38,1.55486560,1.47877831,4,4,0.61190476,0.53333333
h4,12,stoch_cross_up+pin_bull,231,42,1.54438862,1.59253048,4,4,0.62386364,0.53333333
h4,12,ichimoku_bull+pin_bull+mtf_volatility,224,28,1.52209029,1.61453068,3,1,0.43518519,0.37500000
h4,12,pin_bull+mtf_volatility+cross_target_relative_up,234,44,1.51493947,1.59640840,4,4,0.60832570,0.53846154
h4,12,ichimoku_cloud_bull+volatility+pin_bull,243,59,1.49599826,1.28323737,4,4,0.62680499,0.58333333
h4,12,ichimoku_cloud_bull+volatility+pin_bull+mtf_trend_bull,184,52,1.47256648,1.20809284,4,4,0.63749847,0.61538462
h4,12,volatility+pin_bull,479,82,1.46600808,1.26526486,4,4,0.63352007,0.56000000
h4,12,ichimoku_cloud_bull+volatility+pin_bull+mtf_price200_bull,209,52,1.45847493,1.17630093,4,4,0.63527569,0.60000000
h4,12,volatility+pin_bull+mtf_trend_bull,299,69,1.45746323,1.01405252,4,4,0.66277871,0.56521739
h4,12,volatility+pin_bull+cross_group_bull,202,40,1.45312666,1.15566407,4,4,0.64791667,0.50000000
h4,12,ichimoku_bull+atr_expand+mtf_volatility+cross_group_return_up,241,42,1.43346098,0.92865863,4,2,0.35952381,0.16666667
h4,12,sma_stack_bull+atr_expand+mtf_volatility+cross_group_return_up,164,19,1.43186139,1.12515741,1,0,0.16666667,0.16666667
h4,12,sma_stack_bull+pin_bull+cross_group_bull,235,45,1.43162704,0.87014041,4,3,0.50839161,0.36363636
h4,12,volatility+pin_bull+mtf_price200_bull,352,71,1.42403872,1.02926331,4,4,0.66250000,0.58333333
h4,12,ichimoku_cloud_bull+pin_bull+mtf_price200_bull+cross_group_return_up,340,93,1.42117102,1.23368146,4,4,0.57903338,0.47826087
h4,12,ichimoku_cloud_bull+pin_bull,793,172,1.42081929,1.40545046,4,4,0.55874731,0.52500000
h4,12,ichimoku_cloud_bull+pin_bull+cross_group_return_up,406,99,1.41816131,1.42342297,4,4,0.57263761,0.47826087
h4,12,ichimoku_cloud_bull+pin_bull+mtf_trend_bull+cross_group_return_up,287,85,1.41612665,1.24165098,4,4,0.60924560,0.47826087
h4,12,ichimoku_cloud_bull+pin_bull+mtf_price200_bull,665,163,1.41587821,1.28186639,4,4,0.55676834,0.50000000
h4,12,sma_stack_bull+pin_bull+mtf_trend_bull+cross_group_bull,193,45,1.41559672,0.79684901,4,3,0.50839161,0.36363636
h4,12,ichimoku_cloud_bull+pin_bull+elliott_pullback_bull,150,36,1.41497277,1.68042989,4,4,0.58982684,0.45454545
h4,12,ichimoku_cloud_bull+pin_bull+mtf_trend_bull+cross_group_bull,241,73,1.41472293,1.22897112,4,4,0.58577326,0.41176471
h4,12,ichimoku_cloud_bull+pin_bull+cross_group_bull,340,83,1.41453004,1.44263321,4,4,0.55180481,0.41176471
h4,12,sma_stack_bull+pin_bull+cross_group_return_up,291,47,1.41217945,0.97044826,4,4,0.53533966,0.45454545
h4,12,ichimoku_bull+atr_expand+mtf_volatility+cross_group_bull,205,38,1.40983275,0.98025077,3,2,0.42380952,0.20000000
h4,12,ichimoku_cloud_bull+pin_bull+mtf_price200_bull+cross_group_bull,282,78,1.40920783,1.20809284,4,4,0.56540059,0.41176471
h4,12,pin_bull+elliott_pullback_bull+mtf_price200_bull,183,46,1.40658263,1.41156111,4,4,0.55234594,0.41176471
h4,12,sma_stack_bull+pin_bull+mtf_price200_bull+cross_group_bull,220,45,1.40607787,0.78420062,4,3,0.50839161,0.36363636
h4,12,volatility+pin_bull+cross_group_return_up,235,43,1.39319410,1.15701730,4,4,0.64740260,0.53333333
h4,12,sma_stack_bull+pin_bull+mtf_price200_bull+cross_group_return_up,274,47,1.39266810,0.91490072,4,4,0.53533966,0.45454545
h4,12,ichimoku_cloud_bull+pin_bull+cross_target_relative_up,362,80,1.39093802,1.57540303,4,3,0.55168559,0.35294118
h4,12,pin_bull+elliott_pullback_bull,247,49,1.38949863,1.66304614,4,4,0.57516340,0.41176471
h4,12,pin_bull+elliott_pullback_bull+mtf_trend_bull,156,39,1.38949863,1.59976926,4,4,0.55714286,0.40000000
h4,12,ichimoku_cloud_bull+pin_bull+mtf_trend_bull,551,146,1.38918340,1.30509300,4,4,0.56761319,0.51351351
h4,12,atr_expand+elliott_impulse_bull+mtf_volatility,171,23,1.38645148,0.94104074,1,1,0.60000000,0.60000000
h4,12,pin_bull+mtf_price200_bull,1027,250,1.38290290,1.23089717,4,4,0.57647107,0.51724138
h4,12,sma_stack_bull+pin_bull+mtf_trend_bull+cross_group_return_up,237,47,1.38143719,0.89113706,4,4,0.53533966,0.45454545
h4,12,pin_bull+mtf_trend_bull+cross_group_bull,363,104,1.38088603,1.11689179,4,4,0.59819499,0.48000000
h4,12,sma_stack_bull+pin_bull,538,93,1.37658507,1.12317766,4,4,0.51208978,0.44000000
h4,12,volatility+pin_bull+mtf_price200_bull+cross_group_return_up,174,34,1.37552378,1.08581624,4,4,0.75714286,0.57142857
h4,12,pin_bull+cross_group_return_up,685,162,1.37453870,1.29331515,4,4,0.56834876,0.48717949
h4,12,pin_bull+mtf_price200_bull+cross_group_bull,437,130,1.37439538,1.08916752,4,4,0.57857143,0.46666667
h4,12,ichimoku_cloud_bull+pin_bull+mtf_price200_bull+cross_target_relative_up,309,73,1.37375997,1.45307761,4,3,0.54166667,0.33333333
h4,12,pin_bull+cross_group_bull,569,146,1.37301512,1.29189119,4,4,0.55956805,0.43750000
h4,12,pin_bull+mtf_price200_bull+cross_group_return_up,530,144,1.37180218,1.13709089,4,4,0.58356596,0.50000000
h4,12,ichimoku_bull+pin_bull+mtf_trend_bull+cross_group_return_up,293,64,1.37171494,1.06427227,4,4,0.47723214,0.40000000
h4,12,stoch_cross_up+atr_expand+mtf_volatility,270,38,1.37148661,1.27167668,2,1,0.56666667,0.33333333
h4,12,pin_bull+mtf_trend_bull+cross_group_return_up,435,113,1.37033313,1.15451757,4,4,0.61009286,0.51612903
h4,12,sma_stack_bull+volatility+pin_bull,157,19,1.36626656,0.65350051,2,2,0.53333333,0.40000000
h4,12,ichimoku_bull+pin_bull+mtf_price200_bull+cross_group_return_up,362,82,1.36598846,1.04290598,4,2,0.43817873,0.35000000
h4,12,ichimoku_bull+pin_bull+cross_group_return_up,409,84,1.36359416,1.15762948,4,2,0.43327677,0.33333333
h4,12,ichimoku_bull+pin_bull+mtf_trend_bull+cross_group_bull,242,58,1.36222541,1.02926331,4,3,0.44866071,0.28571429
h4,12,pin_bull+mtf_trend_bull,829,199,1.36184274,1.22845220,4,4,0.57463713,0.50980392
h4,12,volatility+pin_bull+cross_target_relative_up,204,46,1.36140215,1.39685735,4,4,0.64423077,0.50000000
h4,12,sma_stack_bull+atr_expand+mtf_volatility,359,49,1.35853487,1.29013650,5,3,0.44222222,0.16666667
h4,12,pin_bull+cross_target_relative_up,625,136,1.35476116,1.43770113,4,4,0.60509291,0.48000000
h4,12,sma_stack_bull+pin_bull+mtf_price200_bull,504,92,1.35296915,1.08185341,4,4,0.51208978,0.44000000
h4,12,volatility+pin_bull+mtf_price200_bull+cross_target_relative_up,152,39,1.35179019,1.42581930,3,3,0.71421911,0.61538462
h4,12,ichimoku_bull+pin_bull+mtf_price200_bull+cross_group_bull,296,73,1.35018426,0.99332078,4,3,0.40882353,0.23529412
h4,12,ichimoku_bull+pin_bull+cross_group_bull,338,75,1.34941694,1.12603166,4,3,0.40310458,0.23529412
h4,12,sma_stack_bull+pin_bull+mtf_trend_bull,436,89,1.34647516,1.05667710,4,4,0.51208978,0.44000000
h4,12,pin_bull+elliott_pullback_bull+cross_group_return_up,163,31,1.34367927,1.87001686,4,4,0.58387446,0.45454545
h4,12,ichimoku_bull+pin_bull,710,134,1.33886021,1.25115644,4,4,0.47928571,0.40000000
h4,12,ichimoku_cloud_bull+atr_expand+mtf_volatility+cross_group_bull,205,30,1.33273252,1.14450901,2,2,0.41428571,0.40000000
h4,12,ichimoku_bull+pin_bull+mtf_price200_bull,617,131,1.33207202,1.13378402,4,4,0.48273399,0.41379310
h4,12,sma_stack_bull+stoch_recover_up+atr_expand,156,23,1.33160285,1.30700103,2,2,0.70000000,0.60000000
h4,12,pin_bull+mtf_price200_bull+cross_target_relative_up,475,122,1.33099342,1.30233317,4,4,0.58950893,0.42857143
h4,12,ichimoku_cloud_bull+pin_bull+mtf_trend_bull+cross_target_relative_up,254,65,1.32453683,1.48585380,4,4,0.54853480,0.38461538
h4,12,ichimoku_bull+pin_bull+cross_target_relative_up,356,66,1.31290056,1.31826828,4,3,0.49285714,0.33333333
h4,12,ichimoku_cloud_bull+stoch_recover_up+atr_expand+mtf_price200_bull,179,29,1.31187300,1.25472099,2,2,0.63333333,0.60000000
h4,12,sma_stack_bull+stoch_cross_up+elliott_pullback_bull+mtf_trend_bull,255,61,1.31048792,0.97014509,8,2,0.31845238,0.12500000
h4,12,sma_stack_bull+pin_bull+cross_target_relative_up,245,48,1.30868085,1.23662405,4,3,0.42381403,0.14285714
h4,12,sma_stack_bull+horizontal_break_up+mtf_volatility+cross_group_bull,316,64,1.30760175,1.02658990,5,4,0.53111111,0.13333333
h4,12,atr_expand+mtf_volatility,1172,172,1.30621170,1.29883227,11,8,0.47323476,0.25000000
h4,12,ichimoku_bull+atr_expand+mtf_volatility,479,72,1.30102324,1.14613936,6,4,0.46746032,0.16666667
h4,12,ichimoku_bull+pin_bull+mtf_trend_bull,495,102,1.30002334,1.15091314,4,4,0.48444414,0.38888889
h4,12,sma_stack_bull+horizontal_break_up+mtf_volatility+cross_group_return_up,365,68,1.29908604,0.95699058,5,4,0.53333333,0.11111111
h4,12,stoch_recover_up+atr_expand+mtf_price200_bull,298,50,1.29566084,1.15229478,5,5,0.65047619,0.50000000
h4,12,pin_bull+mtf_trend_bull+cross_target_relative_up,373,95,1.29543739,1.31849115,4,4,0.55881618,0.38461538
h4,12,sma_stack_bull+stoch_cross_up+atr_expand+mtf_trend_bull,292,43,1.29135339,1.04560082,6,2,0.31111111,0.10000000
h4,12,ichimoku_cloud_bull+atr_expand+mtf_volatility,569,93,1.28968183,1.41156111,8,4,0.46885580,0.12500000
h4,12,ichimoku_bull+pin_bull+mtf_price200_bull+cross_target_relative_up,305,65,1.28813356,1.13378402,4,3,0.49285714,0.33333333
h4,12,ichimoku_cloud_bull+atr_expand+mtf_volatility+cross_group_return_up,242,36,1.28758292,1.12028660,3,2,0.32380952,0.14285714
h4,12,ichimoku_bull+stoch_cross_up+elliott_pullback_bull+mtf_trend_bull,306,69,1.28392398,0.89826616,8,2,0.37005321,0.16666667
h4,12,atr_expand+mtf_volatility+cross_group_return_up,505,77,1.28322262,1.11021660,8,4,0.37633929,0.00000000
h4,12,sma_stack_bull+volatility+horizontal_break_up+mtf_volatility,227,39,1.28314383,1.35928107,4,2,0.56805556,0.22222222
h4,12,sma_stack_bull+pin_bull+mtf_price200_bull+cross_target_relative_up,229,47,1.28179731,1.14170384,4,3,0.42381403,0.14285714
h4,12,sma_stack_bull+stoch_cross_up+elliott_pullback_bull+cross_target_relative_up,194,37,1.28027257,0.99686519,2,1,0.25000000,0.00000000
