timeframe,period,from_target,to_target,condition,samples,exit_precision,baseline_exit_precision,lift,wilson95_lower,exit_price_from_target_pips_mean,future_mfe_from_exit_pips_mean,future_mae_from_exit_pips_mean,bars_after_target_mean
d1,validation,150,200,price200_bull,599,0.47078464,0.57772848,0.81488910,0.43112537,-13.79749583,77.38130217,-99.03322204,1.04841402
d1,oos,150,200,price200_bull,520,0.41730769,0.51495554,0.81037616,0.37568218,-8.45711538,72.56115385,-84.64442308,1.06730769
d1,discovery,150,200,mtf_trend_bull,2663,0.43109275,0.54684950,0.78832065,0.41239617,-4.62827638,87.96853173,-80.13661284,1.21066466
d1,validation,150,200,mtf_trend_bull,634,0.46845426,0.57772848,0.81085540,0.42991840,-9.91025237,75.95000000,-90.86782334,1.12460568
d1,oos,150,200,mtf_trend_bull,448,0.43303571,0.51495554,0.84091865,0.38791426,-1.82566964,68.58571429,-75.21250000,1.23437500
d1,discovery,150,200,mtf_adx_rising,3001,0.43018994,0.54684950,0.78666971,0.41257654,-8.57577474,80.00593136,-84.78847051,1.74075308
d1,validation,150,200,mtf_adx_rising,712,0.44101124,0.57772848,0.76335381,0.40495451,-18.89002809,77.30646067,-94.34283708,1.71769663
d1,oos,150,200,mtf_adx_rising,467,0.39186296,0.51495554,0.76096464,0.34864248,-7.29314775,71.37066381,-79.82655246,1.75374732
d1,discovery,150,200,false_break_up+adx_down3,67,0.41791045,0.54684950,0.76421474,0.30742301,0.24328358,83.73582090,-63.07313433,2.26865672
d1,validation,150,200,false_break_up+adx_down3,15,0.73333333,0.57772848,1.26933907,0.48049566,-25.46666667,69.68000000,-79.30000000,1.80000000
d1,oos,150,200,false_break_up+adx_down3,9,0.33333333,0.51495554,0.64730508,0.12058382,25.75555556,33.90000000,-107.05555556,3.22222222
d1,discovery,150,200,false_break_up,1561,0.38372838,0.54684950,0.70170747,0.35991800,17.89538757,73.16348495,-69.06604741,2.08199872
d1,validation,150,200,false_break_up,332,0.48192771,0.57772848,0.83417682,0.42869395,1.19668675,62.77680723,-72.58192771,1.99096386
d1,oos,150,200,false_break_up,248,0.45564516,0.51495554,0.88482428,0.39480897,4.79879032,59.40483871,-56.48064516,2.08064516
d1,discovery,150,200,bb_expand,1832,0.36026201,0.54684950,0.65879553,0.33859203,9.09939956,83.50343886,-74.55491266,1.42849345
d1,validation,150,200,bb_expand,440,0.41136364,0.57772848,0.71203627,0.36634490,-9.29159091,75.48545455,-86.07022727,1.41363636
d1,oos,150,200,bb_expand,304,0.41776316,0.51495554,0.81126064,0.36368643,0.18157895,63.75493421,-82.37828947,1.50986842
d1,discovery,150,200,mtf_di_strong_bull,2809,0.35421858,0.54684950,0.64774418,0.33674178,15.01569954,86.80320399,-83.52224991,1.33072268
d1,validation,150,200,mtf_di_strong_bull,649,0.35901387,0.57772848,0.62142317,0.32303611,9.72141757,81.31556240,-94.59691834,1.23882897
d1,oos,150,200,mtf_di_strong_bull,425,0.31294118,0.51495554,0.60770524,0.27069862,19.46729412,71.15858824,-73.87717647,1.32000000
d1,discovery,150,200,mtf_macd_bull,2715,0.35174954,0.54684950,0.64322915,0.33400861,11.37495396,87.17683241,-83.38040516,1.57384899
d1,validation,150,200,mtf_macd_bull,618,0.34627832,0.57772848,0.59937899,0.30982056,4.75744337,79.08300971,-99.19644013,1.50809061
d1,oos,150,200,mtf_macd_bull,446,0.32735426,0.51495554,0.63569422,0.28544040,7.93430493,73.62219731,-76.05426009,1.43049327
d1,discovery,200,300,price20_cross_down+di_spread_down3,241,0.97925311,0.65416656,1.49694769,0.95236127,-222.16390041,68.84522822,-58.26514523,3.08713693
d1,validation,200,300,price20_cross_down+di_spread_down3,83,1.00000000,0.70425876,1.41993264,0.95576469,-177.12409639,87.37349398,-54.63132530,3.00000000
d1,oos,200,300,price20_cross_down+di_spread_down3,43,0.97674419,0.67480577,1.44744492,0.87941007,-180.88837209,65.71162791,-150.76046512,2.95348837
d1,discovery,200,300,price20_cross_down,488,0.92622951,0.65416656,1.41589248,0.89956059,-177.46905738,87.92438525,-85.91168033,2.42418033
d1,validation,200,300,price20_cross_down,146,0.96575342,0.70425876,1.37130481,0.92234110,-170.84315068,84.59589041,-93.75342466,2.59589041
d1,oos,200,300,price20_cross_down,70,0.84285714,0.67480577,1.24903665,0.74011753,-145.43714286,100.02857143,-115.06428571,2.51428571
d1,discovery,200,300,rsi_down3,1331,0.92186326,0.65416656,1.40921796,0.90620038,-108.19564237,74.51014275,-81.08895567,2.63335838
d1,validation,200,300,rsi_down3,382,0.92931937,0.70425876,1.31957091,0.89911760,-125.00942408,82.00183246,-69.80628272,2.66753927
d1,oos,200,300,rsi_down3,195,0.92307692,0.67480577,1.36791498,0.87697474,-99.45179487,71.18974359,-80.33076923,2.61025641
d1,discovery,200,300,mtf_trend_bull+adx_down3+di_spread_down3,60,0.90000000,0.65416656,1.37579641,0.79850535,-159.58166667,74.32000000,-133.47166667,3.03333333
d1,validation,200,300,mtf_trend_bull+adx_down3+di_spread_down3,12,1.00000000,0.70425876,1.41993264,0.75750599,-73.00000000,25.66666667,-50.10833333,3.75000000
d1,oos,200,300,mtf_trend_bull+adx_down3+di_spread_down3,9,1.00000000,0.67480577,1.48190789,0.70085495,-56.58888889,26.78888889,-209.38888889,3.55555556
d1,discovery,200,300,di_spread_down3+macd_accel_down,1251,0.89688249,0.65416656,1.37103080,0.87879744,-106.50815348,72.94636291,-68.47226219,2.96322942
d1,validation,200,300,di_spread_down3+macd_accel_down,352,0.94602273,0.70425876,1.34328855,0.91724027,-132.40596591,82.39119318,-62.63352273,2.95170455
d1,oos,200,300,di_spread_down3+macd_accel_down,190,0.90526316,0.67480577,1.34151662,0.85523079,-93.85894737,69.15421053,-72.10473684,3.03684211
d1,discovery,200,300,adx_down3+di_spread_down3,166,0.89156627,0.65416656,1.36290408,0.83511740,-181.31385542,84.38072289,-98.87710843,3.21084337
d1,validation,200,300,adx_down3+di_spread_down3,44,1.00000000,0.70425876,1.41993264,0.91970440,-192.61818182,69.90000000,-30.56363636,3.50000000
d1,oos,200,300,adx_down3+di_spread_down3,23,0.95652174,0.67480577,1.41747712,0.79008845,-134.98260870,88.56956522,-116.41304348,3.52173913
d1,discovery,200,300,di_spread_down3,1325,0.88452830,0.65416656,1.35214541,0.86619753,-101.93826415,72.44852830,-67.96452830,2.95622642
d1,validation,200,300,di_spread_down3,356,0.94662921,0.70425876,1.34414972,0.91815302,-130.55617978,82.03707865,-63.41741573,2.92696629
d1,oos,200,300,di_spread_down3,202,0.88613861,0.67480577,1.31317581,0.83494501,-81.09207921,64.98069307,-77.34455446,3.04950495
d1,discovery,200,300,adx_down3+macd_accel_down,260,0.87307692,0.65416656,1.33464011,0.82711206,-136.68192308,84.51961538,-124.56269231,2.59230769
d1,validation,200,300,adx_down3+macd_accel_down,68,0.88235294,0.70425876,1.25288174,0.78465096,-140.74852941,91.80000000,-64.90294118,2.54411765
d1,oos,200,300,adx_down3+macd_accel_down,38,0.97368421,0.67480577,1.44291032,0.86505124,-84.52894737,75.83684211,-89.50526316,2.76315789
d1,discovery,200,300,strong_close_bear+adx_down3,148,0.84459459,0.65416656,1.29110024,0.77759603,-133.63243243,95.01418919,-130.52500000,2.12162162
d1,validation,200,300,strong_close_bear+adx_down3,44,0.79545455,0.70425876,1.12949187,0.65499422,-119.78409091,78.74545455,-74.55227273,2.20454545
d1,oos,200,300,strong_close_bear+adx_down3,16,0.56250000,0.67480577,0.83357319,0.33178556,-51.33125000,147.39375000,-74.53125000,1.87500000
d1,discovery,200,300,price20_cross_down+adx_down3,131,0.82442748,0.65416656,1.26027152,0.75030759,-120.49007634,105.68473282,-131.70992366,2.00763359
d1,validation,200,300,price20_cross_down+adx_down3,30,0.90000000,0.70425876,1.27793938,0.74378917,-147.58666667,94.04333333,-79.43000000,2.66666667
d1,oos,200,300,price20_cross_down+adx_down3,18,0.61111111,0.67480577,0.90561038,0.38619042,-83.21666667,155.42777778,-58.47777778,2.61111111
d1,discovery,200,300,strong_close_bear,1156,0.82266436,0.65416656,1.25757631,0.79958817,-71.40138408,82.32430796,-89.99333910,2.16262976
d1,validation,200,300,strong_close_bear,338,0.84911243,0.70425876,1.20568245,0.80704281,-104.80355030,88.55443787,-70.07781065,2.15680473
d1,oos,200,300,strong_close_bear,152,0.86184211,0.67480577,1.27717062,0.79801729,-89.15526316,78.90065789,-79.14078947,2.18421053
d1,discovery,200,300,ema20_slope_down3,467,0.81798715,0.65416656,1.25042643,0.78044377,-153.94817987,101.87259101,-115.11263383,1.97644540
d1,validation,200,300,ema20_slope_down3,127,0.80314961,0.70425876,1.14041834,0.72553981,-164.92440945,98.67874016,-110.22598425,2.33858268
d1,oos,200,300,ema20_slope_down3,62,0.69354839,0.67480577,1.02777483,0.57032784,-112.95161290,99.88870968,-75.45161290,1.90322581
d1,discovery,200,300,close_near_low,1412,0.80594901,0.65416656,1.23202417,0.78450289,-69.03526912,85.82627479,-85.58434844,2.10481586
d1,validation,200,300,close_near_low,386,0.82642487,0.70425876,1.17346765,0.78547429,-80.05725389,78.26994819,-90.55466321,2.08549223
d1,oos,200,300,close_near_low,198,0.84848485,0.67480577,1.25737640,0.79194537,-74.08232323,75.81616162,-80.26111111,2.08080808
d1,discovery,200,300,macd_accel_down,2193,0.72685819,0.65416656,1.11112098,0.70782492,-44.22266302,88.91226630,-86.08139535,2.07295942
d1,validation,200,300,macd_accel_down,549,0.84153005,0.70425876,1.19491599,0.80862374,-73.89781421,81.15792350,-86.65391621,2.12204007
d1,oos,200,300,macd_accel_down,297,0.78114478,0.67480577,1.15758462,0.73069489,-47.89562290,70.94478114,-85.63097643,2.14814815
d1,discovery,200,300,atr_expand,394,0.70558376,0.65416656,1.07859956,0.65876810,-36.93147208,92.30456853,-114.45583756,1.65228426
d1,validation,200,300,atr_expand,105,0.49523810,0.70425876,0.70320474,0.40147668,-39.89333333,103.16380952,-124.62571429,1.35238095
d1,oos,200,300,atr_expand,71,0.63380282,0.67480577,0.93923740,0.51757220,-16.70704225,33.27464789,-137.34647887,2.11267606
d1,discovery,200,300,adx_down3+structure_lh,362,0.67403315,0.65416656,1.03036932,0.62413918,-69.28701657,90.14281768,-110.21574586,2.01657459
d1,validation,200,300,adx_down3+structure_lh,79,0.72151899,0.70425876,1.02450836,0.61417550,-69.67721519,72.64810127,-92.68101266,2.24050633
d1,oos,200,300,adx_down3+structure_lh,64,0.75000000,0.67480577,1.11143092,0.63183724,-50.18750000,98.66250000,-90.62656250,2.18750000
d1,discovery,200,300,pullback_bull,2457,0.66910867,0.65416656,1.02284145,0.65025204,-26.32751323,93.75771266,-95.04798535,1.73504274
d1,validation,200,300,pullback_bull,623,0.70626003,0.70425876,1.00284167,0.66931758,-37.73354735,80.56725522,-104.88507223,1.59069021
d1,oos,200,300,pullback_bull,365,0.67397260,0.67480577,0.99876532,0.62428802,-28.34164384,84.15643836,-88.84383562,1.67397260
d1,discovery,200,300,structure_lh,2524,0.65451664,0.65416656,1.00053516,0.63574301,-27.16374802,95.46117274,-90.83427100,1.75198098
d1,validation,200,300,structure_lh,639,0.69327074,0.70425876,0.98439775,0.65644991,-40.18904538,81.51862285,-96.27245696,1.76838811
d1,oos,200,300,structure_lh,366,0.67486339,0.67480577,1.00008538,0.62527272,-23.21120219,84.26010929,-88.58469945,1.83333333
d1,discovery,200,300,nr4,2411,0.62463708,0.65416656,0.95485939,0.60512508,-16.90024886,89.49523019,-79.00253007,2.27789299
d1,validation,200,300,nr4,576,0.66319444,0.70425876,0.94169144,0.62362974,-38.69878472,77.00746528,-85.71475694,2.17013889
d1,oos,200,300,nr4,349,0.66189112,0.67480577,0.98086167,0.61073658,-6.43295129,72.66676218,-80.69054441,2.18624642
d1,discovery,200,300,adx_down3,469,0.60980810,0.65416656,0.93219089,0.56494003,-49.04541578,102.76545842,-122.19872068,1.65884861
d1,validation,200,300,adx_down3,96,0.72916667,0.70425876,1.03536755,0.63273653,-57.72500000,80.82500000,-95.21666667,1.91666667
d1,oos,200,300,adx_down3,75,0.70666667,0.67480577,1.04721491,0.59559555,-36.63600000,93.38133333,-92.97200000,1.86666667
d1,discovery,200,300,range_compression+adx_down3,418,0.60526316,0.65416656,0.92524320,0.55765035,-46.26626794,103.93444976,-122.46961722,1.69377990
d1,validation,200,300,range_compression+adx_down3,74,0.71621622,0.70425876,1.01697878,0.60482746,-42.55405405,81.77837838,-95.87432432,2.01351351
d1,oos,200,300,range_compression+adx_down3,65,0.66153846,0.67480577,0.98033907,0.54038377,-5.78307692,87.21538462,-95.92769231,1.81538462
d1,discovery,200,300,range_compression,2444,0.59288052,0.65416656,0.90631433,0.57327161,-13.51914894,103.59042553,-98.48702946,1.33674304
d1,validation,200,300,range_compression,586,0.68088737,0.70425876,0.96681420,0.64207335,-26.20802048,82.93259386,-101.65341297,1.46416382
d1,oos,200,300,range_compression,325,0.64615385,0.67480577,0.95754049,0.59273742,-10.11938462,74.42953846,-95.60369231,1.35384615
d1,discovery,200,300,volatility,1301,0.57263643,0.65416656,0.87536795,0.54558020,-18.83873943,112.72513451,-106.69892390,1.20368947
d1,validation,200,300,volatility,263,0.63117871,0.70425876,0.89623125,0.57136919,-45.80266160,96.25855513,-108.40646388,1.24714829
d1,oos,200,300,volatility,210,0.53333333,0.67480577,0.79035088,0.46586592,-7.22523810,84.06666667,-117.55666667,1.19523810
d1,discovery,200,300,price200_bull,2217,0.57013983,0.65416656,0.87155148,0.54942875,-3.38177718,105.48795670,-101.45629229,1.05818674
d1,validation,200,300,price200_bull,492,0.58130081,0.70425876,0.82540800,0.53724254,-5.25934959,83.51504065,-121.41951220,1.07520325
d1,oos,200,300,price200_bull,380,0.60263158,0.67480577,0.89304449,0.55263893,-11.61578947,84.93815789,-102.15210526,1.05000000
d1,discovery,200,300,mtf_trend_bull,2187,0.56927298,0.65416656,0.87022635,0.54841616,0.30123457,103.78189300,-94.88518519,1.14540466
d1,validation,200,300,mtf_trend_bull,536,0.60074627,0.70425876,0.85301923,0.55871031,-8.22145522,83.25820896,-112.22070896,1.15858209
d1,oos,200,300,mtf_trend_bull,327,0.60856269,0.67480577,0.90183386,0.55469478,-13.00428135,83.95657492,-100.03180428,1.11926606
d1,discovery,200,300,false_break_up,1270,0.54566929,0.65416656,0.83414428,0.51818853,31.15070866,86.91212598,-87.64157480,2.07322835
d1,validation,200,300,false_break_up,269,0.64684015,0.70425876,0.91846944,0.58802277,5.46802974,68.56505576,-91.64349442,2.01115242
d1,oos,200,300,false_break_up,166,0.54216867,0.67480577,0.80344404,0.46628048,3.27469880,80.40903614,-65.41566265,1.84939759
d1,discovery,200,300,mtf_adx_rising,2263,0.54043305,0.65416656,0.82613984,0.51984888,1.03159523,93.22925320,-95.87251436,1.79584622
d1,validation,200,300,mtf_adx_rising,566,0.56183746,0.70425876,0.79777134,0.52068099,-16.20282686,83.07332155,-107.87791519,1.71731449
d1,oos,200,300,mtf_adx_rising,317,0.55835962,0.67480577,0.82743753,0.50331956,-11.76813880,85.59905363,-88.26687697,1.80441640
d1,discovery,200,300,false_break_up+adx_down3,51,0.52941176,0.65416656,0.80929201,0.39523304,-2.88235294,116.19215686,-71.06862745,2.07843137
d1,validation,200,300,false_break_up+adx_down3,9,0.77777778,0.70425876,1.10439205,0.45258897,-21.16666667,99.10000000,-101.32222222,1.22222222
d1,oos,200,300,false_break_up+adx_down3,3,1.00000000,0.67480577,1.48190789,0.43850297,-3.80000000,45.50000000,-76.60000000,2.00000000
d1,discovery,200,300,mtf_di_strong_bull,2253,0.51753218,0.65416656,0.79113213,0.49688650,21.09689303,101.40501553,-94.93386596,1.32711940
d1,validation,200,300,mtf_di_strong_bull,548,0.52007299,0.70425876,0.73846862,0.47824986,19.97846715,83.24251825,-114.39197080,1.22445255
d1,oos,200,300,mtf_di_strong_bull,306,0.51633987,0.67480577,0.76516813,0.46049318,19.14803922,82.10424837,-92.66241830,1.39869281
d1,discovery,200,300,bb_expand,1619,0.50030883,0.65416656,0.76480344,0.47598158,22.07504632,95.62964793,-91.04156887,1.42865967
d1,validation,200,300,bb_expand,393,0.58778626,0.70425876,0.83461689,0.53849947,-13.79287532,80.21348601,-111.73562341,1.39949109
d1,oos,200,300,bb_expand,219,0.57077626,0.67480577,0.84583784,0.50455796,3.04200913,81.69908676,-105.34155251,1.39726027
d1,discovery,200,300,mtf_macd_bull,2064,0.48498062,0.65416656,0.74137178,0.46346762,23.45915698,101.11564922,-95.17781008,1.60174419
d1,validation,200,300,mtf_macd_bull,504,0.49603175,0.70425876,0.70433167,0.45257667,24.36567460,79.07400794,-115.58095238,1.50595238
d1,oos,200,300,mtf_macd_bull,285,0.48421053,0.67480577,0.71755540,0.42678708,12.82175439,84.28421053,-93.20842105,1.56491228
