timeframe,period,from_target,to_target,condition,samples,exit_precision,baseline_exit_precision,lift,wilson95_lower,exit_price_from_target_pips_mean,future_mfe_from_exit_pips_mean,future_mae_from_exit_pips_mean,bars_after_target_mean
d1,validation,100,150,structure_lh,1324,0.56570997,0.57762938,0.97936495,0.53885909,-27.50679758,67.88534743,-69.74350453,1.83081571
d1,oos,100,150,structure_lh,886,0.57900677,0.58249497,0.99401163,0.54622463,-28.93803612,67.31331828,-72.08216704,1.79345372
d1,discovery,100,150,nr4,4896,0.52941176,0.55034571,0.96196219,0.51541296,-16.78321078,66.54305556,-62.22193627,2.24244281
d1,validation,100,150,nr4,1188,0.53872054,0.57762938,0.93264047,0.51029440,-21.08308081,64.46473064,-66.44772727,2.21969697
d1,oos,100,150,nr4,862,0.54060325,0.58249497,0.92808226,0.50722842,-17.36206497,57.90707657,-57.07064965,2.27610209
d1,discovery,100,150,adx_down3,1168,0.51027397,0.55034571,0.92718806,0.48161880,-27.52011986,78.93184932,-82.61678082,1.74486301
d1,validation,100,150,adx_down3,229,0.51528384,0.57762938,0.89206654,0.45083860,-35.67554585,70.27641921,-87.04235808,1.91703057
d1,oos,100,150,adx_down3,184,0.55978261,0.58249497,0.96100849,0.48755974,-25.45054348,63.92282609,-58.10543478,1.92934783
d1,discovery,100,150,range_compression+adx_down3,1003,0.47956132,0.55034571,0.87138195,0.44878073,-18.96620140,81.74915254,-85.09940179,1.77666999
d1,validation,100,150,range_compression+adx_down3,171,0.49707602,0.57762938,0.86054491,0.42302825,-26.68187135,72.60877193,-82.59649123,1.86549708
d1,oos,100,150,range_compression+adx_down3,154,0.48051948,0.58249497,0.82493327,0.40304904,-4.29155844,57.77207792,-60.49285714,1.83116883
d1,discovery,100,150,range_compression,4818,0.47467829,0.55034571,0.86250929,0.46060381,-14.94520548,82.18109174,-80.18179743,1.29597343
d1,validation,100,150,range_compression,1206,0.50248756,0.57762938,0.86991344,0.47430566,-13.39684909,72.19502488,-78.59179104,1.38308458
d1,oos,100,150,range_compression,834,0.48321343,0.58249497,0.82955812,0.44945327,-8.35611511,66.38932854,-78.42913669,1.28177458
d1,discovery,100,150,volatility,2324,0.47375215,0.55034571,0.86082646,0.45351195,-22.60563683,88.76936317,-81.22925990,1.26850258
d1,validation,100,150,volatility,448,0.45535714,0.57762938,0.78832060,0.40981669,-27.74218750,87.32098214,-90.00178571,1.26339286
