timeframe,period,from_target,to_target,conditions,samples_after_from,continuation_rate,unconditional_to_rate,continuation_lift,wilson95_lower
h4,oos,150,200,adx_up3+breakout20_up+mtf_volatility+cross_group_bull,2,0.00000000,8761.62068966,0.00000000,0.00000000
h4,oos,200,300,adx_up3+breakout20_up+mtf_volatility+cross_group_bull,1,0.00000000,8875.16666667,0.00000000,0.00000000
h4,discovery,50,100,adx_up3+retest_up+mtf_volatility+cross_group_bull,134,0.44029851,3459.27368120,0.00012728,0.35907319
h4,discovery,100,150,adx_up3+retest_up+mtf_volatility+cross_group_bull,69,0.39130435,3623.64245524,0.00010799,0.28481324
h4,discovery,150,200,adx_up3+retest_up+mtf_volatility+cross_group_bull,36,0.16666667,3751.26678899,0.00004443,0.07870448
h4,discovery,200,300,adx_up3+retest_up+mtf_volatility+cross_group_bull,8,0.12500000,3934.45852895,0.00003177,0.02241749
h4,validation,50,100,adx_up3+retest_up+mtf_volatility+cross_group_bull,33,0.42424242,7347.28747795,0.00005774,0.27235597
h4,validation,100,150,adx_up3+retest_up+mtf_volatility+cross_group_bull,20,0.20000000,7312.54635108,0.00002735,0.08065766
h4,validation,150,200,adx_up3+retest_up+mtf_volatility+cross_group_bull,7,0.14285714,7287.60933333,0.00001960,0.02567962
h4,validation,200,300,adx_up3+retest_up+mtf_volatility+cross_group_bull,4,0.25000000,7258.32947977,0.00003444,0.04558726
h4,oos,50,100,adx_up3+retest_up+mtf_volatility+cross_group_bull,17,0.11764706,8766.86496956,0.00001342,0.03287977
h4,oos,100,150,adx_up3+retest_up+mtf_volatility+cross_group_bull,3,0.33333333,8737.06716418,0.00003815,0.06149194
h4,oos,150,200,adx_up3+retest_up+mtf_volatility+cross_group_bull,1,0.00000000,8761.62068966,0.00000000,0.00000000
h4,oos,200,300,adx_up3+retest_up+mtf_volatility+cross_group_bull,0,,8875.16666667,,
h4,discovery,50,100,adx_up3+atr_expand+mtf_adx25+cross_group_return_up,112,0.46428571,3459.27368120,0.00013421,0.37464361
h4,discovery,100,150,adx_up3+atr_expand+mtf_adx25+cross_group_return_up,63,0.36507937,3623.64245524,0.00010075,0.25715393
h4,discovery,150,200,adx_up3+atr_expand+mtf_adx25+cross_group_return_up,28,0.39285714,3751.26678899,0.00010473,0.23565687
h4,discovery,200,300,adx_up3+atr_expand+mtf_adx25+cross_group_return_up,13,0.15384615,3934.45852895,0.00003910,0.04325818
h4,validation,50,100,adx_up3+atr_expand+mtf_adx25+cross_group_return_up,23,0.30434783,7347.28747795,0.00004142,0.15604024
h4,validation,100,150,adx_up3+atr_expand+mtf_adx25+cross_group_return_up,7,0.28571429,7312.54635108,0.00003907,0.08221892
h4,validation,150,200,adx_up3+atr_expand+mtf_adx25+cross_group_return_up,2,0.50000000,7287.60933333,0.00006861,0.09453121
h4,validation,200,300,adx_up3+atr_expand+mtf_adx25+cross_group_return_up,1,0.00000000,7258.32947977,0.00000000,0.00000000
h4,oos,50,100,adx_up3+atr_expand+mtf_adx25+cross_group_return_up,15,0.13333333,8766.86496956,0.00001521,0.03736126
h4,oos,100,150,adx_up3+atr_expand+mtf_adx25+cross_group_return_up,4,0.50000000,8737.06716418,0.00005723,0.15003899
h4,oos,150,200,adx_up3+atr_expand+mtf_adx25+cross_group_return_up,2,0.00000000,8761.62068966,0.00000000,0.00000000
h4,oos,200,300,adx_up3+atr_expand+mtf_adx25+cross_group_return_up,1,0.00000000,8875.16666667,0.00000000,0.00000000
h4,discovery,50,100,atr_expand+horizontal_break_up+impulse_bull+cross_group_bull,98,0.41836735,3459.27368120,0.00012094,0.32559186
h4,discovery,100,150,atr_expand+horizontal_break_up+impulse_bull+cross_group_bull,49,0.40816327,3623.64245524,0.00011264,0.28215239
h4,discovery,150,200,atr_expand+horizontal_break_up+impulse_bull+cross_group_bull,30,0.36666667,3751.26678899,0.00009774,0.21873921
h4,discovery,200,300,atr_expand+horizontal_break_up+impulse_bull+cross_group_bull,20,0.05000000,3934.45852895,0.00001271,0.00888145
h4,validation,50,100,atr_expand+horizontal_break_up+impulse_bull+cross_group_bull,27,0.51851852,7347.28747795,0.00007057,0.33985616
h4,validation,100,150,atr_expand+horizontal_break_up+impulse_bull+cross_group_bull,15,0.33333333,7312.54635108,0.00004558,0.15176324
h4,validation,150,200,atr_expand+horizontal_break_up+impulse_bull+cross_group_bull,8,0.50000000,7287.60933333,0.00006861,0.21521606
h4,validation,200,300,atr_expand+horizontal_break_up+impulse_bull+cross_group_bull,6,0.00000000,7258.32947977,0.00000000,0.00000000
h4,oos,50,100,atr_expand+horizontal_break_up+impulse_bull+cross_group_bull,18,0.11111111,8766.86496956,0.00001267,0.03101952
h4,oos,100,150,atr_expand+horizontal_break_up+impulse_bull+cross_group_bull,3,0.33333333,8737.06716418,0.00003815,0.06149194
h4,oos,150,200,atr_expand+horizontal_break_up+impulse_bull+cross_group_bull,2,0.00000000,8761.62068966,0.00000000,0.00000000
h4,oos,200,300,atr_expand+horizontal_break_up+impulse_bull+cross_group_bull,0,,8875.16666667,,
h4,discovery,50,100,adx_up3+horizontal_break_up+mtf_adx25+cross_target_relative_up,134,0.30597015,3459.27368120,0.00008845,0.23425928
h4,discovery,100,150,adx_up3+horizontal_break_up+mtf_adx25+cross_target_relative_up,52,0.51923077,3623.64245524,0.00014329,0.38685683
h4,discovery,150,200,adx_up3+horizontal_break_up+mtf_adx25+cross_target_relative_up,33,0.33333333,3751.26678899,0.00008886,0.19750228
h4,discovery,200,300,adx_up3+horizontal_break_up+mtf_adx25+cross_target_relative_up,15,0.26666667,3934.45852895,0.00006778,0.10897453
h4,validation,50,100,adx_up3+horizontal_break_up+mtf_adx25+cross_target_relative_up,18,0.16666667,7347.28747795,0.00002268,0.05836577
h4,validation,100,150,adx_up3+horizontal_break_up+mtf_adx25+cross_target_relative_up,5,0.40000000,7312.54635108,0.00005470,0.11762077
h4,validation,150,200,adx_up3+horizontal_break_up+mtf_adx25+cross_target_relative_up,2,0.00000000,7287.60933333,0.00000000,0.00000000
h4,validation,200,300,adx_up3+horizontal_break_up+mtf_adx25+cross_target_relative_up,1,0.00000000,7258.32947977,0.00000000,0.00000000
h4,oos,50,100,adx_up3+horizontal_break_up+mtf_adx25+cross_target_relative_up,26,0.23076923,8766.86496956,0.00002632,0.11033849
h4,oos,100,150,adx_up3+horizontal_break_up+mtf_adx25+cross_target_relative_up,11,0.27272727,8737.06716418,0.00003121,0.09746059
h4,oos,150,200,adx_up3+horizontal_break_up+mtf_adx25+cross_target_relative_up,3,0.00000000,8761.62068966,0.00000000,0.00000000
h4,oos,200,300,adx_up3+horizontal_break_up+mtf_adx25+cross_target_relative_up,2,0.00000000,8875.16666667,0.00000000,0.00000000
h4,discovery,50,100,adx_up3+atr_expand+mtf_adx25+cross_group_bull,97,0.46391753,3459.27368120,0.00013411,0.36794831
h4,discovery,100,150,adx_up3+atr_expand+mtf_adx25+cross_group_bull,53,0.35849057,3623.64245524,0.00009893,0.24301953
h4,discovery,150,200,adx_up3+atr_expand+mtf_adx25+cross_group_bull,23,0.39130435,3751.26678899,0.00010431,0.22157623
h4,discovery,200,300,adx_up3+atr_expand+mtf_adx25+cross_group_bull,11,0.18181818,3934.45852895,0.00004621,0.05136769
h4,validation,50,100,adx_up3+atr_expand+mtf_adx25+cross_group_bull,16,0.25000000,7347.28747795,0.00003403,0.10182067
h4,validation,100,150,adx_up3+atr_expand+mtf_adx25+cross_group_bull,4,0.25000000,7312.54635108,0.00003419,0.04558726
h4,validation,150,200,adx_up3+atr_expand+mtf_adx25+cross_group_bull,1,1.00000000,7287.60933333,0.00013722,0.20654931
h4,validation,200,300,adx_up3+atr_expand+mtf_adx25+cross_group_bull,1,0.00000000,7258.32947977,0.00000000,0.00000000
h4,oos,50,100,adx_up3+atr_expand+mtf_adx25+cross_group_bull,14,0.14285714,8766.86496956,0.00001630,0.04009392
h4,oos,100,150,adx_up3+atr_expand+mtf_adx25+cross_group_bull,4,0.50000000,8737.06716418,0.00005723,0.15003899
h4,oos,150,200,adx_up3+atr_expand+mtf_adx25+cross_group_bull,2,0.00000000,8761.62068966,0.00000000,0.00000000
h4,oos,200,300,adx_up3+atr_expand+mtf_adx25+cross_group_bull,1,0.00000000,8875.16666667,0.00000000,0.00000000
h4,discovery,50,100,adx25+atr_expand+horizontal_break_up+cross_target_relative_up,73,0.41095890,3459.27368120,0.00011880,0.30531273
h4,discovery,100,150,adx25+atr_expand+horizontal_break_up+cross_target_relative_up,36,0.38888889,3623.64245524,0.00010732,0.24784873
h4,discovery,150,200,adx25+atr_expand+horizontal_break_up+cross_target_relative_up,21,0.28571429,3751.26678899,0.00007616,0.13813863
h4,discovery,200,300,adx25+atr_expand+horizontal_break_up+cross_target_relative_up,12,0.16666667,3934.45852895,0.00004236,0.04696514
h4,validation,50,100,adx25+atr_expand+horizontal_break_up+cross_target_relative_up,10,0.50000000,7347.28747795,0.00006805,0.23659309
h4,validation,100,150,adx25+atr_expand+horizontal_break_up+cross_target_relative_up,7,0.57142857,7312.54635108,0.00007814,0.25045836
h4,validation,150,200,adx25+atr_expand+horizontal_break_up+cross_target_relative_up,6,0.83333333,7287.60933333,0.00011435,0.43649718
h4,validation,200,300,adx25+atr_expand+horizontal_break_up+cross_target_relative_up,5,0.20000000,7258.32947977,0.00002755,0.03622411
h4,oos,50,100,adx25+atr_expand+horizontal_break_up+cross_target_relative_up,5,0.20000000,8766.86496956,0.00002281,0.03622411
h4,oos,100,150,adx25+atr_expand+horizontal_break_up+cross_target_relative_up,2,0.50000000,8737.06716418,0.00005723,0.09453121
h4,oos,150,200,adx25+atr_expand+horizontal_break_up+cross_target_relative_up,1,0.00000000,8761.62068966,0.00000000,0.00000000
h4,oos,200,300,adx25+atr_expand+horizontal_break_up+cross_target_relative_up,1,0.00000000,8875.16666667,0.00000000,0.00000000
h4,discovery,50,100,adx_up3+horizontal_break_up+mtf_volatility+cross_group_return_up,131,0.45038168,3459.27368120,0.00013020,0.36780693
h4,discovery,100,150,adx_up3+horizontal_break_up+mtf_volatility+cross_group_return_up,70,0.37142857,3623.64245524,0.00010250,0.26770651
h4,discovery,150,200,adx_up3+horizontal_break_up+mtf_volatility+cross_group_return_up,35,0.17142857,3751.26678899,0.00004570,0.08102640
h4,discovery,200,300,adx_up3+horizontal_break_up+mtf_volatility+cross_group_return_up,7,0.14285714,3934.45852895,0.00003631,0.02567962
h4,validation,50,100,adx_up3+horizontal_break_up+mtf_volatility+cross_group_return_up,24,0.29166667,7347.28747795,0.00003970,0.14914648
h4,validation,100,150,adx_up3+horizontal_break_up+mtf_volatility+cross_group_return_up,11,0.27272727,7312.54635108,0.00003730,0.09746059
h4,validation,150,200,adx_up3+horizontal_break_up+mtf_volatility+cross_group_return_up,4,0.25000000,7287.60933333,0.00003430,0.04558726
h4,validation,200,300,adx_up3+horizontal_break_up+mtf_volatility+cross_group_return_up,2,0.00000000,7258.32947977,0.00000000,0.00000000
h4,oos,50,100,adx_up3+horizontal_break_up+mtf_volatility+cross_group_return_up,17,0.17647059,8766.86496956,0.00002013,0.06191127
h4,oos,100,150,adx_up3+horizontal_break_up+mtf_volatility+cross_group_return_up,5,0.40000000,8737.06716418,0.00004578,0.11762077
h4,oos,150,200,adx_up3+horizontal_break_up+mtf_volatility+cross_group_return_up,2,0.00000000,8761.62068966,0.00000000,0.00000000
h4,oos,200,300,adx_up3+horizontal_break_up+mtf_volatility+cross_group_return_up,1,0.00000000,8875.16666667,0.00000000,0.00000000
h4,discovery,50,100,trend_bull+atr_expand+mtf_volatility+cross_group_return_up,116,0.42241379,3459.27368120,0.00012211,0.33643126
h4,discovery,100,150,trend_bull+atr_expand+mtf_volatility+cross_group_return_up,68,0.39705882,3623.64245524,0.00010957,0.28928700
h4,discovery,150,200,trend_bull+atr_expand+mtf_volatility+cross_group_return_up,35,0.11428571,3751.26678899,0.00003047,0.04535179
h4,discovery,200,300,trend_bull+atr_expand+mtf_volatility+cross_group_return_up,14,0.21428571,3934.45852895,0.00005446,0.07571387
h4,validation,50,100,trend_bull+atr_expand+mtf_volatility+cross_group_return_up,11,0.27272727,7347.28747795,0.00003712,0.09746059
h4,validation,100,150,trend_bull+atr_expand+mtf_volatility+cross_group_return_up,7,0.14285714,7312.54635108,0.00001954,0.02567962
h4,validation,150,200,trend_bull+atr_expand+mtf_volatility+cross_group_return_up,6,0.16666667,7287.60933333,0.00002287,0.03005337
h4,validation,200,300,trend_bull+atr_expand+mtf_volatility+cross_group_return_up,4,0.25000000,7258.32947977,0.00003444,0.04558726
h4,oos,50,100,trend_bull+atr_expand+mtf_volatility+cross_group_return_up,11,0.27272727,8766.86496956,0.00003111,0.09746059
h4,oos,100,150,trend_bull+atr_expand+mtf_volatility+cross_group_return_up,6,0.66666667,8737.06716418,0.00007630,0.29999332
h4,oos,150,200,trend_bull+atr_expand+mtf_volatility+cross_group_return_up,4,0.25000000,8761.62068966,0.00002853,0.04558726
h4,oos,200,300,trend_bull+atr_expand+mtf_volatility+cross_group_return_up,2,0.00000000,8875.16666667,0.00000000,0.00000000
h4,discovery,50,100,sma_stack_bull+atr_expand+breakout20_up+mtf_trend_bull,116,0.45689655,3459.27368120,0.00013208,0.36908190
h4,discovery,100,150,sma_stack_bull+atr_expand+breakout20_up+mtf_trend_bull,69,0.36231884,3623.64245524,0.00009999,0.25895724
h4,discovery,150,200,sma_stack_bull+atr_expand+breakout20_up+mtf_trend_bull,39,0.30769231,3751.26678899,0.00008202,0.18565932
h4,discovery,200,300,sma_stack_bull+atr_expand+breakout20_up+mtf_trend_bull,25,0.08000000,3934.45852895,0.00002033,0.02222040
h4,validation,50,100,sma_stack_bull+atr_expand+breakout20_up+mtf_trend_bull,16,0.25000000,7347.28747795,0.00003403,0.10182067
h4,validation,100,150,sma_stack_bull+atr_expand+breakout20_up+mtf_trend_bull,5,0.00000000,7312.54635108,0.00000000,0.00000000
h4,validation,150,200,sma_stack_bull+atr_expand+breakout20_up+mtf_trend_bull,4,0.00000000,7287.60933333,0.00000000,0.00000000
h4,validation,200,300,sma_stack_bull+atr_expand+breakout20_up+mtf_trend_bull,2,0.50000000,7258.32947977,0.00006889,0.09453121
h4,oos,50,100,sma_stack_bull+atr_expand+breakout20_up+mtf_trend_bull,9,0.11111111,8766.86496956,0.00001267,0.01989089
h4,oos,100,150,sma_stack_bull+atr_expand+breakout20_up+mtf_trend_bull,2,0.00000000,8737.06716418,0.00000000,0.00000000
h4,oos,150,200,sma_stack_bull+atr_expand+breakout20_up+mtf_trend_bull,1,0.00000000,8761.62068966,0.00000000,0.00000000
h4,oos,200,300,sma_stack_bull+atr_expand+breakout20_up+mtf_trend_bull,0,,8875.16666667,,
h4,discovery,50,100,sma_stack_bull+atr_expand+retest_up+mtf_trend_bull,116,0.45689655,3459.27368120,0.00013208,0.36908190
h4,discovery,100,150,sma_stack_bull+atr_expand+retest_up+mtf_trend_bull,69,0.36231884,3623.64245524,0.00009999,0.25895724
h4,discovery,150,200,sma_stack_bull+atr_expand+retest_up+mtf_trend_bull,39,0.30769231,3751.26678899,0.00008202,0.18565932
h4,discovery,200,300,sma_stack_bull+atr_expand+retest_up+mtf_trend_bull,25,0.08000000,3934.45852895,0.00002033,0.02222040
h4,validation,50,100,sma_stack_bull+atr_expand+retest_up+mtf_trend_bull,15,0.26666667,7347.28747795,0.00003629,0.10897453
h4,validation,100,150,sma_stack_bull+atr_expand+retest_up+mtf_trend_bull,5,0.00000000,7312.54635108,0.00000000,0.00000000
h4,validation,150,200,sma_stack_bull+atr_expand+retest_up+mtf_trend_bull,4,0.00000000,7287.60933333,0.00000000,0.00000000
h4,validation,200,300,sma_stack_bull+atr_expand+retest_up+mtf_trend_bull,2,0.50000000,7258.32947977,0.00006889,0.09453121
h4,oos,50,100,sma_stack_bull+atr_expand+retest_up+mtf_trend_bull,9,0.11111111,8766.86496956,0.00001267,0.01989089
h4,oos,100,150,sma_stack_bull+atr_expand+retest_up+mtf_trend_bull,2,0.00000000,8737.06716418,0.00000000,0.00000000
h4,oos,150,200,sma_stack_bull+atr_expand+retest_up+mtf_trend_bull,1,0.00000000,8761.62068966,0.00000000,0.00000000
h4,oos,200,300,sma_stack_bull+atr_expand+retest_up+mtf_trend_bull,0,,8875.16666667,,
h4,discovery,50,100,adx_up3+horizontal_break_up+mtf_trend_bull+cross_group_bull,274,0.41605839,3459.27368120,0.00012027,0.35924962
h4,discovery,100,150,adx_up3+horizontal_break_up+mtf_trend_bull+cross_group_bull,140,0.49285714,3623.64245524,0.00013601,0.41134586
h4,discovery,150,200,adx_up3+horizontal_break_up+mtf_trend_bull+cross_group_bull,83,0.31325301,3751.26678899,0.00008351,0.22361394
h4,discovery,200,300,adx_up3+horizontal_break_up+mtf_trend_bull+cross_group_bull,34,0.35294118,3934.45852895,0.00008971,0.21487921
h4,validation,50,100,adx_up3+horizontal_break_up+mtf_trend_bull+cross_group_bull,53,0.24528302,7347.28747795,0.00003338,0.14932902
h4,validation,100,150,adx_up3+horizontal_break_up+mtf_trend_bull+cross_group_bull,18,0.05555556,7312.54635108,0.00000760,0.00987519
h4,validation,150,200,adx_up3+horizontal_break_up+mtf_trend_bull+cross_group_bull,3,0.00000000,7287.60933333,0.00000000,0.00000000
h4,validation,200,300,adx_up3+horizontal_break_up+mtf_trend_bull+cross_group_bull,2,0.00000000,7258.32947977,0.00000000,0.00000000
h4,oos,50,100,adx_up3+horizontal_break_up+mtf_trend_bull+cross_group_bull,46,0.41304348,8766.86496956,0.00004711,0.28288603
h4,oos,100,150,adx_up3+horizontal_break_up+mtf_trend_bull+cross_group_bull,26,0.15384615,8737.06716418,0.00001761,0.06150034
h4,oos,150,200,adx_up3+horizontal_break_up+mtf_trend_bull+cross_group_bull,7,0.00000000,8761.62068966,0.00000000,0.00000000
h4,oos,200,300,adx_up3+horizontal_break_up+mtf_trend_bull+cross_group_bull,2,0.00000000,8875.16666667,0.00000000,0.00000000
h4,discovery,50,100,atr_expand+horizontal_break_up+mtf_trend_bull+cross_group_return_up,91,0.45054945,3459.27368120,0.00013024,0.35239769
h4,discovery,100,150,atr_expand+horizontal_break_up+mtf_trend_bull+cross_group_return_up,55,0.36363636,3623.64245524,0.00010035,0.24930532
h4,discovery,150,200,atr_expand+horizontal_break_up+mtf_trend_bull+cross_group_return_up,32,0.40625000,3751.26678899,0.00010830,0.25519635
h4,discovery,200,300,atr_expand+horizontal_break_up+mtf_trend_bull+cross_group_return_up,22,0.09090909,3934.45852895,0.00002311,0.02529543
h4,validation,50,100,atr_expand+horizontal_break_up+mtf_trend_bull+cross_group_return_up,20,0.50000000,7347.28747795,0.00006805,0.29929801
h4,validation,100,150,atr_expand+horizontal_break_up+mtf_trend_bull+cross_group_return_up,12,0.41666667,7312.54635108,0.00005698,0.19326031
h4,validation,150,200,atr_expand+horizontal_break_up+mtf_trend_bull+cross_group_return_up,8,0.37500000,7287.60933333,0.00005146,0.13684429
h4,validation,200,300,atr_expand+horizontal_break_up+mtf_trend_bull+cross_group_return_up,5,0.20000000,7258.32947977,0.00002755,0.03622411
h4,oos,50,100,atr_expand+horizontal_break_up+mtf_trend_bull+cross_group_return_up,9,0.22222222,8766.86496956,0.00002535,0.06322511
h4,oos,100,150,atr_expand+horizontal_break_up+mtf_trend_bull+cross_group_return_up,4,0.50000000,8737.06716418,0.00005723,0.15003899
h4,oos,150,200,atr_expand+horizontal_break_up+mtf_trend_bull+cross_group_return_up,3,0.00000000,8761.62068966,0.00000000,0.00000000
h4,oos,200,300,atr_expand+horizontal_break_up+mtf_trend_bull+cross_group_return_up,1,0.00000000,8875.16666667,0.00000000,0.00000000
h4,discovery,50,100,adx_up3+atr_expand+close_near_high+mtf_trend_bull,121,0.41322314,3459.27368120,0.00011945,0.32947519
h4,discovery,100,150,adx_up3+atr_expand+close_near_high+mtf_trend_bull,65,0.40000000,3623.64245524,0.00011039,0.28972030
h4,discovery,150,200,adx_up3+atr_expand+close_near_high+mtf_trend_bull,33,0.48484848,3751.26678899,0.00012925,0.32504042
h4,discovery,200,300,adx_up3+atr_expand+close_near_high+mtf_trend_bull,19,0.05263158,3934.45852895,0.00001338,0.00935199
h4,validation,50,100,adx_up3+atr_expand+close_near_high+mtf_trend_bull,21,0.42857143,7347.28747795,0.00005833,0.24469969
h4,validation,100,150,adx_up3+atr_expand+close_near_high+mtf_trend_bull,11,0.18181818,7312.54635108,0.00002486,0.05136769
h4,validation,150,200,adx_up3+atr_expand+close_near_high+mtf_trend_bull,6,0.33333333,7287.60933333,0.00004574,0.09677141
h4,validation,200,300,adx_up3+atr_expand+close_near_high+mtf_trend_bull,4,0.00000000,7258.32947977,0.00000000,0.00000000
h4,oos,50,100,adx_up3+atr_expand+close_near_high+mtf_trend_bull,25,0.24000000,8766.86496956,0.00002738,0.11496314
h4,oos,100,150,adx_up3+atr_expand+close_near_high+mtf_trend_bull,6,0.16666667,8737.06716418,0.00001908,0.03005337
h4,oos,150,200,adx_up3+atr_expand+close_near_high+mtf_trend_bull,2,0.00000000,8761.62068966,0.00000000,0.00000000
h4,oos,200,300,adx_up3+atr_expand+close_near_high+mtf_trend_bull,0,,8875.16666667,,
h4,discovery,50,100,sma_stack_bull+atr_expand+horizontal_break_up+mtf_trend_bull,108,0.45370370,3459.27368120,0.00013116,0.36301304
h4,discovery,100,150,sma_stack_bull+atr_expand+horizontal_break_up+mtf_trend_bull,64,0.35937500,3623.64245524,0.00009918,0.25288402
h4,discovery,150,200,sma_stack_bull+atr_expand+horizontal_break_up+mtf_trend_bull,36,0.33333333,3751.26678899,0.00008886,0.20214619
h4,discovery,200,300,sma_stack_bull+atr_expand+horizontal_break_up+mtf_trend_bull,23,0.08695652,3934.45852895,0.00002210,0.02418000
h4,validation,50,100,sma_stack_bull+atr_expand+horizontal_break_up+mtf_trend_bull,14,0.21428571,7347.28747795,0.00002917,0.07571387
h4,validation,100,150,sma_stack_bull+atr_expand+horizontal_break_up+mtf_trend_bull,4,0.00000000,7312.54635108,0.00000000,0.00000000
h4,validation,150,200,sma_stack_bull+atr_expand+horizontal_break_up+mtf_trend_bull,3,0.00000000,7287.60933333,0.00000000,0.00000000
h4,validation,200,300,sma_stack_bull+atr_expand+horizontal_break_up+mtf_trend_bull,1,0.00000000,7258.32947977,0.00000000,0.00000000
h4,oos,50,100,sma_stack_bull+atr_expand+horizontal_break_up+mtf_trend_bull,8,0.12500000,8766.86496956,0.00001426,0.02241749
h4,oos,100,150,sma_stack_bull+atr_expand+horizontal_break_up+mtf_trend_bull,2,0.00000000,8737.06716418,0.00000000,0.00000000
h4,oos,150,200,sma_stack_bull+atr_expand+horizontal_break_up+mtf_trend_bull,1,0.00000000,8761.62068966,0.00000000,0.00000000
h4,oos,200,300,sma_stack_bull+atr_expand+horizontal_break_up+mtf_trend_bull,0,,8875.16666667,,
h4,discovery,50,100,adx_up3+breakout20_up+mtf_volatility+cross_group_return_up,147,0.44897959,3459.27368120,0.00012979,0.37089308
h4,discovery,100,150,adx_up3+breakout20_up+mtf_volatility+cross_group_return_up,77,0.36363636,3623.64245524,0.00010035,0.26505432
h4,discovery,150,200,adx_up3+breakout20_up+mtf_volatility+cross_group_return_up,38,0.15789474,3751.26678899,0.00004209,0.07443863
h4,discovery,200,300,adx_up3+breakout20_up+mtf_volatility+cross_group_return_up,8,0.12500000,3934.45852895,0.00003177,0.02241749
h4,validation,50,100,adx_up3+breakout20_up+mtf_volatility+cross_group_return_up,34,0.41176471,7347.28747795,0.00005604,0.26365968
h4,validation,100,150,adx_up3+breakout20_up+mtf_volatility+cross_group_return_up,20,0.20000000,7312.54635108,0.00002735,0.08065766
h4,validation,150,200,adx_up3+breakout20_up+mtf_volatility+cross_group_return_up,7,0.14285714,7287.60933333,0.00001960,0.02567962
h4,validation,200,300,adx_up3+breakout20_up+mtf_volatility+cross_group_return_up,4,0.25000000,7258.32947977,0.00003444,0.04558726
h4,oos,50,100,adx_up3+breakout20_up+mtf_volatility+cross_group_return_up,21,0.14285714,8766.86496956,0.00001630,0.04981012
h4,oos,100,150,adx_up3+breakout20_up+mtf_volatility+cross_group_return_up,5,0.40000000,8737.06716418,0.00004578,0.11762077
h4,oos,150,200,adx_up3+breakout20_up+mtf_volatility+cross_group_return_up,2,0.00000000,8761.62068966,0.00000000,0.00000000
h4,oos,200,300,adx_up3+breakout20_up+mtf_volatility+cross_group_return_up,1,0.00000000,8875.16666667,0.00000000,0.00000000
h4,discovery,50,100,adx_up3+retest_up+mtf_volatility+cross_group_return_up,147,0.44897959,3459.27368120,0.00012979,0.37089308
h4,discovery,100,150,adx_up3+retest_up+mtf_volatility+cross_group_return_up,77,0.36363636,3623.64245524,0.00010035,0.26505432
h4,discovery,150,200,adx_up3+retest_up+mtf_volatility+cross_group_return_up,38,0.15789474,3751.26678899,0.00004209,0.07443863
h4,discovery,200,300,adx_up3+retest_up+mtf_volatility+cross_group_return_up,8,0.12500000,3934.45852895,0.00003177,0.02241749
h4,validation,50,100,adx_up3+retest_up+mtf_volatility+cross_group_return_up,34,0.41176471,7347.28747795,0.00005604,0.26365968
h4,validation,100,150,adx_up3+retest_up+mtf_volatility+cross_group_return_up,20,0.20000000,7312.54635108,0.00002735,0.08065766
h4,validation,150,200,adx_up3+retest_up+mtf_volatility+cross_group_return_up,7,0.14285714,7287.60933333,0.00001960,0.02567962
h4,validation,200,300,adx_up3+retest_up+mtf_volatility+cross_group_return_up,4,0.25000000,7258.32947977,0.00003444,0.04558726
h4,oos,50,100,adx_up3+retest_up+mtf_volatility+cross_group_return_up,19,0.10526316,8766.86496956,0.00001201,0.02935856
h4,oos,100,150,adx_up3+retest_up+mtf_volatility+cross_group_return_up,3,0.33333333,8737.06716418,0.00003815,0.06149194
h4,oos,150,200,adx_up3+retest_up+mtf_volatility+cross_group_return_up,1,0.00000000,8761.62068966,0.00000000,0.00000000
h4,oos,200,300,adx_up3+retest_up+mtf_volatility+cross_group_return_up,0,,8875.16666667,,
h4,discovery,50,100,adx_up3+atr_expand+impulse_bull+mtf_trend_bull,130,0.42307692,3459.27368120,0.00012230,0.34155641
h4,discovery,100,150,adx_up3+atr_expand+impulse_bull+mtf_trend_bull,74,0.41891892,3623.64245524,0.00011561,0.31324335
h4,discovery,150,200,adx_up3+atr_expand+impulse_bull+mtf_trend_bull,40,0.37500000,3751.26678899,0.00009997,0.24222979
h4,discovery,200,300,adx_up3+atr_expand+impulse_bull+mtf_trend_bull,21,0.14285714,3934.45852895,0.00003631,0.04981012
h4,validation,50,100,adx_up3+atr_expand+impulse_bull+mtf_trend_bull,22,0.50000000,7347.28747795,0.00006805,0.30722106
h4,validation,100,150,adx_up3+atr_expand+impulse_bull+mtf_trend_bull,13,0.23076923,7312.54635108,0.00003156,0.08179529
h4,validation,150,200,adx_up3+atr_expand+impulse_bull+mtf_trend_bull,8,0.12500000,7287.60933333,0.00001715,0.02241749
h4,validation,200,300,adx_up3+atr_expand+impulse_bull+mtf_trend_bull,4,0.25000000,7258.32947977,0.00003444,0.04558726
h4,oos,50,100,adx_up3+atr_expand+impulse_bull+mtf_trend_bull,24,0.25000000,8766.86496956,0.00002852,0.11999366
h4,oos,100,150,adx_up3+atr_expand+impulse_bull+mtf_trend_bull,7,0.28571429,8737.06716418,0.00003270,0.08221892
h4,oos,150,200,adx_up3+atr_expand+impulse_bull+mtf_trend_bull,3,0.00000000,8761.62068966,0.00000000,0.00000000
h4,oos,200,300,adx_up3+atr_expand+impulse_bull+mtf_trend_bull,0,,8875.16666667,,
h4,discovery,50,100,adx_up3+atr_expand+breakout20_up+cross_group_return_up,75,0.45333333,3459.27368120,0.00013105,0.34569796
h4,discovery,100,150,adx_up3+atr_expand+breakout20_up+cross_group_return_up,42,0.35714286,3623.64245524,0.00009856,0.22989188
