timeframe,period,from_target,to_target,conditions,samples_after_from,continuation_rate,unconditional_to_rate,continuation_lift,wilson95_lower
h4,validation,200,300,adx_up3+atr_expand+retest_up+cross_group_bull,4,0.25000000,7258.32947977,0.00003444,0.04558726
h4,oos,50,100,adx_up3+atr_expand+retest_up+cross_group_bull,10,0.20000000,8766.86496956,0.00002281,0.05668215
h4,oos,100,150,adx_up3+atr_expand+retest_up+cross_group_bull,3,0.33333333,8737.06716418,0.00003815,0.06149194
h4,oos,150,200,adx_up3+atr_expand+retest_up+cross_group_bull,2,0.00000000,8761.62068966,0.00000000,0.00000000
h4,oos,200,300,adx_up3+atr_expand+retest_up+cross_group_bull,0,,8875.16666667,,
h4,discovery,50,100,adx25+atr_expand+horizontal_break_up+cross_group_bull,65,0.47692308,3459.27368120,0.00013787,0.36021791
h4,discovery,100,150,adx25+atr_expand+horizontal_break_up+cross_group_bull,38,0.39473684,3623.64245524,0.00010893,0.25598076
h4,discovery,150,200,adx25+atr_expand+horizontal_break_up+cross_group_bull,23,0.30434783,3751.26678899,0.00008113,0.15604024
h4,discovery,200,300,adx25+atr_expand+horizontal_break_up+cross_group_bull,15,0.06666667,3934.45852895,0.00001694,0.01186690
h4,validation,50,100,adx25+atr_expand+horizontal_break_up+cross_group_bull,11,0.72727273,7347.28747795,0.00009899,0.43435470
h4,validation,100,150,adx25+atr_expand+horizontal_break_up+cross_group_bull,9,0.66666667,7312.54635108,0.00009117,0.35420214
h4,validation,150,200,adx25+atr_expand+horizontal_break_up+cross_group_bull,7,0.71428571,7287.60933333,0.00009801,0.35893445
h4,validation,200,300,adx25+atr_expand+horizontal_break_up+cross_group_bull,6,0.16666667,7258.32947977,0.00002296,0.03005337
h4,oos,50,100,adx25+atr_expand+horizontal_break_up+cross_group_bull,6,0.16666667,8766.86496956,0.00001901,0.03005337
h4,oos,100,150,adx25+atr_expand+horizontal_break_up+cross_group_bull,3,0.66666667,8737.06716418,0.00007630,0.20765960
h4,oos,150,200,adx25+atr_expand+horizontal_break_up+cross_group_bull,2,0.00000000,8761.62068966,0.00000000,0.00000000
h4,oos,200,300,adx25+atr_expand+horizontal_break_up+cross_group_bull,1,0.00000000,8875.16666667,0.00000000,0.00000000
h4,discovery,50,100,adx_up3+atr_expand+horizontal_break_up+cross_group_bull,59,0.47457627,3459.27368120,0.00013719,0.35265877
h4,discovery,100,150,adx_up3+atr_expand+horizontal_break_up+cross_group_bull,34,0.44117647,3623.64245524,0.00012175,0.28883482
h4,discovery,150,200,adx_up3+atr_expand+horizontal_break_up+cross_group_bull,18,0.44444444,3751.26678899,0.00011848,0.24559518
h4,discovery,200,300,adx_up3+atr_expand+horizontal_break_up+cross_group_bull,9,0.11111111,3934.45852895,0.00002824,0.01989089
h4,validation,50,100,adx_up3+atr_expand+horizontal_break_up+cross_group_bull,15,0.46666667,7347.28747795,0.00006352,0.24809535
h4,validation,100,150,adx_up3+atr_expand+horizontal_break_up+cross_group_bull,7,0.14285714,7312.54635108,0.00001954,0.02567962
h4,validation,150,200,adx_up3+atr_expand+horizontal_break_up+cross_group_bull,3,0.66666667,7287.60933333,0.00009148,0.20765960
h4,validation,200,300,adx_up3+atr_expand+horizontal_break_up+cross_group_bull,3,0.00000000,7258.32947977,0.00000000,0.00000000
h4,oos,50,100,adx_up3+atr_expand+horizontal_break_up+cross_group_bull,10,0.20000000,8766.86496956,0.00002281,0.05668215
h4,oos,100,150,adx_up3+atr_expand+horizontal_break_up+cross_group_bull,4,0.50000000,8737.06716418,0.00005723,0.15003899
h4,oos,150,200,adx_up3+atr_expand+horizontal_break_up+cross_group_bull,3,0.00000000,8761.62068966,0.00000000,0.00000000
h4,oos,200,300,adx_up3+atr_expand+horizontal_break_up+cross_group_bull,1,0.00000000,8875.16666667,0.00000000,0.00000000
h4,discovery,50,100,adx_up3+atr_expand+mtf_trend_bull+cross_group_bull,136,0.51470588,3459.27368120,0.00014879,0.43146625
h4,discovery,100,150,adx_up3+atr_expand+mtf_trend_bull+cross_group_bull,83,0.43373494,3623.64245524,0.00011970,0.33239165
h4,discovery,150,200,adx_up3+atr_expand+mtf_trend_bull+cross_group_bull,39,0.35897436,3751.26678899,0.00009569,0.22742085
h4,discovery,200,300,adx_up3+atr_expand+mtf_trend_bull+cross_group_bull,19,0.21052632,3934.45852895,0.00005351,0.08507677
h4,validation,50,100,adx_up3+atr_expand+mtf_trend_bull+cross_group_bull,27,0.37037037,7347.28747795,0.00005041,0.21532513
h4,validation,100,150,adx_up3+atr_expand+mtf_trend_bull+cross_group_bull,11,0.27272727,7312.54635108,0.00003730,0.09746059
h4,validation,150,200,adx_up3+atr_expand+mtf_trend_bull+cross_group_bull,8,0.62500000,7287.60933333,0.00008576,0.30574239
h4,validation,200,300,adx_up3+atr_expand+mtf_trend_bull+cross_group_bull,8,0.12500000,7258.32947977,0.00001722,0.02241749
h4,oos,50,100,adx_up3+atr_expand+mtf_trend_bull+cross_group_bull,17,0.23529412,8766.86496956,0.00002684,0.09555044
h4,oos,100,150,adx_up3+atr_expand+mtf_trend_bull+cross_group_bull,6,0.50000000,8737.06716418,0.00005723,0.18761631
h4,oos,150,200,adx_up3+atr_expand+mtf_trend_bull+cross_group_bull,4,0.00000000,8761.62068966,0.00000000,0.00000000
h4,oos,200,300,adx_up3+atr_expand+mtf_trend_bull+cross_group_bull,1,0.00000000,8875.16666667,0.00000000,0.00000000
h4,discovery,50,100,trend_bull+atr_expand+mtf_volatility+cross_group_bull,98,0.46938776,3459.27368120,0.00013569,0.37360957
h4,discovery,100,150,trend_bull+atr_expand+mtf_volatility+cross_group_bull,57,0.45614035,3623.64245524,0.00012588,0.33372606
h4,discovery,150,200,trend_bull+atr_expand+mtf_volatility+cross_group_bull,33,0.12121212,3751.26678899,0.00003231,0.04816161
h4,discovery,200,300,trend_bull+atr_expand+mtf_volatility+cross_group_bull,12,0.16666667,3934.45852895,0.00004236,0.04696514
h4,validation,50,100,trend_bull+atr_expand+mtf_volatility+cross_group_bull,11,0.27272727,7347.28747795,0.00003712,0.09746059
h4,validation,100,150,trend_bull+atr_expand+mtf_volatility+cross_group_bull,7,0.00000000,7312.54635108,0.00000000,0.00000000
h4,validation,150,200,trend_bull+atr_expand+mtf_volatility+cross_group_bull,6,0.16666667,7287.60933333,0.00002287,0.03005337
h4,validation,200,300,trend_bull+atr_expand+mtf_volatility+cross_group_bull,5,0.20000000,7258.32947977,0.00002755,0.03622411
h4,oos,50,100,trend_bull+atr_expand+mtf_volatility+cross_group_bull,9,0.11111111,8766.86496956,0.00001267,0.01989089
h4,oos,100,150,trend_bull+atr_expand+mtf_volatility+cross_group_bull,4,0.75000000,8737.06716418,0.00008584,0.30064184
h4,oos,150,200,trend_bull+atr_expand+mtf_volatility+cross_group_bull,3,0.00000000,8761.62068966,0.00000000,0.00000000
h4,oos,200,300,trend_bull+atr_expand+mtf_volatility+cross_group_bull,1,0.00000000,8875.16666667,0.00000000,0.00000000
h4,discovery,50,100,atr_expand+horizontal_break_up+mtf_trend_bull+cross_group_bull,75,0.52000000,3459.27368120,0.00015032,0.40874216
h4,discovery,100,150,atr_expand+horizontal_break_up+mtf_trend_bull+cross_group_bull,47,0.40425532,3623.64245524,0.00011156,0.27640035
h4,discovery,150,200,atr_expand+horizontal_break_up+mtf_trend_bull+cross_group_bull,29,0.37931034,3751.26678899,0.00010112,0.22688022
h4,discovery,200,300,atr_expand+horizontal_break_up+mtf_trend_bull+cross_group_bull,19,0.05263158,3934.45852895,0.00001338,0.00935199
