timestamp,state_before,state_after,direction,open,high,low,close,ema20,ema200,gc,dc,sma_stack_bull,di_strong_bull,filter,breakout_vs_ref,ref,action
2026-09-17T00:00:00+00:00,WAIT,WAIT,,0.85698,0.85705,0.85675,0.85687,0.8568851585875898,0.8570116763272585,False,False,False,False,False,False,,
2026-09-17T04:00:00+00:00,WAIT,WAIT,,0.85687,0.85719,0.85659,0.85693,0.8568894291982956,0.8570108636274848,False,False,False,False,False,False,,
2026-09-17T08:00:00+00:00,WAIT,WAIT,,0.85693,0.85928,0.85612,0.85813,0.8570075787984579,0.8570219993127836,False,False,False,True,False,False,,
2026-09-17T12:00:00+00:00,WAIT,SEARCH_TOUCH,long,0.85815,0.86066,0.85781,0.86007,0.8572992379605094,0.8570523276778306,True,False,False,True,False,False,,GC -> SEARCH_TOUCH
2026-09-17T16:00:00+00:00,SEARCH_TOUCH,SEARCH_TOUCH,long,0.86006,0.86029,0.8592,0.85931,0.8574907391071276,0.8570747920790462,False,False,False,True,False,False,,
2026-09-17T20:00:00+00:00,SEARCH_TOUCH,SEARCH_TOUCH,long,0.85931,0.85937,0.85869,0.85917,0.8576506687159726,0.8570956399190557,False,False,False,True,False,False,,
2026-09-18T00:00:00+00:00,SEARCH_TOUCH,SEARCH_TOUCH,long,0.85916,0.85943,0.85903,0.85913,0.8577915574096895,0.8571158823079208,False,False,False,True,False,False,,
2026-09-18T04:00:00+00:00,SEARCH_TOUCH,SEARCH_TOUCH,long,0.85912,0.85929,0.85853,0.8592,0.8579256947992429,0.8571366197973943,False,False,False,True,False,False,,
2026-09-18T08:00:00+00:00,SEARCH_TOUCH,SEARCH_TOUCH,long,0.85921,0.85942,0.85835,0.85863,0.8579927714850293,0.8571514793018978,False,False,False,True,False,False,,
2026-09-18T12:00:00+00:00,SEARCH_TOUCH,ARMED,long,0.85863,0.85931,0.85723,0.85735,0.8579315551531217,0.8571534546322273,False,False,False,False,False,False,0.85931,FIRST TOUCH -> ARMED ref=0.85931
2026-09-18T16:00:00+00:00,ARMED,ARMED,long,0.85736,0.85764,0.85721,0.85755,0.8578952165671102,0.8571574003572797,False,False,True,False,False,False,0.85931,
2026-09-18T20:00:00+00:00,ARMED,ARMED,long,0.85754,0.8576,0.85725,0.85725,0.8578337673702425,0.8571583217467595,False,False,True,False,False,False,0.85931,
2026-09-20T20:00:00+00:00,ARMED,ARMED,long,0.85765,0.85799,0.85703,0.85726,0.8577791228587909,0.8571593334706724,False,False,True,False,False,False,0.85931,
2026-09-21T00:00:00+00:00,ARMED,ARMED,long,0.85726,0.85776,0.85723,0.85745,0.8577477778246203,0.8571622256749444,False,False,True,False,False,False,0.85931,
2026-09-21T04:00:00+00:00,ARMED,ARMED,long,0.85745,0.85807,0.85742,0.85771,0.8577441799365613,0.857167676165741,False,False,True,False,False,False,0.85931,
2026-09-21T08:00:00+00:00,ARMED,ARMED,long,0.8577,0.85808,0.85735,0.85775,0.8577447342283173,0.8571734704327486,False,False,True,False,False,False,0.85931,
2026-09-21T12:00:00+00:00,ARMED,ARMED,long,0.85775,0.85792,0.85717,0.8577,0.8577404738256204,0.8571787095329203,False,False,True,False,False,False,0.85931,
2026-09-21T16:00:00+00:00,ARMED,ARMED,long,0.8577,0.85793,0.85743,0.85764,0.8577309048898469,0.8571832994878167,False,False,True,False,False,False,0.85931,
2026-09-21T20:00:00+00:00,ARMED,ARMED,long,0.85762,0.85819,0.85723,0.85747,0.8577060568050996,0.8571861522292314,False,False,True,False,False,False,0.85931,
2026-09-22T00:00:00+00:00,ARMED,ARMED,long,0.85747,0.85785,0.85726,0.85728,0.8576654799665188,0.8571870860378958,False,False,True,False,False,False,0.85931,
2026-09-22T04:00:00+00:00,ARMED,WAIT,,0.8573,0.85753,0.857,0.85711,0.8576125771125646,0.8571863190126432,False,False,True,False,False,False,,touch-candle invalidation -> WAIT
2026-09-22T08:00:00+00:00,WAIT,WAIT,,0.85712,0.85815,0.85681,0.85788,0.857638045958987,0.8571932213110248,False,False,True,True,False,False,,
2026-09-22T12:00:00+00:00,WAIT,WAIT,,0.85788,0.85798,0.85707,0.85791,0.8576639463438454,0.8572003534372834,False,False,True,True,False,False,,
2026-09-22T16:00:00+00:00,WAIT,WAIT,,0.85793,0.85828,0.85775,0.85796,0.8576921419301459,0.8572079121095493,False,False,True,True,False,False,,
2026-09-22T20:00:00+00:00,WAIT,WAIT,,0.85796,0.85809,0.85706,0.85791,0.857712890317751,0.8572148980587081,False,False,True,False,False,False,,
2026-09-23T00:00:00+00:00,WAIT,WAIT,,0.8579,0.85831,0.85789,0.85813,0.8577526150493937,0.8572240035506613,False,False,True,False,False,False,,
2026-09-23T04:00:00+00:00,WAIT,WAIT,,0.85813,0.85842,0.85766,0.85835,0.8578095088542134,0.8572352074954309,False,False,True,False,False,False,,
2026-09-23T08:00:00+00:00,WAIT,WAIT,,0.85833,0.85933,0.85811,0.8593,0.8579514603919074,0.8572557526944814,False,False,True,True,False,False,,
2026-09-23T12:00:00+00:00,WAIT,WAIT,,0.85929,0.85979,0.85887,0.85977,0.8581246546402972,0.857280770080606,False,False,True,True,False,False,,
2026-09-23T16:00:00+00:00,WAIT,WAIT,,0.85976,0.85995,0.85922,0.85973,0.8582775446745546,0.8573051405275651,False,False,True,True,False,False,,
2026-09-23T20:00:00+00:00,WAIT,WAIT,,0.85974,0.85978,0.85896,0.85974,0.8584168261341208,0.8573293679850024,False,False,True,True,False,False,,
2026-09-24T00:00:00+00:00,WAIT,WAIT,,0.85973,0.85997,0.85948,0.85957,0.8585266522165855,0.8573516628309228,False,False,True,True,False,False,,
2026-09-24T04:00:00+00:00,WAIT,WAIT,,0.85956,0.85968,0.8595,0.85967,0.8586355424816726,0.857374730862456,False,False,True,True,False,False,,
