timeframe,direction,horizon_bars,conditions,samples,base_rate,hit50_rate,rate_diff,lift
h4,bull,1,price200_bull+macd_cross_up,2462,0.04800665,0.04711617,-0.00089049,0.98145075
h4,bull,1,price200_bull+macd_accel_up,30824,0.04800665,0.04490008,-0.00310658,0.93528865
h4,bull,1,price200_bull+adx_up3,9973,0.04800665,0.04762860,-0.00037806,0.99212492
h4,bull,1,price200_bull+adx_cross25_up,1143,0.04800665,0.04986877,0.00186211,1.03878865
h4,bull,1,price200_bull+di_cross_up,2993,0.04800665,0.04443702,-0.00356963,0.92564294
h4,bull,1,price200_bull+di_spread_up3,16174,0.04800665,0.04946210,0.00145545,1.03031760
h4,bull,1,price200_bull+ema20_slope_up3,43918,0.04800665,0.04433262,-0.00367403,0.92346824
h4,bull,1,price200_bull+price20_cross_up,3917,0.04800665,0.04493235,-0.00307431,0.93596081
h4,bull,1,price200_bull+price200_cross_up,2302,0.04800665,0.05734144,0.00933479,1.19444782
h4,bull,1,price200_bull+breakout20_up,6116,0.04800665,0.06017005,0.01216339,1.25336889
h4,bull,1,price200_bull+atr_expand,3438,0.04800665,0.06835369,0.02034704,1.42383793
h4,bull,1,price200_bull+bb_expand,14349,0.04800665,0.05017771,0.00217106,1.04522414
h4,bull,1,price200_bull+body_expand,18224,0.04800665,0.04927568,0.00126903,1.02643440
h4,bull,1,ema20_rising+ema200_rising,43555,0.04800665,0.04353117,-0.00447549,0.90677363
h4,bull,1,ema20_rising+momentum_bull,40106,0.04800665,0.04373410,-0.00427255,0.91100090
h4,bull,1,ema20_rising+rsi60,27833,0.04800665,0.04404843,-0.00395822,0.91754848
h4,bull,1,ema20_rising+macd_bull,44138,0.04800665,0.04701165,-0.00099501,0.97927354
h4,bull,1,ema20_rising+macd_rising,32844,0.04800665,0.04758860,-0.00041805,0.99129178
h4,bull,1,ema20_rising+adx25,23833,0.04800665,0.04699366,-0.00101299,0.97889899
h4,bull,1,ema20_rising+adx_rising,26035,0.04800665,0.04659113,-0.00141553,0.97051396
h4,bull,1,ema20_rising+di_bull,48043,0.04800665,0.04679142,-0.00121524,0.97468606
h4,bull,1,ema20_rising+di_strong_bull,36365,0.04800665,0.04801320,0.00000655,1.00013636
h4,bull,1,ema20_rising+volatility,16332,0.04800665,0.05504531,0.00703866,1.14661835
h4,bull,1,ema20_rising+bb_bull,55639,0.04800665,0.04545373,-0.00255292,0.94682144
h4,bull,1,ema20_rising+bb_upper,25799,0.04800665,0.04736618,-0.00064048,0.98665859
h4,bull,1,ema20_rising+body_bull,12881,0.04800665,0.05279093,0.00478428,1.09965867
h4,bull,1,ema20_rising+rsi_up1,15813,0.04800665,0.05558718,0.00758052,1.15790565
h4,bull,1,ema20_rising+rsi_up3,20297,0.04800665,0.04907129,0.00106464,1.02217688
