horizon_bars,condition,disc_n,disc_hit,disc_lift,val_n,val_hit,val_lift,oos_n,oos_hit,oos_lift,oos_pairs_ge5,oos_pairs_above_base,oos_pair_mean,oos_pair_min
1,pin+early_drop_atr3<=0.5+di_strong_bear,48,0.14583333,2.69170054,20,0.25000000,4.26678291,20,0.20000000,4.62512397,2,2,0.19444444,0.16666667
1,pin+near_recent_high_atr10<=1.5+elliott_pullback_bear,59,0.10169492,1.87702120,10,0.30000000,5.12013949,10,0.20000000,4.62512397,0,0,,
1,pin+early_drop_atr3<=0.5,312,0.17307692,3.19454570,107,0.13084112,2.23308265,56,0.19642857,4.54253247,4,3,0.19768467,0.14285714
1,pin+early_drop_atr3<=1.0+di_strong_bear,111,0.16216216,2.99308786,36,0.27777778,4.74086990,32,0.18750000,4.33605372,4,4,0.17912088,0.14285714
1,pin+early_drop_atr3<=1.0+bb_bear,184,0.17391304,3.20997829,58,0.29310345,5.00243514,32,0.18750000,4.33605372,4,4,0.18888889,0.11111111
1,pin+range_atr<=1.5,763,0.14809961,2.73353000,240,0.14583333,2.48895670,136,0.18382353,4.25103306,4,4,0.18805147,0.10000000
1,pin+price200_bear,352,0.15909091,2.93640059,95,0.23157895,3.95238838,67,0.17910448,4.14190206,4,3,0.18532509,0.07142857
1,pin+early_drop_atr3<=1.0,539,0.15213358,2.80798657,180,0.15000000,2.56006975,96,0.17708333,4.09516185,4,4,0.17272080,0.11111111
1,pin+near_recent_high_atr10<=1.5,460,0.13478261,2.48773317,162,0.11728395,2.00170063,85,0.17647059,4.08099174,4,4,0.17874680,0.11764706
1,pin+bb_bear,414,0.18840580,3.47747648,121,0.23140496,3.94941889,69,0.17391304,4.02184693,4,3,0.18824786,0.05000000
1,pin,869,0.15880322,2.93109064,262,0.16030534,2.73595240,146,0.17123288,3.95986641,4,4,0.17555361,0.09090909
1,pin+early_drop_atr3<=1.5,691,0.15629522,2.88479959,221,0.14932127,2.54848572,119,0.16806723,3.88665880,4,4,0.17253828,0.11538462
1,pin+di_strong_bear,270,0.19629630,3.62311438,83,0.22891566,3.90693375,66,0.16666667,3.85426997,4,3,0.17594889,0.06250000
