timeframe,from_target,to_target,conditions,discovery_n,oos_n,oos_continuation_rate,oos_pairs_n_ge5,oos_pair_rate_mean,oos_pair_rate_min
h4,50,100,atr_expand+impulse_bull+mtf_volatility+cross_group_bull,308,84,0.33333333,6,0.30508959,0.06250000
h4,50,100,di_strong_bull+atr_expand+horizontal_break_up+strong_close_bull,1224,185,0.57297297,12,0.70028069,0.00000000
h4,50,100,price200_bull+atr_expand+horizontal_break_up+strong_close_bull,1209,158,0.53164557,10,0.65806410,0.00000000
h4,50,100,sma_stack_bull+atr_expand+breakout20_up+strong_close_bull,717,83,0.56626506,7,0.58309717,0.00000000
h4,50,100,trend_bull+atr_expand+strong_close_bull+mtf_adx25,439,48,0.60416667,4,0.68750000,0.00000000
h4,50,100,macd_accel_up+atr_expand+structure_bull_transition+mtf_volatility,659,112,0.28571429,6,0.24619474,0.06250000
h4,50,100,trend_bull+di_strong_bull+atr_expand+strong_close_bull,938,115,0.60869565,7,0.62950195,0.00000000
h4,50,100,sma_stack_bull+macd_accel_up+atr_expand+mtf_volatility,302,17,0.05882353,1,0.00000000,0.00000000
h4,50,100,sma_stack_bull+atr_expand+horizontal_break_up+strong_close_bull,667,83,0.56626506,7,0.58309717,0.00000000
h4,50,100,sma_stack_bull+di_strong_bull+atr_expand+strong_close_bull,721,86,0.54651163,7,0.58309717,0.00000000
h4,50,100,sma_stack_bull+atr_expand+strong_close_bull+mtf_trend_bull,572,76,0.52631579,6,0.53296703,0.00000000
h4,50,100,macd_accel_up+atr_expand+mtf_volatility,935,134,0.29104478,7,0.23491096,0.00000000
h4,50,100,atr_expand+breakout20_up+mtf_volatility+cross_target_relative_up,214,31,0.19354839,4,0.25000000,0.00000000
h4,50,100,atr_expand+structure_bull_transition+mtf_volatility,684,121,0.33057851,6,0.24905780,0.06250000
h4,50,100,di_strong_bull+atr_expand+horizontal_break_up+close_near_high,1461,237,0.54008439,12,0.64521001,0.00000000
h4,50,100,trend_bull+atr_expand+breakout20_up+strong_close_bull,936,109,0.61467890,7,0.62538107,0.00000000
h4,50,100,atr_expand+horizontal_break_up+strong_close_bull,1270,188,0.57978723,12,0.70388646,0.00000000
h4,50,100,macd_accel_up+atr_expand+horizontal_break_up+strong_close_bull,1270,188,0.57978723,12,0.70388646,0.00000000
h4,50,100,price200_bull+atr_expand+breakout20_up+strong_close_bull,1657,187,0.52406417,10,0.62056410,0.00000000
h4,50,100,di_strong_bull+atr_expand+structure_bull_transition+mtf_volatility,454,86,0.31395349,5,0.27283522,0.00000000
h4,50,100,macd_accel_up+atr_expand+mtf_volatility+cross_target_relative_up,464,68,0.22058824,6,0.28428649,0.00000000
h4,50,100,atr_expand+horizontal_break_up+mtf_adx25+cross_target_relative_up,401,70,0.52857143,6,0.53540305,0.00000000
h4,50,100,trend_bull+atr_expand+close_near_high+mtf_adx25,568,56,0.55357143,5,0.55000000,0.00000000
h4,100,150,sma_stack_bull+atr_expand+strong_close_bull+mtf_adx25,212,11,0.36363636,1,0.36363636,0.36363636
h4,100,150,price200_bull+atr_expand+strong_close_bull+mtf_volatility,247,37,0.83783784,3,0.91666667,0.75000000
h4,100,150,ema200_rising+atr_expand+strong_close_bull+mtf_volatility,247,37,0.83783784,3,0.91666667,0.75000000
h4,100,150,atr_expand+horizontal_break_up+strong_close_bull+mtf_adx25,365,27,0.62962963,2,0.68181818,0.36363636
h4,100,150,price200_bull+atr_expand+strong_close_bull+mtf_adx25,426,17,0.41176471,1,0.36363636,0.36363636
h4,100,150,ema200_rising+atr_expand+strong_close_bull+mtf_adx25,426,17,0.41176471,1,0.36363636,0.36363636
h4,100,150,dmi_adx_strong_bull+atr_expand+strong_close_bull+mtf_adx25,442,28,0.64285714,2,0.68181818,0.36363636
h4,100,150,price200_bull+dmi_adx_strong_bull+atr_expand+strong_close_bull,1081,137,0.70072993,9,0.68464226,0.00000000
h4,100,150,ema200_rising+dmi_adx_strong_bull+atr_expand+strong_close_bull,1081,137,0.70072993,9,0.68464226,0.00000000
h4,100,150,bb_expand+horizontal_break_up+strong_close_bull+mtf_adx25,835,142,0.70422535,8,0.63316817,0.14285714
h4,100,150,dmi_adx_strong_bull+atr_expand+breakout20_up+strong_close_bull,1148,155,0.72903226,9,0.75130625,0.36363636
h4,100,150,sma_stack_bull+atr_expand+structure_bull_transition+strong_close_bull,389,59,0.76271186,4,0.84090909,0.36363636
h4,100,150,sma_stack_bull+bb_expand+strong_close_bull+mtf_adx25,521,78,0.64102564,4,0.64241050,0.33333333
h4,100,150,price200_bull+atr_expand+horizontal_break_up+strong_close_bull,882,130,0.72307692,9,0.70208292,0.00000000
h4,100,150,ema200_rising+atr_expand+horizontal_break_up+strong_close_bull,882,130,0.72307692,9,0.70208292,0.00000000
h4,100,150,sma_stack_bull+atr_expand+horizontal_break_up+mtf_volatility,177,10,0.30000000,1,0.42857143,0.42857143
h4,100,150,sma_stack_bull+atr_expand+impulse_bull+mtf_volatility,214,10,0.30000000,1,0.42857143,0.42857143
h4,100,150,price200_bull+bb_expand+strong_close_bull+mtf_adx25,871,125,0.62400000,7,0.53713882,0.14285714
h4,100,150,ema200_rising+bb_expand+strong_close_bull+mtf_adx25,871,125,0.62400000,7,0.53713882,0.14285714
h4,100,150,dmi_adx_strong_bull+bb_expand+strong_close_bull+mtf_adx25,1072,159,0.69811321,8,0.56178206,0.00000000
h4,100,150,price200_bull+volatility+strong_close_bull+mtf_volatility,721,51,0.76470588,6,0.72685185,0.20000000
h4,100,150,ema200_rising+volatility+strong_close_bull+mtf_volatility,721,51,0.76470588,6,0.72685185,0.20000000
h4,100,150,dmi_adx_strong_bull+atr_expand+strong_close_bull,1201,157,0.71974522,9,0.74236232,0.36363636
h4,100,150,dmi_adx_strong_bull+atr_expand+horizontal_break_up+strong_close_bull,878,150,0.74000000,9,0.75980298,0.36363636
h4,100,150,dmi_adx_strong_bull+atr_expand+structure_bull_transition+strong_close_bull,954,151,0.74172185,9,0.77322652,0.36363636
h4,100,150,sma_stack_bull+atr_expand+structure_bull_transition+mtf_volatility,205,10,0.30000000,1,0.42857143,0.42857143
h4,100,150,atr_expand+horizontal_break_up+strong_close_bull+mtf_volatility,165,46,0.80434783,4,0.81250000,0.50000000
h4,100,150,price200_bull+volatility+close_near_high+mtf_volatility,864,69,0.62318841,6,0.63718806,0.12500000
h4,100,150,ema200_rising+volatility+close_near_high+mtf_volatility,864,69,0.62318841,6,0.63718806,0.12500000
h4,100,150,atr_expand+horizontal_break_up+strong_close_bull,902,150,0.74000000,9,0.75980298,0.36363636
h4,100,150,macd_accel_up+atr_expand+horizontal_break_up+strong_close_bull,902,150,0.74000000,9,0.75980298,0.36363636
h4,100,150,bb_expand+strong_close_bull+mtf_trend_bull+cross_group_return_up,983,230,0.64347826,9,0.53297723,0.14285714
h4,100,150,price200_bull+atr_expand+strong_close_bull,1275,137,0.70072993,9,0.68464226,0.00000000
h4,100,150,ema200_rising+atr_expand+strong_close_bull,1275,137,0.70072993,9,0.68464226,0.00000000
h4,100,150,price200_bull+macd_accel_up+atr_expand+strong_close_bull,1270,137,0.70072993,9,0.68464226,0.00000000
h4,100,150,ema200_rising+macd_accel_up+atr_expand+strong_close_bull,1270,137,0.70072993,9,0.68464226,0.00000000
h4,100,150,sma_stack_bull+atr_expand+breakout20_up+mtf_volatility,193,10,0.30000000,1,0.42857143,0.42857143
h4,100,150,price200_bull+atr_expand+breakout20_up+strong_close_bull,1118,135,0.71111111,9,0.69358619,0.00000000
h4,100,150,ema200_rising+atr_expand+breakout20_up+strong_close_bull,1118,135,0.71111111,9,0.69358619,0.00000000
h4,100,150,price200_bull+atr_expand+close_near_high+mtf_volatility,299,38,0.84210526,3,0.91666667,0.75000000
h4,100,150,ema200_rising+atr_expand+close_near_high+mtf_volatility,299,38,0.84210526,3,0.91666667,0.75000000
h4,100,150,sma_stack_bull+atr_expand+strong_close_bull,508,59,0.76271186,4,0.84090909,0.36363636
h4,100,150,dmi_adx_strong_bull+atr_expand+strong_close_bull+cross_group_return_up,718,133,0.75187970,7,0.75966064,0.42857143
h4,100,150,sma_stack_bull+atr_expand+horizontal_break_up+strong_close_bull,464,57,0.78947368,4,0.84090909,0.36363636
h4,100,150,atr_expand+horizontal_break_up+close_near_high+mtf_adx25,455,32,0.53125000,3,0.45454545,0.00000000
h4,100,150,atr_expand+breakout20_up+strong_close_bull+mtf_adx25,511,28,0.64285714,2,0.68181818,0.36363636
h4,100,150,price200_bull+atr_expand+structure_bull_transition+strong_close_bull,989,131,0.72519084,9,0.71550646,0.00000000
h4,100,150,ema200_rising+atr_expand+structure_bull_transition+strong_close_bull,989,131,0.72519084,9,0.71550646,0.00000000
h4,100,150,bb_expand+strong_close_bull+mtf_trend_bull+cross_group_bull,882,218,0.65137615,8,0.55780375,0.00000000
h4,100,150,sma_stack_bull+macd_accel_up+atr_expand+strong_close_bull,504,59,0.76271186,4,0.84090909,0.36363636
h4,100,150,sma_stack_bull+atr_expand+breakout20_up+strong_close_bull,471,57,0.78947368,4,0.84090909,0.36363636
h4,100,150,atr_expand+breakout20_up+strong_close_bull,1348,155,0.72903226,9,0.75130625,0.36363636
h4,100,150,macd_accel_up+atr_expand+breakout20_up+strong_close_bull,1348,155,0.72903226,9,0.75130625,0.36363636
h4,100,150,dmi_adx_strong_bull+atr_expand+strong_close_bull+mtf_trend_bull,501,68,0.67647059,5,0.71717172,0.36363636
h4,100,150,dmi_adx_strong_bull+bb_expand+strong_close_bull+mtf_trend_bull,1247,243,0.61316872,10,0.50394635,0.00000000
h4,100,150,sma_stack_bull+dmi_adx_strong_bull+atr_expand+strong_close_bull,476,59,0.76271186,4,0.84090909,0.36363636
h4,100,150,price200_bull+horizontal_break_up+close_near_high+mtf_volatility,902,168,0.72023810,10,0.65954206,0.11111111
h4,100,150,ema200_rising+horizontal_break_up+close_near_high+mtf_volatility,902,168,0.72023810,10,0.65954206,0.11111111
h4,100,150,price200_bull+breakout20_up+strong_close_bull+mtf_volatility,1048,222,0.74324324,11,0.65657280,0.20000000
h4,100,150,ema200_rising+breakout20_up+strong_close_bull+mtf_volatility,1048,222,0.74324324,11,0.65657280,0.20000000
h4,100,150,price200_bull+breakout20_up+close_near_high+mtf_volatility,1298,239,0.71129707,11,0.63279866,0.11111111
h4,100,150,ema200_rising+breakout20_up+close_near_high+mtf_volatility,1298,239,0.71129707,11,0.63279866,0.11111111
h4,100,150,sma_stack_bull+breakout20_up+close_near_high+mtf_volatility,698,72,0.68055556,4,0.70873016,0.20000000
h4,100,150,dmi_adx_strong_bull+atr_expand+strong_close_bull+mtf_volatility,254,46,0.80434783,4,0.81250000,0.50000000
h4,100,150,volatility+breakout20_up+strong_close_bull+mtf_trend_bull,958,147,0.61904762,10,0.57259730,0.20000000
h4,100,150,sma_stack_bull+bb_expand+strong_close_bull+cross_group_return_up,899,170,0.65882353,6,0.62530449,0.22222222
h4,100,150,adx25+atr_expand+horizontal_break_up+mtf_volatility,157,19,0.47368421,1,0.64285714,0.64285714
h4,100,150,atr_expand+horizontal_break_up+close_near_high+mtf_volatility,186,46,0.80434783,4,0.81250000,0.50000000
h4,100,150,atr_expand+strong_close_bull,1588,160,0.71875000,9,0.74544874,0.36363636
h4,100,150,macd_accel_up+atr_expand+strong_close_bull,1582,158,0.71518987,9,0.74236232,0.36363636
h4,100,150,price200_bull+close_near_high+mtf_volatility+cross_group_return_up,1121,229,0.73799127,9,0.68702029,0.16666667
h4,100,150,ema200_rising+close_near_high+mtf_volatility+cross_group_return_up,1121,229,0.73799127,9,0.68702029,0.16666667
h4,100,150,price200_bull+structure_bull_transition+close_near_high+mtf_volatility,1529,234,0.72649573,9,0.67640431,0.11111111
h4,100,150,ema200_rising+structure_bull_transition+close_near_high+mtf_volatility,1529,234,0.72649573,9,0.67640431,0.11111111
h4,100,150,price200_bull+horizontal_break_up+strong_close_bull+mtf_adx25,993,118,0.58474576,7,0.56437094,0.14285714
h4,100,150,ema200_rising+horizontal_break_up+strong_close_bull+mtf_adx25,993,118,0.58474576,7,0.56437094,0.14285714
h4,100,150,bb_expand+breakout20_up+strong_close_bull+mtf_adx25,1186,181,0.66298343,9,0.54453947,0.12500000
h4,100,150,sma_stack_bull+breakout20_up+strong_close_bull+mtf_volatility,564,61,0.75409836,3,0.94642857,0.87500000
h4,150,200,adx25+atr_expand+strong_close_bull+mtf_volatility,150,5,1.00000000,1,1.00000000,1.00000000
h4,150,200,adx25+atr_expand+close_near_high+mtf_volatility,162,5,1.00000000,1,1.00000000,1.00000000
h4,150,200,price200_bull+atr_expand+strong_close_bull+mtf_volatility,161,21,0.61904762,2,0.50000000,0.00000000
h4,150,200,ema200_rising+atr_expand+strong_close_bull+mtf_volatility,161,21,0.61904762,2,0.50000000,0.00000000
h4,150,200,adx25+atr_expand+strong_close_bull+mtf_adx25,237,9,1.00000000,1,1.00000000,1.00000000
h4,150,200,atr_expand+strong_close_bull+mtf_volatility,223,29,0.72413793,3,0.66666667,0.00000000
h4,150,200,macd_accel_up+atr_expand+strong_close_bull+mtf_volatility,222,29,0.72413793,3,0.66666667,0.00000000
h4,150,200,di_strong_bull+atr_expand+strong_close_bull+mtf_volatility,197,29,0.72413793,3,0.66666667,0.00000000
h4,150,200,atr_expand+breakout20_up+strong_close_bull+mtf_volatility,180,29,0.72413793,3,0.66666667,0.00000000
h4,150,200,atr_expand+strong_close_bull+mtf_trend_bull+cross_group_return_up,174,29,0.65517241,3,0.66931217,0.22222222
h4,150,200,adx25+atr_expand+close_near_high+mtf_adx25,257,9,1.00000000,1,1.00000000,1.00000000
h4,150,200,atr_expand+horizontal_break_up+strong_close_bull+mtf_volatility,125,29,0.72413793,3,0.66666667,0.00000000
h4,150,200,price200_bull+atr_expand+close_near_high+mtf_volatility,171,21,0.61904762,2,0.50000000,0.00000000
h4,150,200,ema200_rising+atr_expand+close_near_high+mtf_volatility,171,21,0.61904762,2,0.50000000,0.00000000
h4,150,200,atr_expand+structure_bull_transition+strong_close_bull+mtf_volatility,173,29,0.72413793,3,0.66666667,0.00000000
h4,150,200,atr_expand+strong_close_bull+mtf_volatility+cross_group_return_up,141,29,0.72413793,3,0.66666667,0.00000000
h4,150,200,atr_expand+close_near_high+mtf_volatility,238,29,0.72413793,3,0.66666667,0.00000000
h4,150,200,macd_accel_up+atr_expand+close_near_high+mtf_volatility,237,29,0.72413793,3,0.66666667,0.00000000
h4,150,200,adx25+atr_expand+strong_close_bull,447,20,0.50000000,2,0.33333333,0.00000000
h4,150,200,di_strong_bull+atr_expand+close_near_high+mtf_volatility,209,29,0.72413793,3,0.66666667,0.00000000
h4,150,200,sma_stack_bull+atr_expand+strong_close_bull+mtf_trend_bull,210,19,0.89473684,2,0.95833333,0.91666667
h4,150,200,atr_expand+horizontal_break_up+close_near_high+mtf_volatility,132,29,0.72413793,3,0.66666667,0.00000000
