pair,timeframe,direction,threshold_pips,event_timestamp,hit_timestamp,bars_to_hit,entry_close,max_excursion_pips
audjpy,d1,bear,100,2021-01-06T00:00:00+00:00,2021-01-18T00:00:00+00:00,12,80.521,101.1
audjpy,d1,bear,100,2021-01-20T00:00:00+00:00,2021-01-28T00:00:00+00:00,8,80.307,110.6
audjpy,d1,bear,100,2021-02-21T00:00:00+00:00,2021-02-26T00:00:00+00:00,5,83.186,120.2
audjpy,d1,bear,100,2021-03-07T00:00:00+00:00,2021-03-23T00:00:00+00:00,16,83.557,127.1
audjpy,d1,bear,100,2021-03-31T00:00:00+00:00,2021-04-09T00:00:00+00:00,9,84.106,107.4
audjpy,d1,bear,100,2021-04-14T00:00:00+00:00,2021-04-22T00:00:00+00:00,8,84.117,105.5
audjpy,d1,bear,100,2021-05-07T00:00:00+00:00,2021-05-19T00:00:00+00:00,12,85.132,115.9
audjpy,d1,bear,100,2021-05-28T00:00:00+00:00,2021-06-17T00:00:00+00:00,20,84.651,158.3
audjpy,d1,bear,100,2021-06-18T00:00:00+00:00,2021-07-08T00:00:00+00:00,20,82.362,104.3
audjpy,d1,bear,100,2021-07-09T00:00:00+00:00,2021-07-15T00:00:00+00:00,6,82.475,263.6
audjpy,d1,bear,100,2021-07-16T00:00:00+00:00,2021-07-19T00:00:00+00:00,3,81.387,154.8
audjpy,d1,bear,100,2021-07-22T00:00:00+00:00,2021-08-03T00:00:00+00:00,12,81.287,113.3
audjpy,d1,bear,100,2021-08-04T00:00:00+00:00,2021-08-17T00:00:00+00:00,13,80.861,296.7
audjpy,d1,bear,100,2021-08-18T00:00:00+00:00,2021-08-19T00:00:00+00:00,1,79.423,152.9
audjpy,d1,bear,100,2021-08-31T00:00:00+00:00,2021-09-20T00:00:00+00:00,20,80.536,148.7
audjpy,d1,bear,100,2021-10-17T00:00:00+00:00,2021-11-05T00:00:00+00:00,19,84.883,106.4
audjpy,d1,bear,100,2021-11-06T00:00:00+00:00,2021-11-17T00:00:00+00:00,11,83.915,344.5
audjpy,d1,bear,100,2021-11-18T00:00:00+00:00,2021-11-19T00:00:00+00:00,1,83.158,437.1
audjpy,d1,bear,100,2021-11-20T00:00:00+00:00,2021-11-26T00:00:00+00:00,6,82.474,368.7
audjpy,d1,bear,100,2021-11-27T00:00:00+00:00,2021-12-03T00:00:00+00:00,6,80.549,176.2
audjpy,d1,bear,100,2021-12-08T00:00:00+00:00,2021-12-14T00:00:00+00:00,6,81.497,122.7
audjpy,d1,bear,100,2021-12-15T00:00:00+00:00,2021-12-19T00:00:00+00:00,4,81.797,152.7
audjpy,d1,bear,100,2021-12-29T00:00:00+00:00,2022-01-10T00:00:00+00:00,11,83.433,135.5
audjpy,d1,bear,100,2022-01-11T00:00:00+00:00,2022-01-14T00:00:00+00:00,3,83.153,278.8
audjpy,d1,bear,100,2022-01-16T00:00:00+00:00,2022-01-24T00:00:00+00:00,7,82.482,211.7
audjpy,d1,bear,100,2022-01-25T00:00:00+00:00,2022-01-28T00:00:00+00:00,3,81.528,116.3
audjpy,d1,bear,100,2022-02-08T00:00:00+00:00,2022-02-14T00:00:00+00:00,5,82.55,100.3
audjpy,d1,bear,100,2022-02-22T00:00:00+00:00,2022-02-24T00:00:00+00:00,2,83.176,116.4
audjpy,d1,bear,100,2022-02-25T00:00:00+00:00,2022-02-27T00:00:00+00:00,1,83.49,103.2
audjpy,d1,bear,100,2022-03-06T00:00:00+00:00,2022-03-08T00:00:00+00:00,2,84.992,118.3
audjpy,d1,bear,100,2022-03-13T00:00:00+00:00,2022-03-15T00:00:00+00:00,2,85.755,116.5
audjpy,d1,bear,100,2022-03-24T00:00:00+00:00,2022-03-31T00:00:00+00:00,6,91.887,112.8
audjpy,d1,bear,100,2022-04-03T00:00:00+00:00,2022-04-26T00:00:00+00:00,20,91.797,135.8
audjpy,d1,bear,100,2022-04-27T00:00:00+00:00,2022-05-09T00:00:00+00:00,10,91.473,416.6
audjpy,d1,bear,100,2022-05-10T00:00:00+00:00,2022-05-12T00:00:00+00:00,2,90.378,307.1
audjpy,d1,bear,100,2022-05-13T00:00:00+00:00,2022-05-16T00:00:00+00:00,2,89.621,116.0
audjpy,d1,bear,100,2022-05-17T00:00:00+00:00,2022-05-18T00:00:00+00:00,1,90.985,199.3
audjpy,d1,bear,100,2022-05-22T00:00:00+00:00,2022-05-24T00:00:00+00:00,2,90.307,106.8
audjpy,d1,bear,100,2022-06-01T00:00:00+00:00,2022-06-16T00:00:00+00:00,13,93.314,135.2
audjpy,d1,bear,100,2022-06-17T00:00:00+00:00,2022-07-01T00:00:00+00:00,12,93.536,211.5
audjpy,d1,bear,100,2022-07-04T00:00:00+00:00,2022-07-05T00:00:00+00:00,1,93.354,182.7
audjpy,d1,bear,100,2022-07-07T00:00:00+00:00,2022-07-12T00:00:00+00:00,4,93.067,111.2
audjpy,d1,bear,100,2022-07-13T00:00:00+00:00,2022-08-02T00:00:00+00:00,17,92.659,213.9
audjpy,d1,bear,100,2022-08-08T00:00:00+00:00,2022-08-15T00:00:00+00:00,6,94.231,116.8
audjpy,d1,bear,100,2022-08-29T00:00:00+00:00,2022-09-01T00:00:00+00:00,3,95.762,100.2
audjpy,d1,bear,100,2022-09-02T00:00:00+00:00,2022-09-22T00:00:00+00:00,17,95.441,229.5
audjpy,d1,bear,100,2022-09-23T00:00:00+00:00,2022-09-28T00:00:00+00:00,4,93.57,273.3
audjpy,d1,bear,100,2022-09-29T00:00:00+00:00,2022-09-30T00:00:00+00:00,1,93.985,314.8
audjpy,d1,bear,100,2022-10-02T00:00:00+00:00,2022-10-10T00:00:00+00:00,7,92.954,211.7
audjpy,d1,bear,100,2022-10-12T00:00:00+00:00,2022-10-13T00:00:00+00:00,1,92.107,127.0
audjpy,d1,bear,100,2022-10-18T00:00:00+00:00,2022-10-21T00:00:00+00:00,3,94.224,131.4
audjpy,d1,bear,100,2022-10-23T00:00:00+00:00,2022-11-03T00:00:00+00:00,10,94.001,140.6
audjpy,d1,bear,100,2022-11-04T00:00:00+00:00,2022-11-10T00:00:00+00:00,5,94.847,270.4
audjpy,d1,bear,100,2022-11-11T00:00:00+00:00,2022-12-01T00:00:00+00:00,17,93.051,203.3
audjpy,d1,bear,100,2022-12-02T00:00:00+00:00,2022-12-20T00:00:00+00:00,15,91.192,417.1
audjpy,d1,bear,100,2022-12-21T00:00:00+00:00,2023-01-03T00:00:00+00:00,11,88.86,145.1
audjpy,d1,bear,100,2023-01-04T00:00:00+00:00,2023-01-13T00:00:00+00:00,8,90.312,220.0
audjpy,d1,bear,100,2023-01-15T00:00:00+00:00,2023-01-19T00:00:00+00:00,4,89.28,116.8
audjpy,d1,bear,100,2023-01-23T00:00:00+00:00,2023-02-03T00:00:00+00:00,10,91.779,155.4
audjpy,d1,bear,100,2023-02-05T00:00:00+00:00,2023-02-10T00:00:00+00:00,5,91.361,113.6
audjpy,d1,bear,100,2023-02-13T00:00:00+00:00,2023-03-07T00:00:00+00:00,19,92.214,204.6
audjpy,d1,bear,100,2023-03-08T00:00:00+00:00,2023-03-10T00:00:00+00:00,2,90.486,443.0
audjpy,d1,bear,100,2023-03-12T00:00:00+00:00,2023-03-13T00:00:00+00:00,1,89.521,346.5
audjpy,d1,bear,100,2023-03-14T00:00:00+00:00,2023-03-15T00:00:00+00:00,1,89.901,384.5
audjpy,d1,bear,100,2023-03-16T00:00:00+00:00,2023-03-20T00:00:00+00:00,3,88.865,280.9
audjpy,d1,bear,100,2023-03-21T00:00:00+00:00,2023-03-23T00:00:00+00:00,2,88.418,236.2
audjpy,d1,bear,100,2023-03-30T00:00:00+00:00,2023-04-05T00:00:00+00:00,5,89.446,185.5
audjpy,d1,bear,100,2023-04-11T00:00:00+00:00,2023-04-26T00:00:00+00:00,13,88.884,101.6
audjpy,d1,bear,100,2023-04-30T00:00:00+00:00,2023-05-04T00:00:00+00:00,4,90.18,101.9
audjpy,d1,bear,100,2023-05-05T00:00:00+00:00,2023-05-11T00:00:00+00:00,5,90.995,120.3
audjpy,d1,bear,100,2023-05-17T00:00:00+00:00,2023-05-31T00:00:00+00:00,12,91.584,132.5
audjpy,d1,bear,100,2023-06-15T00:00:00+00:00,2023-06-23T00:00:00+00:00,7,96.493,179.6
audjpy,d1,bear,100,2023-06-25T00:00:00+00:00,2023-07-07T00:00:00+00:00,11,95.896,267.2
audjpy,d1,bear,100,2023-07-09T00:00:00+00:00,2023-07-11T00:00:00+00:00,2,95.107,332.1
audjpy,d1,bear,100,2023-07-12T00:00:00+00:00,2023-07-28T00:00:00+00:00,14,93.957,217.1
audjpy,d1,bear,100,2023-07-31T00:00:00+00:00,2023-08-01T00:00:00+00:00,1,95.584,279.6
audjpy,d1,bear,100,2023-08-09T00:00:00+00:00,2023-08-18T00:00:00+00:00,8,93.923,113.5
audjpy,d1,bear,100,2023-08-30T00:00:00+00:00,2023-09-05T00:00:00+00:00,5,94.648,106.5
audjpy,d1,bear,100,2023-09-10T00:00:00+00:00,2023-10-03T00:00:00+00:00,20,94.113,109.7
audjpy,d1,bear,100,2023-10-06T00:00:00+00:00,2023-10-13T00:00:00+00:00,6,95.3,125.3
audjpy,d1,bear,100,2023-10-17T00:00:00+00:00,2023-10-26T00:00:00+00:00,8,95.289,104.6
audjpy,d1,bear,100,2023-11-03T00:00:00+00:00,2023-11-09T00:00:00+00:00,5,97.245,121.3
audjpy,d1,bear,100,2023-11-14T00:00:00+00:00,2023-12-05T00:00:00+00:00,18,97.785,409.4
audjpy,d1,bear,100,2023-12-06T00:00:00+00:00,2023-12-07T00:00:00+00:00,1,96.421,273.0
audjpy,d1,bear,100,2023-12-11T00:00:00+00:00,2023-12-13T00:00:00+00:00,2,95.875,130.5
audjpy,d1,bear,100,2023-12-19T00:00:00+00:00,2023-12-25T00:00:00+00:00,4,97.267,143.1
