pair,timeframe,direction,threshold_pips,horizon_bars,condition,samples,base_rate,hit_rate,rate_diff,lift
usdcad,h4,bull,150,24,bb_below_mid,4551,0.13696581,0.13952977,0.00256396,1.01871972
usdchf,h4,bull,150,24,bb_below_mid,4446,0.06171123,0.06050382,-0.00120741,0.98043458
usdjpy,h4,bull,150,24,bb_below_mid,3885,0.30502805,0.31325611,0.00822806,1.02697476
audjpy,h4,bull,150,24,bb_above_mid,5325,0.19424013,0.17314554,-0.02109459,0.89139941
audnzd,h4,bull,150,24,bb_above_mid,5114,0.01897217,0.01212358,-0.00684858,0.63901937
audusd,h4,bull,150,24,bb_above_mid,4709,0.05727340,0.04077299,-0.01650042,0.71190091
eurgbp,h4,bull,150,24,bb_above_mid,4426,0.02847536,0.02959783,0.00112247,1.03941903
eurjpy,h4,bull,150,24,bb_above_mid,5363,0.30494305,0.29759463,-0.00734842,0.97590233
eurusd,h4,bull,150,24,bb_above_mid,4506,0.11566681,0.11074123,-0.00492558,0.95741582
gbpjpy,h4,bull,150,24,bb_above_mid,5504,0.42002301,0.39789244,-0.02213057,0.94731105
gbpusd,h4,bull,150,24,bb_above_mid,4649,0.19409466,0.19380512,-0.00028954,0.99850825
nzdusd,h4,bull,150,24,bb_above_mid,4476,0.04532700,0.03641644,-0.00891056,0.80341610
usdcad,h4,bull,150,24,bb_above_mid,4790,0.13696581,0.13382046,-0.00314535,0.97703549
usdchf,h4,bull,150,24,bb_above_mid,4885,0.06171123,0.06264074,0.00092951,1.01506220
usdjpy,h4,bull,150,24,bb_above_mid,5364,0.30502805,0.29921700,-0.00581105,0.98094913
audjpy,h4,bull,150,24,body_ratio_gt60,2830,0.19424013,0.20459364,0.01035351,1.05330261
audnzd,h4,bull,150,24,body_ratio_gt60,2607,0.01897217,0.02301496,0.00404279,1.21309071
audusd,h4,bull,150,24,body_ratio_gt60,2850,0.05727340,0.06315789,0.00588449,1.10274387
eurgbp,h4,bull,150,24,body_ratio_gt60,2620,0.02847536,0.02824427,-0.00023109,0.99188474
eurjpy,h4,bull,150,24,body_ratio_gt60,2795,0.30494305,0.31627907,0.01133602,1.03717424
eurusd,h4,bull,150,24,body_ratio_gt60,2863,0.11566681,0.11316801,-0.00249880,0.97839653
gbpjpy,h4,bull,150,24,body_ratio_gt60,2802,0.42002301,0.43611706,0.01609404,1.03831705
gbpusd,h4,bull,150,24,body_ratio_gt60,2850,0.19409466,0.19789474,0.00380008,1.01957848
nzdusd,h4,bull,150,24,body_ratio_gt60,2818,0.04532700,0.05039035,0.00506335,1.11170705
usdcad,h4,bull,150,24,body_ratio_gt60,2901,0.13696581,0.14305412,0.00608831,1.04445129
usdchf,h4,bull,150,24,body_ratio_gt60,2854,0.06171123,0.06587246,0.00416123,1.06743067
usdjpy,h4,bull,150,24,body_ratio_gt60,2901,0.30502805,0.31334023,0.00831217,1.02725052
audjpy,h4,bull,200,24,ema_stack_bull,4625,0.09603232,0.07827027,-0.01776205,0.81504090
audnzd,h4,bull,200,24,ema_stack_bull,4264,0.00396122,0.00281426,-0.00114696,0.71045226
audusd,h4,bull,200,24,ema_stack_bull,3285,0.01562002,0.01430746,-0.00131256,0.91596931
eurgbp,h4,bull,200,24,ema_stack_bull,2898,0.00672481,0.01242236,0.00569755,1.84724379
eurjpy,h4,bull,200,24,ema_stack_bull,4889,0.18664437,0.14563305,-0.04101132,0.78027026
eurusd,h4,bull,200,24,ema_stack_bull,2996,0.05179111,0.06308411,0.01129300,1.21804907
gbpjpy,h4,bull,200,24,ema_stack_bull,4786,0.28496705,0.23318011,-0.05178694,0.81827043
gbpusd,h4,bull,200,24,ema_stack_bull,3312,0.08923144,0.09208937,0.00285793,1.03202834
nzdusd,h4,bull,200,24,ema_stack_bull,2831,0.00820203,0.01448252,0.00628049,1.76572348
usdcad,h4,bull,200,24,ema_stack_bull,3686,0.05854701,0.07216495,0.01361794,1.23259839
usdchf,h4,bull,200,24,ema_stack_bull,3455,0.01454545,0.01157742,-0.00296803,0.79594790
usdjpy,h4,bull,200,24,ema_stack_bull,5055,0.19475615,0.15924827,-0.03550788,0.81768031
audjpy,h4,bull,200,24,ema_stack_bear,2277,0.09603232,0.15063680,0.05460448,1.56860524
audnzd,h4,bull,200,24,ema_stack_bear,2814,0.00396122,0.00604122,0.00208000,1.52509071
audusd,h4,bull,200,24,ema_stack_bear,3410,0.01562002,0.01876833,0.00314831,1.20155605
eurgbp,h4,bull,200,24,ema_stack_bear,3940,0.00672481,0.00380711,-0.00291770,0.56612865
eurjpy,h4,bull,200,24,ema_stack_bear,2070,0.18664437,0.27004831,0.08340394,1.44686017
eurusd,h4,bull,200,24,ema_stack_bear,3627,0.05179111,0.03997794,-0.01181317,0.77190745
gbpjpy,h4,bull,200,24,ema_stack_bear,2116,0.28496705,0.40170132,0.11673428,1.40964132
gbpusd,h4,bull,200,24,ema_stack_bear,3324,0.08923144,0.08604091,-0.00319052,0.96424441
nzdusd,h4,bull,200,24,ema_stack_bear,3761,0.00820203,0.00744483,-0.00075720,0.90768133
usdcad,h4,bull,200,24,ema_stack_bear,2851,0.05854701,0.03963522,-0.01891179,0.67698106
usdchf,h4,bull,200,24,ema_stack_bear,3479,0.01454545,0.02184536,0.00729990,1.50186835
usdjpy,h4,bull,200,24,ema_stack_bear,2045,0.19475615,0.28899756,0.09424140,1.48389437
audjpy,h4,bull,200,24,price_above_ema20,5428,0.09603232,0.08050847,-0.01552385,0.83834769
audnzd,h4,bull,200,24,price_above_ema20,5082,0.00396122,0.00118064,-0.00278058,0.29804884
audusd,h4,bull,200,24,price_above_ema20,4742,0.01562002,0.01054407,-0.00507594,0.67503594
eurgbp,h4,bull,200,24,price_above_ema20,4414,0.00672481,0.00521069,-0.00151411,0.77484637
eurjpy,h4,bull,200,24,price_above_ema20,5503,0.18664437,0.16754498,-0.01909940,0.89766958
eurusd,h4,bull,200,24,price_above_ema20,4541,0.05179111,0.05351244,0.00172133,1.03323607
gbpjpy,h4,bull,200,24,price_above_ema20,5592,0.28496705,0.26198140,-0.02298564,0.91933929
gbpusd,h4,bull,200,24,price_above_ema20,4608,0.08923144,0.08984375,0.00061231,1.00686207
nzdusd,h4,bull,200,24,price_above_ema20,4454,0.00820203,0.00606197,-0.00214006,0.73908137
usdcad,h4,bull,200,24,price_above_ema20,4790,0.05854701,0.05824635,-0.00030066,0.99486461
usdchf,h4,bull,200,24,price_above_ema20,4855,0.01454545,0.01524202,0.00069656,1.04788877
usdjpy,h4,bull,200,24,price_above_ema20,5470,0.19475615,0.17678245,-0.01797370,0.90771177
audjpy,h4,bull,200,24,price_above_200,6104,0.09603232,0.08093054,-0.01510178,0.84274269
audnzd,h4,bull,200,24,price_above_200,5708,0.00396122,0.00227751,-0.00168372,0.57495021
audusd,h4,bull,200,24,price_above_200,4592,0.01562002,0.01284843,-0.00277159,0.82256186
eurgbp,h4,bull,200,24,price_above_200,4092,0.00672481,0.01075269,0.00402788,1.59895833
eurjpy,h4,bull,200,24,price_above_200,6381,0.18664437,0.15937941,-0.02726496,0.85392024
eurusd,h4,bull,200,24,price_above_200,4216,0.05179111,0.06048387,0.00869276,1.16784274
gbpjpy,h4,bull,200,24,price_above_200,6345,0.28496705,0.24665091,-0.03831614,0.86554185
gbpusd,h4,bull,200,24,price_above_200,4688,0.08923144,0.08383106,-0.00540038,0.93947896
nzdusd,h4,bull,200,24,price_above_200,4108,0.00820203,0.00925024,0.00104821,1.12779942
usdcad,h4,bull,200,24,price_above_200,5102,0.05854701,0.06938456,0.01083755,1.18510846
usdchf,h4,bull,200,24,price_above_200,4582,0.01454545,0.01178525,-0.00276021,0.81023570
usdjpy,h4,bull,200,24,price_above_200,6256,0.19475615,0.16336317,-0.03139298,0.83880879
audjpy,h4,bull,200,24,rsi_lt30,468,0.09603232,0.12393162,0.02789930,1.29051992
audnzd,h4,bull,200,24,rsi_lt30,474,0.00396122,0.00632911,0.00236789,1.59776815
audusd,h4,bull,200,24,rsi_lt30,542,0.01562002,0.02214022,0.00652020,1.41742601
eurgbp,h4,bull,200,24,rsi_lt30,538,0.00672481,0.00929368,0.00256887,1.38199930
eurjpy,h4,bull,200,24,rsi_lt30,419,0.18664437,0.25298329,0.06633892,1.35542953
eurusd,h4,bull,200,24,rsi_lt30,601,0.05179111,0.06156406,0.00977295,1.18869939
gbpjpy,h4,bull,200,24,rsi_lt30,423,0.28496705,0.47990544,0.19493839,1.68407345
gbpusd,h4,bull,200,24,rsi_lt30,523,0.08923144,0.09942639,0.01019495,1.11425288
nzdusd,h4,bull,200,24,rsi_lt30,592,0.00820203,0.00675676,-0.00144527,0.82379090
usdcad,h4,bull,200,24,rsi_lt30,519,0.05854701,0.04238921,-0.01615780,0.72402008
usdchf,h4,bull,200,24,rsi_lt30,550,0.01454545,0.02181818,0.00727273,1.50000000
usdjpy,h4,bull,200,24,rsi_lt30,402,0.19475615,0.32089552,0.12613937,1.64767850
audjpy,h4,bull,200,24,rsi_30_45,2327,0.09603232,0.11989686,0.02386454,1.24850530
audnzd,h4,bull,200,24,rsi_30_45,2627,0.00396122,0.00875523,0.00479401,2.21023581
audusd,h4,bull,200,24,rsi_30_45,2825,0.01562002,0.02548673,0.00986671,1.63167058
eurgbp,h4,bull,200,24,rsi_30_45,3090,0.00672481,0.00550162,-0.00122319,0.81810781
eurjpy,h4,bull,200,24,rsi_30_45,2362,0.18664437,0.22692633,0.04028196,1.21582200
eurusd,h4,bull,200,24,rsi_30_45,2791,0.05179111,0.04836976,-0.00342135,0.93393945
gbpjpy,h4,bull,200,24,rsi_30_45,2230,0.28496705,0.32107623,0.03610919,1.12671355
gbpusd,h4,bull,200,24,rsi_30_45,2648,0.08923144,0.09516616,0.00593473,1.06650936
nzdusd,h4,bull,200,24,rsi_30_45,2875,0.00820203,0.01078261,0.00258058,1.31462700
usdcad,h4,bull,200,24,rsi_30_45,2714,0.05854701,0.05563744,-0.00290957,0.95030364
usdchf,h4,bull,200,24,rsi_30_45,2577,0.01454545,0.01280559,-0.00173987,0.88038417
usdjpy,h4,bull,200,24,rsi_30_45,2087,0.19475615,0.22664111,0.03188496,1.16371735
audjpy,h4,bull,200,24,rsi_45_55,2936,0.09603232,0.09638965,0.00035732,1.00372087
audnzd,h4,bull,200,24,rsi_45_55,2662,0.00396122,0.00338092,-0.00058031,0.85350350
audusd,h4,bull,200,24,rsi_45_55,2632,0.01562002,0.00911854,-0.00650148,0.58377272
eurgbp,h4,bull,200,24,rsi_45_55,2944,0.00672481,0.00747283,0.00074802,1.11123259
eurjpy,h4,bull,200,24,rsi_45_55,2661,0.18664437,0.17399474,-0.01264963,0.93222601
eurusd,h4,bull,200,24,rsi_45_55,2638,0.05179111,0.05231236,0.00052125,1.01006444
gbpjpy,h4,bull,200,24,rsi_45_55,2775,0.28496705,0.27351351,-0.01145353,0.95980752
gbpusd,h4,bull,200,24,rsi_45_55,2832,0.08923144,0.09074859,0.00151715,1.01700242
nzdusd,h4,bull,200,24,rsi_45_55,2618,0.00820203,0.00993125,0.00172922,1.21082787
usdcad,h4,bull,200,24,rsi_45_55,2612,0.05854701,0.06814701,0.00960001,1.16397089
usdchf,h4,bull,200,24,rsi_45_55,2777,0.01454545,0.01656464,0.00201918,1.13881887
usdjpy,h4,bull,200,24,rsi_45_55,2564,0.19475615,0.18135725,-0.01339890,0.93120168
audjpy,h4,bull,200,24,rsi_55_70,3172,0.09603232,0.06179067,-0.03424165,0.64343616
audnzd,h4,bull,200,24,rsi_55_70,3068,0.00396122,0.00097784,-0.00298339,0.24685206
audusd,h4,bull,200,24,rsi_55_70,2928,0.01562002,0.01024590,-0.00537412,0.65594680
eurgbp,h4,bull,200,24,rsi_55_70,2417,0.00672481,0.00455110,-0.00217371,0.67676226
eurjpy,h4,bull,200,24,rsi_55_70,3361,0.18664437,0.16304671,-0.02359766,0.87356886
eurusd,h4,bull,200,24,rsi_55_70,2707,0.05179111,0.05393424,0.00214314,1.04138037
gbpjpy,h4,bull,200,24,rsi_55_70,3342,0.28496705,0.25194494,-0.03302210,0.88411957
gbpusd,h4,bull,200,24,rsi_55_70,2675,0.08923144,0.08523364,-0.00399779,0.95519749
nzdusd,h4,bull,200,24,rsi_55_70,2723,0.00820203,0.00550863,-0.00269340,0.67161799
usdcad,h4,bull,200,24,rsi_55_70,2868,0.05854701,0.05125523,-0.00729178,0.87545430
usdchf,h4,bull,200,24,rsi_55_70,2813,0.01454545,0.01528617,0.00074072,1.05092428
usdjpy,h4,bull,200,24,rsi_55_70,3297,0.19475615,0.17167122,-0.02308493,0.88146750
audjpy,h4,bull,200,24,rsi_gt70,736,0.09603232,0.15081522,0.05478290,1.57046310
audnzd,h4,bull,200,24,rsi_gt70,748,0.00396122,0.00000000,-0.00396122,0.00000000
audusd,h4,bull,200,24,rsi_gt70,470,0.01562002,0.01914894,0.00352892,1.22592271
eurgbp,h4,bull,200,24,rsi_gt70,514,0.00672481,0.01750973,0.01078492,2.60375122
eurjpy,h4,bull,200,24,rsi_gt70,752,0.18664437,0.17686170,-0.00978267,0.94758658
eurusd,h4,bull,200,24,rsi_gt70,517,0.05179111,0.04642166,-0.00536945,0.89632495
gbpjpy,h4,bull,200,24,rsi_gt70,775,0.28496705,0.26322581,-0.02174124,0.92370612
gbpusd,h4,bull,200,24,rsi_gt70,520,0.08923144,0.06346154,-0.02576990,0.71120157
nzdusd,h4,bull,200,24,rsi_gt70,444,0.00820203,0.00000000,-0.00820203,0.00000000
usdcad,h4,bull,200,24,rsi_gt70,633,0.05854701,0.07898894,0.02044193,1.34915418
usdchf,h4,bull,200,24,rsi_gt70,619,0.01454545,0.00323102,-0.01131444,0.22213247
usdjpy,h4,bull,200,24,rsi_gt70,904,0.19475615,0.19026549,-0.00449066,0.97694212
audjpy,h4,bull,200,24,macd_hist_pos,4948,0.09603232,0.09599838,-0.00003394,0.99964659
audnzd,h4,bull,200,24,macd_hist_pos,4823,0.00396122,0.00269542,-0.00126580,0.68045113
audusd,h4,bull,200,24,macd_hist_pos,4633,0.01562002,0.01510900,-0.00051102,0.96728439
eurgbp,h4,bull,200,24,macd_hist_pos,4752,0.00672481,0.00378788,-0.00293693,0.56326941
eurjpy,h4,bull,200,24,macd_hist_pos,4847,0.18664437,0.18774500,0.00110062,1.00589691
eurusd,h4,bull,200,24,macd_hist_pos,4562,0.05179111,0.05480053,0.00300942,1.05810682
gbpjpy,h4,bull,200,24,macd_hist_pos,4844,0.28496705,0.26919901,-0.01576804,0.94466715
gbpusd,h4,bull,200,24,macd_hist_pos,4564,0.08923144,0.09268186,0.00345042,1.03866822
nzdusd,h4,bull,200,24,macd_hist_pos,4615,0.00820203,0.00498375,-0.00321828,0.60762388
usdcad,h4,bull,200,24,macd_hist_pos,4772,0.05854701,0.06035205,0.00180505,1.03083070
usdchf,h4,bull,200,24,macd_hist_pos,4869,0.01454545,0.01273362,-0.00181183,0.87543643
usdjpy,h4,bull,200,24,macd_hist_pos,4730,0.19475615,0.19006342,-0.00469273,0.97590461
audjpy,h4,bull,200,24,adx_gt25,4028,0.09603232,0.12288977,0.02685745,1.27967094
audnzd,h4,bull,200,24,adx_gt25,4243,0.00396122,0.00377092,-0.00019030,0.95195802
audusd,h4,bull,200,24,adx_gt25,3908,0.01562002,0.01740020,0.00178019,1.11396821
eurgbp,h4,bull,200,24,adx_gt25,4235,0.00672481,0.00826446,0.00153965,1.22895145
eurjpy,h4,bull,200,24,adx_gt25,4167,0.18664437,0.20686345,0.02021908,1.10832943
eurusd,h4,bull,200,24,adx_gt25,4101,0.05179111,0.04950012,-0.00229099,0.95576485
gbpjpy,h4,bull,200,24,adx_gt25,4029,0.28496705,0.32191611,0.03694906,1.12966082
gbpusd,h4,bull,200,24,adx_gt25,3871,0.08923144,0.07956600,-0.00966543,0.89168130
nzdusd,h4,bull,200,24,adx_gt25,3544,0.00820203,0.00592551,-0.00227652,0.72244416
usdcad,h4,bull,200,24,adx_gt25,4308,0.05854701,0.05199629,-0.00655072,0.88811175
usdchf,h4,bull,200,24,adx_gt25,4062,0.01454545,0.01206302,-0.00248243,0.82933284
usdjpy,h4,bull,200,24,adx_gt25,4124,0.19475615,0.20756547,0.01280932,1.06577107
audjpy,h4,bull,200,24,pdi_gt_mdi,4614,0.09603232,0.08625921,-0.00977311,0.89823103
audnzd,h4,bull,200,24,pdi_gt_mdi,3405,0.00396122,0.00088106,-0.00308016,0.22242059
audusd,h4,bull,200,24,pdi_gt_mdi,4540,0.01562002,0.01189427,-0.00372575,0.76147622
eurgbp,h4,bull,200,24,pdi_gt_mdi,3892,0.00672481,0.00590956,-0.00081525,0.87876975
eurjpy,h4,bull,200,24,pdi_gt_mdi,4819,0.18664437,0.17493256,-0.01171181,0.93725065
eurusd,h4,bull,200,24,pdi_gt_mdi,4617,0.05179111,0.05782976,0.00603865,1.11659627
gbpjpy,h4,bull,200,24,pdi_gt_mdi,4867,0.28496705,0.26196836,-0.02299869,0.91929352
gbpusd,h4,bull,200,24,pdi_gt_mdi,4450,0.08923144,0.08449438,-0.00473706,0.94691271
nzdusd,h4,bull,200,24,pdi_gt_mdi,4194,0.00820203,0.00929900,0.00109697,1.13374369
usdcad,h4,bull,200,24,pdi_gt_mdi,5133,0.05854701,0.06273135,0.00418434,1.07146971
usdchf,h4,bull,200,24,pdi_gt_mdi,4516,0.01454545,0.01727192,0.00272647,1.18744464
usdjpy,h4,bull,200,24,pdi_gt_mdi,4543,0.19475615,0.17961699,-0.01513916,0.92226609
audjpy,h4,bull,200,24,mdi_gt_pdi,5026,0.09603232,0.10525269,0.00922036,1.09601314
audnzd,h4,bull,200,24,mdi_gt_pdi,6175,0.00396122,0.00566802,0.00170679,1.43087577
audusd,h4,bull,200,24,mdi_gt_pdi,4858,0.01562002,0.01914368,0.00352366,1.22558624
eurgbp,h4,bull,200,24,mdi_gt_pdi,5612,0.00672481,0.00730577,0.00058097,1.08639133
eurjpy,h4,bull,200,24,mdi_gt_pdi,4737,0.18664437,0.19907114,0.01242677,1.06657993
eurusd,h4,bull,200,24,mdi_gt_pdi,4638,0.05179111,0.04592497,-0.00586614,0.88673458
gbpjpy,h4,bull,200,24,mdi_gt_pdi,4679,0.28496705,0.30968156,0.02471451,1.08672760
gbpusd,h4,bull,200,24,mdi_gt_pdi,4749,0.08923144,0.09391451,0.00468307,1.05248230
nzdusd,h4,bull,200,24,mdi_gt_pdi,5059,0.00820203,0.00731370,-0.00088833,0.89169380
usdcad,h4,bull,200,24,mdi_gt_pdi,4214,0.05854701,0.05363075,-0.00491625,0.91602895
usdchf,h4,bull,200,24,mdi_gt_pdi,4821,0.01454545,0.01203070,-0.00251476,0.82711056
usdjpy,h4,bull,200,24,mdi_gt_pdi,4712,0.19475615,0.20988964,0.01513349,1.07770483
audjpy,h4,bull,200,24,atr_high,2888,0.09603232,0.13054017,0.03450784,1.35933573
audnzd,h4,bull,200,24,atr_high,3036,0.00396122,0.00559947,0.00163825,1.41357222
audusd,h4,bull,200,24,atr_high,2734,0.01562002,0.03511339,0.01949337,2.24797337
eurgbp,h4,bull,200,24,atr_high,2860,0.00672481,0.01083916,0.00411435,1.61181709
eurjpy,h4,bull,200,24,atr_high,3096,0.18664437,0.20155039,0.01490602,1.07986319
eurusd,h4,bull,200,24,atr_high,2775,0.05179111,0.08288288,0.03109177,1.60033033
gbpjpy,h4,bull,200,24,atr_high,2859,0.28496705,0.32039175,0.03542470,1.12431156
gbpusd,h4,bull,200,24,atr_high,2533,0.08923144,0.11014607,0.02091463,1.23438639
nzdusd,h4,bull,200,24,atr_high,2734,0.00820203,0.01316752,0.00496549,1.60539791
usdcad,h4,bull,200,24,atr_high,2810,0.05854701,0.06049822,0.00195121,1.03332727
usdchf,h4,bull,200,24,atr_high,2877,0.01454545,0.01147028,-0.00307517,0.78858186
usdjpy,h4,bull,200,24,atr_high,2885,0.19475615,0.17435009,-0.02040606,0.89522249
audjpy,h4,bull,200,24,atr_low,3502,0.09603232,0.08195317,-0.01407915,0.85339153
audnzd,h4,bull,200,24,atr_low,3114,0.00396122,0.00289017,-0.00107105,0.72961667
audusd,h4,bull,200,24,atr_low,3434,0.01562002,0.00349447,-0.01212555,0.22371721
eurgbp,h4,bull,200,24,atr_low,3410,0.00672481,0.00498534,-0.00173947,0.74133523
eurjpy,h4,bull,200,24,atr_low,3435,0.18664437,0.17641921,-0.01022516,0.94521582
eurusd,h4,bull,200,24,atr_low,3335,0.05179111,0.04137931,-0.01041180,0.79896552
gbpjpy,h4,bull,200,24,atr_low,3669,0.28496705,0.27636958,-0.00859746,0.96982997
gbpusd,h4,bull,200,24,atr_low,3463,0.08923144,0.07334681,-0.01588463,0.82198395
nzdusd,h4,bull,200,24,atr_low,3360,0.00820203,0.00684524,-0.00135679,0.83457863
usdcad,h4,bull,200,24,atr_low,3283,0.05854701,0.04964971,-0.00889730,0.84803155
usdchf,h4,bull,200,24,atr_low,3343,0.01454545,0.01435836,-0.00018709,0.98713730
usdjpy,h4,bull,200,24,atr_low,3323,0.19475615,0.19891664,0.00416049,1.02136257
audjpy,h4,bull,200,24,bb_below_mid,4309,0.09603232,0.11232304,0.01629072,1.16963792
audnzd,h4,bull,200,24,bb_below_mid,4460,0.00396122,0.00717489,0.00321367,1.81128157
audusd,h4,bull,200,24,bb_below_mid,4683,0.01562002,0.02028614,0.00466612,1.29872705
eurgbp,h4,bull,200,24,bb_below_mid,5072,0.00672481,0.00867508,0.00195027,1.29001134
eurjpy,h4,bull,200,24,bb_below_mid,4187,0.18664437,0.20945785,0.02281347,1.12222963
eurusd,h4,bull,200,24,bb_below_mid,4743,0.05179111,0.05123340,-0.00055771,0.98923150
gbpjpy,h4,bull,200,24,bb_below_mid,4036,0.28496705,0.30723489,0.02226784,1.07814180
gbpusd,h4,bull,200,24,bb_below_mid,4544,0.08923144,0.09066901,0.00143758,1.01611065
nzdusd,h4,bull,200,24,bb_below_mid,4771,0.00820203,0.01089918,0.00269715,1.32883981
usdcad,h4,bull,200,24,bb_below_mid,4551,0.05854701,0.05822896,-0.00031805,0.99456765
usdchf,h4,bull,200,24,bb_below_mid,4446,0.01454545,0.01349528,-0.00105018,0.92780027
usdjpy,h4,bull,200,24,bb_below_mid,3885,0.19475615,0.21312741,0.01837126,1.09432957
audjpy,h4,bull,200,24,bb_above_mid,5325,0.09603232,0.08319249,-0.01283983,0.86629675
audnzd,h4,bull,200,24,bb_above_mid,5114,0.00396122,0.00117325,-0.00278797,0.29618385
audusd,h4,bull,200,24,bb_above_mid,4709,0.01562002,0.01104268,-0.00457733,0.70695715
eurgbp,h4,bull,200,24,bb_above_mid,4426,0.00672481,0.00451875,-0.00220606,0.67195267
eurjpy,h4,bull,200,24,bb_above_mid,5363,0.18664437,0.16949469,-0.01714969,0.90811570
eurusd,h4,bull,200,24,bb_above_mid,4506,0.05179111,0.05259654,0.00080543,1.01555149
gbpjpy,h4,bull,200,24,bb_above_mid,5504,0.28496705,0.26962209,-0.01534495,0.94615183
gbpusd,h4,bull,200,24,bb_above_mid,4649,0.08923144,0.08819101,-0.00104043,0.98834011
nzdusd,h4,bull,200,24,bb_above_mid,4476,0.00820203,0.00536193,-0.00284010,0.65373219
usdcad,h4,bull,200,24,bb_above_mid,4790,0.05854701,0.05908142,0.00053441,1.00912790
usdchf,h4,bull,200,24,bb_above_mid,4885,0.01454545,0.01555783,0.00101238,1.06960082
usdjpy,h4,bull,200,24,bb_above_mid,5364,0.19475615,0.18214019,-0.01261596,0.93522178
audjpy,h4,bull,200,24,body_ratio_gt60,2830,0.09603232,0.09717314,0.00114082,1.01187958
audnzd,h4,bull,200,24,body_ratio_gt60,2607,0.00396122,0.00460299,0.00064177,1.16201320
audusd,h4,bull,200,24,body_ratio_gt60,2850,0.01562002,0.01438596,-0.00123405,0.92099535
eurgbp,h4,bull,200,24,body_ratio_gt60,2620,0.00672481,0.00648855,-0.00023626,0.96486760
eurjpy,h4,bull,200,24,body_ratio_gt60,2795,0.18664437,0.19856887,0.01192450,1.06388888
eurusd,h4,bull,200,24,body_ratio_gt60,2863,0.05179111,0.05239260,0.00060149,1.01161369
gbpjpy,h4,bull,200,24,body_ratio_gt60,2802,0.28496705,0.29229122,0.00732417,1.02570183
gbpusd,h4,bull,200,24,body_ratio_gt60,2850,0.08923144,0.09192982,0.00269839,1.03024032
nzdusd,h4,bull,200,24,body_ratio_gt60,2818,0.00820203,0.01100071,0.00279868,1.34121811
usdcad,h4,bull,200,24,body_ratio_gt60,2901,0.05854701,0.05825577,-0.00029123,0.99502563
usdchf,h4,bull,200,24,body_ratio_gt60,2854,0.01454545,0.01541696,0.00087150,1.05991591
usdjpy,h4,bull,200,24,body_ratio_gt60,2901,0.19475615,0.20165460,0.00689845,1.03542097
audjpy,h4,bull,300,24,ema_stack_bull,4625,0.01895784,0.02118919,0.00223135,1.11770078
audnzd,h4,bull,300,24,ema_stack_bull,4264,0.00000000,0.00000000,0.00000000,
audusd,h4,bull,300,24,ema_stack_bull,3285,0.00170014,0.00182648,0.00012635,1.07431507
eurgbp,h4,bull,300,24,ema_stack_bull,2898,0.00252180,0.00828157,0.00575977,3.28398896
eurjpy,h4,bull,300,24,ema_stack_bull,4889,0.05935834,0.04274903,-0.01660932,0.72018566
eurusd,h4,bull,300,24,ema_stack_bull,2996,0.01165300,0.01468625,0.00303325,1.26029768
gbpjpy,h4,bull,300,24,ema_stack_bull,4786,0.11769013,0.08503970,-0.03265044,0.72257287
gbpusd,h4,bull,300,24,ema_stack_bull,3312,0.02420756,0.01932367,-0.00488388,0.79824960
nzdusd,h4,bull,300,24,ema_stack_bull,2831,0.00183466,0.00176616,-0.00006850,0.96266129
usdcad,h4,bull,300,24,ema_stack_bull,3686,0.01260684,0.01736300,0.00475616,1.37726809
usdchf,h4,bull,300,24,ema_stack_bull,3455,0.00064171,0.00000000,-0.00064171,0.00000000
usdjpy,h4,bull,300,24,ema_stack_bull,5055,0.06063876,0.04134520,-0.01929355,0.68182801
audjpy,h4,bull,300,24,ema_stack_bear,2277,0.01895784,0.02547211,0.00651428,1.34361913
audnzd,h4,bull,300,24,ema_stack_bear,2814,0.00000000,0.00000000,0.00000000,
audusd,h4,bull,300,24,ema_stack_bear,3410,0.00170014,0.00293255,0.00123241,1.72489003
eurgbp,h4,bull,300,24,ema_stack_bear,3940,0.00252180,0.00000000,-0.00252180,0.00000000
eurjpy,h4,bull,300,24,ema_stack_bear,2070,0.05935834,0.11304348,0.05368513,1.90442437
eurusd,h4,bull,300,24,ema_stack_bear,3627,0.01165300,0.00358423,-0.00806877,0.30757998
gbpjpy,h4,bull,300,24,ema_stack_bear,2116,0.11769013,0.20604915,0.08835901,1.75077673
gbpusd,h4,bull,300,24,ema_stack_bear,3324,0.02420756,0.02406739,-0.00014017,0.99420980
nzdusd,h4,bull,300,24,ema_stack_bear,3761,0.00183466,0.00319064,0.00135598,1.73908691
usdcad,h4,bull,300,24,ema_stack_bear,2851,0.01260684,0.00982112,-0.00278572,0.77903085
usdchf,h4,bull,300,24,ema_stack_bear,3479,0.00064171,0.00143719,0.00079548,2.23962825
usdjpy,h4,bull,300,24,ema_stack_bear,2045,0.06063876,0.10806846,0.04742970,1.78216812
audjpy,h4,bull,300,24,price_above_ema20,5428,0.01895784,0.01750184,-0.00145599,0.92319827
audnzd,h4,bull,300,24,price_above_ema20,5082,0.00000000,0.00000000,0.00000000,
audusd,h4,bull,300,24,price_above_ema20,4742,0.00170014,0.00000000,-0.00170014,0.00000000
eurgbp,h4,bull,300,24,price_above_ema20,4414,0.00252180,0.00294517,0.00042337,1.16788438
eurjpy,h4,bull,300,24,price_above_ema20,5503,0.05935834,0.04779211,-0.01156623,0.80514566
