pair,timeframe,direction,threshold_pips,horizon_bars,condition,samples,base_rate,hit_rate,rate_diff,lift
gbpusd,h4,bull,150,1,rsi_30_45,2648,0.00217108,0.00302115,0.00085007,1.39154079
nzdusd,h4,bull,150,1,rsi_30_45,2875,0.00010792,0.00034783,0.00023990,3.22295652
usdcad,h4,bull,150,1,rsi_30_45,2714,0.00053419,0.00073692,0.00020273,1.37951363
usdchf,h4,bull,150,1,rsi_30_45,2577,0.00010695,0.00038805,0.00028110,3.62824990
usdjpy,h4,bull,150,1,rsi_30_45,2087,0.00312905,0.00670819,0.00357915,2.14384614
audjpy,h4,bull,150,1,rsi_45_55,2936,0.00062157,0.00034060,-0.00028097,0.54796776
audnzd,h4,bull,150,1,rsi_45_55,2662,0.00000000,0.00000000,0.00000000,
audusd,h4,bull,150,1,rsi_45_55,2632,0.00021252,0.00000000,-0.00021252,0.00000000
eurgbp,h4,bull,150,1,rsi_45_55,2944,0.00010508,0.00000000,-0.00010508,0.00000000
eurjpy,h4,bull,150,1,rsi_45_55,2661,0.00313512,0.00300639,-0.00012874,0.95893774
eurusd,h4,bull,150,1,rsi_45_55,2638,0.00043159,0.00000000,-0.00043159,0.00000000
gbpjpy,h4,bull,150,1,rsi_45_55,2775,0.00742756,0.00468468,-0.00274287,0.63071691
gbpusd,h4,bull,150,1,rsi_45_55,2832,0.00217108,0.00141243,-0.00075865,0.65056497
nzdusd,h4,bull,150,1,rsi_45_55,2618,0.00010792,0.00000000,-0.00010792,0.00000000
usdcad,h4,bull,150,1,rsi_45_55,2612,0.00053419,0.00076570,0.00023151,1.43338438
usdchf,h4,bull,150,1,rsi_45_55,2777,0.00010695,0.00000000,-0.00010695,0.00000000
usdjpy,h4,bull,150,1,rsi_45_55,2564,0.00312905,0.00195008,-0.00117897,0.62321803
audjpy,h4,bull,150,1,rsi_55_70,3172,0.00062157,0.00000000,-0.00062157,0.00000000
audnzd,h4,bull,150,1,rsi_55_70,3068,0.00000000,0.00000000,0.00000000,
audusd,h4,bull,150,1,rsi_55_70,2928,0.00021252,0.00000000,-0.00021252,0.00000000
eurgbp,h4,bull,150,1,rsi_55_70,2417,0.00010508,0.00000000,-0.00010508,0.00000000
eurjpy,h4,bull,150,1,rsi_55_70,3361,0.00313512,0.00148765,-0.00164747,0.47451155
eurusd,h4,bull,150,1,rsi_55_70,2707,0.00043159,0.00036941,-0.00006218,0.85592907
gbpjpy,h4,bull,150,1,rsi_55_70,3342,0.00742756,0.00448833,-0.00293922,0.60428098
gbpusd,h4,bull,150,1,rsi_55_70,2675,0.00217108,0.00186916,-0.00030192,0.86093458
nzdusd,h4,bull,150,1,rsi_55_70,2723,0.00010792,0.00000000,-0.00010792,0.00000000
usdcad,h4,bull,150,1,rsi_55_70,2868,0.00053419,0.00034868,-0.00018551,0.65271967
usdchf,h4,bull,150,1,rsi_55_70,2813,0.00010695,0.00000000,-0.00010695,0.00000000
usdjpy,h4,bull,150,1,rsi_55_70,3297,0.00312905,0.00121322,-0.00191582,0.38772970
audjpy,h4,bull,150,1,rsi_gt70,736,0.00062157,0.00000000,-0.00062157,0.00000000
audnzd,h4,bull,150,1,rsi_gt70,748,0.00000000,0.00000000,0.00000000,
audusd,h4,bull,150,1,rsi_gt70,470,0.00021252,0.00000000,-0.00021252,0.00000000
eurgbp,h4,bull,150,1,rsi_gt70,514,0.00010508,0.00194553,0.00184045,18.51556420
eurjpy,h4,bull,150,1,rsi_gt70,752,0.00313512,0.00265957,-0.00047555,0.84831560
eurusd,h4,bull,150,1,rsi_gt70,517,0.00043159,0.00193424,0.00150264,4.48162476
gbpjpy,h4,bull,150,1,rsi_gt70,775,0.00742756,0.00774194,0.00031438,1.04232622
gbpusd,h4,bull,150,1,rsi_gt70,520,0.00217108,0.00000000,-0.00217108,0.00000000
nzdusd,h4,bull,150,1,rsi_gt70,444,0.00010792,0.00000000,-0.00010792,0.00000000
usdcad,h4,bull,150,1,rsi_gt70,633,0.00053419,0.00000000,-0.00053419,0.00000000
usdchf,h4,bull,150,1,rsi_gt70,619,0.00010695,0.00000000,-0.00010695,0.00000000
usdjpy,h4,bull,150,1,rsi_gt70,904,0.00312905,0.00221239,-0.00091666,0.70704913
audjpy,h4,bull,150,1,macd_hist_pos,4948,0.00062157,0.00060631,-0.00001526,0.97544462
audnzd,h4,bull,150,1,macd_hist_pos,4823,0.00000000,0.00000000,0.00000000,
audusd,h4,bull,150,1,macd_hist_pos,4633,0.00021252,0.00021584,0.00000333,1.01564861
eurgbp,h4,bull,150,1,macd_hist_pos,4752,0.00010508,0.00021044,0.00010536,2.00273569
eurjpy,h4,bull,150,1,macd_hist_pos,4847,0.00313512,0.00206313,-0.00107199,0.65807028
eurusd,h4,bull,150,1,macd_hist_pos,4562,0.00043159,0.00065761,0.00022601,1.52367383
gbpjpy,h4,bull,150,1,macd_hist_pos,4844,0.00742756,0.00763832,0.00021076,1.02837546
gbpusd,h4,bull,150,1,macd_hist_pos,4564,0.00217108,0.00241017,0.00023909,1.11012270
