timeframe,target_pips,horizon_bars,conditions,discovery_n,discovery_hit,discovery_lift,validation_n,validation_hit,validation_lift,validation_wilson95,oos_n,oos_hit,oos_lift,oos_wilson95
d1,50,10,nr4+elliott_pullback_bull+mtf_volatility,171,0.82456140,1.15193424,33,0.78787879,1.07336697,0.62248355,24,0.87500000,1.28101504,0.68996119
d1,50,5,sma_stack_bull+adx25+atr_expand+mtf_volatility,145,0.75862069,1.24582321,17,0.76470588,1.27033848,0.52738202,45,0.82222222,1.45355239,0.68670175
d1,50,5,sma_stack_bull+adx25+atr_expand,155,0.74193548,1.21842241,17,0.76470588,1.27033848,0.52738202,45,0.82222222,1.45355239,0.68670175
d1,50,3,volatility+nr7,378,0.61375661,1.23113018,72,0.61111111,1.26255959,0.49562355,80,0.78750000,1.78596090,0.68577844
d1,50,10,sma_stack_bull+pin_bull,195,0.84615385,1.18209946,51,0.86274510,1.17536111,0.74278308,63,0.79365079,1.16191840,0.67830186
d1,50,10,rci_bull+volatility+nr4+cross_target_relative_up,158,0.83544304,1.16713617,65,0.84615385,1.15275801,0.73944680,27,0.85185185,1.24712575,0.67521315
d1,50,5,sma_stack_bull+nr4+mtf_volatility,319,0.75235110,1.23552715,93,0.63440860,1.05388709,0.53301092,66,0.78787879,1.39283889,0.67486929
d1,50,10,price200_bull+volatility+nr4+cross_group_bull,135,0.82222222,1.14866634,55,0.78181818,1.06511030,0.65629966,31,0.83870968,1.22788538,0.67365646
d1,50,10,ema200_rising+volatility+nr4+cross_group_bull,135,0.82222222,1.14866634,55,0.78181818,1.06511030,0.65629966,31,0.83870968,1.22788538,0.67365646
d1,50,5,price200_bull+volatility+nr4+mtf_di_bull,298,0.77516779,1.27299721,57,0.73684211,1.22405084,0.61023421,50,0.80000000,1.41426719,0.66962894
d1,50,10,price200_bull+volatility+nr4+mtf_di_bull,298,0.84563758,1.18137823,57,0.82456140,1.12334154,0.70632647,50,0.80000000,1.17121375,0.66962894
d1,50,10,ema200_rising+volatility+nr4+mtf_di_bull,298,0.84563758,1.18137823,57,0.82456140,1.12334154,0.70632647,50,0.80000000,1.17121375,0.66962894
d1,50,10,sma_stack_bull+bb_expand+pullback_bull+mtf_volatility,160,0.81875000,1.14381556,46,0.63043478,0.85887307,0.48600096,50,0.80000000,1.17121375,0.66962894
d1,50,10,price200_bull+macd_bull+volatility+pullback_bull,463,0.81425486,1.13753572,72,0.88888889,1.21097812,0.79577062,90,0.76666667,1.12241318,0.66948294
d1,50,10,ema200_rising+macd_bull+volatility+pullback_bull,463,0.81425486,1.13753572,72,0.88888889,1.21097812,0.79577062,90,0.76666667,1.12241318,0.66948294
