timeframe,direction,horizon_bars,base_feature,added_feature,disc_n,disc_rate,disc_increment,val_n,val_rate,val_increment,oos_n,oos_rate,oos_increment
h4,bull,1,bb_expand,macd_cross_up,307,0.05863192,0.00133574,68,0.07352941,0.01566525,57,0.03508772,-0.00150133
h4,bull,1,bb_expand,macd_accel_up,9292,0.05251830,-0.00477789,2299,0.06176599,0.00390182,1733,0.02942874,-0.00716032
h4,bull,1,bb_expand,adx_up3,8301,0.06131791,0.00402173,1996,0.06462926,0.00676509,1574,0.04574333,0.00915428
h4,bull,1,bb_expand,adx_cross25_up,908,0.05396476,-0.00333143,205,0.06341463,0.00555047,161,0.05590062,0.01931157
h4,bull,1,bb_expand,di_cross_up,364,0.04670330,-0.01059289,101,0.11881188,0.06094772,80,0.02500000,-0.01158905
h4,bull,1,bb_expand,di_spread_up3,5446,0.05398458,-0.00331161,1376,0.06613372,0.00826956,1073,0.04193849,0.00534944
h4,bull,1,bb_expand,ema20_slope_up3,9454,0.05130104,-0.00599515,2414,0.05509528,-0.00276889,1817,0.03192075,-0.00466831
h4,bull,1,bb_expand,price20_cross_up,199,0.04020101,-0.01709518,62,0.08064516,0.02278100,30,,
h4,bull,1,bb_expand,price200_cross_up,394,0.07106599,0.01376981,120,0.05833333,0.00046917,84,0.04761905,0.01102999
h4,bull,1,bb_expand,breakout20_up,2976,0.06552419,0.00822801,728,0.06043956,0.00257540,581,0.04302926,0.00644021
h4,bull,1,bb_expand,atr_expand,2638,0.08908264,0.03178645,511,0.06849315,0.01062899,470,0.07234043,0.03575137
h4,bull,1,bb_expand,body_expand,5391,0.06492302,0.00762684,1318,0.06828528,0.01042112,993,0.04431017,0.00772112
h4,bull,1,adx25,trend_bull,13114,0.05246302,-0.00346791,3143,0.04199809,-0.01341560,1909,0.01885804,-0.01509258
h4,bull,1,adx25,price20_bull,16944,0.05158168,-0.00434925,3952,0.04554656,-0.00986713,2937,0.02247191,-0.01147871
h4,bull,1,adx25,price200_bull,17679,0.05141694,-0.00451400,4202,0.04355069,-0.01186300,2928,0.01775956,-0.01619105
h4,bull,1,adx25,ema20_rising,16944,0.05158168,-0.00434925,3952,0.04554656,-0.00986713,2937,0.02247191,-0.01147871
h4,bull,1,adx25,ema200_rising,17679,0.05141694,-0.00451400,4202,0.04355069,-0.01186300,2928,0.01775956,-0.01619105
h4,bull,1,adx25,momentum_bull,12005,0.04731362,-0.00861731,2887,0.04191202,-0.01350167,1980,0.02171717,-0.01223345
h4,bull,1,adx25,rsi60,10842,0.05008301,-0.00584792,2448,0.04166667,-0.01374702,1660,0.01927711,-0.01467351
h4,bull,1,adx25,macd_bull,17384,0.05263461,-0.00329632,3830,0.05091384,-0.00449985,3273,0.03330278,-0.00064784
h4,bull,1,adx25,macd_rising,17559,0.05592574,-0.00000519,3943,0.05731676,0.00190308,3200,0.03281250,-0.00113812
h4,bull,1,adx25,adx_rising,18328,0.05537975,-0.00055118,4105,0.05895250,0.00353881,3226,0.03936764,0.00541702
h4,bull,1,adx25,di_bull,15804,0.05144267,-0.00448826,3610,0.04404432,-0.01136937,2426,0.02102226,-0.01292836
h4,bull,1,adx25,di_strong_bull,13624,0.05035232,-0.00557861,3113,0.04240283,-0.01301086,2063,0.02084343,-0.01310719
h4,bull,1,adx25,volatility,13559,0.07743934,0.02150841,2791,0.07810820,0.02269452,2339,0.05643437,0.02248376
h4,bull,1,adx25,bb_bull,17145,0.05161855,-0.00431238,3965,0.04615385,-0.00925984,3011,0.02391232,-0.01003830
h4,bull,1,adx25,bb_upper,8017,0.05276288,-0.00316805,1846,0.04875406,-0.00665962,1392,0.02658046,-0.00737016
h4,bull,1,adx25,body_bull,5348,0.06320120,0.00727027,1181,0.05757832,0.00216464,971,0.03604531,0.00209470
h4,bull,1,adx25,rsi_up1,7391,0.06453795,0.00860702,1675,0.06268657,0.00727288,1333,0.03525881,0.00130820
h4,bull,1,adx25,rsi_up3,8620,0.05707657,0.00114564,1916,0.07098121,0.01556752,1605,0.03115265,-0.00279797
h4,bull,1,adx25,rsi_cross50_up,1170,0.06153846,0.00560753,265,0.06792453,0.01251084,241,0.02074689,-0.01320373
h4,bull,1,adx25,rsi_cross55_up,983,0.05493388,-0.00099706,228,0.06140351,0.00598982,182,0.03296703,-0.00098358
h4,bull,1,adx25,macd_cross_up,1296,0.06172840,0.00579746,278,0.04676259,-0.00865110,217,0.01382488,-0.02012573
h4,bull,1,adx25,macd_accel_up,17559,0.05592574,-0.00000519,3943,0.05731676,0.00190308,3200,0.03281250,-0.00113812
h4,bull,1,adx25,adx_up3,9215,0.05946826,0.00353733,2052,0.05896686,0.00355317,1731,0.04332756,0.00937694
h4,bull,1,adx25,adx_cross25_up,1464,0.05191257,-0.00401836,345,0.05797101,0.00255733,247,0.03643725,0.00248663
h4,bull,1,adx25,di_cross_up,681,0.08223201,0.02630108,154,0.10389610,0.04848242,106,0.00943396,-0.02451666
h4,bull,1,adx25,di_spread_up3,8994,0.05992884,0.00399791,1993,0.07024586,0.01483217,1656,0.03442029,0.00046967
h4,bull,1,adx25,ema20_slope_up3,16869,0.05175173,-0.00417920,3929,0.04504963,-0.01036406,2878,0.02189020,-0.01206042
h4,bull,1,adx25,price20_cross_up,1518,0.06258235,0.00665141,364,0.05494505,-0.00046863,310,0.02258065,-0.01136997
h4,bull,1,adx25,price200_cross_up,504,0.07142857,0.01549764,122,0.07377049,0.01835680,112,0.02678571,-0.00716490
h4,bull,1,adx25,breakout20_up,2351,0.07358571,0.01765478,527,0.07210626,0.01669257,366,0.03825137,0.00430075
h4,bull,1,adx25,atr_expand,2444,0.09656301,0.04063208,473,0.08245243,0.02703874,347,0.06051873,0.02656811
h4,bull,1,adx25,bb_expand,8825,0.06900850,0.01307757,1909,0.06181247,0.00639878,1557,0.03468208,0.00073146
h4,bull,1,adx25,body_expand,9933,0.05688110,0.00095017,2317,0.06301252,0.00759883,1820,0.03516484,0.00121422
h4,bull,1,body_bull,trend_bull,4901,0.05284636,-0.00253274,1341,0.04026846,-0.01018260,1014,0.02564103,-0.00565088
