conditions,pair,event_timestamp,hit100,hit150,hit200,hit300
price20+price200+macd+volatility,audjpy,2024-11-27 12:00:00+00:00,0,1,0,0
price20+price200+macd+volatility,audjpy,2024-12-02 16:00:00+00:00,1,0,0,0
price20+price200+macd+volatility,audjpy,2025-01-13 12:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audjpy,2025-01-17 00:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audjpy,2025-01-27 12:00:00+00:00,1,0,0,0
price20+price200+macd+volatility,audjpy,2025-02-03 04:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audjpy,2025-02-03 12:00:00+00:00,1,0,0,0
price20+price200+macd+volatility,audjpy,2025-02-06 04:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audjpy,2025-02-06 20:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audjpy,2025-02-25 16:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audjpy,2025-02-26 20:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audjpy,2025-02-28 00:00:00+00:00,1,0,0,0
price20+price200+macd+volatility,audjpy,2025-03-04 04:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audjpy,2025-03-04 16:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audjpy,2025-03-07 16:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audjpy,2025-03-10 00:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audjpy,2025-03-10 16:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audjpy,2025-03-11 08:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audjpy,2025-04-03 00:00:00+00:00,1,0,0,0
price20+price200+macd+volatility,audjpy,2025-04-04 04:00:00+00:00,1,1,1,0
price20+price200+macd+volatility,audjpy,2025-04-04 12:00:00+00:00,1,1,1,0
price20+price200+macd+volatility,audjpy,2025-04-07 00:00:00+00:00,1,1,1,0
price20+price200+macd+volatility,audjpy,2025-04-07 08:00:00+00:00,1,0,0,0
price20+price200+macd+volatility,audjpy,2025-04-07 16:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audjpy,2025-10-16 16:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audjpy,2026-04-30 12:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audjpy,2026-07-30 16:00:00+00:00,1,1,1,0
price20+price200+macd+volatility,audjpy,2026-07-31 16:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audjpy,2026-08-02 20:00:00+00:00,1,1,0,0
price20+price200+macd+volatility,audjpy,2026-08-03 04:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audjpy,2026-09-03 04:00:00+00:00,0,1,0,0
price20+price200+macd+volatility,audjpy,2026-09-03 12:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audjpy,2026-09-07 12:00:00+00:00,1,0,0,0
price20+price200+macd+volatility,audjpy,2026-09-08 04:00:00+00:00,1,0,0,0
price20+price200+macd+volatility,audnzd,2021-01-29 12:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audnzd,2021-02-02 16:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audnzd,2021-04-15 04:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audnzd,2021-07-14 04:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audnzd,2021-07-16 00:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audnzd,2021-08-23 00:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audnzd,2021-08-25 04:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audnzd,2021-11-01 08:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audnzd,2021-11-03 20:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audnzd,2022-03-09 04:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audnzd,2022-06-20 04:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audnzd,2022-10-06 00:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audnzd,2022-10-28 04:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audnzd,2022-11-01 08:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audnzd,2022-12-01 12:00:00+00:00,1,0,0,0
price20+price200+macd+volatility,audnzd,2022-12-02 16:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audnzd,2023-03-07 16:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audnzd,2023-03-10 20:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audnzd,2023-04-06 04:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audnzd,2023-06-23 16:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audnzd,2023-07-28 00:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audnzd,2023-08-01 08:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audnzd,2023-08-02 00:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audnzd,2023-09-21 12:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audnzd,2023-09-25 12:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audnzd,2023-09-28 00:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audnzd,2023-10-04 00:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audnzd,2023-11-29 04:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audnzd,2023-12-01 04:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audnzd,2024-02-02 00:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audnzd,2024-02-07 16:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audnzd,2024-05-22 04:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audnzd,2024-07-31 04:00:00+00:00,1,0,0,0
price20+price200+macd+volatility,audnzd,2024-08-01 20:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audnzd,2024-11-28 08:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audnzd,2024-12-01 20:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audnzd,2025-03-05 00:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audnzd,2025-03-11 16:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audnzd,2025-04-03 00:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,audnzd,2025-04-04 12:00:00+00:00,1,0,0,0
