timeframe,direction,target_pips,conditions,discovery_samples,validation_samples,oos_samples,discovery_lift,validation_lift,oos_lift,oos_pairs_n_ge5,oos_pairs_positive_lift,oos_pair_positive_share,oos_min_pair_lift,oos_median_pair_lift,oos_recomputed_samples,oos_recomputed_hit_rate,oos_wilson95_lower
h4,bull,300,price20+macd+adx+di,986,228,112,2.26092887,0.00000000,0.00000000,11,0,0.00000000,0.00000000,0.00000000,112,0.00000000,0.00000000
h4,bull,300,trend+price200+volatility+body,383,91,0,2.23867831,0.00000000,,3,0,0.00000000,,,45,0.00000000,0.00000000
h4,bull,300,price200+macd+adx,851,202,108,2.21658090,0.00000000,0.00000000,11,0,0.00000000,0.00000000,0.00000000,108,0.00000000,0.00000000
h4,bull,300,macd+adx+di+bb,1006,231,113,2.21597998,0.00000000,0.00000000,11,0,0.00000000,0.00000000,0.00000000,113,0.00000000,0.00000000
h4,bull,300,price20+momentum+adx+volatility,389,67,0,2.20414857,0.00000000,,2,0,0.00000000,,,48,0.00000000,0.00000000
h4,bull,300,macd+adx+di,1017,235,115,2.19201166,0.00000000,0.00000000,11,0,0.00000000,0.00000000,0.00000000,115,0.00000000,0.00000000
h4,bull,300,price200+adx+volatility,628,143,73,2.18449374,0.00000000,0.00000000,7,0,0.00000000,,,73,0.00000000,0.00000000
h4,bull,300,trend+adx+volatility+body,236,52,0,2.17986558,0.00000000,,1,0,0.00000000,,,22,0.00000000,0.00000000
h4,bull,300,trend+momentum+adx+volatility,240,0,0,2.14353448,,,0,0,,,,21,0.00000000,-0.00000000
h4,bull,300,momentum+adx+volatility+bb,401,74,0,2.13818901,0.00000000,,2,0,0.00000000,,,48,0.00000000,0.00000000
h4,bull,300,price20+macd+adx+bb,1045,243,140,2.13327834,0.00000000,0.00000000,11,0,0.00000000,0.00000000,0.00000000,140,0.00000000,0.00000000
h4,bull,300,price20+macd+adx,1049,243,140,2.12514382,0.00000000,0.00000000,11,0,0.00000000,0.00000000,0.00000000,140,0.00000000,0.00000000
h4,bull,300,macd+adx+di+volatility,486,115,50,2.11707109,0.00000000,0.00000000,5,0,0.00000000,,,50,0.00000000,0.00000000
h4,bull,300,trend+price200+adx+di,812,174,87,2.11185663,0.00000000,0.00000000,10,0,0.00000000,0.00000000,0.00000000,87,0.00000000,0.00000000
h4,bull,300,momentum+adx+di+volatility,406,71,0,2.11185663,0.00000000,,2,0,0.00000000,,,36,0.00000000,0.00000000
h4,bull,300,trend+adx+di,814,174,87,2.10666780,0.00000000,0.00000000,10,0,0.00000000,0.00000000,0.00000000,87,0.00000000,0.00000000
h4,bull,300,price200+momentum+adx+volatility,328,63,0,2.09125315,0.00000000,,3,0,0.00000000,,,38,0.00000000,0.00000000
h4,bull,300,trend+price200+adx+body,411,92,0,2.08616495,0.00000000,,3,0,0.00000000,,,40,0.00000000,0.00000000
h4,bull,300,trend+momentum+macd+adx,248,69,0,2.07438821,0.00000000,,3,0,0.00000000,,,31,0.00000000,0.00000000
h4,bull,300,trend+price200+volatility,829,205,106,2.06854956,0.00000000,0.00000000,10,0,0.00000000,0.00000000,0.00000000,106,0.00000000,0.00000000
h4,bull,300,momentum+adx+volatility,501,87,58,2.05368573,0.00000000,0.00000000,5,0,0.00000000,,,58,0.00000000,0.00000000
h4,bull,300,price20+macd+adx+volatility,504,112,64,2.04146141,0.00000000,0.00000000,7,0,0.00000000,,,64,0.00000000,0.00000000
h4,bull,300,trend+volatility+body,426,97,57,2.01270843,0.00000000,0.00000000,7,0,0.00000000,0.00000000,0.00000000,57,0.00000000,0.00000000
h4,bull,300,macd+adx+bb,1109,252,147,2.01016759,0.00000000,0.00000000,11,0,0.00000000,0.00000000,0.00000000,147,0.00000000,0.00000000
h4,bull,300,trend+adx+body,429,93,0,1.99863355,0.00000000,,3,0,0.00000000,,,41,0.00000000,-0.00000000
h4,bull,300,price200+adx+di+bb,949,207,103,1.98768213,0.00000000,0.00000000,11,0,0.00000000,0.00000000,0.00000000,103,0.00000000,0.00000000
h4,bull,300,price20+adx+di+bb,1128,247,123,1.97630839,0.00000000,0.00000000,11,0,0.00000000,0.00000000,0.00000000,123,0.00000000,0.00000000
h4,bull,300,price20+price200+adx+bb,956,214,114,1.97312798,0.00000000,0.00000000,11,0,0.00000000,0.00000000,0.00000000,114,0.00000000,0.00000000
h4,bull,300,price200+adx,1306,299,160,1.96955695,0.00000000,0.00000000,11,0,0.00000000,0.00000000,0.00000000,160,0.00000000,0.00000000
h4,bull,300,price20+price200+adx+di,962,206,103,1.96082156,0.00000000,0.00000000,11,0,0.00000000,0.00000000,0.00000000,103,0.00000000,0.00000000
h4,bear,100,trend+price20+volatility+body,193,50,0,1.94489222,1.67031847,,3,1,0.33333333,0.00000000,0.75630252,35,0.14285714,0.06260231
h4,bear,100,price20+adx+volatility+body,286,57,63,1.92851593,1.46519164,1.85925926,6,4,0.66666667,0.00000000,1.69327731,63,0.22222222,0.13725008
h4,bear,100,price20+price200+volatility+body,302,63,67,1.87707465,1.56667678,2.24776119,6,4,0.66666667,0.00000000,1.89064857,67,0.26865672,0.17722205
h4,bear,100,trend+macd+volatility+body,189,0,0,1.86445882,,,2,1,0.50000000,0.88235294,3.39117647,25,0.20000000,0.08860585
h4,bear,100,adx+volatility+bb+body,296,56,62,1.86336336,1.49135578,1.88924731,6,4,0.66666667,0.00000000,1.69327731,62,0.22580645,0.13955183
h4,bear,100,price200+macd+volatility+body,295,59,54,1.84371207,1.54420814,2.78888889,5,4,0.80000000,0.00000000,2.24369748,54,0.33333333,0.22241417
h4,bear,100,adx+di+volatility+body,356,64,72,1.82905049,1.30493631,1.74305556,6,4,0.66666667,0.00000000,1.43295848,72,0.20833333,0.13052055
h4,bear,100,price200+macd+adx+volatility,520,122,108,1.79726971,2.24036755,2.63395062,9,5,0.55555556,0.00000000,1.73076923,108,0.31481481,0.23486550
h4,bear,100,macd+adx+volatility+body,312,60,57,1.79235913,1.26539278,2.05497076,7,4,0.57142857,0.00000000,1.89075630,57,0.24561404,0.15232837
h4,bear,100,price200+di+volatility+body,365,68,68,1.78395062,1.56313226,2.21470588,6,4,0.66666667,0.00000000,1.81792717,68,0.26470588,0.17449741
h4,bear,100,trend+di+volatility+body,254,55,0,1.77940605,1.65651419,,3,1,0.33333333,0.00000000,0.66176471,36,0.13888889,0.06081815
h4,bear,100,price200+volatility+bb+body,306,61,64,1.77743484,1.61804323,2.35312500,6,4,0.66666667,0.00000000,1.89064857,64,0.28125000,0.18593372
h4,bear,100,price20+price200+macd+volatility,742,179,137,1.76542378,2.20560083,2.87031630,9,7,0.77777778,0.00000000,2.41628959,137,0.34306569,0.26882637
h4,bear,100,price200+macd+di+volatility,752,181,137,1.76232105,2.18122955,2.87031630,9,7,0.77777778,0.00000000,2.41628959,137,0.34306569,0.26882637
h4,bear,100,trend+volatility+bb+body,196,0,0,1.75878685,,,2,1,0.50000000,0.75630252,2.83648459,32,0.15625000,0.06864420
h4,bear,100,trend+macd+adx+volatility,340,99,55,1.75740741,2.37740462,1.97757576,7,5,0.71428571,0.00000000,1.28571429,55,0.23636364,0.14366656
h4,bear,100,trend+price20+macd+volatility,460,127,63,1.74859098,2.39129345,1.99206349,7,5,0.71428571,0.00000000,1.74509804,63,0.23809524,0.14993784
h4,bear,100,price20+macd+volatility+body,400,88,67,1.74276235,1.55298205,2.37263682,8,4,0.50000000,0.00000000,1.01809955,67,0.28358209,0.18970281
h4,bear,100,price200+adx+volatility+body,321,54,56,1.74210607,1.54659118,1.94226190,6,4,0.66666667,0.00000000,1.69327731,56,0.23214286,0.14099379
h4,bear,100,trend+macd+di+volatility,472,129,63,1.73659500,2.35421913,1.99206349,7,5,0.71428571,0.00000000,1.74509804,63,0.23809524,0.14993784
h4,bear,100,price200+macd+volatility+bb,755,181,138,1.73502575,2.18122955,2.84951691,9,7,0.77777778,0.00000000,2.41628959,138,0.34057971,0.26678817
h4,bear,100,macd+adx+di+volatility,718,157,133,1.72841226,2.07943527,2.20175439,9,5,0.55555556,0.00000000,1.33333333,133,0.26315789,0.19572831
h4,bear,100,price20+di+volatility+body,426,95,79,1.72630847,1.43855179,2.01223629,8,4,0.50000000,0.00000000,0.87254902,79,0.24050633,0.15972180
h4,bear,100,price20+macd+adx+volatility,713,155,129,1.71904490,2.10626669,2.27002584,9,5,0.55555556,0.00000000,1.53846154,129,0.27131783,0.20203035
h4,bear,100,price20+macd+di+volatility,1067,254,182,1.71589318,1.97281709,2.34450549,11,8,0.72727273,0.00000000,1.94626697,182,0.28021978,0.22003384
h4,bear,100,trend+adx+volatility+body,259,51,0,1.71547738,1.63756713,,3,1,0.33333333,0.00000000,0.66176471,34,0.11764706,0.04671447
h4,bear,100,price200+adx+volatility+bb,595,134,126,1.71234568,2.20971575,2.25767196,9,5,0.55555556,0.00000000,1.37267905,126,0.26984127,0.19999848
h4,bear,100,price200+macd+volatility,781,187,140,1.70669133,2.15184441,2.80880952,9,7,0.77777778,0.00000000,2.41628959,140,0.33571429,0.26280358
h4,bear,100,price20+price200+adx+volatility,606,137,127,1.70654565,2.16132782,2.23989501,9,5,0.55555556,0.00000000,1.32692308,127,0.26771654,0.19836345
h4,bear,100,macd+di+volatility+bb,1091,261,188,1.70623281,1.97808527,2.31418440,11,8,0.72727273,0.00000000,1.91495767,188,0.27659574,0.21761332
h4,bear,100,trend+macd+volatility+bb,472,128,64,1.70413528,2.37261146,1.96093750,7,5,0.71428571,0.00000000,1.74509804,64,0.23437500,0.14749896
h4,bear,100,price20+volatility+body,437,99,80,1.70038421,1.53380943,1.98708333,8,4,0.50000000,0.00000000,0.87254902,80,0.23750000,0.15764673
h4,bear,100,macd+adx+volatility+bb,731,159,131,1.69767442,2.10102952,2.23536896,9,5,0.55555556,0.00000000,1.42857143,131,0.26717557,0.19882925
h4,bear,100,price20+price200+di+volatility,837,202,158,1.69317964,2.10481176,2.48881857,9,7,0.77777778,0.00000000,2.09411765,158,0.29746835,0.23168195
h4,bear,100,price20+macd+volatility+bb,1091,262,182,1.69218975,1.99951378,2.34450549,11,8,0.72727273,0.00000000,1.94626697,182,0.28021978,0.22003384
h4,bear,100,trend+price200+macd+volatility,490,133,66,1.68843537,2.34050093,1.90151515,8,6,0.75000000,0.00000000,1.75490196,66,0.22727273,0.14285230
h4,bear,100,price20+macd+volatility,1098,263,182,1.68837842,1.99191107,2.34450549,11,8,0.72727273,0.00000000,1.94626697,182,0.28021978,0.22003384
h4,bear,100,price200+di+volatility+bb,826,197,156,1.68790542,2.11969349,2.52072650,9,7,0.77777778,0.00000000,2.09411765,156,0.30128205,0.23476962
h4,bear,100,di+volatility+bb+body,441,97,80,1.68496123,1.48716265,2.09166667,8,4,0.50000000,0.00000000,1.24291939,80,0.25000000,0.16806232
h4,bear,100,trend+macd+volatility,492,133,66,1.68157182,2.34050093,1.90151515,8,6,0.75000000,0.00000000,1.75490196,66,0.22727273,0.14285230
h4,bear,100,macd+di+volatility+body,451,100,75,1.68157182,1.44254777,2.23111111,8,4,0.50000000,0.00000000,1.25272331,75,0.26666667,0.17976314
h4,bear,100,adx+di+volatility+bb,787,168,148,1.67421212,2.07885957,1.97860360,9,5,0.55555556,0.00000000,1.33333333,148,0.23648649,0.17523796
h4,bear,100,price20+price200+volatility+bb,824,198,156,1.67340885,2.10898797,2.52072650,9,7,0.77777778,0.00000000,2.09411765,156,0.30128205,0.23476962
h4,bear,100,macd+volatility+bb+body,431,93,70,1.67073415,1.55112664,2.39047619,8,4,0.50000000,0.00000000,1.43476621,70,0.28571429,0.19322220
h4,bear,100,price20+price200+volatility,849,205,159,1.66924777,2.07400963,2.47316562,9,7,0.77777778,0.00000000,2.09411765,159,0.29559748,0.23016848
h4,bear,100,price200+adx+di+volatility,671,147,130,1.66681386,2.01429871,2.18820513,9,5,0.55555556,0.00000000,1.32692308,130,0.26153846,0.19361537
h4,bear,100,price20+adx+di+volatility,791,170,149,1.66574581,2.00974148,1.96532438,9,5,0.55555556,0.00000000,1.38221154,149,0.23489933,0.17402376
h4,bear,100,price20+volatility+bb+body,424,96,77,1.66218262,1.58174098,2.06450216,8,4,0.50000000,0.00000000,0.87254902,77,0.24675325,0.16404075
h4,bear,100,price200+volatility+bb,845,201,157,1.64995252,2.07751054,2.50467091,9,7,0.77777778,0.00000000,2.09411765,157,0.29936306,0.23321552
h4,bear,100,macd+di+volatility,1152,276,198,1.64913409,1.92559771,2.19730640,11,8,0.72727273,0.00000000,1.79103958,198,0.26262626,0.20626673
h4,bear,150,trend+macd+adx+body,197,0,0,3.20917537,,,2,0,0.00000000,0.00000000,0.00000000,31,0.00000000,0.00000000
h4,bear,150,trend+price20+volatility+body,193,50,0,3.03304331,1.64413793,,3,0,0.00000000,0.00000000,0.00000000,35,0.00000000,0.00000000
h4,bear,150,trend+volatility+bb+body,196,0,0,2.98661918,,,2,0,0.00000000,0.00000000,0.00000000,32,0.00000000,0.00000000
h4,bear,150,trend+macd+volatility+body,189,0,0,2.97334531,,,2,0,0.00000000,0.00000000,0.00000000,25,0.00000000,0.00000000
h4,bear,150,price200+macd+adx+body,298,58,62,2.90724326,1.06302021,1.13860887,5,2,0.40000000,0.00000000,0.91269841,62,0.04838710,0.01659169
h4,bear,150,trend+adx+volatility+body,259,51,0,2.80257886,2.41784990,,3,0,0.00000000,0.00000000,0.00000000,34,0.00000000,0.00000000
h4,bear,150,trend+price20+adx+body,235,53,0,2.78988358,1.16330514,,4,0,0.00000000,0.00000000,0.00000000,46,0.00000000,0.00000000
h4,bear,150,trend+adx+bb+body,232,50,0,2.72503253,1.23310345,,3,0,0.00000000,0.00000000,0.00000000,42,0.00000000,-0.00000000
h4,bear,150,price20+price200+volatility+body,302,63,67,2.71366987,1.63108922,1.75606343,6,3,0.50000000,0.00000000,1.68925519,67,0.07462687,0.03229605
h4,bear,150,price20+adx+volatility+body,286,57,63,2.70174165,1.08166969,1.49404762,6,3,0.50000000,0.00000000,1.27777778,63,0.06349206,0.02496562
h4,bear,150,price200+macd+volatility+body,295,59,54,2.69868884,1.39333723,2.17881944,5,3,0.60000000,1.81632653,2.50000000,54,0.09259259,0.04020113
h4,bear,150,price200+volatility+bb+body,306,61,64,2.67819706,1.68456755,1.83837891,6,3,0.50000000,0.00000000,1.77116402,64,0.07812500,0.03383118
h4,bear,150,trend+di+volatility+body,254,55,0,2.67337691,1.86833856,,3,0,0.00000000,0.00000000,0.00000000,36,0.00000000,0.00000000
h4,bear,150,price200+adx+volatility+body,321,54,56,2.62599189,2.28352490,1.26060268,6,2,0.33333333,0.00000000,0.00000000,56,0.05357143,0.01838578
h4,bear,150,price20+price200+adx+body,339,68,77,2.62470084,0.90669371,0.91680195,7,2,0.28571429,0.00000000,0.00000000,77,0.03896104,0.01333795
h4,bear,150,trend+macd+adx+volatility,340,99,55,2.61698113,2.90630442,2.56704545,7,5,0.71428571,1.82539683,2.54285714,55,0.10909091,0.05096725
h4,bear,150,adx+volatility+bb+body,296,56,62,2.61046660,1.10098522,1.51814516,6,3,0.50000000,0.00000000,1.41975309,62,0.06451613,0.02537291
h4,bear,150,price200+adx+bb+body,337,66,74,2.57079671,0.93416928,0.95396959,7,2,0.28571429,0.00000000,0.00000000,74,0.04054054,0.01388243
h4,bear,150,macd+adx+volatility+body,312,60,57,2.55164490,1.02758621,1.65131579,7,3,0.42857143,0.00000000,0.91269841,57,0.07017544,0.02762642
h4,bear,150,price20+macd+adx+body,402,82,75,2.50459964,1.25315391,1.25500000,7,3,0.42857143,0.00000000,0.70987654,75,0.05333333,0.02093343
h4,bear,150,price200+di+volatility+body,365,68,68,2.50188679,1.81338742,1.73023897,6,3,0.50000000,0.00000000,1.68925519,68,0.07352941,0.03181484
h4,bear,150,adx+di+volatility+body,356,64,72,2.49936400,1.28448276,1.63411458,6,3,0.50000000,0.00000000,1.76470588,72,0.06944444,0.03002538
h4,bear,150,price200+macd+adx+volatility,520,122,108,2.47659652,2.52685133,2.83246528,9,6,0.66666667,1.49579832,2.70000000,108,0.12037037,0.07171064
h4,bear,150,trend+price20+macd+body,314,72,0,2.46082202,1.42720307,,5,0,0.00000000,0.00000000,0.00000000,45,0.00000000,0.00000000
h4,bear,150,macd+adx+di+body,426,88,79,2.41846045,1.16771160,1.19145570,7,3,0.42857143,0.00000000,0.70987654,79,0.05063291,0.01986404
h4,bear,150,trend+adx+di+body,315,58,60,2.37867625,1.41736029,0.39218750,5,0,0.00000000,0.00000000,0.00000000,60,0.01666667,0.00294816
h4,bear,150,trend+macd+di+body,337,73,0,2.36235373,1.40765234,,5,0,0.00000000,0.00000000,0.00000000,47,0.00000000,-0.00000000
h4,bear,150,macd+adx+bb+body,421,84,79,2.33594765,1.22331691,1.19145570,8,3,0.37500000,0.00000000,0.70987654,79,0.05063291,0.01986404
h4,bear,150,price20+price200+macd+body,492,106,85,2.33199110,1.16330514,1.38419118,7,3,0.42857143,0.00000000,1.51266789,85,0.05882353,0.02538516
h4,bear,150,price200+adx+di+body,423,76,91,2.32490298,1.08166969,0.77575549,8,2,0.25000000,0.00000000,0.00000000,91,0.03296703,0.01127441
h4,bear,150,trend+macd+bb+body,324,72,0,2.31260191,1.42720307,,5,0,0.00000000,0.00000000,0.00000000,45,0.00000000,0.00000000
h4,bear,150,trend+momentum+macd+adx,274,87,0,2.30732681,1.88981371,,3,1,0.33333333,0.00000000,2.00000000,37,0.02702703,0.00478697
h4,bear,150,trend+adx+volatility+bb,409,110,70,2.28998478,2.61567398,2.01696429,7,5,0.71428571,1.16161616,2.14285714,70,0.08571429,0.03987667
h4,bear,150,trend+price200+macd+body,348,80,0,2.28768163,1.28448276,,5,0,0.00000000,0.00000000,0.00000000,48,0.00000000,0.00000000
h4,bear,150,price20+adx+di+body,451,94,93,2.28439945,1.09317682,1.01209677,9,3,0.33333333,0.00000000,0.53240741,93,0.04301075,0.01685115
h4,bear,150,price200+adx+volatility+bb,595,134,126,2.28247978,2.30056613,2.42782738,9,6,0.66666667,1.21088435,2.36363636,126,0.10317460,0.06129227
h4,bear,150,price20+macd+adx+volatility,713,155,129,2.26597687,2.12146830,2.55377907,9,6,0.66666667,1.49579832,2.38927739,129,0.10852713,0.06575597
h4,bear,150,price200+macd+di+body,517,108,88,2.26451589,1.14176245,1.33700284,7,2,0.28571429,0.00000000,1.42651099,88,0.05681818,0.02451103
h4,bear,150,price20+adx+bb+body,446,91,91,2.25750910,1.12921561,1.03434066,9,3,0.33333333,0.00000000,0.58080808,91,0.04395604,0.01722437
h4,bear,150,price20+adx+body,457,94,95,2.25440733,1.09317682,0.99078947,9,3,0.33333333,0.00000000,0.53240741,95,0.04210526,0.01649377
h4,bear,150,macd+adx+di+volatility,718,157,133,2.25019709,2.22534593,2.47697368,9,6,0.66666667,1.47435897,2.19323671,133,0.10526316,0.06374468
h4,bear,150,trend+macd+body,355,80,0,2.24257242,1.28448276,,5,0,0.00000000,0.00000000,0.00000000,48,0.00000000,0.00000000
h4,bear,150,price20+price200+adx+volatility,606,137,127,2.24104863,2.25018877,2.40871063,9,6,0.66666667,1.21088435,2.28671329,127,0.10236220,0.06080156
h4,bear,150,trend+price20+macd+volatility,460,127,63,2.23970468,2.75101819,2.24107143,7,5,0.71428571,1.82539683,2.50000000,63,0.09523810,0.04438348
h4,bear,150,trend+price20+adx+volatility,420,114,71,2.23000898,2.52389595,1.98855634,7,5,0.71428571,1.06481481,2.14285714,71,0.08450704,0.03930651
h4,bear,150,price20+macd+volatility+body,400,88,67,2.22443396,1.63479624,2.10727612,8,4,0.50000000,0.00000000,2.06200942,67,0.08955224,0.04169095
h4,bear,150,momentum+macd+adx+volatility,432,111,73,2.22226590,1.48120534,0.96703767,7,2,0.28571429,0.00000000,0.00000000,73,0.04109589,0.01407394
h4,bear,150,macd+adx+volatility+bb,731,159,131,2.21017990,2.19735415,2.51479008,9,6,0.66666667,1.49579832,2.31601732,131,0.10687023,0.06473470
h4,bear,150,price20+price200+macd+volatility,742,179,137,2.20897116,2.41109613,3.26345803,9,6,0.66666667,1.82539683,2.92707293,137,0.13868613,0.09061702
h4,bear,150,price200+adx+di+volatility,671,147,130,2.19843658,2.37673000,2.35312500,9,6,0.66666667,1.15584416,2.22742475,130,0.10000000,0.05937549
h4,bear,200,price20+adx+volatility+body,286,57,63,3.50825770,2.32358674,2.39047619,6,2,0.33333333,0.00000000,1.60714286,63,0.03174603,0.00874953
h4,bear,200,adx+volatility+bb+body,296,56,62,3.38973548,2.36507937,2.42903226,6,2,0.33333333,0.00000000,1.60714286,62,0.03225806,0.00889137
h4,bear,200,price20+price200+volatility+body,302,63,67,3.32238974,2.10229277,2.24776119,6,2,0.33333333,0.00000000,2.94871795,67,0.02985075,0.00822469
h4,bear,200,trend+price20+volatility+body,193,50,0,3.28343071,2.64888889,,3,0,0.00000000,0.00000000,0.00000000,35,0.00000000,0.00000000
h4,bear,200,price200+volatility+bb+body,306,61,64,3.27895981,2.17122040,2.35312500,6,2,0.33333333,0.00000000,3.19444444,64,0.03125000,0.00861214
h4,bear,200,trend+macd+adx+volatility,340,99,55,3.26170213,3.12158623,1.36909091,7,1,0.14285714,0.00000000,0.00000000,55,0.01818182,0.00321678
h4,bear,200,trend+volatility+bb+body,196,0,0,3.23317412,,,2,0,0.00000000,0.00000000,0.00000000,32,0.00000000,0.00000000
h4,bear,200,price200+macd+volatility+body,295,59,54,3.22221421,2.24482109,2.78888889,5,2,0.40000000,0.00000000,3.75000000,54,0.03703704,0.01021637
h4,bear,200,trend+macd+adx+body,197,0,0,3.21676207,,,2,0,0.00000000,0.00000000,0.00000000,31,0.00000000,0.00000000
h4,bear,200,price200+macd+adx+body,298,58,62,3.18977581,4.56704981,2.42903226,5,2,0.40000000,0.00000000,2.81250000,62,0.03225806,0.00889137
h4,bear,200,price200+macd+adx+volatility,520,122,108,3.14819967,2.89496053,3.48611111,9,3,0.33333333,0.00000000,2.53921569,108,0.04629630,0.01993482
h4,bear,200,trend+macd+volatility+body,189,0,0,3.07351120,,,2,0,0.00000000,0.00000000,0.00000000,25,0.00000000,0.00000000
h4,bear,200,macd+adx+volatility+body,312,60,57,3.04664484,2.20740741,2.64210526,7,2,0.28571429,0.00000000,1.60714286,57,0.03508772,0.00967566
h4,bear,200,price200+adx+bb+body,337,66,74,2.97733443,4.01346801,2.03513514,7,2,0.28571429,0.00000000,1.50000000,74,0.02702703,0.00744335
h4,bear,200,adx+di+volatility+body,356,64,72,2.96677026,2.75925926,2.09166667,6,2,0.33333333,0.00000000,1.32352941,72,0.02777778,0.00765102
h4,bear,200,price20+price200+adx+body,339,68,77,2.95976903,3.89542484,1.95584416,7,2,0.28571429,0.00000000,1.50000000,77,0.02597403,0.00715216
h4,bear,200,trend+adx+bb+body,232,50,0,2.95909758,4.41481481,,3,0,0.00000000,0.00000000,0.00000000,42,0.00000000,-0.00000000
h4,bear,200,trend+price20+adx+body,235,53,0,2.92132187,4.16491964,,4,0,0.00000000,0.00000000,0.00000000,46,0.00000000,0.00000000
h4,bear,200,price20+price200+macd+volatility,742,179,137,2.91799048,2.46637699,3.84744526,9,4,0.44444444,2.28205128,3.41450216,137,0.05109489,0.02496794
h4,bear,200,price20+macd+volatility+body,400,88,67,2.90446809,2.00673401,2.24776119,8,2,0.25000000,0.00000000,1.73076923,67,0.02985075,0.00822469
h4,bear,200,price200+di+volatility+body,365,68,68,2.89361702,2.59694989,2.21470588,6,2,0.33333333,0.00000000,2.94871795,68,0.02941176,0.00810318
h4,bear,200,price20+macd+adx+body,402,82,75,2.89001800,3.23035230,2.00800000,7,2,0.28571429,0.00000000,1.60714286,75,0.02666667,0.00734369
h4,bear,200,price20+macd+adx+volatility,713,155,129,2.88854406,2.27861410,2.91860465,9,3,0.33333333,0.00000000,2.40588235,129,0.03875969,0.01666750
h4,bear,200,price200+macd+di+volatility,752,181,137,2.87918742,2.43912421,3.84744526,9,4,0.44444444,2.28205128,3.41450216,137,0.05109489,0.02496794
h4,bear,200,macd+adx+di+volatility,718,157,133,2.86842885,2.24958717,2.83082707,9,3,0.33333333,0.00000000,2.34690799,133,0.03759398,0.01616292
h4,bear,200,price200+macd+volatility+bb,755,181,138,2.86774694,2.43912421,3.81956522,9,4,0.44444444,2.28205128,3.41450216,138,0.05072464,0.02478542
h4,bear,200,price20+volatility+bb+body,424,96,77,2.86461261,1.83950617,1.95584416,8,2,0.25000000,0.00000000,1.47435897,77,0.02597403,0.00715216
h4,bear,200,price20+di+volatility+body,426,95,79,2.85116372,1.85886940,1.90632911,8,2,0.25000000,0.00000000,1.36904762,79,0.02531646,0.00697037
h4,bear,200,trend+adx+volatility+bb,409,110,70,2.84055558,2.80942761,1.07571429,7,1,0.14285714,0.00000000,0.00000000,70,0.01428571,0.00252625
h4,bear,200,price200+adx+volatility+bb,595,134,126,2.84012158,2.63571034,2.98809524,9,3,0.33333333,0.00000000,2.02818829,126,0.03968254,0.01706711
h4,bear,200,macd+adx+volatility+bb,731,159,131,2.81741712,2.22129047,2.87404580,9,3,0.33333333,0.00000000,2.40588235,131,0.03816794,0.01641133
h4,bear,200,price200+adx+volatility+body,321,54,56,2.79671240,4.90534979,2.68928571,6,2,0.33333333,0.00000000,3.21428571,56,0.03571429,0.00984943
h4,bear,200,price20+price200+adx+volatility,606,137,127,2.78856822,2.57799405,2.96456693,9,3,0.33333333,0.00000000,1.98412698,127,0.03937008,0.01693180
h4,bear,200,price20+volatility+body,437,99,80,2.77939530,1.78376356,1.88250000,8,2,0.25000000,0.00000000,1.36904762,80,0.02500000,0.00688289
h4,bear,200,price200+macd+volatility,781,187,140,2.77227777,2.36086354,3.76500000,9,4,0.44444444,2.28205128,3.41450216,140,0.05000000,0.02442827
h4,bear,200,trend+price20+adx+volatility,420,114,71,2.76616008,2.71085120,1.06056338,7,1,0.14285714,0.00000000,0.00000000,71,0.01408451,0.00249060
h4,bear,200,macd+adx+bb+body,421,84,79,2.75958963,3.15343915,1.90632911,8,2,0.25000000,0.00000000,1.50000000,79,0.02531646,0.00697037
h4,bear,200,trend+price20+macd+volatility,460,127,63,2.75522664,2.78098571,1.19523810,7,1,0.14285714,0.00000000,0.00000000,63,0.01587302,0.00280749
h4,bear,200,di+volatility+bb+body,441,97,80,2.75418536,1.82054219,1.88250000,8,2,0.25000000,0.00000000,1.47435897,80,0.02500000,0.00688289
h4,bear,200,macd+adx+di+body,426,88,79,2.72720008,3.01010101,1.90632911,7,2,0.28571429,0.00000000,1.32352941,79,0.02531646,0.00697037
h4,bear,200,price20+adx+bb+body,446,91,91,2.72330884,2.91086691,1.65494505,9,2,0.22222222,0.00000000,1.50000000,91,0.02197802,0.00604801
h4,bear,200,price20+macd+di+volatility,1067,254,182,2.72208818,1.91192768,2.89615385,11,4,0.36363636,2.19753086,2.23856209,182,0.03846154,0.01875352
h4,bear,200,trend+di+volatility+body,254,55,0,2.70279779,3.21077441,,3,0,0.00000000,0.00000000,0.00000000,36,0.00000000,0.00000000
h4,bear,200,macd+volatility+bb+body,431,93,70,2.69556203,1.89884508,2.15142857,8,2,0.25000000,0.00000000,1.73076923,70,0.02857143,0.00787061
h4,bear,200,price20+adx+di+body,451,94,93,2.69311695,2.81796690,1.61935484,9,2,0.22222222,0.00000000,1.40625000,93,0.02150538,0.00591750
h4,bear,200,price20+price200+volatility+bb,824,198,156,2.69169593,2.22970445,3.37884615,9,4,0.44444444,1.97777778,3.00245098,156,0.04487179,0.02190334
h4,bear,200,price200+di+volatility+bb,826,197,156,2.68517851,2.24102275,3.37884615,9,4,0.44444444,1.97777778,3.00245098,156,0.04487179,0.02190334
h4,bear,200,trend+macd+di+volatility,472,129,63,2.68517851,2.73786965,1.19523810,7,1,0.14285714,0.00000000,0.00000000,63,0.01587302,0.00280749
