timeframe,direction,target_pips,conditions,discovery_samples,validation_samples,oos_samples,discovery_lift,validation_lift,oos_lift,oos_pairs_n_ge5,oos_pairs_positive_lift,oos_pair_positive_share,oos_min_pair_lift,oos_median_pair_lift,oos_recomputed_samples,oos_recomputed_hit_rate,oos_wilson95_lower
h4,bull,100,price200+macd+di+volatility,629,175,79,1.29260100,1.15361345,1.04240506,9,4,0.44444444,0.00000000,1.32714286,79,0.11392405,0.06110579
h4,bull,100,macd+di+volatility+body,324,69,0,1.29124535,1.01278772,,2,2,1.00000000,2.87500000,2.97083333,33,0.15151515,0.06650457
h4,bull,100,price200+macd+adx,851,202,108,1.28932722,1.11473500,0.93194444,11,4,0.36363636,0.00000000,0.67162698,108,0.10185185,0.05782932
h4,bull,100,adx+bb+body,429,81,50,1.28800829,1.15032680,0.54900000,6,2,0.33333333,0.00000000,0.00000000,50,0.06000000,0.02061497
h4,bull,100,price200+macd+adx+bb,828,198,106,1.28700828,1.13725490,0.86320755,11,4,0.36363636,0.00000000,0.45788240,106,0.09433962,0.05205250
h4,bull,100,trend+macd+adx+volatility,276,71,0,1.28700828,0.98425849,,1,1,1.00000000,7.66666667,7.66666667,28,0.10714286,0.03711837
h4,bull,100,price200+di+volatility+body,307,69,0,1.28561088,1.01278772,,3,2,0.66666667,0.00000000,2.55555556,37,0.10810811,0.04285190
h4,bull,100,adx+volatility+bb+body,215,0,0,1.28501292,,,1,0,0.00000000,0.00000000,0.00000000,25,0.04000000,0.00709623
h4,bull,100,price20+price200+macd+adx,818,195,102,1.28344200,1.15475113,0.89705882,11,4,0.36363636,0.00000000,0.45788240,102,0.09803922,0.05412802
h4,bull,100,trend+adx+di+body,296,62,0,1.28005148,0.75142315,,1,1,1.00000000,3.83333333,3.83333333,28,0.10714286,0.03711837
h4,bull,150,rsi_extreme+adx+volatility+body,130,0,0,2.14353448,,,2,1,0.50000000,0.00000000,0.75324675,33,0.03030303,0.00536941
h4,bull,150,trend+macd+adx+body,213,0,0,1.81143759,,,1,0,0.00000000,0.00000000,0.00000000,21,0.00000000,-0.00000000
h4,bull,150,macd+adx+di+volatility,486,115,50,1.76422591,1.43036789,0.56307692,5,1,0.20000000,0.00000000,1.91666667,50,0.02000000,0.00353926
h4,bull,150,price200+macd+adx+body,292,63,0,1.76180916,1.45054945,,2,0,0.00000000,0.00000000,0.00000000,37,0.00000000,-0.00000000
h4,bull,150,price200+macd+adx+volatility,384,99,0,1.73045753,1.66153846,,4,1,0.25000000,0.00000000,1.91666667,48,0.02083333,0.00368711
h4,bull,150,trend+adx+volatility+body,236,52,0,1.72572691,1.05443787,,1,0,0.00000000,0.00000000,0.00000000,22,0.00000000,0.00000000
h4,bull,150,adx+di+volatility+bb,539,118,52,1.71005534,1.23911343,0.54142012,6,1,0.16666667,0.00000000,1.91666667,52,0.01923077,0.00340281
h4,bull,150,rsi_extreme+volatility+body,163,0,0,1.70956738,,,4,4,1.00000000,2.34343434,2.95833333,42,0.11904762,0.05193803
h4,bull,150,price200+macd+adx,851,202,108,1.68762409,1.44767708,0.52136752,11,2,0.18181818,0.00000000,0.00000000,108,0.01851852,0.00509322
h4,bull,150,price200+adx+volatility+body,267,64,0,1.68592600,1.71346154,,1,0,0.00000000,0.00000000,0.00000000,32,0.00000000,0.00000000
h4,bull,150,macd+adx+di+bb,1006,231,113,1.68329249,1.50329670,0.49829816,11,1,0.09090909,0.00000000,0.00000000,113,0.01769912,0.00486723
h4,bull,150,price20+macd+adx+di,986,228,112,1.67395695,1.52307692,0.50274725,11,1,0.09090909,0.00000000,0.00000000,112,0.01785714,0.00491081
h4,bull,150,price20+adx+di+volatility,538,114,53,1.67339123,1.28259109,0.53120464,6,1,0.16666667,0.00000000,1.91666667,53,0.01886792,0.00333845
h4,bull,150,macd+adx+di,1017,235,115,1.66508578,1.55548282,0.48963211,11,1,0.09090909,0.00000000,0.00000000,115,0.01739130,0.00478235
h4,bull,150,trend+price200+macd+adx,606,145,67,1.66247724,1.00838196,0.84041332,8,2,0.25000000,0.00000000,0.00000000,67,0.02985075,0.00822469
h4,bull,150,trend+macd+adx,607,145,67,1.65973840,1.00838196,0.84041332,8,2,0.25000000,0.00000000,0.00000000,67,0.02985075,0.00822469
