timeframe,period,from_target,to_target,conditions,samples,continuation_rate,unconditional_rate,lift,wilson95_lower,post_target_mfe_pips_mean,post_target_mae_pips_mean
h4,oos,50,100,macd_accel_up+atr_expand+horizontal_break_up+strong_close_bull,188,0.57978723,0.34415584,1.68466479,0.50832461,66.77446809,-22.41861702
h4,discovery,50,100,price200_bull+atr_expand+breakout20_up+strong_close_bull,1657,0.64333132,0.39513721,1.62812133,0.61996000,84.60983705,-11.28376584
h4,validation,50,100,price200_bull+atr_expand+breakout20_up+strong_close_bull,234,0.62393162,0.40374460,1.54536216,0.56033635,90.86025641,-14.97008547
h4,oos,50,100,price200_bull+atr_expand+breakout20_up+strong_close_bull,187,0.52406417,0.34415584,1.52275250,0.45272188,61.46791444,-23.84438503
h4,discovery,50,100,di_strong_bull+atr_expand+structure_bull_transition+mtf_volatility,454,0.64317181,0.39513721,1.62771764,0.59807239,92.25066079,-38.90550661
h4,validation,50,100,di_strong_bull+atr_expand+structure_bull_transition+mtf_volatility,125,0.56000000,0.40374460,1.38701546,0.47248061,87.47120000,-68.06720000
h4,oos,50,100,di_strong_bull+atr_expand+structure_bull_transition+mtf_volatility,86,0.31395349,0.34415584,0.91224221,0.22561297,42.23488372,-42.00930233
h4,discovery,50,100,macd_accel_up+atr_expand+mtf_volatility+cross_target_relative_up,464,0.64224138,0.39513721,1.62536294,0.59762242,84.10172414,-41.72047414
h4,validation,50,100,macd_accel_up+atr_expand+mtf_volatility+cross_target_relative_up,95,0.60000000,0.40374460,1.48608799,0.49945603,94.07473684,-48.84631579
h4,oos,50,100,macd_accel_up+atr_expand+mtf_volatility+cross_target_relative_up,68,0.22058824,0.34415584,0.64095450,0.13849012,31.97941176,-47.96176471
h4,discovery,50,100,atr_expand+horizontal_break_up+mtf_adx25+cross_target_relative_up,401,0.64089776,0.39513721,1.62196255,0.59281026,90.20473815,-11.61271820
h4,validation,50,100,atr_expand+horizontal_break_up+mtf_adx25+cross_target_relative_up,66,0.43939394,0.40374460,1.08829676,0.32628121,52.91666667,-27.57272727
h4,oos,50,100,atr_expand+horizontal_break_up+mtf_adx25+cross_target_relative_up,70,0.52857143,0.34415584,1.53584906,0.41321887,54.11142857,-12.78428571
h4,discovery,50,100,trend_bull+atr_expand+close_near_high+mtf_adx25,568,0.64084507,0.39513721,1.62182921,0.60056625,86.28538732,-16.18820423
h4,validation,50,100,trend_bull+atr_expand+close_near_high+mtf_adx25,49,0.57142857,0.40374460,1.41532190,0.43270493,67.19183673,-28.56326531
h4,oos,50,100,trend_bull+atr_expand+close_near_high+mtf_adx25,56,0.55357143,0.34415584,1.60849057,0.42413215,55.76071429,-25.58750000
h4,discovery,100,150,sma_stack_bull+atr_expand+strong_close_bull+mtf_volatility,127,0.81102362,0.47775477,1.69757306,0.73419296,145.91102362,-41.61023622
h4,validation,100,150,sma_stack_bull+atr_expand+strong_close_bull+mtf_volatility,5,0.40000000,0.49471831,0.80854093,0.11762077,49.30000000,-50.48000000
h4,oos,100,150,sma_stack_bull+atr_expand+strong_close_bull+mtf_volatility,0,,0.44026549,,,,
h4,discovery,100,150,sma_stack_bull+atr_expand+close_near_high+mtf_volatility,149,0.77181208,0.47775477,1.61549844,0.69809878,137.09463087,-45.61677852
h4,validation,100,150,sma_stack_bull+atr_expand+close_near_high+mtf_volatility,6,0.33333333,0.49471831,0.67378410,0.09677141,45.10000000,-53.28333333
h4,oos,100,150,sma_stack_bull+atr_expand+close_near_high+mtf_volatility,0,,0.44026549,,,,
h4,discovery,100,150,sma_stack_bull+atr_expand+strong_close_bull+mtf_adx25,212,0.72641509,0.47775477,1.52047692,0.66277619,105.73584906,-45.07971698
h4,validation,100,150,sma_stack_bull+atr_expand+strong_close_bull+mtf_adx25,27,0.70370370,0.49471831,1.42243311,0.51519317,111.57777778,-5.63703704
h4,oos,100,150,sma_stack_bull+atr_expand+strong_close_bull+mtf_adx25,11,0.36363636,0.44026549,0.82594792,0.15166471,48.15454545,-5.34545455
h4,discovery,100,150,price200_bull+atr_expand+strong_close_bull+mtf_volatility,247,0.70850202,0.47775477,1.48298264,0.64897950,113.31781377,-41.36599190
h4,validation,100,150,price200_bull+atr_expand+strong_close_bull+mtf_volatility,34,0.67647059,0.49471831,1.36738539,0.50842895,89.73823529,-41.97647059
h4,oos,100,150,price200_bull+atr_expand+strong_close_bull+mtf_volatility,37,0.83783784,0.44026549,1.90302866,0.68863516,89.52162162,12.68378378
h4,discovery,100,150,ema200_rising+atr_expand+strong_close_bull+mtf_volatility,247,0.70850202,0.47775477,1.48298264,0.64897950,113.31781377,-41.36599190
h4,validation,100,150,ema200_rising+atr_expand+strong_close_bull+mtf_volatility,34,0.67647059,0.49471831,1.36738539,0.50842895,89.73823529,-41.97647059
h4,oos,100,150,ema200_rising+atr_expand+strong_close_bull+mtf_volatility,37,0.83783784,0.44026549,1.90302866,0.68863516,89.52162162,12.68378378
h4,discovery,100,150,atr_expand+horizontal_break_up+strong_close_bull+mtf_adx25,365,0.70684932,0.47775477,1.47952331,0.65818957,99.32164384,-24.88301370
h4,validation,100,150,atr_expand+horizontal_break_up+strong_close_bull+mtf_adx25,32,0.68750000,0.49471831,1.38967972,0.51433322,106.17812500,-16.76562500
h4,oos,100,150,atr_expand+horizontal_break_up+strong_close_bull+mtf_adx25,27,0.62962963,0.44026549,1.43011353,0.44229234,63.59259259,-23.24074074
h4,discovery,100,150,price200_bull+atr_expand+strong_close_bull+mtf_adx25,426,0.69718310,0.47775477,1.45929072,0.65194840,97.87370892,-36.99530516
h4,validation,100,150,price200_bull+atr_expand+strong_close_bull+mtf_adx25,36,0.66666667,0.49471831,1.34756821,0.50333998,99.33888889,-16.19722222
h4,oos,100,150,price200_bull+atr_expand+strong_close_bull+mtf_adx25,17,0.41176471,0.44026549,0.93526456,0.21611057,46.21764706,-18.12352941
h4,discovery,100,150,ema200_rising+atr_expand+strong_close_bull+mtf_adx25,426,0.69718310,0.47775477,1.45929072,0.65194840,97.87370892,-36.99530516
h4,validation,100,150,ema200_rising+atr_expand+strong_close_bull+mtf_adx25,36,0.66666667,0.49471831,1.34756821,0.50333998,99.33888889,-16.19722222
h4,oos,100,150,ema200_rising+atr_expand+strong_close_bull+mtf_adx25,17,0.41176471,0.44026549,0.93526456,0.21611057,46.21764706,-18.12352941
h4,discovery,100,150,dmi_adx_strong_bull+atr_expand+strong_close_bull+mtf_adx25,442,0.68778281,0.47775477,1.43961474,0.64312020,96.61085973,-30.21515837
h4,validation,100,150,dmi_adx_strong_bull+atr_expand+strong_close_bull+mtf_adx25,46,0.58695652,0.49471831,1.18644592,0.44339498,86.45652174,-22.40434783
h4,oos,100,150,dmi_adx_strong_bull+atr_expand+strong_close_bull+mtf_adx25,28,0.64285714,0.44026549,1.46015793,0.45830307,63.12142857,-23.47857143
h4,discovery,100,150,price200_bull+dmi_adx_strong_bull+atr_expand+strong_close_bull,1081,0.68547641,0.47775477,1.43478717,0.65718139,90.36290472,-23.81692877
h4,validation,100,150,price200_bull+dmi_adx_strong_bull+atr_expand+strong_close_bull,225,0.74666667,0.49471831,1.50927639,0.68602453,114.09955556,-13.41377778
h4,oos,100,150,price200_bull+dmi_adx_strong_bull+atr_expand+strong_close_bull,137,0.70072993,0.44026549,1.59160767,0.61942784,75.65255474,-10.13576642
h4,discovery,100,150,ema200_rising+dmi_adx_strong_bull+atr_expand+strong_close_bull,1081,0.68547641,0.47775477,1.43478717,0.65718139,90.36290472,-23.81692877
h4,validation,100,150,ema200_rising+dmi_adx_strong_bull+atr_expand+strong_close_bull,225,0.74666667,0.49471831,1.50927639,0.68602453,114.09955556,-13.41377778
h4,oos,100,150,ema200_rising+dmi_adx_strong_bull+atr_expand+strong_close_bull,137,0.70072993,0.44026549,1.59160767,0.61942784,75.65255474,-10.13576642
h4,discovery,100,150,bb_expand+horizontal_break_up+strong_close_bull+mtf_adx25,835,0.68502994,0.47775477,1.43385265,0.65273733,93.08167665,-40.96598802
h4,validation,100,150,bb_expand+horizontal_break_up+strong_close_bull+mtf_adx25,122,0.59016393,0.49471831,1.19292923,0.50144090,78.74016393,-20.36639344
h4,oos,100,150,bb_expand+horizontal_break_up+strong_close_bull+mtf_adx25,142,0.70422535,0.44026549,1.59954703,0.62458072,84.66338028,-18.68521127
h4,discovery,100,150,dmi_adx_strong_bull+atr_expand+breakout20_up+strong_close_bull,1148,0.68466899,0.47775477,1.43309714,0.65721266,90.18545296,-25.15487805
h4,validation,100,150,dmi_adx_strong_bull+atr_expand+breakout20_up+strong_close_bull,209,0.75598086,0.49471831,1.52810366,0.69347461,117.72583732,-10.99712919
