timeframe,direction,feature,offset,event_n,event_presence,control_n,control_presence,prevalence_lift,presence_delta
h4,bear,ema200_falling,-3,6885,0.39927378,4560,0.48421053,0.82458716,-0.08493674
h4,bear,ema200_falling,-4,6883,0.40926921,4560,0.48421053,0.84522990,-0.07494131
h4,bear,ema200_falling,-5,6881,0.41636390,4560,0.48421053,0.85988197,-0.06784663
h4,bear,ema200_falling,-6,6879,0.41619421,4560,0.48421053,0.85953153,-0.06801631
h4,bear,momentum_bear,0,6893,0.32119542,4560,0.33442982,0.96042695,-0.01323441
h4,bear,momentum_bear,-1,6885,0.22745098,4560,0.33442982,0.68011572,-0.10697884
h4,bear,momentum_bear,-2,6885,0.21655773,4560,0.33442982,0.64754313,-0.11787209
h4,bear,momentum_bear,-3,6885,0.22672476,4560,0.33442982,0.67794421,-0.10770506
h4,bear,momentum_bear,-4,6883,0.23623420,4560,0.33442982,0.70637899,-0.09819562
h4,bear,momentum_bear,-5,6881,0.24182532,4560,0.33442982,0.72309734,-0.09260451
h4,bear,momentum_bear,-6,6879,0.24800116,4560,0.33442982,0.74156413,-0.08642866
h4,bear,rsi40,0,6893,0.25213985,4560,0.20855263,1.20899866,0.04358722
h4,bear,rsi40,-1,6885,0.15816993,4560,0.20855263,0.75841735,-0.05038270
h4,bear,rsi40,-2,6885,0.14756718,4560,0.20855263,0.70757762,-0.06098546
h4,bear,rsi40,-3,6885,0.14727669,4560,0.20855263,0.70618475,-0.06127594
h4,bear,rsi40,-4,6883,0.15516490,4560,0.20855263,0.74400835,-0.05338773
h4,bear,rsi40,-5,6881,0.15680860,4560,0.20855263,0.75188983,-0.05174403
h4,bear,rsi40,-6,6879,0.15830789,4560,0.20855263,0.75907886,-0.05024474
h4,bear,macd_bear,0,6893,0.42492384,4560,0.54210526,0.78384009,-0.11718143
h4,bear,macd_bear,-1,6885,0.37124183,4560,0.54210526,0.68481503,-0.17086343
h4,bear,macd_bear,-2,6885,0.38678286,4560,0.54210526,0.71348295,-0.15532240
h4,bear,macd_bear,-3,6885,0.40522876,4560,0.54210526,0.74750936,-0.13687650
h4,bear,macd_bear,-4,6883,0.41217492,4560,0.54210526,0.76032267,-0.12993034
h4,bear,macd_bear,-5,6881,0.42537422,4560,0.54210526,0.78467089,-0.11673104
h4,bear,macd_bear,-6,6879,0.43596453,4560,0.54210526,0.80420641,-0.10614073
h4,bear,macd_falling,0,6893,0.63716814,4560,0.46293860,1.37635563,0.17422955
h4,bear,macd_falling,-1,6885,0.41220044,4560,0.46293860,0.89039980,-0.05073816
h4,bear,macd_falling,-2,6885,0.43834423,4560,0.46293860,0.94687336,-0.02459437
h4,bear,macd_falling,-3,6885,0.45809731,4560,0.46293860,0.98954228,-0.00484128
h4,bear,macd_falling,-4,6883,0.46258899,4560,0.46293860,0.99924480,-0.00034961
h4,bear,macd_falling,-5,6881,0.46926319,4560,0.46293860,1.01366184,0.00632459
h4,bear,macd_falling,-6,6879,0.46954499,4560,0.46293860,1.01427057,0.00660640
h4,bear,adx25,0,6893,0.45219788,4560,0.41842105,1.08072450,0.03377683
h4,bear,adx25,-1,6885,0.43442266,4560,0.41842105,1.03824283,0.01600161
h4,bear,adx25,-2,6885,0.42352941,4560,0.41842105,1.01220866,0.00510836
h4,bear,adx25,-3,6885,0.42352941,4560,0.41842105,1.01220866,0.00510836
h4,bear,adx25,-4,6883,0.42132791,4560,0.41842105,1.00694720,0.00290686
h4,bear,adx25,-5,6881,0.42610086,4560,0.41842105,1.01835425,0.00767980
h4,bear,adx25,-6,6879,0.42433493,4560,0.41842105,1.01413380,0.00591388
h4,bear,adx_rising,0,6893,0.59451618,4560,0.42938596,1.38457291,0.16513021
h4,bear,adx_rising,-1,6885,0.57923021,4560,0.42938596,1.34897332,0.14984425
h4,bear,adx_rising,-2,6885,0.49832970,4560,0.42938596,1.16056356,0.06894374
h4,bear,adx_rising,-3,6885,0.47581699,4560,0.42938596,1.10813355,0.04643103
h4,bear,adx_rising,-4,6883,0.47072497,4560,0.42938596,1.09627471,0.04133901
h4,bear,adx_rising,-5,6881,0.46257811,4560,0.42938596,1.07730143,0.03319215
h4,bear,adx_rising,-6,6879,0.46125890,4560,0.42938596,1.07422911,0.03187294
h4,bear,di_bear,0,6893,0.45437400,4560,0.58837719,0.77224952,-0.13400319
h4,bear,di_bear,-1,6885,0.37719680,4560,0.58837719,0.64107992,-0.21118039
h4,bear,di_bear,-2,6885,0.41220044,4560,0.58837719,0.70057174,-0.17617676
h4,bear,di_bear,-3,6885,0.43326071,4560,0.58837719,0.73636558,-0.15511648
h4,bear,di_bear,-4,6883,0.45023972,4560,0.58837719,0.76522293,-0.13813747
h4,bear,di_bear,-5,6881,0.46054353,4560,0.58837719,0.78273518,-0.12783367
h4,bear,di_bear,-6,6879,0.46402093,4560,0.58837719,0.78864534,-0.12435626
h4,bear,di_strong_bear,0,6893,0.35775424,4560,0.41403509,0.86406745,-0.05628084
h4,bear,di_strong_bear,-1,6885,0.27625272,4560,0.41403509,0.66722056,-0.13778236
h4,bear,di_strong_bear,-2,6885,0.28366013,4560,0.41403509,0.68511133,-0.13037496
h4,bear,di_strong_bear,-3,6885,0.29455338,4560,0.41403509,0.71142129,-0.11948171
h4,bear,di_strong_bear,-4,6883,0.30611652,4560,0.41403509,0.73934922,-0.10791857
h4,bear,di_strong_bear,-5,6881,0.31492516,4560,0.41403509,0.76062432,-0.09910993
h4,bear,di_strong_bear,-6,6879,0.32213985,4560,0.41403509,0.77804963,-0.09189524
h4,bear,volatility,0,6893,0.42202234,4560,0.25263158,1.67050510,0.16939076
h4,bear,volatility,-1,6885,0.37893972,4560,0.25263158,1.49996974,0.12630815
h4,bear,volatility,-2,6885,0.32461874,4560,0.25263158,1.28494916,0.07198716
h4,bear,volatility,-3,6885,0.31561365,4560,0.25263158,1.24930404,0.06298207
h4,bear,volatility,-4,6883,0.32020921,4560,0.25263158,1.26749479,0.06757763
h4,bear,volatility,-5,6881,0.32989391,4560,0.25263158,1.30583006,0.07726233
h4,bear,volatility,-6,6879,0.33638610,4560,0.25263158,1.33152832,0.08375452
h4,bear,bb_bear,0,6893,0.45596982,4560,0.52982456,0.86060530,-0.07385474
h4,bear,bb_bear,-1,6885,0.34887436,4560,0.52982456,0.65847148,-0.18095020
h4,bear,bb_bear,-2,6885,0.34132171,4560,0.52982456,0.64421648,-0.18850285
h4,bear,bb_bear,-3,6885,0.35482934,4560,0.52982456,0.66971100,-0.17499522
h4,bear,bb_bear,-4,6883,0.36975156,4560,0.52982456,0.69787546,-0.16007300
h4,bear,bb_bear,-5,6881,0.38671705,4560,0.52982456,0.72989641,-0.14310751
h4,bear,bb_bear,-6,6879,0.39467946,4560,0.52982456,0.74492481,-0.13514510
h4,bear,bb_lower,0,6893,0.28376614,4560,0.18355263,1.54596606,0.10021351
h4,bear,bb_lower,-1,6885,0.16049383,4560,0.18355263,0.87437497,-0.02305880
h4,bear,bb_lower,-2,6885,0.14219317,4560,0.18355263,0.77467249,-0.04135946
h4,bear,bb_lower,-3,6885,0.14190269,4560,0.18355263,0.77308991,-0.04164994
h4,bear,bb_lower,-4,6883,0.14731948,4560,0.18355263,0.80260077,-0.03623315
h4,bear,bb_lower,-5,6881,0.14779829,4560,0.18355263,0.80520930,-0.03575435
h4,bear,bb_lower,-6,6879,0.15220235,4560,0.18355263,0.82920279,-0.03135028
h4,bear,body_bear,0,6893,0.35775424,4560,0.13421053,2.66561985,0.22354372
h4,bear,body_bear,-1,6885,0.12069717,4560,0.13421053,0.89931223,-0.01351336
h4,bear,body_bear,-2,6885,0.11561365,4560,0.13421053,0.86143506,-0.01859687
h4,bear,body_bear,-3,6885,0.12127814,4560,0.13421053,0.90364105,-0.01293239
h4,bear,body_bear,-4,6883,0.12320209,4560,0.13421053,0.91797637,-0.01100843
h4,bear,body_bear,-5,6881,0.12628978,4560,0.13421053,0.94098270,-0.00792074
h4,bear,body_bear,-6,6879,0.12879779,4560,0.13421053,0.95966981,-0.00541274
h4,bear,rsi_down1,0,6893,0.50761642,4560,0.20526316,2.47300308,0.30235326
h4,bear,rsi_down1,-1,6885,0.21307190,4560,0.20526316,1.03804257,0.00780874
h4,bear,rsi_down1,-2,6885,0.17893972,4560,0.20526316,0.87175763,-0.02632343
h4,bear,rsi_down1,-3,6885,0.17835875,4560,0.20526316,0.86892725,-0.02690441
h4,bear,rsi_down1,-4,6883,0.17594072,4560,0.20526316,0.85714711,-0.02932243
h4,bear,rsi_down1,-5,6881,0.18790873,4560,0.20526316,0.91545281,-0.01735442
h4,bear,rsi_down1,-6,6879,0.19915685,4560,0.20526316,0.97025134,-0.00610630
h4,bear,rsi_down3,0,6893,0.39837516,4560,0.21491228,1.85366402,0.18346288
h4,bear,rsi_down3,-1,6885,0.21249092,4560,0.21491228,0.98873327,-0.00242136
h4,bear,rsi_down3,-2,6885,0.18605664,4560,0.21491228,0.86573296,-0.02885564
h4,bear,rsi_down3,-3,6885,0.19375454,4560,0.21491228,0.90155173,-0.02115774
h4,bear,rsi_down3,-4,6883,0.19569955,4560,0.21491228,0.91060199,-0.01921273
h4,bear,rsi_down3,-5,6881,0.21842755,4560,0.21491228,1.01635678,0.00351527
h4,bear,rsi_down3,-6,6879,0.22052624,4560,0.21491228,1.02612209,0.00561396
h4,bear,rsi_cross50_down,0,6893,0.11707529,4560,0.05657895,2.06923775,0.06049635
h4,bear,rsi_cross50_down,-1,6885,0.05286855,4560,0.05657895,0.93442097,-0.00371039
h4,bear,rsi_cross50_down,-2,6885,0.04517066,4560,0.05657895,0.79836517,-0.01140829
h4,bear,rsi_cross50_down,-3,6885,0.04429920,4560,0.05657895,0.78296263,-0.01227975
h4,bear,rsi_cross50_down,-4,6883,0.04939707,4560,0.05657895,0.87306441,-0.00718188
h4,bear,rsi_cross50_down,-5,6881,0.04679552,4560,0.05657895,0.82708368,-0.00978342
h4,bear,rsi_cross50_down,-6,6879,0.05480448,4560,0.05657895,0.96863727,-0.00177447
h4,bear,rsi_cross45_down,0,6893,0.12128246,4560,0.05109649,2.37359665,0.07018597
h4,bear,rsi_cross45_down,-1,6885,0.04836601,4560,0.05109649,0.94656232,-0.00273048
h4,bear,rsi_cross45_down,-2,6885,0.03863471,4560,0.05109649,0.75611284,-0.01246178
h4,bear,rsi_cross45_down,-3,6885,0.03718228,4560,0.05109649,0.72768755,-0.01391421
h4,bear,rsi_cross45_down,-4,6883,0.03864594,4560,0.05109649,0.75633255,-0.01245055
h4,bear,rsi_cross45_down,-5,6881,0.04025578,4560,0.05109649,0.78783838,-0.01084071
h4,bear,rsi_cross45_down,-6,6879,0.04579154,4560,0.05109649,0.89617777,-0.00530495
h4,bear,macd_cross_down,0,6893,0.07514870,4560,0.03947368,1.90376711,0.03567502
h4,bear,macd_cross_down,-1,6885,0.03602033,4560,0.03947368,0.91251513,-0.00345335
h4,bear,macd_cross_down,-2,6885,0.03108206,4560,0.03947368,0.78741225,-0.00839162
h4,bear,macd_cross_down,-3,6885,0.03340595,4560,0.03947368,0.84628419,-0.00606773
h4,bear,macd_cross_down,-4,6883,0.03050995,4560,0.03947368,0.77291879,-0.00896373
h4,bear,macd_cross_down,-5,6881,0.03516931,4560,0.03947368,0.89095577,-0.00430438
h4,bear,macd_cross_down,-6,6879,0.03677860,4560,0.03947368,0.93172457,-0.00269508
h4,bear,macd_accel_down,0,6893,0.63716814,4560,0.46293860,1.37635563,0.17422955
h4,bear,macd_accel_down,-1,6885,0.41220044,4560,0.46293860,0.89039980,-0.05073816
h4,bear,macd_accel_down,-2,6885,0.43834423,4560,0.46293860,0.94687336,-0.02459437
h4,bear,macd_accel_down,-3,6885,0.45809731,4560,0.46293860,0.98954228,-0.00484128
h4,bear,macd_accel_down,-4,6883,0.46258899,4560,0.46293860,0.99924480,-0.00034961
h4,bear,macd_accel_down,-5,6881,0.46926319,4560,0.46293860,1.01366184,0.00632459
h4,bear,macd_accel_down,-6,6879,0.46954499,4560,0.46293860,1.01427057,0.00660640
h4,bear,adx_up3,0,6893,0.24517627,4560,0.12609649,1.94435439,0.11907977
h4,bear,adx_up3,-1,6885,0.20275962,4560,0.12609649,1.60797196,0.07666313
h4,bear,adx_up3,-2,6885,0.17661583,4560,0.12609649,1.40064033,0.05051934
h4,bear,adx_up3,-3,6885,0.17254902,4560,0.12609649,1.36838875,0.04645253
h4,bear,adx_up3,-4,6883,0.16896702,4560,0.12609649,1.33998193,0.04287053
h4,bear,adx_up3,-5,6881,0.16785351,4560,0.12609649,1.33115131,0.04175702
h4,bear,adx_up3,-6,6879,0.16252362,4560,0.12609649,1.28888299,0.03642713
h4,bear,adx_cross25_up,0,6893,0.03177136,4560,0.01315789,2.41462353,0.01861347
h4,bear,adx_cross25_up,-1,6885,0.02585330,4560,0.01315789,1.96485113,0.01269541
h4,bear,adx_cross25_up,-2,6885,0.01960784,4560,0.01315789,1.49019608,0.00644995
h4,bear,adx_cross25_up,-3,6885,0.01931736,4560,0.01315789,1.46811910,0.00615946
h4,bear,adx_cross25_up,-4,6883,0.01612669,4560,0.01315789,1.22562836,0.00296879
h4,bear,adx_cross25_up,-5,6881,0.01816596,4560,0.01315789,1.38061328,0.00500807
h4,bear,adx_cross25_up,-6,6879,0.01729903,4560,0.01315789,1.31472598,0.00414113
h4,bear,di_cross_down,0,6893,0.08573916,4560,0.04846491,1.76909751,0.03727424
h4,bear,di_cross_down,-1,6885,0.04371823,4560,0.04846491,0.90205937,-0.00474668
h4,bear,di_cross_down,-2,6885,0.03761801,4560,0.04846491,0.77619062,-0.01084690
h4,bear,di_cross_down,-3,6885,0.03413217,4560,0.04846491,0.70426562,-0.01433274
h4,bear,di_cross_down,-4,6883,0.03951765,4560,0.04846491,0.81538685,-0.00894726
h4,bear,di_cross_down,-5,6881,0.04301700,4560,0.04846491,0.88759066,-0.00544791
h4,bear,di_cross_down,-6,6879,0.04201192,4560,0.04846491,0.86685229,-0.00645299
h4,bear,di_spread_down3,0,6893,0.34223125,4560,0.22258772,1.53751182,0.11964353
h4,bear,di_spread_down3,-1,6885,0.19753086,4560,0.22258772,0.88742930,-0.02505686
h4,bear,di_spread_down3,-2,6885,0.19535221,4560,0.22258772,0.87764148,-0.02723550
h4,bear,di_spread_down3,-3,6885,0.20072622,4560,0.22258772,0.90178478,-0.02186150
h4,bear,di_spread_down3,-4,6883,0.20659596,4560,0.22258772,0.92815525,-0.01599176
h4,bear,di_spread_down3,-5,6881,0.22511263,4560,0.22258772,1.01134344,0.00252491
h4,bear,di_spread_down3,-6,6879,0.23317343,4560,0.22258772,1.04755746,0.01058571
h4,bear,ema20_slope_down3,0,6893,0.39112143,4560,0.52478070,0.74530452,-0.13365927
h4,bear,ema20_slope_down3,-1,6885,0.33536674,4560,0.52478070,0.63906073,-0.18941396
h4,bear,ema20_slope_down3,-2,6885,0.34872912,4560,0.52478070,0.66452352,-0.17605158
h4,bear,ema20_slope_down3,-3,6885,0.36572259,4560,0.52478070,0.69690555,-0.15905812
h4,bear,ema20_slope_down3,-4,6883,0.38486125,4560,0.52478070,0.73337539,-0.13991945
h4,bear,ema20_slope_down3,-5,6881,0.39732597,4560,0.52478070,0.75712763,-0.12745473
h4,bear,ema20_slope_down3,-6,6879,0.40252944,4560,0.52478070,0.76704314,-0.12225126
h4,bear,price20_cross_down,0,6893,0.12882635,4560,0.06600877,1.95165494,0.06281757
h4,bear,price20_cross_down,-1,6885,0.05954975,4560,0.06600877,0.90214897,-0.00645903
h4,bear,price20_cross_down,-2,6885,0.05185185,4560,0.06600877,0.78552972,-0.01415692
h4,bear,price20_cross_down,-3,6885,0.05025418,4560,0.06600877,0.76132572,-0.01575460
h4,bear,price20_cross_down,-4,6883,0.04997821,4560,0.06600877,0.75714493,-0.01603056
h4,bear,price20_cross_down,-5,6881,0.05624183,4560,0.06600877,0.85203563,-0.00976695
h4,bear,price20_cross_down,-6,6879,0.06192761,4560,0.06600877,0.93817237,-0.00408117
h4,bear,price200_cross_down,0,6893,0.05686929,4560,0.02105263,2.70129116,0.03581666
h4,bear,price200_cross_down,-1,6885,0.01975309,4560,0.02105263,0.93827160,-0.00129955
h4,bear,price200_cross_down,-2,6885,0.01917211,4560,0.02105263,0.91067538,-0.00188052
h4,bear,price200_cross_down,-3,6885,0.01466957,4560,0.02105263,0.69680465,-0.00638306
h4,bear,price200_cross_down,-4,6883,0.01525498,4560,0.02105263,0.72461136,-0.00579766
h4,bear,price200_cross_down,-5,6881,0.01932859,4560,0.02105263,0.91810783,-0.00172405
h4,bear,price200_cross_down,-6,6879,0.01599070,4560,0.02105263,0.75955808,-0.00506194
h4,bear,breakout20_down,0,6893,0.14957203,4560,0.03793860,3.94247662,0.11163343
h4,bear,breakout20_down,-1,6885,0.04923747,4560,0.03793860,1.29782009,0.01129888
h4,bear,breakout20_down,-2,6885,0.03936093,4560,0.03793860,1.03749040,0.00142233
h4,bear,breakout20_down,-3,6885,0.03587509,4560,0.03793860,0.94560933,-0.00206351
h4,bear,breakout20_down,-4,6883,0.03486852,4560,0.03793860,0.91907766,-0.00307008
h4,bear,breakout20_down,-5,6881,0.03487865,4560,0.03793860,0.91934480,-0.00305995
h4,bear,breakout20_down,-6,6879,0.03474342,4560,0.03793860,0.91578037,-0.00319517
h4,bear,atr_expand,0,6893,0.14550994,4560,0.03925439,3.70684534,0.10625555
h4,bear,atr_expand,-1,6885,0.10922295,4560,0.03925439,2.78243936,0.06996856
h4,bear,atr_expand,-2,6885,0.06492375,4560,0.03925439,1.65392339,0.02566936
h4,bear,atr_expand,-3,6885,0.06521423,4560,0.03925439,1.66132350,0.02595985
h4,bear,atr_expand,-4,6883,0.06218219,4560,0.03925439,1.58408255,0.02292780
h4,bear,atr_expand,-5,6881,0.07295451,4560,0.03925439,1.85850601,0.03370013
h4,bear,atr_expand,-6,6879,0.07530164,4560,0.03925439,1.91829883,0.03604726
h4,bear,bb_expand,0,6893,0.38575366,4560,0.16644737,2.31757141,0.21930629
h4,bear,bb_expand,-1,6885,0.32795933,4560,0.16644737,1.97034856,0.16151196
h4,bear,bb_expand,-2,6885,0.26666667,4560,0.16644737,1.60210804,0.10021930
h4,bear,bb_expand,-3,6885,0.24763980,4560,0.16644737,1.48779641,0.08119243
h4,bear,bb_expand,-4,6883,0.23928520,4560,0.16644737,1.43760276,0.07283783
h4,bear,bb_expand,-5,6881,0.22714722,4560,0.16644737,1.36467893,0.06069985
h4,bear,bb_expand,-6,6879,0.21892717,4560,0.16644737,1.31529367,0.05247980
h4,bear,body_expand,0,6893,0.37951545,4560,0.28991228,1.30906994,0.08960317
h4,bear,body_expand,-1,6885,0.34422658,4560,0.28991228,1.18734735,0.05431430
h4,bear,body_expand,-2,6885,0.31575890,4560,0.28991228,1.08915323,0.02584662
h4,bear,body_expand,-3,6885,0.29716776,4560,0.28991228,1.02502645,0.00725548
h4,bear,body_expand,-4,6883,0.29260497,4560,0.28991228,1.00928794,0.00269269
h4,bear,body_expand,-5,6881,0.29298067,4560,0.28991228,1.01058386,0.00306839
h4,bear,body_expand,-6,6879,0.29873528,4560,0.28991228,1.03043335,0.00882300
h4,bear,sma20_bear,0,6893,0.45596982,4560,0.52982456,0.86060530,-0.07385474
h4,bear,sma20_bear,-1,6885,0.34887436,4560,0.52982456,0.65847148,-0.18095020
h4,bear,sma20_bear,-2,6885,0.34132171,4560,0.52982456,0.64421648,-0.18850285
h4,bear,sma20_bear,-3,6885,0.35482934,4560,0.52982456,0.66971100,-0.17499522
h4,bear,sma20_bear,-4,6883,0.36975156,4560,0.52982456,0.69787546,-0.16007300
h4,bear,sma20_bear,-5,6881,0.38671705,4560,0.52982456,0.72989641,-0.14310751
h4,bear,sma20_bear,-6,6879,0.39467946,4560,0.52982456,0.74492481,-0.13514510
h4,bear,sma50_bear,0,6893,0.43261280,4560,0.51600877,0.83838264,-0.08339598
h4,bear,sma50_bear,-1,6885,0.35787945,4560,0.51600877,0.69355303,-0.15812932
h4,bear,sma50_bear,-2,6885,0.37487291,4560,0.51600877,0.72648554,-0.14113586
h4,bear,sma50_bear,-3,6885,0.39549746,4560,0.51600877,0.76645491,-0.12051131
h4,bear,sma50_bear,-4,6883,0.40156908,4560,0.51600877,0.77822143,-0.11443969
h4,bear,sma50_bear,-5,6881,0.41578259,4560,0.51600877,0.80576651,-0.10022618
h4,bear,sma50_bear,-6,6879,0.42433493,4560,0.51600877,0.82234054,-0.09167384
h4,bear,sma200_bear,0,6893,0.42028144,4560,0.48070175,0.87430812,-0.06042031
h4,bear,sma200_bear,-1,6885,0.38024691,4560,0.48070175,0.79102460,-0.10045484
h4,bear,sma200_bear,-2,6885,0.39535221,4560,0.48070175,0.82244804,-0.08534954
h4,bear,sma200_bear,-3,6885,0.40566449,4560,0.48070175,0.84390058,-0.07503727
h4,bear,sma200_bear,-4,6883,0.40941450,4560,0.48070175,0.85170170,-0.07128725
h4,bear,sma200_bear,-5,6881,0.41476530,4560,0.48070175,0.86283291,-0.06593646
h4,bear,sma200_bear,-6,6879,0.41750254,4560,0.48070175,0.86852719,-0.06319921
h4,bear,sma_stack_bear,0,6893,0.23864790,4560,0.27828947,0.85755275,-0.03964157
h4,bear,sma_stack_bear,-1,6885,0.24139434,4560,0.27828947,0.86742173,-0.03689514
h4,bear,sma_stack_bear,-2,6885,0.24328250,4560,0.27828947,0.87420661,-0.03500698
h4,bear,sma_stack_bear,-3,6885,0.24807553,4560,0.27828947,0.89142979,-0.03021395
h4,bear,sma_stack_bear,-4,6883,0.25236089,4560,0.27828947,0.90682873,-0.02592858
h4,bear,sma_stack_bear,-5,6881,0.25490481,4560,0.27828947,0.91597000,-0.02338466
h4,bear,sma_stack_bear,-6,6879,0.25497892,4560,0.27828947,0.91623631,-0.02331055
h4,bear,ichimoku_bear,0,6893,0.36877992,4560,0.42631579,0.86503932,-0.05753587
h4,bear,ichimoku_bear,-1,6885,0.31546841,4560,0.42631579,0.73998763,-0.11084738
h4,bear,ichimoku_bear,-2,6885,0.33217139,4560,0.42631579,0.77916745,-0.09414440
h4,bear,ichimoku_bear,-3,6885,0.34146696,4560,0.42631579,0.80097187,-0.08484883
h4,bear,ichimoku_bear,-4,6883,0.34897574,4560,0.42631579,0.81858506,-0.07734005
h4,bear,ichimoku_bear,-5,6881,0.35474495,4560,0.42631579,0.83211778,-0.07157084
h4,bear,ichimoku_bear,-6,6879,0.36022678,4560,0.42631579,0.84497639,-0.06608901
h4,bear,ichimoku_tk_bear,0,6893,0.34963006,4560,0.52807018,0.66209015,-0.17844012
h4,bear,ichimoku_tk_bear,-1,6885,0.34175744,4560,0.52807018,0.64718187,-0.18631273
h4,bear,ichimoku_tk_bear,-2,6885,0.38286129,4560,0.52807018,0.72501972,-0.14520888
h4,bear,ichimoku_tk_bear,-3,6885,0.39782135,4560,0.52807018,0.75334940,-0.13024882
h4,bear,ichimoku_tk_bear,-4,6883,0.40708993,4560,0.52807018,0.77090120,-0.12098024
h4,bear,ichimoku_tk_bear,-5,6881,0.41098678,4560,0.52807018,0.77828060,-0.11708340
h4,bear,ichimoku_tk_bear,-6,6879,0.42157290,4560,0.52807018,0.79832742,-0.10649727
h4,bear,ichimoku_cloud_bear,0,6893,0.45771072,4560,0.47631579,0.96093964,-0.01860507
h4,bear,ichimoku_cloud_bear,-1,6885,0.45490196,4560,0.47631579,0.95504279,-0.02141383
h4,bear,ichimoku_cloud_bear,-2,6885,0.45141612,4560,0.47631579,0.94772446,-0.02489967
h4,bear,ichimoku_cloud_bear,-3,6885,0.44923747,4560,0.47631579,0.94315050,-0.02707832
h4,bear,ichimoku_cloud_bear,-4,6883,0.44806044,4560,0.47631579,0.94067937,-0.02825535
h4,bear,ichimoku_cloud_bear,-5,6881,0.44920796,4560,0.47631579,0.94308854,-0.02710783
h4,bear,ichimoku_cloud_bear,-6,6879,0.45210060,4560,0.47631579,0.94916147,-0.02421519
h4,bear,span_model_bear,0,6893,0.25837806,4560,0.35131579,0.73545816,-0.09293772
h4,bear,span_model_bear,-1,6885,0.22861293,4560,0.35131579,0.65073342,-0.12270286
h4,bear,span_model_bear,-2,6885,0.24952796,4560,0.35131579,0.71026685,-0.10178783
h4,bear,span_model_bear,-3,6885,0.25896877,4560,0.35131579,0.73713958,-0.09234702
h4,bear,span_model_bear,-4,6883,0.26659887,4560,0.35131579,0.75885820,-0.08471692
h4,bear,span_model_bear,-5,6881,0.26914693,4560,0.35131579,0.76611110,-0.08216886
h4,bear,span_model_bear,-6,6879,0.27736590,4560,0.35131579,0.78950592,-0.07394989
h4,bear,superbb_bear,0,6893,0.02306688,4560,0.00482456,4.78113501,0.01824232
h4,bear,superbb_bear,-1,6885,0.00610022,4560,0.00482456,1.26440879,0.00127566
h4,bear,superbb_bear,-2,6885,0.00479303,4560,0.00482456,0.99346405,-0.00003153
h4,bear,superbb_bear,-3,6885,0.00203341,4560,0.00482456,0.42146960,-0.00279116
h4,bear,superbb_bear,-4,6883,0.00305100,4560,0.00482456,0.63238810,-0.00177357
h4,bear,superbb_bear,-5,6881,0.00363319,4560,0.00482456,0.75306179,-0.00119137
h4,bear,superbb_bear,-6,6879,0.00436110,4560,0.00482456,0.90393688,-0.00046346
h4,bear,superbb_squeeze,0,6893,0.15972726,4560,0.25855263,0.61777464,-0.09882537
h4,bear,superbb_squeeze,-1,6885,0.18954248,4560,0.25855263,0.73309052,-0.06901015
h4,bear,superbb_squeeze,-2,6885,0.22164125,4560,0.25855263,0.85723842,-0.03691138
h4,bear,superbb_squeeze,-3,6885,0.23035585,4560,0.25855263,0.89094373,-0.02819679
h4,bear,superbb_squeeze,-4,6883,0.22940578,4560,0.25855263,0.88726918,-0.02914685
h4,bear,superbb_squeeze,-5,6881,0.23383229,4560,0.25855263,0.90438953,-0.02472034
h4,bear,superbb_squeeze,-6,6879,0.24116877,4560,0.25855263,0.93276473,-0.01738386
h4,bear,superbb_expand,0,6893,0.38575366,4560,0.16644737,2.31757141,0.21930629
h4,bear,superbb_expand,-1,6885,0.32795933,4560,0.16644737,1.97034856,0.16151196
h4,bear,superbb_expand,-2,6885,0.26666667,4560,0.16644737,1.60210804,0.10021930
h4,bear,superbb_expand,-3,6885,0.24763980,4560,0.16644737,1.48779641,0.08119243
h4,bear,superbb_expand,-4,6883,0.23928520,4560,0.16644737,1.43760276,0.07283783
h4,bear,superbb_expand,-5,6881,0.22714722,4560,0.16644737,1.36467893,0.06069985
h4,bear,superbb_expand,-6,6879,0.21892717,4560,0.16644737,1.31529367,0.05247980
h4,bear,stoch_bear,0,6893,0.72058610,4560,0.46622807,1.54556567,0.25435803
h4,bear,stoch_bear,-1,6885,0.47421932,4560,0.46622807,1.01714021,0.00799125
h4,bear,stoch_bear,-2,6885,0.42033406,4560,0.46622807,0.90156318,-0.04589401
h4,bear,stoch_bear,-3,6885,0.45577342,4560,0.46622807,0.97757610,-0.01045465
h4,bear,stoch_bear,-4,6883,0.45706814,4560,0.46622807,0.98035311,-0.00915993
h4,bear,stoch_bear,-5,6881,0.47202442,4560,0.46622807,1.01243242,0.00579634
h4,bear,stoch_bear,-6,6879,0.46852740,4560,0.46622807,1.00493178,0.00229933
h4,bear,stoch_cross_down,0,6893,0.32148557,4560,0.19100877,1.68309320,0.13047679
h4,bear,stoch_cross_down,-1,6885,0.22745098,4560,0.19100877,1.19078814,0.03644221
h4,bear,stoch_cross_down,-2,6885,0.18431373,4560,0.19100877,0.96494901,-0.00669505
h4,bear,stoch_cross_down,-3,6885,0.20348584,4560,0.19100877,1.06532196,0.01247707
h4,bear,stoch_cross_down,-4,6883,0.19308441,4560,0.19100877,1.01086672,0.00207564
h4,bear,stoch_cross_down,-5,6881,0.19982561,4560,0.19100877,1.04615932,0.00881683
