timeframe,direction,horizon_bars,conditions,discovery_samples,validation_samples,oos_samples,discovery_lift,validation_lift,oos_lift,oos_wilson95_lower,oos_pairs_n_ge5,oos_pairs_above_oos_base,oos_pair_hit_mean,oos_min_pair_hit
h4,bull,24,mtf_price200_bull+mtf_volatility,12886,2129,2553,1.14159162,1.11241436,1.17162808,0.61133070,12,7,0.55892882,0.10344828
h4,bull,24,atr_expand+mtf_volatility,1172,192,172,1.14092886,1.11972663,0.98355237,0.45465476,11,6,0.54304063,0.28571429
h4,bull,24,adx_up3+mtf_trend_bull+structure_hh,1590,380,259,1.14050141,0.92619832,1.09818677,0.52994981,11,9,0.59221346,0.06250000
h4,bull,24,trend_bull+mtf_volatility,8134,1548,1277,1.13470415,1.09536648,1.09182971,0.56008929,12,7,0.55751033,0.05555556
h4,bull,24,mtf_trend_bull+mtf_volatility,10188,1648,1919,1.13400125,1.10043913,1.11502574,0.57769252,11,7,0.54123883,0.00000000
h4,bull,24,di_strong_bull+mtf_volatility,7730,1471,1214,1.13283887,1.09259349,1.12092598,0.57515893,12,7,0.59429137,0.14285714
h4,bull,24,mtf_volatility+mtf_bb_bull,11296,2243,1840,1.13064269,1.13394604,1.10429952,0.57140999,12,7,0.57467963,0.12345679
h4,bull,24,di_bull+mtf_volatility,10789,2083,1724,1.12926655,1.10618371,1.14517484,0.59281748,12,8,0.60213788,0.11111111
h4,bull,24,mtf_price20_bull+mtf_volatility,11179,2305,1879,1.12777062,1.11021471,1.10017697,0.56941547,12,7,0.56955131,0.12857143
h4,bull,24,mtf_ema20_rising+mtf_volatility,11179,2305,1879,1.12777062,1.11021471,1.10017697,0.56941547,12,7,0.56955131,0.12857143
h4,bull,24,price200_bull+mtf_volatility,11246,2371,1925,1.12572341,1.08662278,1.09609872,0.56747887,12,6,0.56085171,0.06451613
h4,bull,24,ema200_rising+mtf_volatility,11246,2371,1925,1.12572341,1.08662278,1.09609872,0.56747887,12,6,0.56085171,0.06451613
h4,bull,24,breakout20_up+mtf_volatility,1437,272,264,1.12512502,1.12822550,1.22526454,0.59999566,11,8,0.66680821,0.43243243
h4,bull,24,mtf_volatility+structure_breakout20_up,1437,272,264,1.12512502,1.12822550,1.22526454,0.59999566,11,8,0.66680821,0.43243243
h4,bull,24,rsi60+mtf_volatility,5649,1090,965,1.12054217,1.11979290,1.13660416,0.58026132,12,9,0.58020682,0.02500000
h4,bull,24,mtf_macd_bull+mtf_volatility,11189,2013,1782,1.11949228,1.20063375,1.13502581,0.58769503,12,10,0.60214563,0.10101010
h4,bull,24,volatility+mtf_volatility,9620,1647,1395,1.11287140,1.17584783,1.18071222,0.60952465,12,9,0.61990627,0.12345679
h4,bull,24,mtf_macd_rising+mtf_volatility,11795,2278,2197,1.11226507,1.10130183,1.17870629,0.61368650,12,9,0.59979865,0.10000000
h4,bull,24,ema20_slope_up3+mtf_volatility,11773,2257,2085,1.11117656,1.10617154,1.13681205,0.59040276,12,8,0.58509200,0.08139535
h4,bull,24,mtf_trend_bull+breakout20_up+cross_group_bull,1425,361,316,1.11081360,1.00376173,1.07070258,0.52086911,9,5,0.54280475,0.08333333
h4,bull,24,mtf_rsi60+mtf_volatility,5318,918,834,1.10997786,1.07463538,1.06102458,0.53690195,12,5,0.48835606,0.00000000
h4,bull,24,mtf_volatility+impulse_bull,4049,758,731,1.10919339,1.14136063,1.20543975,0.61312068,12,9,0.62040801,0.09090909
h4,bull,24,momentum_bull+mtf_volatility,7847,1535,1395,1.10882086,1.10125473,1.11274797,0.57260640,12,7,0.56616160,0.08571429
h4,bull,24,body_bull+mtf_volatility,3533,664,668,1.10857603,1.15149501,1.21059071,0.61428471,12,10,0.61051586,0.08333333
h4,bull,24,mtf_adx25+mtf_volatility,11657,1838,2194,1.10856771,1.07723919,1.16676088,0.60718533,12,8,0.59340615,0.06122449
h4,bull,24,price20_bull+mtf_volatility,11816,2276,2110,1.10856714,1.10684015,1.15153641,0.59851526,12,8,0.58961038,0.08536585
h4,bull,24,ema20_rising+mtf_volatility,11816,2276,2110,1.10856714,1.10684015,1.15153641,0.59851526,12,8,0.58961038,0.08536585
h4,bull,24,bb_bull+mtf_volatility,11822,2284,2137,1.10614087,1.09613146,1.16656461,0.60680548,12,8,0.59590819,0.08974359
h4,bull,24,mtf_volatility+distance_high_ok,12598,2523,2384,1.10311661,1.11461568,1.17904419,0.61469255,12,7,0.61291425,0.10989011
h4,bull,24,mtf_di_strong_bull+mtf_volatility,8235,1616,1494,1.10267691,1.07609627,1.11118253,0.57263943,12,8,0.57956975,0.13043478
h4,bull,24,mtf_di_bull+mtf_volatility,10939,2236,1957,1.10107745,1.07934177,1.08007567,0.55899355,12,6,0.56084055,0.11842105
h4,bull,24,di_cross_up+mtf_volatility,904,185,151,1.10047162,1.17146639,1.14496060,0.53635533,11,8,0.62605997,0.08333333
h4,bear,1,atr_expand+mtf_volatility,1172,192,172,2.80707806,3.09873366,4.56983277,0.10042961,11,7,0.15344382,0.00000000
h4,bear,1,atr_expand+mtf_macd_bear+structure_breakout20_down,459,103,79,2.44744868,1.67698458,4.37778410,0.07956541,10,5,0.14238095,0.00000000
h4,bear,1,mtf_macd_bear+adx_up3+atr_expand,861,189,162,2.37648607,1.82782446,3.10522957,0.06171100,12,7,0.08744594,0.00000000
h4,bear,1,atr_expand+mtf_adx_rising+structure_breakout20_down,354,70,70,2.21003727,1.37086835,4.94064205,0.09007621,6,3,0.23287037,0.00000000
h4,bear,1,breakout20_down+atr_expand,778,150,144,2.14011321,1.40742484,3.49338327,0.06955939,12,7,0.11522644,0.00000000
h4,bear,1,atr_expand+structure_breakout20_down,778,150,144,2.14011321,1.40742484,3.49338327,0.06955939,12,7,0.11522644,0.00000000
h4,bear,1,rsi40+atr_expand,1581,317,298,2.13164885,1.57412012,3.16514592,0.07143038,12,7,0.08852834,0.00000000
h4,bear,1,breakout20_down+mtf_volatility,1020,170,185,2.10436882,2.48369089,4.41865776,0.09774701,11,9,0.16419517,0.00000000
h4,bear,1,mtf_volatility+structure_breakout20_down,1020,170,185,2.10436882,2.48369089,4.41865776,0.09774701,11,9,0.16419517,0.00000000
