pair,h,a,b,gap,n,hit
usdjpy,6,rsi_down1,adx_up3,3,15,0.4666666666666667
usdjpy,6,rsi_down1,atr_expand,1,8,0.75
usdjpy,6,rsi_down1,atr_expand,2,7,0.2857142857142857
usdjpy,6,rsi_down1,bb_expand,1,13,0.46153846153846156
usdjpy,6,rsi_down1,bb_expand,2,20,0.25
usdjpy,6,rsi_down1,bb_expand,3,18,0.3333333333333333
usdjpy,6,price200_cross_down,bb_expand,1,5,0.4
usdjpy,6,atr_expand,adx_up3,1,15,0.4666666666666667
usdjpy,6,atr_expand,adx_up3,2,14,0.42857142857142855
usdjpy,6,atr_expand,adx_up3,3,8,0.375
usdjpy,6,atr_expand,bb_expand,1,18,0.4444444444444444
usdjpy,6,atr_expand,bb_expand,2,18,0.3888888888888889
usdjpy,6,atr_expand,bb_expand,3,12,0.3333333333333333
usdjpy,6,bb_expand,adx_up3,1,39,0.4358974358974359
usdjpy,6,bb_expand,adx_up3,2,37,0.4594594594594595
usdjpy,6,bb_expand,adx_up3,3,31,0.45161290322580644
usdjpy,6,bb_expand,atr_expand,1,12,0.4166666666666667
usdjpy,6,bb_expand,atr_expand,2,7,0.14285714285714285
usdjpy,6,breakout_down20,adx_up3,1,11,0.36363636363636365
usdjpy,6,breakout_down20,adx_up3,2,15,0.3333333333333333
usdjpy,6,breakout_down20,adx_up3,3,8,0.5
usdjpy,6,breakout_down20,atr_expand,1,5,0.4
usdjpy,6,breakout_down20,bb_expand,1,13,0.38461538461538464
usdjpy,6,breakout_down20,bb_expand,2,13,0.3076923076923077
usdjpy,6,breakout_down20,bb_expand,3,9,0.4444444444444444
usdjpy,6,retest_down,adx_up3,1,11,0.36363636363636365
usdjpy,6,retest_down,adx_up3,2,15,0.3333333333333333
usdjpy,6,retest_down,adx_up3,3,8,0.5
usdjpy,6,retest_down,atr_expand,1,5,0.4
usdjpy,6,retest_down,bb_expand,1,13,0.38461538461538464
usdjpy,6,retest_down,bb_expand,2,13,0.3076923076923077
usdjpy,6,retest_down,bb_expand,3,9,0.4444444444444444
usdjpy,12,adx_up3,atr_expand,1,9,0.5555555555555556
usdjpy,12,adx_up3,atr_expand,2,6,0.6666666666666666
usdjpy,12,adx_up3,atr_expand,3,5,0.8
usdjpy,12,adx_up3,bb_expand,1,35,0.5142857142857142
usdjpy,12,adx_up3,bb_expand,2,32,0.46875
usdjpy,12,adx_up3,bb_expand,3,25,0.48
usdjpy,12,rsi_down1,adx_up3,1,11,0.5454545454545454
usdjpy,12,rsi_down1,adx_up3,2,23,0.43478260869565216
usdjpy,12,rsi_down1,adx_up3,3,15,0.6666666666666666
usdjpy,12,rsi_down1,atr_expand,1,8,0.875
usdjpy,12,rsi_down1,atr_expand,2,7,0.5714285714285714
usdjpy,12,rsi_down1,bb_expand,1,13,0.5384615384615384
usdjpy,12,rsi_down1,bb_expand,2,20,0.4
usdjpy,12,rsi_down1,bb_expand,3,18,0.5555555555555556
usdjpy,12,price200_cross_down,bb_expand,1,5,0.6
usdjpy,12,atr_expand,adx_up3,1,15,0.6666666666666666
usdjpy,12,atr_expand,adx_up3,2,14,0.6428571428571429
usdjpy,12,atr_expand,adx_up3,3,8,0.625
usdjpy,12,atr_expand,bb_expand,1,18,0.6111111111111112
usdjpy,12,atr_expand,bb_expand,2,18,0.5555555555555556
usdjpy,12,atr_expand,bb_expand,3,12,0.5
usdjpy,12,bb_expand,adx_up3,1,39,0.5384615384615384
usdjpy,12,bb_expand,adx_up3,2,37,0.5675675675675675
usdjpy,12,bb_expand,adx_up3,3,31,0.6129032258064516
usdjpy,12,bb_expand,atr_expand,1,12,0.5833333333333334
usdjpy,12,bb_expand,atr_expand,2,7,0.42857142857142855
usdjpy,12,breakout_down20,adx_up3,1,11,0.45454545454545453
usdjpy,12,breakout_down20,adx_up3,2,15,0.4666666666666667
usdjpy,12,breakout_down20,adx_up3,3,8,0.75
usdjpy,12,breakout_down20,atr_expand,1,5,0.6
usdjpy,12,breakout_down20,bb_expand,1,13,0.46153846153846156
usdjpy,12,breakout_down20,bb_expand,2,13,0.46153846153846156
usdjpy,12,breakout_down20,bb_expand,3,9,0.6666666666666666
usdjpy,12,retest_down,adx_up3,1,11,0.45454545454545453
usdjpy,12,retest_down,adx_up3,2,15,0.4666666666666667
usdjpy,12,retest_down,adx_up3,3,8,0.75
usdjpy,12,retest_down,atr_expand,1,5,0.6
usdjpy,12,retest_down,bb_expand,1,13,0.46153846153846156
usdjpy,12,retest_down,bb_expand,2,13,0.46153846153846156
usdjpy,12,retest_down,bb_expand,3,9,0.6666666666666666
usdjpy,24,adx_up3,atr_expand,1,9,0.7777777777777778
usdjpy,24,adx_up3,atr_expand,2,6,1.0
usdjpy,24,adx_up3,atr_expand,3,5,1.0
usdjpy,24,adx_up3,bb_expand,1,35,0.6
usdjpy,24,adx_up3,bb_expand,2,32,0.5625
usdjpy,24,adx_up3,bb_expand,3,25,0.56
usdjpy,24,rsi_down1,adx_up3,1,11,0.7272727272727273
usdjpy,24,rsi_down1,adx_up3,2,23,0.6086956521739131
usdjpy,24,rsi_down1,adx_up3,3,15,0.7333333333333333
usdjpy,24,rsi_down1,atr_expand,1,8,0.875
usdjpy,24,rsi_down1,atr_expand,2,7,0.8571428571428571
usdjpy,24,rsi_down1,bb_expand,1,13,0.6153846153846154
usdjpy,24,rsi_down1,bb_expand,2,20,0.5
usdjpy,24,rsi_down1,bb_expand,3,18,0.6111111111111112
usdjpy,24,price200_cross_down,bb_expand,1,5,0.6
usdjpy,24,atr_expand,adx_up3,1,15,0.6666666666666666
usdjpy,24,atr_expand,adx_up3,2,14,0.6428571428571429
usdjpy,24,atr_expand,adx_up3,3,8,0.625
usdjpy,24,atr_expand,bb_expand,1,18,0.6666666666666666
