timeframe,direction,horizon_bars,conditions,discovery_samples,validation_samples,oos_samples,discovery_lift,validation_lift,oos_lift,oos_wilson95_lower,oos_pairs_n_ge5,oos_pairs_above_oos_base,oos_pair_hit_mean,oos_min_pair_hit
d1,bear,1,volatility+adx_up3,853,142,189,1.39626549,1.41255070,1.34983907,0.22607997,12,10,0.28201053,0.00000000
d1,bear,1,macd_bear+atr_expand,392,96,99,1.39297576,2.00746073,2.14747125,0.35999360,7,6,0.44145253,0.14285714
d1,bear,1,di_bear+atr_expand,380,78,97,1.37448776,2.11776077,2.04563240,0.33880061,8,7,0.40337302,0.20000000
d1,bear,1,di_spread_down3+atr_expand,342,57,95,1.36523195,1.72499311,2.23789109,0.37626742,8,7,0.44234966,0.14285714
d1,bear,1,volatility+bb_expand,1189,245,229,1.33781093,1.58924671,1.40288951,0.24150969,12,6,0.27019168,0.00000000
d1,bear,1,atr_expand,649,147,140,1.32911432,1.63205471,2.12599653,0.37002376,11,9,0.40088914,0.00000000
d1,bear,1,bb_lower+atr_expand,275,55,85,1.30936051,2.28828177,2.00093791,0.32403542,7,5,0.40536309,0.14285714
d1,bear,1,ema20_slope_down3+atr_expand,381,86,89,1.30856744,2.01222452,2.01717524,0.32932751,8,7,0.42240555,0.20000000
d1,bear,1,rsi40+atr_expand,236,50,70,1.30777533,2.35979058,1.88977470,0.29334258,7,5,0.39362245,0.12500000
d1,bear,1,body_bear+adx_up3,332,59,51,1.29908915,1.06657201,1.57481225,0.21969932,5,3,0.34666667,0.16666667
d1,bear,1,rsi_down3+atr_expand,335,59,91,1.28745551,1.99982252,2.18050927,0.36275434,6,4,0.43542715,0.00000000
d1,bear,1,di_strong_bear+volatility,1808,281,308,1.28685449,1.72155540,1.38051723,0.24422722,11,9,0.28451254,0.13888889
d1,bear,1,adx25+volatility,2310,361,432,1.27955560,1.19841627,1.29047115,0.23326810,12,7,0.25285471,0.00000000
d1,bear,1,macd_falling+atr_expand,406,76,104,1.26697446,1.91474235,2.18050927,0.36881005,7,7,0.47828362,0.25000000
d1,bear,1,macd_accel_down+atr_expand,406,76,104,1.26697446,1.91474235,2.18050927,0.36881005,7,7,0.47828362,0.25000000
d1,bear,1,bb_bear+atr_expand,404,89,99,1.26345240,2.03277840,2.09974966,0.35046067,8,6,0.39930746,0.12500000
d1,bear,1,volatility+breakout20_down,320,52,59,1.26124871,1.51268627,1.36127838,0.18836500,6,3,0.30972222,0.00000000
d1,bear,1,price200_bear+atr_expand,303,77,51,1.25365820,2.14526416,1.48217623,0.20327678,7,5,0.34846939,0.12500000
d1,bear,1,ema200_falling+atr_expand,303,77,51,1.25365820,2.14526416,1.48217623,0.20327678,7,5,0.34846939,0.12500000
d1,bear,1,adx25+bb_expand,1394,281,259,1.24893675,1.04972890,1.14918732,0.19499218,12,4,0.22644702,0.00000000
d1,bear,1,macd_bear+di_bear+volatility+bb_bear,1636,279,313,1.24558816,1.60702584,1.41884043,0.25220832,12,8,0.26680586,0.00000000
d1,bear,1,adx25+adx_up3,1524,311,303,1.23586925,1.01170014,1.07586183,0.18408538,12,5,0.22642870,0.00000000
d1,bear,1,di_bear+adx_up3,999,192,235,1.22785405,1.04469895,1.10571924,0.18445390,12,6,0.22144127,0.00000000
d1,bear,1,di_strong_bear+adx_up3,999,192,235,1.22785405,1.04469895,1.10571924,0.18445390,12,6,0.22144127,0.00000000
d1,bear,1,adx_up3+ema20_slope_down3,996,192,233,1.22757965,1.04469895,1.09493384,0.18219591,12,6,0.22038262,0.00000000
d1,bear,1,price20_bear+atr_expand,404,85,97,1.22427559,2.08216816,2.09433794,0.34847593,8,6,0.40733173,0.12500000
d1,bear,1,ema20_falling+atr_expand,404,85,97,1.22427559,2.08216816,2.09433794,0.34847593,8,6,0.40733173,0.12500000
d1,bear,1,di_bear+volatility,2362,401,406,1.22290722,1.55946260,1.36147561,0.24626921,12,7,0.26150756,0.00000000
d1,bear,1,price20_bear+adx_up3,1000,193,233,1.21871248,1.03928600,1.09493384,0.18219591,12,6,0.22067534,0.00000000
d1,bear,1,ema20_falling+adx_up3,1000,193,233,1.21871248,1.03928600,1.09493384,0.18219591,12,6,0.22067534,0.00000000
d1,bear,1,bb_bear+adx_up3,995,193,234,1.21688318,1.03928600,1.11044453,0.18526397,12,6,0.22233253,0.00000000
d1,bear,1,adx_up3+bb_expand,1472,316,310,1.21232559,1.02058453,1.08204842,0.18574080,12,5,0.22244195,0.04761905
d1,bear,1,macd_bear+adx_up3,1021,195,237,1.20914781,1.02862666,1.11632261,0.18667883,12,6,0.22361518,0.00000000
d1,bear,1,macd_bear+volatility,2329,449,435,1.20795471,1.39274945,1.37931831,0.25119771,12,7,0.25872860,0.00000000
d1,bear,1,adx_up3+body_expand,657,136,133,1.20452319,0.92540807,0.88805202,0.13068685,12,4,0.20100351,0.00000000
d1,bear,1,volatility+bb_lower,1101,188,192,1.20394883,1.69453047,1.35335427,0.22718928,11,8,0.28766096,0.13043478
d1,bear,1,bb_lower+adx_up3,835,151,194,1.20364324,1.06789640,1.09587450,0.17811859,12,6,0.22508762,0.00000000
d1,bear,1,volatility+ema20_slope_down3,2369,401,426,1.19758028,1.55946260,1.31973702,0.23885317,12,7,0.25234222,0.00000000
d1,bear,1,rsi_down1+adx_up3,503,126,93,1.19571078,0.93642483,1.42241106,0.21726303,12,8,0.28720238,0.00000000
d1,bear,1,rsi_down1+atr_expand,285,46,62,1.19399947,1.96649215,2.05741600,0.31942589,6,5,0.49007937,0.16666667
d1,bear,1,rsi40+volatility,1075,168,191,1.19257881,1.80261780,1.21202827,0.19983487,10,5,0.24072676,0.06666667
d1,bear,1,breakout20_down+bb_expand,473,68,90,1.18789415,1.33027410,1.10236857,0.15798194,11,5,0.22011877,0.00000000
d1,bear,1,adx25+body_expand,1648,352,286,1.17169117,0.88268682,0.84246949,0.13831159,12,4,0.16924447,0.00000000
d1,bear,1,adx25+rsi_down1,1300,278,214,1.16879518,0.83469811,1.08176355,0.17775088,12,4,0.23697217,0.00000000
d1,bear,1,volatility+bb_bear,2323,404,429,1.16849120,1.53814732,1.32152077,0.23934413,12,7,0.25196074,0.00000000
d1,bear,1,adx_rising+volatility,2194,401,387,1.16505502,1.45157525,1.28182392,0.22942675,12,7,0.25652204,0.00000000
d1,bear,1,price20_bear+volatility,2344,392,420,1.16308688,1.52503473,1.34983907,0.24460471,12,7,0.25848969,0.00000000
d1,bear,1,ema20_falling+volatility,2344,392,420,1.16308688,1.52503473,1.34983907,0.24460471,12,7,0.25848969,0.00000000
d1,bear,1,volatility+body_expand,1344,263,205,1.15702788,1.40570541,1.19839371,0.19900502,12,5,0.23506743,0.00000000
d1,bear,1,price200_bear+macd_bear+di_bear+volatility,952,187,163,1.15546924,1.93494414,1.30429235,0.21319848,9,7,0.28831787,0.14285714
d1,bear,3,adx25+atr_expand,323,47,69,1.27549421,1.54946621,1.61684460,0.54926475,8,6,0.69652778,0.16666667
d1,bear,3,adx_up3+atr_expand,229,38,60,1.22996926,1.50992640,1.61684460,0.54056866,6,6,0.70383598,0.42857143
d1,bear,3,bb_lower+atr_expand,275,55,85,1.21531644,1.80557633,1.59782290,0.55313139,7,6,0.68192938,0.27272727
d1,bear,3,volatility+atr_expand,436,112,96,1.21007468,1.59600050,1.66737100,0.58908120,10,8,0.69858974,0.25000000
d1,bear,3,di_strong_bear+atr_expand,320,64,87,1.20862838,1.65511163,1.67259786,0.58616181,8,7,0.69501488,0.40000000
d1,bear,3,macd_bear+atr_expand,392,96,99,1.20648352,1.56316099,1.64134225,0.57952968,7,6,0.69479743,0.30769231
d1,bear,3,di_spread_down3+atr_expand,342,57,95,1.20463342,1.39377822,1.73598052,0.61808990,8,7,0.72756983,0.40000000
d1,bear,3,atr_expand+bb_expand,313,96,84,1.18864966,1.63212397,1.53022793,0.52415240,9,7,0.62619048,0.25000000
d1,bear,3,di_bear+atr_expand,380,78,97,1.18373672,1.69755039,1.62517885,0.57162727,8,7,0.69126984,0.33333333
d1,bear,3,rsi_down3+atr_expand,335,59,91,1.17333423,1.53354976,1.70568222,0.60275965,6,4,0.67191347,0.27272727
d1,bear,3,adx_rising+atr_expand,401,97,114,1.16892173,1.45604322,1.57429606,0.55795779,9,7,0.65155354,0.33333333
d1,bear,3,rsi40+atr_expand,236,50,70,1.15786064,1.89786134,1.52445348,0.51147201,7,6,0.65586735,0.25000000
d1,bear,3,ema20_slope_down3+atr_expand,381,86,89,1.15304499,1.64228131,1.63501140,0.57134228,8,7,0.70532367,0.36363636
d1,bear,3,volatility+bb_expand,1189,245,229,1.15263203,1.25203002,1.21792879,0.43792538,12,7,0.45299193,0.00000000
d1,bear,3,bb_bear+atr_expand,404,89,99,1.14463299,1.61171919,1.64134225,0.57952968,8,7,0.68050023,0.30769231
d1,bear,3,volatility+adx_up3,853,142,189,1.14092449,1.18111253,1.14205690,0.40102676,12,8,0.45466657,0.00000000
d1,bear,3,di_strong_bear+volatility,1808,281,308,1.14050062,1.32723068,1.17326224,0.42850045,11,8,0.46953204,0.25000000
d1,bear,3,macd_falling+atr_expand,406,76,104,1.13899440,1.56800049,1.70235081,0.60810070,7,6,0.72336473,0.33333333
d1,bear,3,macd_accel_down+atr_expand,406,76,104,1.13899440,1.56800049,1.70235081,0.60810070,7,6,0.72336473,0.33333333
d1,bear,3,atr_expand,649,147,140,1.13033109,1.45619799,1.55910015,0.56064503,11,8,0.58398587,0.00000000
d1,bear,3,volatility+breakout20_down,320,52,59,1.12980479,1.27316279,1.19208034,0.36843837,6,4,0.56686508,0.14285714
d1,bear,3,adx25+volatility,2310,361,432,1.12832614,1.17982104,1.16210706,0.43244953,12,7,0.45483745,0.11111111
d1,bear,3,price20_bear+atr_expand,404,85,97,1.12382148,1.66160227,1.65018160,0.58226633,8,7,0.69735577,0.30769231
d1,bear,3,ema20_falling+atr_expand,404,85,97,1.12382148,1.66160227,1.65018160,0.58226633,8,7,0.69735577,0.30769231
d1,bear,3,momentum_bear+atr_expand,268,53,75,1.12156949,1.74879720,1.61684460,0.55417426,7,6,0.69323058,0.33333333
