timeframe,horizon_bars,target_pips,conditions,discovery_n,oos_n,discovery_lift,oos_lift,oos_pairs_n_ge5,oos_pairs_above_base,oos_pair_hit_mean,oos_min_pair_hit
h4,1,50,ichimoku_cloud_bull+superbb_bull+impulse_bull+elliott_wave5_bull,140,20,2.72247448,3.14404494,1,0,0.00000000,0.00000000
h4,1,50,price20_bull+rsi_up1+atr_expand+mtf_volatility,231,36,2.69208003,5.24007491,3,2,0.21666667,0.00000000
h4,1,50,ema20_rising+rsi_up1+atr_expand+mtf_volatility,231,36,2.69208003,5.24007491,3,2,0.21666667,0.00000000
h4,1,50,price20_bull+atr_expand+impulse_bull+mtf_volatility,246,41,2.69102099,5.36788161,4,2,0.14166667,0.00000000
h4,1,50,ema20_rising+atr_expand+impulse_bull+mtf_volatility,246,41,2.69102099,5.36788161,4,2,0.14166667,0.00000000
h4,1,50,ichimoku_cloud_bull+superbb_bull+elliott_wave5_bull,142,20,2.68412977,3.14404494,1,0,0.00000000,0.00000000
h4,1,50,superbb_bull+breakout20_up+mtf_adx25,135,22,2.67471177,2.85822268,1,0,0.00000000,0.00000000
h4,1,50,superbb_bull+retest_up+mtf_adx25,135,22,2.67471177,2.85822268,1,0,0.00000000,0.00000000
h4,1,50,price20_bull+superbb_bull+breakout20_up+mtf_adx25,135,22,2.67471177,2.85822268,1,0,0.00000000,0.00000000
h4,1,50,ema20_rising+superbb_bull+breakout20_up+mtf_adx25,135,22,2.67471177,2.85822268,1,0,0.00000000,0.00000000
h4,1,50,price20_bull+superbb_bull+retest_up+mtf_adx25,135,22,2.67471177,2.85822268,1,0,0.00000000,0.00000000
h4,1,50,ema20_rising+superbb_bull+retest_up+mtf_adx25,135,22,2.67471177,2.85822268,1,0,0.00000000,0.00000000
h4,1,50,superbb_bull+breakout20_up+impulse_bull+mtf_adx25,135,22,2.67471177,2.85822268,1,0,0.00000000,0.00000000
h4,1,50,superbb_bull+breakout20_up+retest_up+mtf_adx25,135,22,2.67471177,2.85822268,1,0,0.00000000,0.00000000
h4,1,50,price20_bull+adx25+atr_expand+mtf_volatility,301,26,2.66582569,3.62774417,1,1,0.22222222,0.22222222
h4,1,50,ema20_rising+adx25+atr_expand+mtf_volatility,301,26,2.66582569,3.62774417,1,1,0.22222222,0.22222222
h4,1,50,ichimoku_cloud_bull+atr_expand+mtf_volatility+cross_group_bull,205,30,2.64209334,2.09602996,2,1,0.07142857,0.00000000
h4,1,50,adx25+breakout20_up+impulse_bull+mtf_volatility,487,88,2.63626622,3.21550051,9,4,0.11940837,0.00000000
h4,1,50,rsi_up1+superbb_bull+impulse_bull+mtf_adx25,137,22,2.63566489,2.85822268,1,0,0.00000000,0.00000000
h4,1,50,ichimoku_cloud_bull+rsi_up1+superbb_bull+elliott_impulse_bull,160,22,2.63291940,2.85822268,1,0,0.00000000,0.00000000
h4,1,50,ichimoku_cloud_bull+superbb_bull+breakout20_up+elliott_impulse_bull,160,22,2.63291940,2.85822268,1,0,0.00000000,0.00000000
h4,1,50,ichimoku_cloud_bull+superbb_bull+retest_up+elliott_impulse_bull,160,22,2.63291940,2.85822268,1,0,0.00000000,0.00000000
h4,1,50,adx25+atr_expand+impulse_bull+mtf_adx25,352,34,2.62152148,3.69887640,2,1,0.16666667,0.00000000
h4,1,50,adx_up3+atr_expand+pullback_bull+mtf_adx25,184,34,2.61656587,0.00000000,1,0,0.00000000,0.00000000
h4,1,50,rsi_up1+superbb_bull+mtf_adx25,138,22,2.61656587,2.85822268,1,0,0.00000000,0.00000000
h4,1,50,price20_bull+rsi_up1+superbb_bull+mtf_adx25,138,22,2.61656587,2.85822268,1,0,0.00000000,0.00000000
h4,1,50,ema20_rising+rsi_up1+superbb_bull+mtf_adx25,138,22,2.61656587,2.85822268,1,0,0.00000000,0.00000000
h4,1,50,adx_up3+atr_expand+impulse_bull+mtf_adx25,186,30,2.58843075,3.14404494,1,0,0.00000000,0.00000000
h4,1,50,rsi_up1+superbb_bull+elliott_wave5_bull+cross_group_return_up,186,36,2.58843075,3.49338327,2,2,0.26666667,0.20000000
h4,1,50,adx25+atr_expand+mtf_adx25,1102,131,2.58490748,2.88004117,10,5,0.09490842,0.00000000
h4,1,50,adx25+horizontal_break_up+impulse_bull+mtf_volatility,365,51,2.58311205,3.08239700,4,2,0.10714286,0.00000000
h4,1,50,superbb_bull+impulse_bull+mtf_adx25,140,22,2.57918635,2.85822268,1,0,0.00000000,0.00000000
h4,1,50,price20_bull+superbb_bull+impulse_bull+mtf_adx25,140,22,2.57918635,2.85822268,1,0,0.00000000,0.00000000
h4,1,50,ema20_rising+superbb_bull+impulse_bull+mtf_adx25,140,22,2.57918635,2.85822268,1,0,0.00000000,0.00000000
h4,1,50,adx25+atr_expand+mtf_volatility+cross_group_return_up,290,28,2.55942247,3.36861958,2,1,0.11111111,0.00000000
h4,1,50,ichimoku_cloud_bull+superbb_bull+impulse_bull+elliott_impulse_bull,165,22,2.55313397,2.85822268,1,0,0.00000000,0.00000000
h4,1,50,superbb_bull+mtf_adx25,142,22,2.54285978,2.85822268,1,0,0.00000000,0.00000000
h4,1,50,price20_bull+superbb_bull+mtf_adx25,142,22,2.54285978,2.85822268,1,0,0.00000000,0.00000000
h4,1,50,ema20_rising+superbb_bull+mtf_adx25,142,22,2.54285978,2.85822268,1,0,0.00000000,0.00000000
h4,1,50,volatility+breakout20_up+impulse_bull+mtf_volatility,396,56,2.53287100,2.24574639,6,2,0.11428571,0.00000000
h4,1,50,rsi_up1+volatility+breakout20_up+mtf_volatility,317,40,2.53127297,1.57202247,4,0,0.00000000,0.00000000
h4,1,50,ichimoku_cloud_bull+superbb_bull+elliott_impulse_bull,167,22,2.52255751,2.85822268,1,0,0.00000000,0.00000000
h4,1,50,adx25+atr_expand+mtf_volatility+cross_group_bull,232,28,2.50754229,3.36861958,2,1,0.11111111,0.00000000
h4,1,50,superbb_bull+impulse_bull+elliott_wave5_bull+cross_group_return_up,192,36,2.50754229,3.49338327,2,2,0.26666667,0.20000000
h4,1,50,superbb_bull+elliott_wave5_bull+cross_group_return_up,193,36,2.49454984,3.49338327,2,2,0.26666667,0.20000000
h4,1,50,price20_bull+superbb_bull+elliott_wave5_bull+cross_group_return_up,193,36,2.49454984,3.49338327,2,2,0.26666667,0.20000000
h4,1,50,ema20_rising+superbb_bull+elliott_wave5_bull+cross_group_return_up,193,36,2.49454984,3.49338327,2,2,0.26666667,0.20000000
h4,1,50,superbb_bull+horizontal_break_up+elliott_wave5_bull+cross_group_return_up,121,27,2.48681880,4.65784436,1,1,0.40000000,0.40000000
h4,1,50,triangle_breakout_up+impulse_bull,186,22,2.48057947,1.42911134,1,0,0.00000000,0.00000000
h4,1,50,price20_bull+triangle_breakout_up+impulse_bull,186,22,2.48057947,1.42911134,1,0,0.00000000,0.00000000
h4,1,50,ema20_rising+triangle_breakout_up+impulse_bull,186,22,2.48057947,1.42911134,1,0,0.00000000,0.00000000
h4,1,100,adx25+atr_expand+impulse_bull+mtf_volatility,224,24,10.33814728,19.43194444,1,1,0.14285714,0.14285714
h4,1,100,adx_up3+atr_expand+pullback_bull+mtf_volatility,141,24,9.23834438,0.00000000,1,0,0.00000000,0.00000000
h4,1,100,ichimoku_cloud_bull+adx25+atr_expand+mtf_volatility,318,53,9.10277119,8.79937107,5,1,0.02500000,0.00000000
h4,1,100,adx_up3+atr_expand+mtf_volatility,431,87,9.06686699,5.36053640,10,1,0.00666667,0.00000000
h4,1,100,atr_expand+mtf_volatility+adx25,697,83,8.72142124,5.61887550,8,1,0.00961538,0.00000000
h4,1,100,adx25+atr_expand+mtf_volatility,697,83,8.72142124,5.61887550,8,1,0.00961538,0.00000000
h4,1,100,atr_expand+pullback_bull+mtf_volatility+cross_target_relative_up,203,24,8.55570809,19.43194444,1,0,0.00000000,0.00000000
h4,1,100,rsi_up1+atr_expand+mtf_volatility,378,58,8.42367556,8.04080460,6,1,0.02083333,0.00000000
h4,1,100,rsi_up1+atr_expand+mtf_volatility+cross_group_return_up,146,21,7.93063353,0.00000000,1,0,0.00000000,0.00000000
h4,1,100,adx_up3+atr_expand+impulse_bull+mtf_adx25,186,30,7.78140118,15.54555556,1,0,0.00000000,0.00000000
h4,1,100,ichimoku_cloud_bull+rsi_up1+atr_expand+mtf_volatility,168,26,7.75361046,0.00000000,2,0,0.00000000,0.00000000
h4,1,100,rsi_up1+atr_expand+impulse_bull+mtf_volatility,338,50,7.70773111,9.32733333,6,1,0.02777778,0.00000000
h4,1,100,adx_up3+atr_expand+impulse_bull+mtf_adx_rising,266,43,7.61758221,10.84573643,4,1,0.02777778,0.00000000
h4,1,100,adx25+atr_expand+pullback_bull+mtf_volatility,229,24,7.58431766,0.00000000,1,0,0.00000000,0.00000000
h4,1,100,atr_expand+impulse_bull+mtf_volatility+cross_group_return_up,157,27,7.37498405,17.27283951,2,1,0.07142857,0.00000000
h4,1,100,atr_expand+impulse_bull+mtf_volatility,362,62,7.19672131,15.04408602,6,2,0.03365385,0.00000000
h4,1,100,superbb_bull+horizontal_break_up+elliott_wave5_bull+cross_group_return_up,121,27,7.17689563,0.00000000,1,0,0.00000000,0.00000000
h4,1,100,atr_expand+elliott_impulse_bull+mtf_volatility+cross_group_return_up,121,22,7.17689563,21.19848485,1,1,0.20000000,0.20000000
h4,1,100,ichimoku_cloud_bull+atr_expand+mtf_volatility,569,93,7.12223855,10.02939068,8,2,0.02455357,0.00000000
h4,1,100,ichimoku_cloud_bull+atr_expand+pullback_bull+mtf_volatility,226,27,7.04457824,17.27283951,2,0,0.00000000,0.00000000
h4,1,100,adx_up3+atr_expand+mtf_volatility+cross_target_relative_up,187,33,6.96581047,0.00000000,3,0,0.00000000,0.00000000
h4,1,100,atr_expand+breakout20_up+elliott_impulse_bull+mtf_volatility,125,19,6.94723497,24.54561404,1,1,0.20000000,0.20000000
h4,1,100,atr_expand+retest_up+elliott_impulse_bull+mtf_volatility,125,19,6.94723497,24.54561404,1,1,0.20000000,0.20000000
h4,1,100,ichimoku_cloud_bull+atr_expand+impulse_bull+mtf_volatility,171,27,6.77118418,17.27283951,1,0,0.00000000,0.00000000
h4,1,100,atr_expand+mtf_volatility,1172,172,6.66863425,8.13430233,11,3,0.01820150,0.00000000
h4,1,100,adx25+atr_expand+mtf_volatility+cross_target_relative_up,304,35,6.66538443,0.00000000,4,0,0.00000000,0.00000000
h4,1,100,adx25+atr_expand+impulse_bull+mtf_adx25,352,34,6.57882100,13.71666667,2,1,0.08333333,0.00000000
h4,1,100,atr_expand+pullback_bull+mtf_volatility,420,50,6.54749328,9.32733333,6,0,0.00000000,0.00000000
h4,1,100,ichimoku_cloud_bull+rsi_up1+superbb_bull+elliott_wave5_bull,135,20,6.43262497,0.00000000,1,0,0.00000000,0.00000000
h4,1,100,adx_up3+atr_expand+mtf_adx25+cross_target_relative_up,271,44,6.40888835,21.19848485,4,1,0.05000000,0.00000000
h4,1,100,ichimoku_cloud_bull+superbb_bull+breakout20_up+elliott_wave5_bull,136,20,6.38532626,0.00000000,1,0,0.00000000,0.00000000
h4,1,100,ichimoku_cloud_bull+superbb_bull+retest_up+elliott_wave5_bull,136,20,6.38532626,0.00000000,1,0,0.00000000,0.00000000
h4,1,100,price20_bull+atr_expand+elliott_wave5_bull+mtf_volatility,137,19,6.33871804,24.54561404,1,1,0.20000000,0.20000000
h4,1,100,ema20_rising+atr_expand+elliott_wave5_bull+mtf_volatility,137,19,6.33871804,24.54561404,1,1,0.20000000,0.20000000
h4,1,100,superbb_bull+horizontal_break_up+elliott_impulse_bull+cross_group_return_up,137,31,6.33871804,0.00000000,1,0,0.00000000,0.00000000
h4,1,100,atr_expand+impulse_bull+elliott_impulse_bull+mtf_volatility,137,21,6.33871804,22.20793651,1,1,0.20000000,0.20000000
