timeframe,direction,horizon_bars,base_feature,toolkit_feature,period,samples,hit_rate
h4,bull,1,atr_expand,fib_time_13,oos,58,0.05172414
h4,bull,1,atr_expand,fib_fan_up,disc,2044,0.06213307
h4,bull,1,atr_expand,fib_fan_up,val,388,0.07731959
h4,bull,1,atr_expand,fib_fan_up,oos,295,0.04745763
h4,bull,1,atr_expand,fib_arc_bull,disc,2465,0.06206897
h4,bull,1,atr_expand,fib_arc_bull,val,464,0.07327586
h4,bull,1,atr_expand,fib_arc_bull,oos,347,0.04610951
h4,bull,1,atr_expand,trendline_up,disc,2460,0.06341463
h4,bull,1,atr_expand,trendline_up,val,463,0.07559395
h4,bull,1,atr_expand,trendline_up,oos,351,0.05128205
h4,bull,1,atr_expand,channel_upper,disc,1395,0.06308244
h4,bull,1,atr_expand,channel_upper,val,275,0.07636364
h4,bull,1,atr_expand,channel_upper,oos,181,0.04419890
h4,bull,1,atr_expand,channel_mid_bull,disc,2305,0.05683297
h4,bull,1,atr_expand,channel_mid_bull,val,445,0.06966292
h4,bull,1,atr_expand,channel_mid_bull,oos,325,0.04307692
h4,bull,1,atr_expand,channel_breakout_up,disc,738,0.06504065
h4,bull,1,atr_expand,channel_breakout_up,val,143,0.09790210
h4,bull,1,atr_expand,channel_breakout_up,oos,93,0.06451613
h4,bull,1,atr_expand,horizontal_resistance_near,disc,612,0.07679739
h4,bull,1,atr_expand,horizontal_resistance_near,val,123,0.11382114
h4,bull,1,atr_expand,horizontal_resistance_near,oos,87,0.06896552
h4,bull,1,atr_expand,horizontal_support_near,disc,612,0.10457516
h4,bull,1,atr_expand,horizontal_support_near,val,131,0.09923664
h4,bull,1,atr_expand,horizontal_support_near,oos,116,0.12068966
h4,bull,1,atr_expand,horizontal_break_up,disc,486,0.06995885
h4,bull,1,atr_expand,horizontal_break_up,val,104,0.12500000
h4,bull,1,atr_expand,horizontal_break_up,oos,72,0.08333333
h4,bull,1,atr_expand,vertical_session,disc,3821,0.07197069
h4,bull,1,atr_expand,vertical_session,val,675,0.05925926
h4,bull,1,atr_expand,vertical_session,oos,530,0.06603774
h4,bull,1,atr_expand,vertical_day_open,disc,313,0.09904153
h4,bull,1,atr_expand,vertical_day_open,val,68,0.11764706
h4,bull,1,atr_expand,vertical_day_open,oos,64,0.00000000
h4,bull,1,atr_expand,vertical_week_open,disc,63,0.12698413
h4,bull,1,atr_expand,vertical_week_open,val,18,0.11111111
h4,bull,1,atr_expand,vertical_week_open,oos,14,0.00000000
h4,bull,1,atr_expand,rectangle_range,disc,2304,0.06640625
h4,bull,1,atr_expand,rectangle_range,val,458,0.07641921
h4,bull,1,atr_expand,rectangle_range,oos,359,0.06406685
h4,bull,1,atr_expand,elliott_wave2_bull,disc,273,0.06227106
h4,bull,1,atr_expand,elliott_wave2_bull,val,67,0.05970149
h4,bull,1,atr_expand,elliott_wave2_bull,oos,40,0.02500000
h4,bull,1,atr_expand,elliott_wave3_bull,disc,767,0.05997392
h4,bull,1,atr_expand,elliott_wave3_bull,val,153,0.08496732
h4,bull,1,atr_expand,elliott_wave3_bull,oos,93,0.07526882
h4,bull,1,atr_expand,elliott_wave4_bull,disc,247,0.03643725
h4,bull,1,atr_expand,elliott_wave4_bull,val,57,0.07017544
h4,bull,1,atr_expand,elliott_wave4_bull,oos,48,0.02083333
h4,bull,1,atr_expand,elliott_wave5_bull,disc,678,0.05899705
h4,bull,1,atr_expand,elliott_wave5_bull,val,128,0.07031250
h4,bull,1,atr_expand,elliott_wave5_bull,oos,84,0.08333333
h4,bull,1,atr_expand,elliott_impulse_bull,disc,831,0.06137184
h4,bull,1,atr_expand,elliott_impulse_bull,val,165,0.07878788
h4,bull,1,atr_expand,elliott_impulse_bull,oos,102,0.06862745
h4,bull,1,atr_expand,elliott_pullback_bull,disc,520,0.05000000
h4,bull,1,atr_expand,elliott_pullback_bull,val,124,0.06451613
