timeframe,target_pips,horizon_bars,conditions,discovery_n,oos_n,discovery_lift,oos_lift,oos_pairs_n_ge5,oos_pairs_above_base,oos_pair_hit_mean,oos_min_pair_hit
h4,100,6,sma_stack_bull+volatility+pin_bull,157,19,3.49361445,2.89149904,2,1,0.11111111,0.00000000
h4,100,6,sma_stack_bull+atr_expand+mtf_volatility+cross_group_return_up,164,19,3.49314106,2.89149904,1,0,0.00000000,0.00000000
h4,100,6,adx25+pin_bull+mtf_trend_bull+cross_group_bull,151,47,3.47099208,3.50671160,4,4,0.20352564,0.08333333
h4,100,6,pin_bull+mtf_adx25+cross_target_relative_up,281,61,3.47013029,3.00210282,4,4,0.15536768,0.07692308
h4,100,6,volatility+pin_bull+cross_group_return_up,235,43,3.42324661,5.11055643,4,4,0.28167388,0.14285714
h4,100,6,pin_bull+mtf_volatility+cross_group_return_up,250,53,3.41287314,3.80077546,4,4,0.21592643,0.12500000
h4,100,6,ichimoku_cloud_bull+pin_bull+mtf_adx25+cross_target_relative_up,161,30,3.40681658,3.05213787,3,3,0.22380952,0.10000000
h4,100,6,sma_stack_bull+adx25+atr_expand+mtf_volatility,204,15,3.40570324,1.22085515,1,1,0.20000000,0.20000000
h4,100,6,ichimoku_cloud_bull+adx25+pin_bull+cross_target_relative_up,127,32,3.35912711,4.00593096,4,4,0.23214286,0.12500000
h4,100,6,volatility+pin_bull+mtf_trend_bull+cross_group_return_up,148,34,3.29427909,5.92473822,4,4,0.33928571,0.16666667
h4,100,6,sma_stack_bull+volatility+pin_bull+mtf_trend_bull,135,19,3.25035537,2.89149904,2,1,0.11111111,0.00000000
h4,100,6,adx25+pin_bull+cross_group_bull,237,66,3.24006944,2.77467079,4,4,0.16646534,0.06250000
h4,100,6,pin_bull+mtf_volatility+cross_target_relative_up,234,44,3.22951976,4.16200619,4,4,0.20875305,0.11111111
h4,100,6,volatility+pin_bull+mtf_trend_bull,299,69,3.22046080,4.51185598,4,4,0.24120680,0.16666667
h4,100,6,ichimoku_cloud_bull+adx25+pin_bull+cross_group_return_up,164,43,3.19585246,3.40703762,4,4,0.19962121,0.08333333
h4,100,6,sma_stack_bull+atr_expand+mtf_volatility,359,49,3.19150493,2.24238701,5,2,0.12000000,0.00000000
h4,100,6,pin_bull+mtf_adx25+cross_group_bull,237,62,3.18863976,3.24904999,4,4,0.16318369,0.08333333
h4,100,6,pin_bull+mtf_adx25,585,117,3.18784854,3.44343760,4,4,0.17719665,0.09090909
h4,100,6,volatility+pin_bull+mtf_trend_bull+cross_target_relative_up,121,37,3.12275878,4.94941276,4,4,0.27500000,0.16666667
h4,100,6,adx25+pin_bull+cross_target_relative_up,262,63,3.11699155,3.19747777,4,4,0.17340686,0.08333333
h4,100,6,ichimoku_cloud_bull+adx25+pin_bull,306,71,3.10695734,3.09512573,4,4,0.18382353,0.05882353
h4,100,6,adx25+pin_bull,588,130,3.08866678,3.09909384,4,4,0.17919390,0.13333333
h4,100,6,ichimoku_cloud_bull+adx25+pin_bull+mtf_trend_bull,225,60,3.08783760,3.05213787,4,4,0.17410714,0.07142857
h4,100,6,ichimoku_cloud_bull+pin_bull+mtf_adx25+cross_group_bull,136,28,3.04720816,5.23223635,3,3,0.30000000,0.20000000
h4,100,6,sma_stack_bull+adx_up3+atr_expand+mtf_volatility,130,15,3.00032804,1.22085515,1,0,0.00000000,0.00000000
h4,100,6,price20_bull+pin_bull+mtf_adx25+cross_group_bull,175,41,2.99497031,1.78661729,4,1,0.08333333,0.00000000
h4,100,6,pin_bull+mtf_adx25+cross_group_return_up,281,69,2.99298737,3.18483952,4,4,0.15748068,0.07692308
h4,100,6,adx25+pin_bull+mtf_trend_bull+cross_group_return_up,180,52,2.97949242,3.16952779,4,4,0.18611111,0.11111111
h4,100,6,price20_bull+pin_bull+mtf_adx25+cross_target_relative_up,176,37,2.97795343,2.47470638,4,2,0.12045455,0.00000000
h4,100,6,adx25+pin_bull+cross_group_return_up,284,75,2.96137131,2.44171030,4,4,0.14803922,0.05882353
h4,100,6,ichimoku_cloud_bull+pin_bull+mtf_adx25,330,57,2.95486852,3.85533205,4,3,0.17083333,0.00000000
h4,100,6,sma_stack_bull+atr_expand+mtf_volatility+cross_target_relative_up,166,22,2.93706811,1.66480248,1,0,0.00000000,0.00000000
h4,100,6,price20_bull+volatility+pin_bull,218,18,2.90742797,3.05213787,1,1,0.22222222,0.22222222
h4,100,6,price20_bull+volatility+pin_bull+cross_group_return_up,156,13,2.89094108,4.22603705,1,1,0.33333333,0.33333333
h4,100,6,adx25+atr_expand+mtf_volatility+cross_target_relative_up,304,35,2.88682878,1.04644727,4,2,0.09166667,0.00000000
h4,100,6,adx_up3+atr_expand+mtf_volatility,431,87,2.88459612,1.26295360,10,4,0.06094017,0.00000000
h4,100,6,sma_stack_bull+pin_bull+mtf_volatility,140,13,2.87308198,1.40867902,1,1,0.14285714,0.14285714
h4,100,6,ichimoku_cloud_bull+adx_up3+pin_bull,145,41,2.85807110,4.46654323,4,4,0.25654762,0.14285714
h4,100,6,price20_bull+pin_bull+mtf_adx25+cross_group_return_up,205,45,2.85397057,2.03475858,4,2,0.09415584,0.00000000
h4,100,6,price20_bull+pin_bull+mtf_volatility+cross_group_bull,137,27,2.84702660,2.71301144,4,3,0.17500000,0.00000000
h4,100,6,ichimoku_cloud_bull+adx25+atr_expand+mtf_volatility,318,53,2.83639502,1.38210017,5,3,0.09576923,0.00000000
h4,100,6,price20_bull+adx25+pin_bull+mtf_adx25,147,27,2.81918578,1.35650572,4,2,0.08125000,0.00000000
h4,100,6,price20_bull+volatility+pin_bull+mtf_trend_bull,147,18,2.81918578,3.05213787,1,1,0.22222222,0.22222222
h4,100,6,ichimoku_cloud_bull+pin_bull+mtf_adx25+cross_group_return_up,161,32,2.80116030,5.15048266,3,3,0.29646465,0.20000000
h4,100,6,adx25+atr_expand+mtf_volatility,697,83,2.78052280,1.32381884,8,5,0.07566055,0.00000000
h4,100,6,price20_bull+pin_bull+mtf_volatility,248,42,2.75231705,3.05213787,4,4,0.17876984,0.10000000
h4,100,6,adx_up3+atr_expand+mtf_volatility+cross_target_relative_up,187,33,2.73759878,0.55493416,3,1,0.06666667,0.00000000
h4,100,6,ichimoku_cloud_bull+pin_bull+cross_group_bull,340,83,2.72456259,3.30954709,4,4,0.18534611,0.08333333
h4,100,6,atr_expand+elliott_impulse_bull+mtf_volatility+cross_group_return_up,121,22,2.71982216,0.83240124,1,1,0.20000000,0.20000000
h4,100,6,price20_bull+pin_bull+mtf_volatility+cross_group_return_up,162,31,2.70862948,2.95368181,4,4,0.17767857,0.10000000
h4,100,6,ichimoku_cloud_bull+pin_bull+mtf_trend_bull+cross_group_bull,241,73,2.68053166,3.51204906,4,4,0.19532655,0.09523810
h4,100,6,adx25+pin_bull+mtf_trend_bull+cross_target_relative_up,137,42,2.66908744,3.05213787,4,4,0.17175325,0.09090909
h4,100,6,ichimoku_cloud_bull+di_spread_up3+pin_bull,142,28,2.66094234,3.27014772,4,3,0.17361111,0.00000000
h4,100,6,ichimoku_cloud_bull+atr_expand+mtf_volatility,569,93,2.65626581,1.77220909,8,4,0.09140339,0.00000000
h4,100,6,adx_up3+pin_bull,258,61,2.64563809,4.20294395,4,4,0.24463119,0.17647059
h4,100,6,ichimoku_cloud_bull+pin_bull,793,172,2.62836114,2.66174814,4,4,0.14705290,0.05714286
h4,100,6,ichimoku_cloud_bull+pin_bull+cross_target_relative_up,362,80,2.62632306,3.20474476,4,4,0.18809770,0.05882353
h4,100,6,ichimoku_cloud_bull+adx_up3+atr_expand+mtf_volatility,201,45,2.60756121,1.62780686,5,3,0.10493506,0.00000000
h4,100,6,price20_bull+pin_bull+mtf_adx25,318,68,2.60641704,2.15445026,4,4,0.11733746,0.05882353
h4,100,6,pin_bull+cross_group_bull,569,146,2.59200132,2.88489744,4,4,0.16176400,0.06250000
h4,100,6,adx25+pin_bull+mtf_trend_bull,340,94,2.58116456,2.92225966,4,4,0.16176202,0.12500000
h4,100,6,pin_bull+cross_target_relative_up,625,136,2.57428145,2.82771597,4,3,0.15368364,0.04000000
h4,100,6,atr_expand+mtf_volatility,1172,172,2.56880688,1.91645866,11,6,0.12030527,0.00000000
h4,100,6,ichimoku_cloud_bull+pin_bull+cross_group_return_up,406,99,2.55184920,3.14462690,4,4,0.17458095,0.08333333
h4,100,6,ichimoku_cloud_bull+adx_up3+atr_expand+mtf_trend_bull,526,143,2.54899542,1.92092593,9,4,0.09387737,0.00000000
h4,100,6,atr_expand+breakout20_up+elliott_impulse_bull+mtf_volatility,125,19,2.53527719,0.96383301,1,1,0.20000000,0.20000000
h4,100,6,atr_expand+breakout_up20+elliott_impulse_bull+mtf_volatility,125,19,2.53527719,0.96383301,1,1,0.20000000,0.20000000
h4,100,6,atr_expand+retest_up+elliott_impulse_bull+mtf_volatility,125,19,2.53527719,0.96383301,1,1,0.20000000,0.20000000
h4,100,6,di_spread_up3+pin_bull+cross_group_bull,178,40,2.53363375,0.91564136,4,2,0.04687500,0.00000000
h4,100,6,price20_bull+adx25+pin_bull+cross_group_bull,159,31,2.52975772,0.59073636,4,1,0.04166667,0.00000000
h4,100,12,volatility+pin_bull+mtf_volatility+cross_group_return_up,128,22,2.96893571,2.46357599,3,3,0.33174603,0.16666667
h4,100,12,adx25+volatility+pin_bull+mtf_volatility,159,28,2.96085356,2.76523836,4,4,0.38412698,0.22222222
h4,100,12,volatility+pin_bull+mtf_volatility,246,36,2.92822587,2.36581504,4,4,0.30198413,0.22222222
h4,100,12,adx25+pin_bull+mtf_volatility,254,48,2.79133690,3.54872256,4,4,0.46862859,0.38461538
h4,100,12,adx25+volatility+pin_bull+mtf_adx25,163,28,2.71420695,2.48871452,3,3,0.30740741,0.20000000
h4,100,12,adx25+volatility+pin_bull,268,57,2.66668496,2.44505286,4,4,0.30795455,0.18181818
h4,100,12,pin_bull+mtf_volatility+cross_group_bull,211,47,2.63438703,2.63580167,4,4,0.36363636,0.20000000
h4,100,12,adx25+volatility+pin_bull+mtf_trend_bull,149,47,2.62662929,2.47106407,4,4,0.30683761,0.20000000
h4,100,12,adx25+pin_bull+mtf_adx25+cross_group_return_up,137,38,2.60829040,1.83378965,4,4,0.24503968,0.22222222
h4,100,12,ichimoku_cloud_bull+volatility+pin_bull+cross_group_return_up,127,29,2.59036064,2.93687384,4,4,0.38268398,0.14285714
h4,100,12,volatility+pin_bull+mtf_trend_bull+cross_group_bull,128,32,2.57012345,2.90350028,4,4,0.40151515,0.27272727
h4,100,12,adx25+pin_bull+mtf_adx25+cross_target_relative_up,135,36,2.56290216,2.36581504,4,4,0.31527778,0.22222222
h4,100,12,volatility+pin_bull+cross_group_bull,202,40,2.55520638,2.70993359,4,4,0.36388889,0.25000000
h4,100,12,ichimoku_cloud_bull+pin_bull+mtf_volatility+cross_group_return_up,131,22,2.55456334,2.81551542,3,3,0.37619048,0.20000000
h4,100,12,volatility+pin_bull+mtf_adx25,250,35,2.54105446,2.65462882,3,3,0.32857143,0.20000000
h4,100,12,pin_bull+mtf_volatility+cross_group_return_up,250,53,2.54105446,2.48349709,4,4,0.34205205,0.18750000
h4,100,12,ichimoku_cloud_bull+pin_bull+mtf_volatility,235,36,2.53429634,2.36581504,4,4,0.30406746,0.22222222
h4,100,12,pin_bull+mtf_volatility,488,86,2.53380175,2.79096151,4,4,0.36656115,0.27777778
h4,100,12,adx25+volatility+pin_bull+cross_group_return_up,128,34,2.52581097,2.50498063,4,4,0.31818182,0.16666667
h4,100,12,ichimoku_cloud_bull+adx25+pin_bull+cross_group_bull,137,36,2.52548753,2.36581504,4,4,0.30208333,0.25000000
h4,100,12,adx25+pin_bull+mtf_adx25,310,67,2.50665655,2.31124400,4,4,0.29842133,0.25000000
h4,100,12,adx25+pin_bull+mtf_trend_bull+cross_group_bull,151,47,2.47915082,2.63580167,4,4,0.35865385,0.25000000
h4,100,12,atr_expand+pin_bull,126,24,2.47587152,1.93566685,4,2,0.25000000,0.00000000
h4,100,12,volatility+pin_bull,479,82,2.47483775,2.45499210,4,4,0.30465719,0.15384615
h4,100,12,ichimoku_cloud_bull+volatility+pin_bull,243,59,2.45086272,2.36216972,4,3,0.29337045,0.08333333
h4,100,12,volatility+pin_bull+cross_group_return_up,235,43,2.43775172,2.70093049,4,4,0.34884560,0.14285714
h4,100,12,volatility+pin_bull+mtf_trend_bull+cross_group_return_up,148,34,2.41443097,2.96043165,4,4,0.39285714,0.16666667
h4,100,12,ichimoku_cloud_bull+volatility+pin_bull+mtf_trend_bull,184,52,2.37360726,2.38235920,4,3,0.29184558,0.09090909
h4,100,12,volatility+pin_bull+mtf_trend_bull,299,69,2.37123603,2.35646399,4,4,0.28957637,0.16666667
h4,100,12,adx25+pin_bull+cross_group_bull,237,66,2.36931502,2.46357599,4,4,0.33806022,0.25000000
h4,100,12,ichimoku_cloud_bull+adx25+pin_bull+mtf_adx25,149,30,2.36015965,1.54853348,3,3,0.24206349,0.14285714
h4,100,12,trend_bull+pin_bull+mtf_volatility,159,17,2.35441367,1.36635307,1,1,0.20000000,0.20000000
h4,100,12,ichimoku_cloud_bull+adx25+pin_bull+cross_group_return_up,164,43,2.35180346,2.34080642,4,4,0.30757576,0.20000000
h4,100,12,sma_stack_bull+pin_bull+mtf_volatility,140,13,2.34982715,1.19117960,1,1,0.14285714,0.14285714
h4,100,12,volatility+pin_bull+cross_target_relative_up,204,46,2.30772410,2.52478285,4,4,0.31089744,0.16666667
h4,100,12,adx25+pin_bull+cross_group_return_up,284,75,2.27678736,2.27118244,4,4,0.31601307,0.27777778
h4,100,12,ichimoku_cloud_bull+di_spread_up3+pin_bull,142,28,2.27678736,2.21219069,4,3,0.26041667,0.00000000
h4,100,12,sma_stack_bull+volatility+pin_bull,157,19,2.27602410,1.63003524,2,2,0.21111111,0.20000000
h4,100,12,adx25+pin_bull+mtf_trend_bull+cross_group_return_up,180,52,2.26879863,2.53125665,4,4,0.35277778,0.30000000
h4,100,12,trend_bull+volatility+pin_bull,178,22,2.26242560,2.11163656,2,2,0.31666667,0.30000000
h4,100,12,adx25+pin_bull,588,130,2.25722313,2.38235920,4,4,0.33082789,0.26666667
h4,100,12,ichimoku_cloud_bull+di_spread_up3+pin_bull+cross_group_return_up,121,26,2.25004823,2.08456430,3,3,0.31746032,0.28571429
h4,100,12,volatility+pin_bull+mtf_trend_bull+cross_target_relative_up,121,37,2.25004823,2.30187409,4,4,0.30000000,0.16666667
h4,100,12,ichimoku_cloud_bull+adx25+pin_bull+mtf_trend_bull,225,60,2.24358976,2.19375576,4,4,0.29241071,0.25000000
h4,100,12,trend_bull+volatility+pin_bull+mtf_trend_bull,155,22,2.23220510,2.11163656,2,2,0.31666667,0.30000000
h4,100,12,pin_bull+mtf_volatility+cross_target_relative_up,234,44,2.23001575,2.81551542,4,4,0.36599512,0.22222222
h4,100,12,ichimoku_cloud_bull+adx25+pin_bull,306,71,2.20577645,2.07198142,4,4,0.28860294,0.23529412
h4,100,12,sma_stack_bull+volatility+pin_bull+mtf_trend_bull,135,19,2.18476905,1.63003524,2,2,0.21111111,0.20000000
h4,100,12,pin_bull+mtf_adx25+cross_group_return_up,281,69,2.17998445,2.13203885,4,4,0.26421605,0.15384615
h4,100,12,pin_bull+mtf_adx25+cross_group_bull,237,62,2.17785522,2.12298945,4,4,0.26825335,0.16666667
h4,100,12,trend_bull+adx25+pin_bull+cross_group_return_up,136,18,2.16870457,3.44118551,2,2,0.60000000,0.60000000
h4,100,12,pin_bull+mtf_adx25,585,117,2.16214570,2.18382927,4,4,0.27533346,0.18181818
h4,100,12,pin_bull+mtf_adx25+cross_target_relative_up,281,61,2.13961437,2.15779256,4,4,0.27733455,0.22222222
h4,100,12,di_spread_up3+pin_bull+cross_group_bull,178,40,2.13496500,1.74210017,4,2,0.19687500,0.00000000
h4,100,12,trend_bull+pin_bull+mtf_adx25+cross_group_return_up,131,16,2.12158650,2.90350028,2,2,0.40178571,0.37500000
h4,100,12,adx25+pin_bull+mtf_trend_bull,340,94,2.11865754,2.22395766,4,4,0.30552508,0.22727273
h4,100,12,ichimoku_cloud_bull+pin_bull+mtf_adx25+cross_target_relative_up,161,30,2.11378754,1.54853348,3,3,0.25714286,0.14285714
h4,100,12,atr_expand+elliott_impulse_bull+mtf_volatility+cross_group_return_up,121,22,2.10942021,0.70387885,1,1,0.40000000,0.40000000
h4,100,12,di_spread_up3+pin_bull+cross_group_return_up,203,45,2.09556524,2.06471131,4,3,0.23602941,0.00000000
h4,100,12,trend_bull+atr_expand+mtf_volatility+cross_group_bull,155,19,2.08583100,1.63003524,2,1,0.25000000,0.00000000
h4,100,12,ichimoku_cloud_bull+pin_bull+cross_group_bull,340,83,2.08529286,2.14555844,4,4,0.28514929,0.20833333
h4,100,12,ichimoku_cloud_bull+pin_bull+mtf_adx25+cross_group_bull,136,28,2.08529286,2.48871452,3,3,0.33333333,0.20000000
h4,100,12,trend_bull+atr_expand+mtf_volatility+cross_group_return_up,185,23,2.08484198,2.01982628,3,1,0.16666667,0.00000000
h4,100,12,adx25+pin_bull+cross_target_relative_up,262,63,2.07828882,2.70378862,4,4,0.35814951,0.25000000
h4,100,12,sma_stack_bull+atr_expand+mtf_volatility+cross_group_return_up,164,19,2.07512070,1.22252643,1,0,0.00000000,0.00000000
h4,100,12,ichimoku_cloud_bull+pin_bull+mtf_adx25,330,57,2.06254421,2.17338032,4,3,0.23750000,0.00000000
h4,100,12,di_spread_up3+pin_bull,240,49,2.05609876,2.21219069,4,3,0.26000389,0.00000000
h4,100,12,pin_bull+cross_group_bull,569,146,2.05348206,2.22734268,4,4,0.29928209,0.21875000
h4,100,12,ichimoku_cloud_bull+pin_bull+mtf_trend_bull+cross_group_bull,241,73,2.04756723,2.22734268,4,4,0.29378594,0.23529412
h4,100,12,sma_stack_bull+adx25+pin_bull,208,26,2.04519107,2.08456430,4,3,0.27619048,0.00000000
h4,100,12,ichimoku_cloud_bull+pin_bull+mtf_adx25+cross_group_return_up,161,32,2.04332796,2.66154192,3,3,0.35454545,0.20000000
h4,100,12,trend_bull+adx25+pin_bull+mtf_trend_bull,198,29,2.03389776,2.66988531,4,4,0.36904762,0.14285714
h4,100,12,ichimoku_cloud_bull+pin_bull+cross_group_return_up,406,99,2.02571306,2.18984533,4,4,0.28894470,0.20833333
h4,100,12,trend_bull+di_spread_up3+atr_expand+mtf_volatility,160,9,2.02064878,2.58088913,1,1,0.60000000,0.60000000
h4,100,12,di_spread_up3+pin_bull+mtf_trend_bull,141,35,2.01134630,2.21219069,3,3,0.35933048,0.22222222
h4,100,12,sma_stack_bull+atr_expand+mtf_volatility,359,49,2.00652804,0.94808172,5,2,0.12000000,0.00000000
h4,100,12,sma_stack_bull+pin_bull+cross_group_bull,235,45,2.00330092,1.72059276,4,4,0.21783217,0.18181818
h4,100,12,trend_bull+adx25+pin_bull,236,31,1.99481235,2.49763465,4,4,0.36904762,0.14285714
h4,100,12,pin_bull+cross_group_return_up,685,162,1.98726887,2.19853519,4,4,0.29599479,0.25641026
h4,100,12,trend_bull+pin_bull+cross_group_bull,292,59,1.98131387,1.70601146,4,3,0.21232811,0.09090909
h4,100,12,ichimoku_cloud_bull+pin_bull+mtf_trend_bull+cross_group_return_up,287,85,1.97630543,2.36834532,4,4,0.31156185,0.23809524
h4,100,12,ichimoku_cloud_bull+pin_bull,793,172,1.97411230,1.98068236,4,4,0.26502417,0.20000000
h4,100,12,pin_bull+mtf_trend_bull+cross_group_bull,363,104,1.96879220,2.30791048,4,4,0.30476285,0.24000000
h4,100,12,trend_bull+pin_bull+mtf_trend_bull+cross_group_bull,241,58,1.95342621,1.73542545,4,3,0.21460084,0.10000000
h4,100,12,sma_stack_bull+pin_bull+cross_group_return_up,291,47,1.94913972,1.97685125,4,4,0.25630619,0.18181818
h4,100,12,pin_bull+elliott_pullback_bull+cross_target_relative_up,131,25,1.94839577,1.23882678,3,2,0.13888889,0.00000000
h4,100,12,sma_stack_bull+adx25+pin_bull+mtf_trend_bull,175,24,1.94468454,2.25827799,4,3,0.27619048,0.00000000
h4,100,12,pin_bull+cross_target_relative_up,625,136,1.93301643,2.27725512,4,4,0.30548745,0.22857143
h4,100,12,pin_bull+elliott_pullback_bull+mtf_trend_bull,156,39,1.92702448,1.78676940,4,3,0.24166667,0.00000000
h4,100,12,atr_expand+elliott_impulse_bull+mtf_volatility,171,23,1.92383510,0.67327543,1,1,0.40000000,0.40000000
h4,100,12,ichimoku_cloud_bull+adx25+pin_bull+cross_target_relative_up,127,32,1.92043978,2.17762521,4,4,0.29910714,0.25000000
h4,100,12,ichimoku_cloud_bull+pin_bull+mtf_trend_bull,551,146,1.91468487,2.01521480,4,4,0.26092334,0.22580645
h4,100,12,pin_bull+elliott_pullback_bull,247,49,1.90597456,1.73814983,4,3,0.24285131,0.11111111
h4,100,12,trend_bull+pin_bull+mtf_adx25,260,33,1.89793732,1.87701028,2,2,0.26923077,0.23076923
h4,100,12,ichimoku_cloud_bull+pin_bull+cross_target_relative_up,362,80,1.89588836,1.83888351,4,3,0.25558136,0.11764706
h4,100,12,trend_bull+atr_expand+mtf_volatility,393,56,1.89066552,1.38261918,5,2,0.17460317,0.00000000
h4,100,12,trend_bull+pin_bull+cross_group_return_up,354,65,1.89066552,1.90588736,4,3,0.23375668,0.09090909
h4,100,12,sma_stack_bull+adx25+atr_expand+mtf_volatility,204,15,1.89066552,0.51617783,1,1,0.20000000,0.20000000
h4,150,1,atr_expand+pin_bull,126,24,23.88738576,0.00000000,4,0,0.00000000,0.00000000
h4,150,1,adx25+volatility+pin_bull+mtf_adx25,163,28,22.15811489,0.00000000,3,0,0.00000000,0.00000000
h4,150,1,adx25+volatility+pin_bull+mtf_volatility,159,28,18.92962645,0.00000000,4,0,0.00000000,0.00000000
h4,150,1,adx25+atr_expand+impulse_bull+mtf_volatility,224,24,18.81131629,0.00000000,1,0,0.00000000,0.00000000
h4,150,1,volatility+pin_bull+mtf_adx25,250,35,16.85493939,0.00000000,3,0,0.00000000,0.00000000
h4,150,1,rsi_up1+atr_expand+mtf_volatility+cross_group_return_up,146,21,16.49211291,0.00000000,1,0,0.00000000,0.00000000
h4,150,1,adx25+atr_expand+mtf_volatility,697,83,16.40929742,0.00000000,8,0,0.00000000,0.00000000
h4,150,1,adx25+volatility+pin_bull,268,57,15.72289123,0.00000000,4,0,0.00000000,0.00000000
h4,150,1,macd_cross_up+horizontal_break_up+elliott_wave3_bull+cross_group_return_up,155,29,15.53450635,0.00000000,2,0,0.00000000,0.00000000
h4,150,1,atr_expand+impulse_bull+mtf_volatility+cross_group_return_up,157,27,15.33661455,0.00000000,2,0,0.00000000,0.00000000
h4,150,1,superbb_bull+horizontal_break_up+elliott_wave5_bull+cross_group_return_up,121,27,14.92468069,0.00000000,1,0,0.00000000,0.00000000
h4,150,1,ichimoku_cloud_bull+macd_cross_up+elliott_impulse_bull+mtf_volatility,162,19,14.86326225,0.00000000,1,0,0.00000000,0.00000000
h4,150,1,rsi_up1+atr_expand+mtf_volatility,378,58,14.33243146,0.00000000,6,0,0.00000000,0.00000000
h4,150,1,rsi_up1+atr_expand+impulse_bull+mtf_volatility,338,50,14.24762417,0.00000000,6,0,0.00000000,0.00000000
h4,150,1,ichimoku_cloud_bull+macd_cross_up+elliott_wave5_bull+mtf_volatility,127,14,14.21957767,0.00000000,1,0,0.00000000,0.00000000
h4,150,1,adx25+atr_expand+mtf_volatility+cross_target_relative_up,304,35,13.86096990,0.00000000,4,0,0.00000000,0.00000000
h4,150,1,adx25+volatility+pin_bull+mtf_adx_rising,174,45,13.83820968,0.00000000,4,0,0.00000000,0.00000000
h4,150,1,macd_cross_up+breakout20_up+elliott_wave3_bull+cross_group_return_up,176,35,13.68095730,0.00000000,3,0,0.00000000,0.00000000
h4,150,1,macd_cross_up+retest_up+elliott_wave3_bull+cross_group_return_up,176,35,13.68095730,0.00000000,3,0,0.00000000,0.00000000
h4,150,1,adx25+pin_bull+mtf_adx25,310,67,13.59269306,0.00000000,4,0,0.00000000,0.00000000
h4,150,1,macd_cross_up+elliott_impulse_bull+mtf_volatility+cross_group_return_up,179,29,13.45166751,0.00000000,1,0,0.00000000,0.00000000
h4,150,1,ichimoku_cloud_bull+macd_cross_up+horizontal_break_up+elliott_wave3_bull,180,29,13.37693603,0.00000000,2,0,0.00000000,0.00000000
h4,150,1,ichimoku_cloud_bull+rsi_up1+superbb_bull+elliott_wave5_bull,135,20,13.37693603,0.00000000,1,0,0.00000000,0.00000000
h4,150,1,atr_expand+impulse_bull+mtf_volatility,362,62,13.30303030,0.00000000,6,0,0.00000000,0.00000000
h4,150,1,ichimoku_cloud_bull+superbb_bull+breakout20_up+elliott_wave5_bull,136,20,13.27857620,0.00000000,1,0,0.00000000,0.00000000
h4,150,1,ichimoku_cloud_bull+superbb_bull+retest_up+elliott_wave5_bull,136,20,13.27857620,0.00000000,1,0,0.00000000,0.00000000
h4,150,1,superbb_bull+horizontal_break_up+elliott_impulse_bull+cross_group_return_up,137,31,13.18165229,0.00000000,1,0,0.00000000,0.00000000
h4,150,1,macd_cross_up+elliott_wave3_bull+mtf_volatility,183,26,13.15764199,0.00000000,1,0,0.00000000,0.00000000
h4,150,1,macd_cross_up+horizontal_break_up+elliott_wave5_bull+cross_group_return_up,183,35,13.15764199,0.00000000,2,0,0.00000000,0.00000000
h4,150,1,rsi_up1+superbb_bull+horizontal_break_up+cross_group_return_up,139,31,12.99198823,0.00000000,1,0,0.00000000,0.00000000
h4,150,1,ichimoku_cloud_bull+superbb_bull+impulse_bull+elliott_wave5_bull,140,20,12.89918831,0.00000000,1,0,0.00000000,0.00000000
h4,150,1,ichimoku_cloud_bull+superbb_bull+elliott_wave5_bull,142,20,12.71750960,0.00000000,1,0,0.00000000,0.00000000
h4,150,1,superbb_bull+horizontal_break_up+cross_group_return_up,144,31,12.54087753,0.00000000,1,0,0.00000000,0.00000000
h4,150,1,price20_bull+superbb_bull+horizontal_break_up+cross_group_return_up,144,31,12.54087753,0.00000000,1,0,0.00000000,0.00000000
h4,150,1,ema20_rising+superbb_bull+horizontal_break_up+cross_group_return_up,144,31,12.54087753,0.00000000,1,0,0.00000000,0.00000000
h4,150,1,superbb_bull+horizontal_break_up+retest_up+cross_group_return_up,144,31,12.54087753,0.00000000,1,0,0.00000000,0.00000000
h4,150,1,superbb_bull+horizontal_break_up+impulse_bull+cross_group_return_up,144,31,12.54087753,0.00000000,1,0,0.00000000,0.00000000
h4,150,1,adx25+atr_expand+mtf_volatility+cross_group_return_up,290,28,12.45438871,0.00000000,2,0,0.00000000,0.00000000
h4,150,1,ichimoku_cloud_bull+atr_expand+mtf_volatility+cross_group_return_up,242,36,12.43723391,0.00000000,3,0,0.00000000,0.00000000
h4,150,1,atr_expand+mtf_volatility,1172,172,12.32686938,0.00000000,11,0,0.00000000,0.00000000
h4,150,1,volatility+pin_bull+mtf_volatility,246,36,12.23500246,0.00000000,4,0,0.00000000,0.00000000
h4,150,1,macd_cross_up+impulse_bull+elliott_wave5_bull+mtf_volatility,148,20,12.20193489,0.00000000,1,0,0.00000000,0.00000000
h4,150,1,ichimoku_cloud_bull+adx25+pin_bull+mtf_adx25,149,30,12.12004271,0.00000000,3,0,0.00000000,0.00000000
h4,150,1,ichimoku_cloud_bull+macd_cross_up+breakout20_up+cross_group_return_up,201,33,11.97934570,0.00000000,2,0,0.00000000,0.00000000
h4,150,1,ichimoku_cloud_bull+macd_cross_up+retest_up+cross_group_return_up,201,33,11.97934570,0.00000000,2,0,0.00000000,0.00000000
h4,150,1,macd_cross_up+horizontal_break_up+impulse_bull+cross_group_return_up,202,40,11.92004200,0.00000000,3,0,0.00000000,0.00000000
