timeframe,from_target,to_target,conditions,discovery_n,oos_n,oos_exit_precision,oos_pairs_n_ge5,oos_pair_precision_mean,oos_pair_precision_min
h4,50,100,di_spread_down3+strong_close_bear+atr_expand,253,29,0.96551724,3,1.00000000,1.00000000
h4,50,100,ema20_slope_down3+close_near_low+atr_expand,361,40,0.97500000,3,0.97916667,0.93750000
h4,50,100,macd_accel_down+strong_close_bear+atr_expand,701,73,0.94520548,6,0.96111111,0.83333333
h4,50,100,rsi_down3+close_near_low+mtf_adx_rising,761,112,1.00000000,8,1.00000000,1.00000000
h4,50,100,di_spread_down3+close_near_low+bb_expand,208,41,1.00000000,4,1.00000000,1.00000000
h4,50,100,di_spread_down3+false_break_up+strong_close_bear,77,13,1.00000000,1,1.00000000,1.00000000
h4,50,100,rsi_down3+ema20_slope_down3+close_near_low,379,48,0.97916667,3,0.98550725,0.95652174
h4,50,100,di_spread_down3+structure_lh+strong_close_bear,428,42,0.97619048,5,1.00000000,1.00000000
h4,50,100,rsi_down3+mtf_di_strong_bull+atr_expand,451,61,0.95081967,6,0.94841270,0.83333333
h4,50,100,rsi_down3+close_near_low+mtf_di_strong_bull,719,127,0.99212598,9,0.99259259,0.93333333
h4,50,100,di_spread_down3+structure_lh+close_near_low,512,59,0.98305085,6,0.97619048,0.85714286
h4,50,100,rsi_down3+mtf_adx_rising+atr_expand,462,74,0.95945946,7,0.96530612,0.85714286
h4,50,100,rsi_down3+structure_lh+volatility,981,126,0.96825397,9,0.96510271,0.87500000
h4,50,100,rsi_down3+strong_close_bear+mtf_adx_rising,597,102,1.00000000,8,1.00000000,1.00000000
h4,50,100,rsi_down3+price20_cross_down+mtf_di_strong_bull,341,79,1.00000000,6,1.00000000,1.00000000
h4,50,100,macd_accel_down+price20_cross_down+false_break_up,158,12,0.75000000,1,1.00000000,1.00000000
h4,50,100,di_spread_down3+close_near_low+volatility,361,34,1.00000000,4,1.00000000,1.00000000
h4,50,100,di_spread_down3+range_compression+strong_close_bear,402,43,1.00000000,5,1.00000000,1.00000000
h4,50,100,di_spread_down3+strong_close_bear,564,58,0.98275862,8,0.97916667,0.83333333
h4,50,100,di_spread_down3+price20_cross_down+false_break_up,65,8,1.00000000,1,1.00000000,1.00000000
h4,100,150,rsi_down3+price20_cross_down+structure_lh,146,27,1.00000000,2,1.00000000,1.00000000
h4,100,150,price20_cross_down+pullback_bull+atr_expand,115,16,1.00000000,2,1.00000000,1.00000000
h4,100,150,di_spread_down3+price20_cross_down+structure_lh,83,18,1.00000000,2,1.00000000,1.00000000
h4,100,150,price20_cross_down+bb_expand,81,24,1.00000000,2,1.00000000,1.00000000
h4,100,150,macd_accel_down+price20_cross_down+bb_expand,80,24,1.00000000,2,1.00000000,1.00000000
h4,100,150,price20_cross_down+range_compression+atr_expand,75,15,1.00000000,2,1.00000000,1.00000000
h4,100,150,price20_cross_down+mtf_trend_bull+atr_expand,73,21,1.00000000,2,1.00000000,1.00000000
h4,100,150,rsi_down3+price20_cross_down+atr_expand,72,20,1.00000000,2,1.00000000,1.00000000
h4,100,150,di_spread_down3+price20_cross_down+volatility,71,18,1.00000000,2,1.00000000,1.00000000
h4,100,150,price20_cross_down+mtf_adx_rising+atr_expand,68,11,1.00000000,1,1.00000000,1.00000000
h4,100,150,di_spread_down3+close_near_low+atr_expand,63,10,1.00000000,1,1.00000000,1.00000000
h4,100,150,price20_cross_down+structure_lh+bb_expand,63,24,1.00000000,2,1.00000000,1.00000000
h4,100,150,price20_cross_down+pullback_bull+bb_expand,63,16,1.00000000,1,1.00000000,1.00000000
h4,100,150,price20_cross_down+mtf_trend_bull+bb_expand,58,21,1.00000000,2,1.00000000,1.00000000
h4,100,150,rsi_down3+price20_cross_down+bb_expand,52,20,1.00000000,2,1.00000000,1.00000000
h4,100,150,price20_cross_down+close_near_low+bb_expand,51,12,1.00000000,1,1.00000000,1.00000000
h4,100,150,di_spread_down3+price20_cross_down+atr_expand,48,17,1.00000000,2,1.00000000,1.00000000
h4,100,150,price20_cross_down+mtf_adx_rising+bb_expand,40,7,1.00000000,1,1.00000000,1.00000000
h4,100,150,price20_cross_down+range_compression+bb_expand,36,17,1.00000000,2,1.00000000,1.00000000
h4,100,150,di_spread_down3+price20_cross_down+bb_expand,34,13,1.00000000,2,1.00000000,1.00000000
h4,100,150,di_spread_down3+close_near_low+volatility,122,19,1.00000000,2,1.00000000,1.00000000
h4,100,150,di_spread_down3+strong_close_bear+volatility,96,10,1.00000000,1,1.00000000,1.00000000
h4,100,150,di_spread_down3+structure_lh+close_near_low,175,19,1.00000000,2,1.00000000,1.00000000
h4,100,150,rsi_down3+close_near_low+atr_expand,167,11,1.00000000,1,1.00000000,1.00000000
h4,100,150,rsi_down3+price20_cross_down+mtf_adx_rising,77,11,1.00000000,1,1.00000000,1.00000000
h4,100,150,di_spread_down3+structure_lh+strong_close_bear,143,11,1.00000000,1,1.00000000,1.00000000
h4,100,150,rsi_down3+price20_cross_down+close_near_low,137,14,1.00000000,1,1.00000000,1.00000000
h4,100,150,rsi_down3+price20_cross_down+volatility,117,25,1.00000000,2,1.00000000,1.00000000
h4,100,150,rsi_down3+pullback_bull+atr_expand,230,22,1.00000000,2,1.00000000,1.00000000
h4,100,150,rsi_down3+price20_cross_down+mtf_trend_bull,108,27,1.00000000,2,1.00000000,1.00000000
h4,100,150,di_spread_down3+price20_cross_down+mtf_adx_rising,54,10,1.00000000,1,1.00000000,1.00000000
h4,100,150,price20_cross_down+di_spread_down3,105,18,1.00000000,2,1.00000000,1.00000000
h4,100,150,di_spread_down3+price20_cross_down,105,18,1.00000000,2,1.00000000,1.00000000
h4,100,150,di_spread_down3+close_near_low+bb_expand,52,18,1.00000000,2,1.00000000,1.00000000
h4,100,150,di_spread_down3+strong_close_bear+bb_expand,51,9,1.00000000,1,1.00000000,1.00000000
h4,100,150,di_spread_down3+close_near_low+mtf_di_strong_bull,99,10,1.00000000,1,1.00000000,1.00000000
h4,100,150,di_spread_down3+range_compression+strong_close_bear,142,11,1.00000000,1,1.00000000,1.00000000
h4,100,150,di_spread_down3+price20_cross_down+pullback_bull,93,10,1.00000000,1,1.00000000,1.00000000
h4,100,150,rsi_down3+price20_cross_down,182,27,1.00000000,2,1.00000000,1.00000000
h4,100,150,rsi_down3+close_near_low+volatility,269,30,1.00000000,2,1.00000000,1.00000000
h4,100,150,di_spread_down3+strong_close_bear,175,12,1.00000000,1,1.00000000,1.00000000
h4,100,150,di_spread_down3+ema20_slope_down3+close_near_low,43,8,1.00000000,1,1.00000000,1.00000000
h4,100,150,rsi_down3+price20_cross_down+pullback_bull,171,19,1.00000000,1,1.00000000,1.00000000
h4,100,150,di_spread_down3+range_compression+close_near_low,170,20,1.00000000,2,1.00000000,1.00000000
h4,100,150,di_spread_down3+price20_cross_down+range_compression,85,15,1.00000000,2,1.00000000,1.00000000
h4,100,150,di_spread_down3+close_near_low,211,21,1.00000000,2,1.00000000,1.00000000
h4,100,150,di_spread_down3+price20_cross_down+close_near_low,84,8,1.00000000,1,1.00000000,1.00000000
h4,100,150,di_spread_down3+strong_close_bear+mtf_di_strong_bull,83,8,1.00000000,1,1.00000000,1.00000000
h4,100,150,rsi_down3+structure_lh+atr_expand,283,33,1.00000000,2,1.00000000,1.00000000
