timeframe,from_target,to_target,conditions,discovery_n,oos_n,oos_exit_precision,oos_pairs_n_ge5,oos_pair_precision_mean,oos_pair_precision_min
d1,50,100,rsi_down3+price20_cross_down+volatility,95,23,0.91304348,2,1.00000000,1.00000000
d1,50,100,rsi_down3+range_compression+atr_expand,139,15,1.00000000,1,1.00000000,1.00000000
d1,50,100,macd_accel_down+mtf_adx_rising+atr_expand,169,44,0.93181818,4,0.95993590,0.91666667
d1,50,100,pullback_bull+mtf_adx_rising+atr_expand,104,25,0.92000000,3,0.88888889,0.66666667
d1,50,100,structure_lh+close_near_low+atr_expand,134,13,0.69230769,1,1.00000000,1.00000000
d1,50,100,close_near_low+atr_expand,166,13,0.69230769,1,1.00000000,1.00000000
d1,50,100,di_spread_down3+price20_cross_down+atr_expand,32,20,1.00000000,2,1.00000000,1.00000000
d1,50,100,price20_cross_down+mtf_adx_rising+volatility,127,32,0.93750000,3,1.00000000,1.00000000
d1,50,100,macd_accel_down+close_near_low+atr_expand,153,8,1.00000000,1,1.00000000,1.00000000
d1,50,100,price20_cross_down+mtf_adx_rising+atr_expand,58,20,1.00000000,2,1.00000000,1.00000000
d1,50,100,rsi_down3+mtf_adx_rising+atr_expand,125,44,0.93181818,4,0.95993590,0.91666667
d1,50,100,price20_cross_down+close_near_low+atr_expand,91,6,1.00000000,1,1.00000000,1.00000000
d1,50,100,rsi_down3+close_near_low+atr_expand,89,9,0.88888889,1,1.00000000,1.00000000
d1,50,100,di_spread_down3+price20_cross_down+strong_close_bear,84,14,1.00000000,1,1.00000000,1.00000000
d1,50,100,rsi_down3+mtf_adx_rising+bb_expand,101,30,0.86666667,4,0.92857143,0.85714286
d1,50,100,price20_cross_down+close_near_low+mtf_trend_bull,118,16,0.93750000,1,1.00000000,1.00000000
d1,50,100,rsi_down3+price20_cross_down+strong_close_bear,165,23,0.95652174,2,1.00000000,1.00000000
d1,50,100,price20_cross_down+strong_close_bear+mtf_adx_rising,228,27,0.96296296,2,1.00000000,1.00000000
d1,50,100,di_spread_down3+price20_cross_down+close_near_low,102,20,1.00000000,1,1.00000000,1.00000000
d1,50,100,price20_cross_down+mtf_trend_bull,168,22,0.95454545,1,1.00000000,1.00000000
d1,50,100,macd_accel_down+price20_cross_down+mtf_trend_bull,167,22,0.95454545,1,1.00000000,1.00000000
d1,50,100,price20_cross_down+structure_lh+mtf_trend_bull,150,20,0.95000000,1,1.00000000,1.00000000
d1,50,100,price20_cross_down+pullback_bull+mtf_trend_bull,160,22,0.95454545,1,1.00000000,1.00000000
d1,50,100,di_spread_down3+price20_cross_down+volatility,47,20,0.95000000,1,1.00000000,1.00000000
d1,50,100,macd_accel_down+range_compression+atr_expand,219,16,0.93750000,1,1.00000000,1.00000000
d1,50,100,di_spread_down3+mtf_adx_rising+atr_expand,109,44,0.88636364,4,0.92370130,0.78571429
d1,50,100,price20_cross_down+close_near_low+mtf_adx_rising,263,37,0.97297297,2,1.00000000,1.00000000
d1,50,100,di_spread_down3+strong_close_bear+volatility,91,16,1.00000000,1,1.00000000,1.00000000
d1,50,100,rsi_down3+price20_cross_down+range_compression,206,47,0.95744681,5,0.95555556,0.77777778
d1,50,100,rsi_down3+pullback_bull+atr_expand,101,26,0.96153846,2,1.00000000,1.00000000
d1,50,100,ema20_slope_down3+mtf_adx_rising+atr_expand,128,31,0.83870968,3,0.86742424,0.72727273
d1,50,100,rsi_down3+atr_expand,195,47,0.91489362,4,0.95993590,0.91666667
d1,50,100,rsi_down3+structure_lh+atr_expand,167,35,0.88571429,4,0.93055556,0.83333333
d1,50,100,rsi_down3+strong_close_bear+volatility,152,22,0.86363636,1,1.00000000,1.00000000
d1,50,100,rsi_down3+close_near_low+bb_expand,82,15,0.86666667,1,1.00000000,1.00000000
d1,50,100,rsi_down3+ema20_slope_down3+atr_expand,109,30,0.86666667,3,0.92129630,0.87500000
d1,50,100,rsi_down3+close_near_low+volatility,182,27,0.88888889,1,1.00000000,1.00000000
d1,50,100,rsi_down3+price20_cross_down+close_near_low,194,32,0.96875000,2,1.00000000,1.00000000
d1,50,100,rsi_down3+price200_bull+atr_expand,103,36,0.97222222,4,1.00000000,1.00000000
d1,50,100,structure_lh+mtf_adx_rising+atr_expand,152,42,0.92857143,5,0.94444444,0.83333333
d1,50,100,macd_accel_down+price20_cross_down+strong_close_bear,389,29,0.96551724,2,1.00000000,1.00000000
d1,50,100,di_spread_down3+structure_lh+strong_close_bear,188,19,1.00000000,1,1.00000000,1.00000000
d1,50,100,rsi_down3+strong_close_bear+bb_expand,75,12,0.83333333,1,1.00000000,1.00000000
d1,50,100,macd_accel_down+price200_bull+atr_expand,145,38,0.94736842,4,1.00000000,1.00000000
d1,50,100,rsi_down3+price20_cross_down+mtf_trend_bull,107,16,0.93750000,1,1.00000000,1.00000000
d1,50,100,di_spread_down3+mtf_adx_rising+bb_expand,95,37,0.86486486,4,0.89610390,0.72727273
d1,50,100,di_spread_down3+strong_close_bear+mtf_adx_rising,177,17,1.00000000,1,1.00000000,1.00000000
d1,100,150,rsi_down3+range_compression+atr_expand,86,14,1.00000000,2,1.00000000,1.00000000
d1,100,150,price20_cross_down+mtf_adx_rising+volatility,66,14,1.00000000,1,1.00000000,1.00000000
d1,100,150,price20_cross_down+range_compression+atr_expand,32,10,1.00000000,1,1.00000000,1.00000000
d1,100,150,rsi_down3+price20_cross_down+strong_close_bear,92,12,1.00000000,2,1.00000000,1.00000000
d1,100,150,rsi_down3+price20_cross_down+mtf_adx_rising,81,27,1.00000000,3,1.00000000,1.00000000
d1,100,150,rsi_down3+mtf_adx_rising+atr_expand,69,34,1.00000000,3,1.00000000,1.00000000
d1,100,150,di_spread_down3+mtf_adx_rising+atr_expand,59,32,1.00000000,3,1.00000000,1.00000000
d1,100,150,di_spread_down3+price20_cross_down+mtf_adx_rising,47,21,1.00000000,2,1.00000000,1.00000000
d1,100,150,macd_accel_down+mtf_adx_rising+atr_expand,91,42,1.00000000,4,1.00000000,1.00000000
d1,100,150,rsi_down3+ema20_slope_down3+atr_expand,43,15,1.00000000,1,1.00000000,1.00000000
d1,100,150,di_spread_down3+range_compression+atr_expand,80,14,1.00000000,2,1.00000000,1.00000000
d1,100,150,rsi_down3+mtf_adx_rising+bb_expand,40,31,1.00000000,2,1.00000000,1.00000000
d1,100,150,ema20_slope_down3+mtf_adx_rising+bb_expand,38,20,0.95000000,2,0.92857143,0.85714286
d1,100,150,rsi_down3+price200_bull+atr_expand,74,30,1.00000000,2,1.00000000,1.00000000
d1,100,150,rsi_down3+price20_cross_down+volatility,68,14,1.00000000,1,1.00000000,1.00000000
d1,100,150,price20_cross_down+structure_lh+mtf_adx_rising,126,31,0.93548387,3,0.95238095,0.85714286
d1,100,150,price20_cross_down+strong_close_bear+mtf_trend_bull,82,8,1.00000000,1,1.00000000,1.00000000
d1,100,150,ema20_slope_down3+mtf_adx_rising+atr_expand,49,15,1.00000000,1,1.00000000,1.00000000
d1,100,150,macd_accel_down+structure_lh+atr_expand,218,42,1.00000000,4,1.00000000,1.00000000
d1,100,150,macd_accel_down+ema20_slope_down3+atr_expand,72,15,1.00000000,1,1.00000000,1.00000000
d1,100,150,rsi_down3+mtf_adx_rising+volatility,117,27,1.00000000,3,1.00000000,1.00000000
d1,100,150,macd_accel_down+price20_cross_down+mtf_adx_rising,143,35,0.94285714,3,0.95238095,0.85714286
d1,100,150,price20_cross_down+strong_close_bear+mtf_adx_rising,101,13,1.00000000,2,1.00000000,1.00000000
d1,100,150,rsi_down3+structure_lh+atr_expand,119,30,1.00000000,3,1.00000000,1.00000000
d1,100,150,structure_lh+strong_close_bear+atr_expand,96,23,0.56521739,2,0.50000000,0.00000000
d1,100,150,price20_cross_down+di_spread_down3,56,21,1.00000000,2,1.00000000,1.00000000
d1,100,150,di_spread_down3+price20_cross_down,56,21,1.00000000,2,1.00000000,1.00000000
d1,100,150,rsi_down3+price20_cross_down+range_compression,93,22,1.00000000,2,1.00000000,1.00000000
d1,100,150,di_spread_down3+structure_lh+mtf_adx_rising,130,38,1.00000000,4,1.00000000,1.00000000
d1,100,150,price20_cross_down+mtf_adx_rising,146,41,0.95121951,4,0.97058824,0.88235294
d1,100,150,di_spread_down3+price20_cross_down+range_compression,54,17,1.00000000,2,1.00000000,1.00000000
d1,100,150,rsi_down3+structure_lh+bb_expand,71,31,1.00000000,2,1.00000000,1.00000000
d1,100,150,price20_cross_down+pullback_bull+mtf_adx_rising,141,38,0.94736842,3,0.96078431,0.88235294
d1,100,150,rsi_down3+atr_expand,123,34,1.00000000,3,1.00000000,1.00000000
d1,100,150,di_spread_down3+price20_cross_down+structure_lh,52,15,1.00000000,1,1.00000000,1.00000000
d1,100,150,di_spread_down3+price20_cross_down+pullback_bull,51,18,1.00000000,1,1.00000000,1.00000000
d1,100,150,pullback_bull+mtf_adx_rising+atr_expand,64,31,1.00000000,4,1.00000000,1.00000000
d1,100,150,rsi_down3+structure_lh+mtf_adx_rising,191,50,0.96000000,4,0.95000000,0.80000000
d1,100,150,di_spread_down3+structure_lh+atr_expand,94,28,1.00000000,2,1.00000000,1.00000000
d1,100,150,di_spread_down3+price20_cross_down+volatility,31,10,1.00000000,1,1.00000000,1.00000000
d1,100,150,rsi_down3+close_near_low+volatility,108,12,1.00000000,1,1.00000000,1.00000000
d1,100,150,macd_accel_down+ema20_slope_down3+bb_expand,46,19,0.94736842,2,0.92857143,0.85714286
d1,100,150,structure_lh+close_near_low+atr_expand,137,24,0.58333333,2,0.50000000,0.00000000
d1,100,150,price20_cross_down+close_near_low+mtf_adx_rising,105,16,1.00000000,2,1.00000000,1.00000000
d1,100,150,rsi_down3+price20_cross_down+close_near_low,104,15,1.00000000,2,1.00000000,1.00000000
d1,100,150,rsi_down3+ema20_slope_down3+mtf_adx_rising,87,16,1.00000000,1,1.00000000,1.00000000
d1,100,150,di_spread_down3+price200_bull+atr_expand,58,28,1.00000000,2,1.00000000,1.00000000
d1,100,150,di_spread_down3+structure_lh+mtf_trend_bull,128,23,0.91304348,2,0.90000000,0.80000000
d1,100,150,di_spread_down3+atr_expand,98,32,1.00000000,3,1.00000000,1.00000000
d1,100,150,rsi_down3+price20_cross_down+mtf_trend_bull,84,10,1.00000000,1,1.00000000,1.00000000
d1,100,150,price20_cross_down+mtf_trend_bull,111,13,1.00000000,1,1.00000000,1.00000000
d1,100,150,strong_close_bear+atr_expand,111,23,0.56521739,2,0.50000000,0.00000000
d1,100,150,price20_cross_down+range_compression+mtf_adx_rising,111,31,0.93548387,3,0.95238095,0.85714286
d1,100,150,macd_accel_down+price20_cross_down+mtf_trend_bull,110,13,1.00000000,1,1.00000000,1.00000000
d1,100,150,di_spread_down3+structure_lh+bb_expand,55,31,1.00000000,2,1.00000000,1.00000000
d1,100,150,macd_accel_down+price20_cross_down+atr_expand,68,15,1.00000000,1,1.00000000,1.00000000
d1,100,150,rsi_down3+strong_close_bear+volatility,94,12,1.00000000,1,1.00000000,1.00000000
d1,100,150,macd_accel_down+price200_bull+atr_expand,146,44,0.95454545,3,1.00000000,1.00000000
d1,100,150,macd_accel_down+price20_cross_down+volatility,159,20,0.90000000,1,1.00000000,1.00000000
d1,150,200,rsi_down3+price200_bull+atr_expand,51,16,1.00000000,1,1.00000000,1.00000000
d1,150,200,macd_accel_down+mtf_adx_rising+atr_expand,39,15,1.00000000,2,1.00000000,1.00000000
d1,150,200,rsi_down3+mtf_adx_rising+atr_expand,31,14,1.00000000,2,1.00000000,1.00000000
d1,150,200,macd_accel_down+structure_lh+atr_expand,135,26,1.00000000,2,1.00000000,1.00000000
d1,150,200,macd_accel_down+price200_bull+atr_expand,123,28,0.92857143,2,1.00000000,1.00000000
d1,150,200,price20_cross_down+mtf_trend_bull,67,10,0.80000000,1,0.66666667,0.66666667
d1,150,200,rsi_down3+structure_lh+mtf_adx_rising,89,32,0.87500000,3,0.91666667,0.75000000
d1,150,200,macd_accel_down+price20_cross_down+mtf_trend_bull,66,10,0.80000000,1,0.66666667,0.66666667
d1,150,200,rsi_down3+structure_lh+atr_expand,65,16,1.00000000,1,1.00000000,1.00000000
d1,150,200,rsi_down3+price200_bull+mtf_adx_rising,64,31,0.87096774,2,0.87500000,0.75000000
d1,150,200,price20_cross_down+pullback_bull+mtf_trend_bull,63,10,0.80000000,1,0.66666667,0.66666667
d1,150,200,price20_cross_down+close_near_low+mtf_adx_rising,62,10,0.80000000,1,0.66666667,0.66666667
d1,150,200,di_spread_down3+price200_bull+atr_expand,41,12,1.00000000,1,1.00000000,1.00000000
d1,150,200,rsi_down3+structure_lh+bb_expand,59,17,0.94117647,1,1.00000000,1.00000000
d1,150,200,price20_cross_down+structure_lh+mtf_trend_bull,58,10,0.80000000,1,0.66666667,0.66666667
d1,150,200,price20_cross_down+close_near_low+mtf_trend_bull,58,9,0.77777778,1,0.66666667,0.66666667
d1,150,200,price20_cross_down+mtf_adx_rising,76,17,0.88235294,2,0.87500000,0.75000000
d1,150,200,macd_accel_down+price20_cross_down+mtf_adx_rising,75,15,0.86666667,2,0.83333333,0.66666667
d1,150,200,rsi_down3+atr_expand,73,17,1.00000000,2,1.00000000,1.00000000
d1,150,200,rsi_down3+price20_cross_down+mtf_adx_rising,53,14,0.85714286,2,0.83333333,0.66666667
d1,150,200,macd_accel_down+mtf_trend_bull+atr_expand,137,21,0.90476190,1,1.00000000,1.00000000
d1,150,200,price20_cross_down+pullback_bull+mtf_adx_rising,67,16,0.87500000,2,0.87500000,0.75000000
d1,150,200,macd_accel_down+atr_expand,167,29,0.93103448,3,1.00000000,1.00000000
d1,150,200,rsi_down3+price20_cross_down+mtf_trend_bull,50,9,0.77777778,1,0.66666667,0.66666667
d1,150,200,price20_cross_down+structure_lh+mtf_adx_rising,64,16,0.87500000,2,0.87500000,0.75000000
d1,150,200,macd_accel_down+range_compression+atr_expand,91,19,0.89473684,1,1.00000000,1.00000000
d1,150,200,rsi_down3+price20_cross_down+range_compression,45,11,0.81818182,1,0.66666667,0.66666667
d1,150,200,rsi_down3+structure_lh+volatility,118,25,0.88000000,3,0.90476190,0.71428571
d1,150,200,rsi_down3+price200_bull+volatility,85,21,0.85714286,2,0.85714286,0.71428571
d1,150,200,macd_accel_down+pullback_bull+atr_expand,135,25,0.92000000,2,1.00000000,1.00000000
d1,150,200,di_spread_down3+structure_lh+atr_expand,53,12,1.00000000,1,1.00000000,1.00000000
d1,150,200,rsi_down3+price20_cross_down,78,14,0.85714286,2,0.83333333,0.66666667
d1,150,200,rsi_down3+mtf_adx_rising+volatility,52,23,0.86956522,3,0.90476190,0.71428571
d1,150,200,di_spread_down3+structure_lh+mtf_adx_rising,50,20,1.00000000,2,1.00000000,1.00000000
d1,150,200,price20_cross_down+range_compression+mtf_adx_rising,50,14,0.85714286,1,0.75000000,0.75000000
d1,150,200,rsi_down3+structure_lh+strong_close_bear,112,14,0.71428571,1,0.40000000,0.40000000
d1,150,200,di_spread_down3+structure_lh+mtf_trend_bull,86,17,1.00000000,1,1.00000000,1.00000000
d1,150,200,di_spread_down3+atr_expand,61,13,1.00000000,2,1.00000000,1.00000000
d1,150,200,rsi_down3+price20_cross_down+structure_lh,71,13,0.84615385,2,0.83333333,0.66666667
d1,150,200,rsi_down3+price20_cross_down+pullback_bull,71,13,0.84615385,2,0.83333333,0.66666667
d1,150,200,rsi_down3+strong_close_bear+mtf_adx_rising,59,15,0.73333333,1,0.40000000,0.40000000
d1,150,200,rsi_down3+mtf_adx_rising,105,37,0.89189189,4,0.93750000,0.75000000
d1,150,200,di_spread_down3+pullback_bull+mtf_trend_bull,69,19,0.94736842,1,1.00000000,1.00000000
d1,200,300,macd_accel_down+atr_expand,107,18,1.00000000,1,1.00000000,1.00000000
d1,200,300,macd_accel_down+mtf_trend_bull+atr_expand,100,17,1.00000000,1,1.00000000,1.00000000
d1,200,300,macd_accel_down+price200_bull+atr_expand,96,18,1.00000000,1,1.00000000,1.00000000
d1,200,300,macd_accel_down+pullback_bull+atr_expand,81,18,1.00000000,1,1.00000000,1.00000000
d1,200,300,macd_accel_down+structure_lh+atr_expand,80,12,1.00000000,1,1.00000000,1.00000000
d1,200,300,rsi_down3+price200_bull+volatility,66,30,0.83333333,2,0.64285714,0.28571429
d1,200,300,rsi_down3+atr_expand,49,12,1.00000000,1,1.00000000,1.00000000
d1,200,300,rsi_down3+mtf_trend_bull+atr_expand,44,11,1.00000000,1,1.00000000,1.00000000
d1,200,300,rsi_down3+price20_cross_down+close_near_low,41,10,1.00000000,1,1.00000000,1.00000000
d1,200,300,macd_accel_down+price20_cross_down+mtf_adx_rising,40,10,1.00000000,1,1.00000000,1.00000000
d1,200,300,rsi_down3+structure_lh+atr_expand,40,9,1.00000000,1,1.00000000,1.00000000
d1,200,300,rsi_down3+price20_cross_down+strong_close_bear,39,9,1.00000000,1,1.00000000,1.00000000
d1,200,300,rsi_down3+price200_bull+atr_expand,39,12,1.00000000,1,1.00000000,1.00000000
d1,200,300,rsi_down3+close_near_low+mtf_adx_rising,39,22,0.77272727,2,0.64285714,0.28571429
d1,200,300,rsi_down3+strong_close_bear+mtf_adx_rising,37,20,0.75000000,2,0.64285714,0.28571429
d1,200,300,price20_cross_down+structure_lh+mtf_adx_rising,37,7,1.00000000,1,1.00000000,1.00000000
d1,200,300,price20_cross_down+close_near_low+mtf_adx_rising,34,10,1.00000000,1,1.00000000,1.00000000
d1,200,300,price20_cross_down+strong_close_bear+mtf_adx_rising,32,9,1.00000000,1,1.00000000,1.00000000
d1,200,300,pullback_bull+mtf_trend_bull+atr_expand,122,22,1.00000000,2,1.00000000,1.00000000
d1,200,300,price200_bull+pullback_bull+atr_expand,117,23,1.00000000,2,1.00000000,1.00000000
d1,200,300,rsi_down3+range_compression+close_near_low,103,23,0.78260870,2,0.64285714,0.28571429
d1,200,300,rsi_down3+structure_lh+close_near_low,100,17,0.70588235,2,0.64285714,0.28571429
d1,200,300,rsi_down3+range_compression+strong_close_bear,93,21,0.76190476,2,0.64285714,0.28571429
d1,200,300,rsi_down3+structure_lh+strong_close_bear,91,15,0.66666667,2,0.64285714,0.28571429
d1,200,300,rsi_down3+mtf_trend_bull+volatility,75,29,0.82758621,2,0.64285714,0.28571429
d1,200,300,rsi_down3+close_near_low+volatility,55,23,0.78260870,2,0.64285714,0.28571429
d1,200,300,di_spread_down3+pullback_bull+mtf_trend_bull,49,19,0.73684211,1,0.44444444,0.44444444
d1,200,300,rsi_down3+price200_bull+close_near_low,96,25,0.80000000,2,0.64285714,0.28571429
d1,200,300,structure_lh+pullback_bull+atr_expand,95,21,1.00000000,3,1.00000000,1.00000000
d1,200,300,rsi_down3+strong_close_bear+volatility,47,22,0.77272727,2,0.64285714,0.28571429
d1,200,300,pullback_bull+atr_expand,135,27,1.00000000,3,1.00000000,1.00000000
d1,200,300,rsi_down3+close_near_low,134,26,0.80769231,2,0.64285714,0.28571429
d1,200,300,rsi_down3+range_compression+bb_expand,43,13,0.61538462,1,0.28571429,0.28571429
d1,200,300,price20_cross_down+mtf_adx_rising,42,10,1.00000000,1,1.00000000,1.00000000
d1,200,300,rsi_down3+price200_bull+strong_close_bear,83,24,0.79166667,2,0.64285714,0.28571429
d1,200,300,rsi_down3+strong_close_bear,120,24,0.79166667,2,0.64285714,0.28571429
d1,200,300,price20_cross_down+pullback_bull+mtf_adx_rising,39,10,1.00000000,1,1.00000000,1.00000000
d1,200,300,rsi_down3+close_near_low+mtf_trend_bull,108,25,0.80000000,2,0.64285714,0.28571429
d1,200,300,rsi_down3+close_near_low+bb_expand,36,14,0.64285714,1,0.28571429,0.28571429
d1,200,300,price20_cross_down+range_compression+mtf_adx_rising,34,7,1.00000000,1,1.00000000,1.00000000
d1,200,300,rsi_down3+range_compression+mtf_trend_bull,134,25,0.80000000,2,0.64285714,0.28571429
d1,200,300,rsi_down3+strong_close_bear+bb_expand,33,14,0.64285714,1,0.28571429,0.28571429
d1,200,300,rsi_down3+strong_close_bear+mtf_trend_bull,95,24,0.79166667,2,0.64285714,0.28571429
d1,200,300,pullback_bull+mtf_di_strong_bull+atr_expand,57,8,1.00000000,1,1.00000000,1.00000000
d1,200,300,macd_accel_down+price20_cross_down+range_compression,77,8,1.00000000,1,1.00000000,1.00000000
d1,200,300,rsi_down3+price200_bull+range_compression,126,26,0.80769231,2,0.64285714,0.28571429
d1,200,300,di_spread_down3+price200_bull+pullback_bull,50,21,0.76190476,1,0.44444444,0.44444444
d1,200,300,rsi_down3+pullback_bull+volatility,72,31,0.83870968,2,0.64285714,0.28571429
d1,200,300,rsi_down3+price20_cross_down,48,11,1.00000000,1,1.00000000,1.00000000
d1,200,300,macd_accel_down+price20_cross_down+close_near_low,94,10,1.00000000,1,1.00000000,1.00000000
d1,200,300,rsi_down3+structure_lh+mtf_adx_rising,47,22,0.77272727,2,0.64285714,0.28571429
d1,200,300,rsi_down3+price20_cross_down+structure_lh,45,8,1.00000000,1,1.00000000,1.00000000
d1,200,300,rsi_down3+price20_cross_down+pullback_bull,45,11,1.00000000,1,1.00000000,1.00000000
d1,200,300,rsi_down3+structure_lh+mtf_trend_bull,134,26,0.80769231,2,0.68750000,0.37500000
d1,200,300,macd_accel_down+price20_cross_down+strong_close_bear,86,9,1.00000000,1,1.00000000,1.00000000
d1,200,300,rsi_down3+structure_lh+volatility,89,24,0.79166667,2,0.64285714,0.28571429
d1,200,300,rsi_down3+range_compression+pullback_bull,141,27,0.81481481,2,0.64285714,0.28571429
d1,200,300,rsi_down3+volatility,105,31,0.83870968,2,0.64285714,0.28571429
