timeframe,direction,horizon_bars,feature,disc_true_n,disc_false_n,disc_true_hit,disc_false_hit,disc_diff,disc_true_false_ratio,disc_base_lift,val_true_n,val_false_n,val_true_hit,val_false_hit,val_diff,val_true_false_ratio,val_base_lift,oos_true_n,oos_false_n,oos_true_hit,oos_false_hit,oos_diff,oos_true_false_ratio,oos_base_lift
h4,bear,1,retest_down,4115.00000000,75344.00000000,0.08262454,0.05262529,0.02999925,1.57005389,1.52503221,889.00000000,18687.00000000,0.06749156,0.05816878,0.00932278,1.16027125,1.15188740,632.00000000,13359.00000000,0.08386076,0.04132046,0.04254030,2.02952153,1.93933204
h4,bear,1,horizontal_support_near,4165.00000000,75294.00000000,0.07779112,0.05287274,0.02491838,1.47128971,1.43581982,799.00000000,18777.00000000,0.07759700,0.05778346,0.01981354,1.34289290,1.32435815,564.00000000,13427.00000000,0.08333333,0.04155805,0.04177528,2.00522700,1.92713499
h4,bull,1,mtf_volatility,22922.00000000,56537.00000000,0.07394643,0.04007995,0.03386648,1.84497314,1.48339034,4310.00000000,15266.00000000,0.09118329,0.04107166,0.05011163,2.22010235,1.75000409,3968.00000000,10023.00000000,0.05922379,0.02095181,0.03827198,2.82666691,1.86202259
h4,bear,1,mtf_elliott_impulse_bear,6025.00000000,73434.00000000,0.06854772,0.05299997,0.01554775,1.29335383,1.26521094,1127.00000000,18449.00000000,0.07009760,0.05788932,0.01220829,1.21089017,1.19636504,843.00000000,13148.00000000,0.07947805,0.04091877,0.03855928,1.94233729,1.83797928
h4,bull,3,pin_bull,1349.00000000,78110.00000000,0.33061527,0.15759826,0.17301701,2.09783581,2.05945114,387.00000000,19189.00000000,0.31524548,0.16134244,0.15390304,1.95389066,1.91772700,278.00000000,13713.00000000,0.21942446,0.11850069,0.10092377,1.85167239,1.82085862
h4,bear,1,mtf_rci_cross_down,2774.00000000,76685.00000000,0.05010815,0.05432614,-0.00421799,0.92235796,0.92486487,779.00000000,18797.00000000,0.05006418,0.05894558,-0.00888139,0.84932896,0.85445203,524.00000000,13467.00000000,0.07824427,0.04188015,0.03636412,1.86829016,1.80944735
h4,bear,1,mtf_volatility,22922.00000000,56537.00000000,0.07830905,0.04439571,0.03391334,1.76388791,1.44537948,4310.00000000,15266.00000000,0.10533643,0.04539500,0.05994143,2.32044140,1.79779067,3968.00000000,10023.00000000,0.07661290,0.03003093,0.04658197,2.55113332,1.77172087
h4,bear,1,mtf_channel_breakout_down,4167.00000000,75292.00000000,0.07367411,0.05309993,0.02057418,1.38746143,1.35983061,684.00000000,18892.00000000,0.08187135,0.05774931,0.02412203,1.41770252,1.39730902,641.00000000,13350.00000000,0.07644306,0.04164794,0.03479512,1.83545831,1.76779309
h4,bear,1,mtf_breakout_down20,4167.00000000,75292.00000000,0.07367411,0.05309993,0.02057418,1.38746143,1.35983061,684.00000000,18892.00000000,0.08187135,0.05774931,0.02412203,1.41770252,1.39730902,641.00000000,13350.00000000,0.07644306,0.04164794,0.03479512,1.83545831,1.76779309
h4,bear,3,mtf_pin_bear,1682.00000000,77777.00000000,0.33055886,0.16169305,0.16886581,2.04436040,2.00014288,318.00000000,19258.00000000,0.33962264,0.16902067,0.17060197,2.00935571,1.97694107,149.00000000,13842.00000000,0.23489933,0.13336223,0.10153710,1.76136322,1.74719644
h4,bull,6,pin_bull,1349.00000000,78110.00000000,0.48554485,0.28911791,0.19642694,1.67940079,1.66025080,387.00000000,19189.00000000,0.44444444,0.28005628,0.16438816,1.58698259,1.56877830,278.00000000,13713.00000000,0.39928058,0.22693794,0.17234263,1.75942626,1.73327165
h4,bear,1,mtf_retest_down,4149.00000000,75310.00000000,0.07399373,0.05308724,0.02090649,1.39381392,1.36573010,666.00000000,18910.00000000,0.07957958,0.05785299,0.02172659,1.37554831,1.35819516,629.00000000,13362.00000000,0.07472178,0.04176022,0.03296157,1.78930543,1.72798749
