timeframe,direction,horizon_bars,conditions,samples,base_rate,hit50_rate,rate_diff,lift
h4,bull,1,mtf_ema20_rising+mtf_adx_rising,30516,0.04800665,0.04184690,-0.00615975,0.87168959
h4,bull,1,mtf_ema20_rising+mtf_di_bull,53537,0.04800665,0.04424977,-0.00375688,0.92174247
h4,bull,1,mtf_ema20_rising+mtf_di_strong_bull,42260,0.04800665,0.04363464,-0.00437201,0.90892907
h4,bull,1,mtf_ema20_rising+mtf_volatility,15363,0.04800665,0.06300853,0.01500187,1.31249572
h4,bull,1,mtf_ema20_rising+mtf_bb_bull,56715,0.04800665,0.04448559,-0.00352107,0.92665459
h4,bull,1,mtf_macd_bull+mtf_macd_rising,30891,0.04800665,0.04188922,-0.00611743,0.87257121
h4,bull,1,mtf_macd_bull+mtf_rsi60,23483,0.04800665,0.04347826,-0.00452839,0.90567157
h4,bull,1,mtf_macd_bull+mtf_adx25,20684,0.04800665,0.04853993,0.00053328,1.01110848
h4,bull,1,mtf_macd_bull+mtf_adx_rising,29424,0.04800665,0.04136079,-0.00664586,0.86156378
h4,bull,1,mtf_macd_bull+mtf_di_bull,43003,0.04800665,0.04243890,-0.00556775,0.88402121
h4,bull,1,mtf_macd_bull+mtf_di_strong_bull,34189,0.04800665,0.04273304,-0.00527361,0.89014834
h4,bull,1,mtf_macd_bull+mtf_volatility,14984,0.04800665,0.06873999,0.02073334,1.43188464
h4,bull,1,mtf_macd_bull+mtf_bb_bull,47426,0.04800665,0.04381563,-0.00419102,0.91269908
h4,bull,1,mtf_macd_rising+mtf_rsi60,15947,0.04800665,0.04345645,-0.00455020,0.90521722
h4,bull,1,mtf_macd_rising+mtf_adx25,19935,0.04800665,0.05407575,0.00606909,1.12642191
h4,bull,1,mtf_macd_rising+mtf_adx_rising,27569,0.04800665,0.04476042,-0.00324623,0.93237950
h4,bull,1,mtf_macd_rising+mtf_di_bull,32201,0.04800665,0.04179994,-0.00620671,0.87071148
h4,bull,1,mtf_macd_rising+mtf_di_strong_bull,23358,0.04800665,0.04139909,-0.00660756,0.86236156
h4,bull,1,mtf_macd_rising+mtf_volatility,16270,0.04800665,0.07037492,0.02236827,1.46594104
h4,bull,1,mtf_macd_rising+mtf_bb_bull,32994,0.04800665,0.04346245,-0.00454421,0.90534217
h4,bull,1,mtf_rsi60+mtf_adx25,14406,0.04800665,0.04636957,-0.00163709,0.96589879
h4,bull,1,mtf_rsi60+mtf_adx_rising,21467,0.04800665,0.04299623,-0.00501043,0.89563058
h4,bull,1,mtf_rsi60+mtf_di_bull,27180,0.04800665,0.04426049,-0.00374617,0.92196566
h4,bull,1,mtf_rsi60+mtf_di_strong_bull,26123,0.04800665,0.04409907,-0.00390758,0.91860329
h4,bull,1,mtf_rsi60+mtf_volatility,7070,0.04800665,0.06011315,0.01210650,1.25218381
h4,bull,1,mtf_rsi60+mtf_bb_bull,27382,0.04800665,0.04440874,-0.00359792,0.92505377
h4,bull,1,mtf_adx25+mtf_adx_rising,21552,0.04800665,0.05540089,0.00739424,1.15402527
h4,bull,1,mtf_adx25+mtf_di_bull,23111,0.04800665,0.04443771,-0.00356894,0.92565739
h4,bull,1,mtf_adx25+mtf_di_strong_bull,20346,0.04800665,0.04398899,-0.00401766,0.91631029
h4,bull,1,mtf_adx25+mtf_volatility,15689,0.04800665,0.07922748,0.03122083,1.65034383
h4,bull,1,mtf_adx25+mtf_bb_bull,22542,0.04800665,0.04720078,-0.00080587,0.98321331
h4,bull,1,mtf_adx_rising+mtf_di_bull,30588,0.04800665,0.04165032,-0.00635633,0.86759475
h4,bull,1,mtf_adx_rising+mtf_di_strong_bull,30281,0.04800665,0.04161025,-0.00639640,0.86676008
h4,bull,1,mtf_adx_rising+mtf_volatility,14925,0.04800665,0.07832496,0.03031830,1.63154381
h4,bull,1,mtf_adx_rising+mtf_bb_bull,30400,0.04800665,0.04171053,-0.00629613,0.86884887
h4,bull,1,mtf_di_bull+mtf_di_strong_bull,44516,0.04800665,0.04362476,-0.00438189,0.90872329
h4,bull,1,mtf_di_bull+mtf_volatility,15132,0.04800665,0.05855141,0.01054476,1.21965207
h4,bull,1,mtf_di_bull+mtf_bb_bull,52134,0.04800665,0.04430890,-0.00369776,0.92297407
h4,bull,1,mtf_di_strong_bull+mtf_volatility,11345,0.04800665,0.05544293,0.00743627,1.15490088
h4,bull,1,mtf_di_strong_bull+mtf_bb_bull,41372,0.04800665,0.04389442,-0.00411223,0.91434037
h4,bull,1,mtf_volatility+mtf_bb_bull,15379,0.04800665,0.06398335,0.01597670,1.33280180
h4,bull,1,structure_hh+structure_hl,21604,0.04800665,0.05253657,0.00452991,1.09436013
h4,bull,1,structure_hh+structure_breakout20_up,7323,0.04800665,0.06131367,0.01330702,1.27719108
h4,bull,1,structure_hh+range_expand,15746,0.04800665,0.06611203,0.01810538,1.37714304
h4,bull,1,structure_hh+close_near_high,9694,0.04800665,0.05611719,0.00811053,1.16894601
h4,bull,1,structure_hh+impulse_bull,11577,0.04800665,0.06055109,0.01254444,1.26130627
h4,bull,1,structure_hh+pullback_bull,6987,0.04800665,0.05166738,0.00366073,1.07625462
h4,bull,1,structure_hh+distance_high_ok,14103,0.04800665,0.05112387,0.00311722,1.06493310
h4,bull,1,structure_hl+structure_breakout20_up,6347,0.04800665,0.06034347,0.01233682,1.25698138
h4,bull,1,structure_hl+range_expand,19464,0.04800665,0.06725236,0.01924571,1.40089672
h4,bull,1,structure_hl+close_near_high,16221,0.04800665,0.04709944,-0.00090721,0.98110232
h4,bull,1,structure_hl+impulse_bull,15046,0.04800665,0.05749036,0.00948371,1.19754990
h4,bull,1,structure_hl+pullback_bull,18285,0.04800665,0.04063440,-0.00737225,0.84643267
h4,bull,1,structure_hl+distance_high_ok,33966,0.04800665,0.04042278,-0.00758388,0.84202445
h4,bull,1,structure_breakout20_up+range_expand,4533,0.04800665,0.07279947,0.02479282,1.51644544
h4,bull,1,structure_breakout20_up+close_near_high,4568,0.04800665,0.06545534,0.01744869,1.36346396
h4,bull,1,structure_breakout20_up+impulse_bull,5275,0.04800665,0.06786730,0.01986065,1.41370610
h4,bull,1,range_expand+close_near_high,11542,0.04800665,0.06056143,0.01255477,1.26152155
h4,bull,1,range_expand+impulse_bull,12998,0.04800665,0.06716418,0.01915753,1.39905981
h4,bull,1,range_expand+pullback_bull,18255,0.04800665,0.06694056,0.01893391,1.39440181
h4,bull,1,range_expand+distance_high_ok,24695,0.04800665,0.06053857,0.01253192,1.26104543
h4,bull,1,close_near_high+impulse_bull,14001,0.04800665,0.05349618,0.00548953,1.11434926
h4,bull,1,close_near_high+pullback_bull,1138,0.04800665,0.04569420,-0.00231245,0.95183057
h4,bull,1,close_near_high+distance_high_ok,14494,0.04800665,0.03801573,-0.00999092,0.79188462
h4,bull,1,impulse_bull+pullback_bull,185,0.04800665,0.03783784,-0.01016882,0.78817904
h4,bull,1,impulse_bull+distance_high_ok,10481,0.04800665,0.05028146,0.00227481,1.04738527
h4,bull,1,pullback_bull+distance_high_ok,33111,0.04800665,0.04412431,-0.00388234,0.91912904
h4,bull,1,trend_bull+price20_bull,31774,0.04800665,0.04286524,-0.00514142,0.89290198
h4,bull,1,trend_bull+price200_bull,45042,0.04800665,0.04402558,-0.00398108,0.91707239
h4,bull,1,trend_bull+ema20_rising,31774,0.04800665,0.04286524,-0.00514142,0.89290198
h4,bull,1,trend_bull+ema200_rising,45042,0.04800665,0.04402558,-0.00398108,0.91707239
h4,bull,1,trend_bull+momentum_bull,24104,0.04800665,0.04053269,-0.00747396,0.84431405
h4,bull,1,trend_bull+rsi60,18572,0.04800665,0.04334482,-0.00466183,0.90289194
h4,bull,1,trend_bull+macd_bull,20919,0.04800665,0.04526985,-0.00273680,0.94299117
h4,bull,1,trend_bull+macd_rising,20539,0.04800665,0.04372170,-0.00428495,0.91074251
h4,bull,1,trend_bull+adx25,18166,0.04800665,0.04712100,-0.00088566,0.98155135
h4,bull,1,trend_bull+adx_rising,21444,0.04800665,0.04737922,-0.00062743,0.98693029
h4,bull,1,trend_bull+di_bull,30136,0.04800665,0.04449827,-0.00350838,0.92691890
h4,bull,1,trend_bull+di_strong_bull,22647,0.04800665,0.04587804,-0.00212861,0.95566006
h4,bull,1,trend_bull+volatility,13063,0.04800665,0.05649545,0.00848879,1.17682532
h4,bull,1,trend_bull+bb_bull,29905,0.04800665,0.04276877,-0.00523789,0.89089251
h4,bull,1,trend_bull+bb_upper,13691,0.04800665,0.04572347,-0.00228319,0.95244023
h4,bull,1,trend_bull+body_bull,7256,0.04800665,0.04671996,-0.00128670,0.97319752
h4,bull,1,trend_bull+rsi_up1,8984,0.04800665,0.04908727,0.00108061,1.02250965
h4,bull,1,trend_bull+rsi_up3,9711,0.04800665,0.04644218,-0.00156447,0.96741130
h4,bull,1,trend_bull+rsi_cross50_up,2128,0.04800665,0.04229323,-0.00571342,0.88098691
h4,bull,1,trend_bull+rsi_cross55_up,2603,0.04800665,0.04494814,-0.00305852,0.93628974
h4,bull,1,trend_bull+macd_cross_up,1513,0.04800665,0.05155321,0.00354655,1.07387626
h4,bull,1,trend_bull+macd_accel_up,20539,0.04800665,0.04372170,-0.00428495,0.91074251
h4,bull,1,trend_bull+adx_up3,7229,0.04800665,0.04938442,0.00137777,1.02869957
h4,bull,1,trend_bull+adx_cross25_up,811,0.04800665,0.04438964,-0.00361701,0.92465605
h4,bull,1,trend_bull+di_cross_up,1856,0.04800665,0.04310345,-0.00490321,0.89786405
h4,bull,1,trend_bull+di_spread_up3,10003,0.04800665,0.05018494,0.00217829,1.04537478
h4,bull,1,trend_bull+ema20_slope_up3,32749,0.04800665,0.04390974,-0.00409692,0.91465942
h4,bull,1,trend_bull+price20_cross_up,2488,0.04800665,0.03818328,-0.00982337,0.79537475
h4,bull,1,trend_bull+price200_cross_up,206,0.04800665,0.01456311,-0.03344355,0.30335601
h4,bull,1,trend_bull+breakout20_up,4197,0.04800665,0.06314034,0.01513369,1.31524141
h4,bull,1,trend_bull+atr_expand,2666,0.04800665,0.07314329,0.02513663,1.52360727
h4,bull,1,trend_bull+bb_expand,10628,0.04800665,0.05127964,0.00327299,1.06817774
h4,bull,1,trend_bull+body_expand,13476,0.04800665,0.04808549,0.00007883,1.00164211
h4,bull,1,price20_bull+price200_bull,43555,0.04800665,0.04353117,-0.00447549,0.90677363
h4,bull,1,price20_bull+ema20_rising,59479,0.04800665,0.04542780,-0.00257886,0.94628129
h4,bull,1,price20_bull+ema200_rising,43555,0.04800665,0.04353117,-0.00447549,0.90677363
h4,bull,1,price20_bull+momentum_bull,40106,0.04800665,0.04373410,-0.00427255,0.91100090
h4,bull,1,price20_bull+rsi60,27833,0.04800665,0.04404843,-0.00395822,0.91754848
h4,bull,1,price20_bull+macd_bull,44138,0.04800665,0.04701165,-0.00099501,0.97927354
h4,bull,1,price20_bull+macd_rising,32844,0.04800665,0.04758860,-0.00041805,0.99129178
h4,bull,1,price20_bull+adx25,23833,0.04800665,0.04699366,-0.00101299,0.97889899
h4,bull,1,price20_bull+adx_rising,26035,0.04800665,0.04659113,-0.00141553,0.97051396
h4,bull,1,price20_bull+di_bull,48043,0.04800665,0.04679142,-0.00121524,0.97468606
