timestamp,open,high,low,close,volume
1609459200000,79.384,79.384,79.384,79.384,0.0
1609545600000,79.384,79.384,79.384,79.384,0.0
1609632000000,79.418,79.681,79.366,79.616,9167.1298828125
1609718400000,79.616,79.621,78.849,79.099,187811.453125
1609804800000,79.101,79.836,79.042,79.708,183409.984375
1609891200000,79.711,80.551,79.53,80.521,264852.5625
1609977600000,80.521,80.691,80.162,80.639,193999.90625
1610064000000,80.645,80.926,80.382,80.706,236105.359375
1610150400000,80.706,80.706,80.706,80.706,0.0
1610236800000,80.561,80.686,80.272,80.359,9191.6796875
1610323200000,80.359,80.447,79.994,80.262,180554.9375
1610409600000,80.26,80.72,80.18,80.67,170756.6875
1610496000000,80.668,80.684,80.265,80.428,161719.296875
1610582400000,80.429,80.852,80.401,80.741,177120.546875
1610668800000,80.739,80.788,79.718,79.96,176023.09375
1610755200000,79.96,79.96,79.96,79.96,0.0
1610841600000,80.023,80.066,79.84,79.841,6943.52978515625
1610928000000,79.84,79.911,79.51,79.697,148777.890625
1611014400000,79.697,80.318,79.688,80.142,158998.71875
1611100800000,80.142,80.376,79.977,80.307,150986.875
1611187200000,80.308,80.515,80.189,80.32,158483.015625
1611273600000,80.319,80.445,79.902,80.015,150161.015625
1611360000000,80.015,80.015,80.015,80.015,0.0
1611446400000,80.089,80.131,79.995,80.055,5402.72021484375
1611532800000,80.056,80.338,79.76,80.051,177893.125
1611619200000,80.051,80.345,79.605,80.325,141756.0
1611705600000,80.323,80.441,79.595,79.651,213887.765625
1611792000000,79.651,80.236,79.201,80.007,238883.84375
1611878400000,80.006,80.647,79.807,79.96,251893.296875
1611964800000,79.96,79.96,79.96,79.96,0.0
1612051200000,79.851,79.953,79.69,79.805,10581.7900390625
1612137600000,79.805,80.209,79.788,80.062,178783.34375
1612224000000,80.061,80.366,79.538,79.885,173439.4375
1612310400000,79.884,80.187,79.825,80.176,139375.78125
1612396800000,80.177,80.331,80.045,80.239,148502.5
1612483200000,80.24,80.915,80.039,80.863,143779.625
1612569600000,80.863,80.863,80.863,80.863,0.0
1612656000000,80.77,80.954,80.761,80.926,8247.080078125
1612742400000,80.928,81.189,80.831,81.101,118454.1484375
1612828800000,81.1,81.159,80.645,80.946,125675.046875
1612915200000,80.946,81.097,80.751,80.805,146590.34375
1613001600000,80.804,81.372,80.673,81.2,109081.15625
1613088000000,81.199,81.484,81.084,81.409,95739.1796875
1613174400000,81.409,81.409,81.409,81.409,0.0
1613260800000,81.463,81.582,81.434,81.563,7765.419921875
1613347200000,81.56,82.088,81.51,82.034,85859.953125
1613433600000,82.036,82.413,81.88,82.086,136439.171875
1613520000000,82.086,82.292,81.759,82.12,154734.703125
1613606400000,82.118,82.3,81.824,82.075,150674.796875
1613692800000,82.073,83.157,81.99,82.94,144700.1875
1613779200000,82.94,82.94,82.94,82.94,0.0
1613865600000,82.946,83.265,82.939,83.186,6843.56005859375
1613952000000,83.186,83.434,82.987,83.104,153681.4375
1614038400000,83.104,83.366,82.913,83.258,162850.15625
1614124800000,83.258,84.528,83.24,84.504,184288.0625
1614211200000,84.504,84.949,83.508,83.651,229227.765625
1614297600000,83.651,83.743,81.984,82.06,257400.921875
1614384000000,82.06,82.06,82.06,82.06,0.0
1614470400000,82.12,82.635,82.086,82.551,7666.41015625
1614556800000,82.55,83.132,82.414,83.054,170965.390625
1614643200000,83.051,83.635,82.625,83.53,191949.265625
1614729600000,83.531,83.754,83.009,83.009,187848.203125
1614816000000,83.01,84.038,83.007,83.274,235620.3125
1614902400000,83.27,83.592,82.779,83.171,248805.34375
1614988800000,83.171,83.171,83.171,83.171,0.0
1615075200000,83.316,83.744,83.298,83.557,8707.490234375
1615161600000,83.557,83.616,82.927,83.389,223406.640625
1615248000000,83.39,83.915,83.173,83.77,194538.890625
1615334400000,83.769,83.928,83.479,83.834,178235.875
1615420800000,83.834,84.562,83.79,84.528,165925.5625
1615507200000,84.527,84.776,84.21,84.567,178032.90625
1615593600000,84.567,84.567,84.567,84.567,0.0
1615680000000,84.463,84.714,84.392,84.694,9466.4296875
1615766400000,84.696,84.729,84.113,84.55,145994.453125
1615852800000,84.55,84.663,84.189,84.456,135007.953125
1615939200000,84.453,85.099,84.121,85.098,168812.546875
1616025600000,85.099,85.448,84.354,84.449,208799.8125
1616112000000,84.45,84.546,84.114,84.25,175274.90625
1616198400000,84.25,84.25,84.25,84.25,0.0
1616284800000,83.684,84.164,83.663,84.077,9486.4599609375
1616371200000,84.077,84.378,83.836,84.244,136730.25
1616457600000,84.247,84.265,82.464,82.545,155968.53125
1616544000000,82.545,83.039,82.286,82.58,143335.5
1616630400000,82.58,83.061,82.553,82.892,166959.734375
1616716800000,82.892,83.836,82.828,83.739,124062.3515625
1616803200000,83.739,83.739,83.739,83.739,0.0
1616889600000,83.734,83.886,83.643,83.848,7225.509765625
1616976000000,83.847,83.933,83.335,83.898,124808.40625
1617062400000,83.9,84.284,83.694,83.919,131763.6875
1617148800000,83.919,84.476,83.873,84.106,141333.453125
1617235200000,84.106,84.273,83.43,84.247,150428.75
1617321600000,84.247,84.484,84.029,84.058,85361.3828125
1617408000000,84.058,84.058,84.058,84.058,0.0
1617494400000,84.124,84.34,84.103,84.33,8613.83984375
1617580800000,84.33,84.411,84.077,84.378,76701.2734375
1617667200000,84.375,84.461,83.787,84.173,128618.078125
1617753600000,84.172,84.244,83.489,83.638,136292.703125
1617840000000,83.637,83.784,83.286,83.709,123665.328125
1617926400000,83.71,83.785,83.036,83.532,118373.1484375
1618012800000,83.532,83.532,83.532,83.532,0.0
1618099200000,83.525,83.686,83.468,83.622,5222.64013671875
1618185600000,83.622,83.642,83.153,83.425,109507.75
1618272000000,83.425,83.463,83.032,83.295,134594.09375
1618358400000,83.295,84.286,83.106,84.117,134823.6875
1618444800000,84.114,84.411,83.881,84.247,132524.765625
1618531200000,84.247,84.379,84.076,84.111,113333.4609375
1618617600000,84.111,84.111,84.111,84.111,0.0
1618704000000,84.055,84.103,83.858,83.858,5935.25
1618790400000,83.86,84.147,83.749,83.941,141563.15625
1618876800000,83.942,84.716,83.357,83.501,164812.671875
1618963200000,83.502,83.923,83.221,83.775,139728.921875
1619049600000,83.775,83.861,83.062,83.193,148250.78125
1619136000000,83.194,83.743,83.101,83.496,111703.3671875
1619222400000,83.496,83.496,83.496,83.496,0.0
1619308800000,83.497,83.655,83.491,83.527,4373.0
1619395200000,83.528,84.499,83.499,84.36,125883.34375
1619481600000,84.359,84.515,84.076,84.473,122238.890625
1619568000000,84.472,84.752,84.135,84.647,140673.6875
1619654400000,84.647,85.005,84.36,84.698,128107.84375
1619740800000,84.698,84.851,84.137,84.301,130268.4921875
1619827200000,84.301,84.301,84.301,84.301,0.0
1619913600000,84.367,84.401,84.275,84.371,3692.9599609375
1620000000000,84.372,84.749,84.357,84.634,104433.421875
1620086400000,84.633,84.736,83.932,84.33,142722.34375
1620172800000,84.331,84.704,84.293,84.657,113213.9375
1620259200000,84.655,84.933,84.241,84.918,155010.703125
1620345600000,84.917,85.315,84.722,85.132,138864.875
1620432000000,85.132,85.132,85.132,85.132,0.0
1620518400000,85.294,85.329,85.176,85.319,5839.81982421875
1620604800000,85.317,85.803,85.124,85.341,137273.265625
1620691200000,85.342,85.444,84.82,85.207,156776.875
1620777600000,85.205,85.259,84.592,84.793,184635.515625
1620864000000,84.796,84.839,84.292,84.588,168977.328125
1620950400000,84.587,85.169,84.527,85.053,123904.8671875
1621036800000,85.053,85.053,85.053,85.053,0.0
1621123200000,84.916,85.139,84.843,85.109,4493.4599609375
1621209600000,85.107,85.112,84.455,84.917,126059.890625
1621296000000,84.918,85.148,84.767,84.782,123173.9296875
1621382400000,84.784,84.956,84.042,84.35,189115.765625
