timestamp,open,high,low,close,volume
1609704000000,103.097,103.316,103.097,103.247,5385.83
1609718400000,103.247,103.263,102.934,102.948,18609.23
1609732800000,102.947,103.063,102.85,102.912,14818.85
1609747200000,102.911,102.922,102.712,102.857,24433.13
1609761600000,102.858,103.253,102.848,103.128,32917.52
1609776000000,103.129,103.205,103.102,103.11,18978.35
1609790400000,103.111,103.193,103.079,103.135,7875.67
1609804800000,103.135,103.19,103.021,103.033,16284.49
1609819200000,103.032,103.047,102.877,102.95,16046.5
1609833600000,102.949,102.961,102.796,102.818,22386.71
1609848000000,102.818,102.946,102.773,102.789,30811.75
1609862400000,102.788,102.82,102.604,102.634,18485.09
1609876800000,102.636,102.755,102.627,102.685,7308.82
1609891200000,102.684,102.869,102.591,102.807,32232.32
1609905600000,102.807,102.834,102.674,102.741,22938.61
1609920000000,102.739,102.884,102.733,102.798,23682.66
1609934400000,102.798,103.444,102.767,103.383,39943.61
1609948800000,103.384,103.404,103.07,103.134,17575.74
1609963200000,103.135,103.135,102.943,103.023,14254.74
1609977600000,103.021,103.247,102.951,103.128,22458.96
1609992000000,103.127,103.379,103.094,103.363,13935
1610006400000,103.365,103.707,103.328,103.678,31401.54
1610020800000,103.678,103.955,103.519,103.938,33861.23
1610035200000,103.937,103.957,103.747,103.874,15098.62
1610049600000,103.873,103.892,103.777,103.801,7491.64
1610064000000,103.801,103.999,103.769,103.84,20606.85
1610078400000,103.84,103.977,103.801,103.97,15095.37
1610092800000,103.971,104.092,103.795,103.829,25426.95
1610107200000,103.829,104.069,103.603,103.799,39064.65
1610121600000,103.8,104.061,103.756,103.906,28647.19
1610136000000,103.905,103.995,103.87,103.885,5338.79
1610308800000,103.882,104.097,103.881,104.085,5264.87
1610323200000,104.086,104.203,104.033,104.172,12356.94
1610337600000,104.17,104.221,104.095,104.191,12758.39
1610352000000,104.191,104.191,104.034,104.126,20434.77
1610366400000,104.127,104.397,104.122,104.287,33738.14
1610380800000,104.289,104.29,104.072,104.156,14435.73
1610395200000,104.155,104.261,104.11,104.14,7032.43
1610409600000,104.14,104.313,104.099,104.283,14211.01
1610424000000,104.284,104.325,104.107,104.162,12375.12
1610438400000,104.163,104.261,104.127,104.212,18467.26
1610452800000,104.212,104.332,104.163,104.208,25010.48
1610467200000,104.21,104.218,103.784,103.829,16413.12
1610481600000,103.827,103.842,103.72,103.747,13954.87
1610496000000,103.749,103.75,103.525,103.586,15681.9
1610510400000,103.586,103.707,103.578,103.688,14002.22
1610524800000,103.688,103.997,103.656,103.977,23831.28
1610539200000,103.976,103.978,103.746,103.922,26037.01
1610553600000,103.921,103.978,103.77,103.882,14138.1
1610568000000,103.881,103.909,103.789,103.826,7816.09
1610582400000,103.827,104.196,103.798,104.05,24200.94
1610596800000,104.051,104.096,103.955,104.029,15756.66
1610611200000,104.032,104.053,103.951,103.995,20702.47
1610625600000,103.995,104.159,103.798,103.841,25198.41
1610640000000,103.842,103.857,103.563,103.786,20078.19
1610654400000,103.788,103.847,103.667,103.84,8050.71
1610668800000,103.838,103.854,103.7,103.764,13818.06
1610683200000,103.766,103.821,103.645,103.697,11750.9
1610697600000,103.697,103.761,103.616,103.661,18065.5
1610712000000,103.662,103.897,103.64,103.862,27574.36
1610726400000,103.861,103.89,103.757,103.864,12909.85
1610740800000,103.865,103.912,103.75,103.75,3097.54
1610913600000,103.817,103.926,103.813,103.916,3840.36
1610928000000,103.916,103.931,103.688,103.743,16847.55
1610942400000,103.745,103.768,103.695,103.755,11446.6
1610956800000,103.757,103.841,103.721,103.755,18963.36
1610971200000,103.755,103.786,103.66,103.694,16774.56
1610985600000,103.696,103.723,103.637,103.684,12902.6
1611000000000,103.685,103.721,103.654,103.705,15335.58
1611014400000,103.705,104.082,103.652,104.003,30466.91
1611028800000,104.004,104.085,103.969,104.003,11677.57
1611043200000,104.002,104.058,103.951,103.991,19678.92
1611057600000,103.99,104.048,103.862,103.908,22850.93
1611072000000,103.908,103.928,103.836,103.868,11281
1611086400000,103.869,103.93,103.848,103.899,6236.71
1611100800000,103.898,103.929,103.745,103.779,14504.88
1611115200000,103.779,103.81,103.714,103.74,9599.81
1611129600000,103.741,103.838,103.72,103.82,21452.13
1611144000000,103.82,103.843,103.445,103.551,22683.38
1611158400000,103.554,103.638,103.532,103.535,11410.62
1611172800000,103.538,103.572,103.512,103.558,10226.13
1611187200000,103.557,103.668,103.486,103.488,17047.56
1611201600000,103.49,103.542,103.332,103.52,13454.52
1611216000000,103.521,103.555,103.374,103.412,21809.42
1611230400000,103.412,103.662,103.327,103.561,31612.83
1611244800000,103.561,103.623,103.497,103.508,12458.86
1611259200000,103.508,103.548,103.477,103.51,9640.11
1611273600000,103.509,103.611,103.492,103.535,13678.84
1611288000000,103.536,103.696,103.536,103.672,13456.25
1611302400000,103.673,103.717,103.605,103.687,17782.04
1611316800000,103.688,103.887,103.677,103.793,25358.62
1611331200000,103.793,103.842,103.749,103.833,8139.49
1611345600000,103.832,103.843,103.727,103.727,3145.95
1611518400000,103.781,103.825,103.756,103.789,3524.27
1611532800000,103.789,103.89,103.747,103.76,12369.6
1611547200000,103.761,103.773,103.672,103.709,9768.34
1611561600000,103.709,103.854,103.704,103.817,18109.24
1611576000000,103.818,103.936,103.7,103.772,19871.66
1611590400000,103.772,103.836,103.744,103.799,9668.43
1611604800000,103.799,103.805,103.721,103.761,10901.36
1611619200000,103.763,103.799,103.657,103.715,8182.28
1611633600000,103.715,103.828,103.692,103.812,9015.24
1611648000000,103.81,103.815,103.745,103.774,15137.28
1611662400000,103.778,103.785,103.554,103.646,16928.78
1611676800000,103.644,103.711,103.629,103.649,7362.59
1611691200000,103.648,103.672,103.591,103.601,9656.04
1611705600000,103.599,103.751,103.586,103.737,10452.32
1611720000000,103.737,103.744,103.63,103.679,7163.34
1611734400000,103.677,103.867,103.651,103.836,17227.18
1611748800000,103.835,104.178,103.805,104.098,30929.19
1611763200000,104.098,104.168,104.035,104.152,14107.85
1611777600000,104.151,104.2,104.051,104.142,10604.93
1611792000000,104.142,104.37,104.134,104.363,16770.85
1611806400000,104.361,104.377,104.215,104.309,10588.24
1611820800000,104.309,104.355,104.217,104.307,17027.51
1611835200000,104.305,104.462,104.251,104.309,21241.37
1611849600000,104.309,104.353,104.174,104.231,9076.65
1611864000000,104.232,104.314,104.213,104.303,11309.95
1611878400000,104.301,104.571,104.285,104.481,17001.59
1611892800000,104.482,104.572,104.464,104.551,10490.67
1611907200000,104.55,104.94,104.537,104.744,22644.75
1611921600000,104.743,104.85,104.613,104.691,27571.91
1611936000000,104.691,104.765,104.626,104.75,12683.37
1611950400000,104.748,104.755,104.638,104.638,4011.35
1612123200000,104.776,104.815,104.679,104.717,6051.03
1612137600000,104.715,104.754,104.608,104.684,10040.23
1612152000000,104.683,104.757,104.64,104.745,6760.53
1612166400000,104.744,104.95,104.675,104.883,17251.74
1612180800000,104.882,104.995,104.833,104.957,18425.99
1612195200000,104.957,105.035,104.9,104.943,8246.04
1612209600000,104.942,104.964,104.877,104.883,6705.31
1612224000000,104.883,104.946,104.828,104.944,10526.58
1612238400000,104.945,105.027,104.932,104.984,8353.06
1612252800000,104.985,105.066,104.852,105.027,18037.43
1612267200000,105.028,105.173,104.964,105.104,20696.26
1612281600000,105.103,105.128,105.018,105.081,10352.38
1612296000000,105.083,105.103,104.95,105.031,8037.6
1612310400000,105.03,105.048,104.922,105.009,9678.64
1612324800000,105.009,105.096,104.98,105.052,7146.44
1612339200000,105.051,105.104,105.012,105.062,10717.12
1612353600000,105.063,105.098,104.971,105.073,16468.67
1612368000000,105.073,105.087,105.002,105.053,6428.42
1612382400000,105.052,105.058,104.985,104.996,4906.89
1612396800000,104.996,105.13,104.975,105.114,8962.75
1612411200000,105.116,105.26,105.098,105.193,10111.74
1612425600000,105.194,105.339,105.143,105.335,15454.16
1612440000000,105.335,105.493,105.216,105.417,18548.56
1612454400000,105.418,105.529,105.401,105.524,7600.88
1612468800000,105.523,105.644,105.507,105.575,6887.74
1612483200000,105.574,105.64,105.459,105.547,12521.35
1612497600000,105.547,105.582,105.486,105.497,6254.96
1612512000000,105.497,105.671,105.334,105.615,15831.13
1612526400000,105.613,105.769,105.408,105.47,31589.99
1612540800000,105.47,105.477,105.342,105.442,10607.62
1612555200000,105.442,105.442,105.319,105.319,3337.5
1612728000000,105.316,105.432,105.316,105.395,9188.55
1612742400000,105.395,105.545,105.345,105.461,10968.46
1612756800000,105.461,105.53,105.453,105.483,7548.48
1612771200000,105.482,105.671,105.451,105.625,13369.45
1612785600000,105.624,105.651,105.163,105.197,20509.97
1612800000000,105.195,105.263,105.15,105.223,8877.09
1612814400000,105.223,105.262,105.177,105.214,9935.73
1612828800000,105.212,105.228,104.899,104.928,14588.02
1612843200000,104.929,104.938,104.748,104.775,12080.98
1612857600000,104.775,104.886,104.535,104.652,19193.64
1612872000000,104.65,104.703,104.497,104.576,20807.03
1612886400000,104.576,104.658,104.538,104.539,9946.83
1612900800000,104.539,104.625,104.533,104.584,5790.85
1612915200000,104.583,104.712,104.51,104.556,13475.33
1612929600000,104.552,104.602,104.502,104.519,7651.17
1612944000000,104.518,104.842,104.408,104.774,20558.96
1612958400000,104.773,104.828,104.536,104.662,26533.63
1612972800000,104.661,104.706,104.627,104.643,8700.55
1612987200000,104.644,104.662,104.572,104.618,3768.59
1613001600000,104.618,104.644,104.564,104.599,4624.31
1613016000000,104.598,104.612,104.549,104.584,4967.26
1613030400000,104.583,104.763,104.559,104.723,12052.72
1613044800000,104.721,104.79,104.638,104.728,16720.28
1613059200000,104.727,104.804,104.71,104.755,11017.56
1613073600000,104.755,104.778,104.707,104.75,4085.78
1613088000000,104.751,104.842,104.737,104.82,7346.98
1613102400000,104.817,104.94,104.765,104.926,8247.61
1613116800000,104.924,105.181,104.895,105.033,16824.65
1613131200000,105.032,105.124,104.921,104.961,16957.27
1613145600000,104.961,104.981,104.91,104.972,8618.42
1613160000000,104.972,104.989,104.909,104.909,1740.54
1613332800000,104.891,105.083,104.891,105.067,9947.18
1613347200000,105.065,105.143,104.979,105.065,9616.98
1613361600000,105.064,105.205,105.01,105.179,8156.69
1613376000000,105.181,105.417,105.127,105.265,14053.93
1613390400000,105.267,105.402,105.263,105.355,9997.21
1613404800000,105.355,105.373,105.297,105.342,6533.91
1613419200000,105.342,105.397,105.307,105.371,9887.48
1613433600000,105.372,105.596,105.372,105.595,11002.66
1613448000000,105.595,105.632,105.418,105.477,10883.03
1613462400000,105.477,105.529,105.179,105.389,13502.67
1613476800000,105.39,105.812,105.346,105.692,25823.77
1613491200000,105.692,105.966,105.688,105.894,9000.54
1613505600000,105.894,106.224,105.872,106.117,11737.85
1613520000000,106.117,106.189,105.905,105.961,16773.07
1613534400000,105.963,106.076,105.837,106.022,12193.1
1613548800000,106.024,106.088,105.867,106.008,15449.26
1613563200000,106.005,106.213,105.825,105.929,26694.86
1613577600000,105.929,105.932,105.777,105.916,11845.61
1613592000000,105.915,105.924,105.852,105.852,8170.09
1613606400000,105.854,105.913,105.697,105.886,11788.49
1613620800000,105.886,105.924,105.798,105.812,8086.7
1613635200000,105.812,105.873,105.629,105.694,16808.74
1613649600000,105.696,105.879,105.598,105.783,20473.33
1613664000000,105.784,105.794,105.641,105.686,7952.11
1613678400000,105.688,105.704,105.63,105.654,5676.71
1613692800000,105.653,105.742,105.634,105.703,8899.5
1613707200000,105.703,105.725,105.545,105.604,9912.92
1613721600000,105.605,105.621,105.31,105.341,16884.66
1613736000000,105.342,105.67,105.24,105.625,20170.88
1613750400000,105.626,105.648,105.403,105.489,12708.98
1613764800000,105.489,105.49,105.38,105.386,2151.77
1613937600000,105.383,105.622,105.382,105.536,4371.01
1613952000000,105.534,105.737,105.427,105.643,15561.51
1613966400000,105.645,105.825,105.613,105.818,10356.71
1613980800000,105.816,105.845,105.474,105.555,17219.18
1613995200000,105.554,105.621,104.993,105.072,24246.26
1614009600000,105.071,105.124,104.983,105.017,8926.2
1614024000000,105.019,105.1,104.924,105.007,7499.73
1614038400000,105.007,105.036,104.922,105.02,7912.94
1614052800000,105.024,105.194,104.997,105.145,7826.19
1614067200000,105.144,105.317,105.086,105.245,19728.94
1614081600000,105.246,105.429,105.063,105.116,22477.34
