timestamp,open,high,low,close,volume
1609704000000,140.73,141.304,140.73,141.244,7487.15
1609718400000,141.247,141.275,140.776,140.989,34825.97
1609732800000,140.991,141.064,140.746,140.855,25580.6
1609747200000,140.858,140.924,140.412,140.601,48567.29
1609761600000,140.601,140.62,139.913,140.02,63770.95
1609776000000,140.02,140.183,139.687,139.879,43846.31
1609790400000,139.879,140.071,139.766,139.958,18970.21
1609804800000,139.956,140.149,139.892,139.971,31719.26
1609819200000,139.971,140.06,139.626,139.694,34903.28
1609833600000,139.692,139.905,139.508,139.725,44651.26
1609848000000,139.724,139.976,139.535,139.719,58219.71
1609862400000,139.721,140.007,139.715,139.877,37480.51
1609876800000,139.878,139.985,139.825,139.924,13965.99
1609891200000,139.924,140.027,139.787,139.824,49139.8
1609905600000,139.825,140.336,139.798,140.32,40982.2
1609920000000,140.319,140.57,140.034,140.3,51946.73
1609934400000,140.298,140.371,139.752,140.087,76559.56
1609948800000,140.086,140.523,140.003,140.243,48360.5
1609963200000,140.247,140.42,140.109,140.352,27149.35
1609977600000,140.349,140.55,140.103,140.263,34322.83
1609992000000,140.263,140.406,140.164,140.37,27699.15
1610006400000,140.373,140.906,140.292,140.666,65900.31
1610020800000,140.666,140.99,140.644,140.826,65850.86
1610035200000,140.823,140.96,140.596,140.96,35362.67
1610049600000,140.957,140.987,140.701,140.839,13128.59
1610064000000,140.839,140.909,140.733,140.831,29333.13
1610078400000,140.832,141.197,140.754,141.164,27207.33
1610092800000,141.163,141.248,141.003,141.129,54178.5
1610107200000,141.13,141.376,140.849,141.058,76502.15
1610121600000,141.055,141.226,140.868,140.927,53601.38
1610136000000,140.925,141.035,140.889,140.928,10970.78
1610308800000,140.759,140.968,140.619,140.702,6751.1
1610323200000,140.7,140.814,140.62,140.68,25449.66
1610337600000,140.68,140.722,140.457,140.475,25740.46
1610352000000,140.475,140.647,140.397,140.417,45427.72
1610366400000,140.417,140.702,140.334,140.641,66340.29
1610380800000,140.64,140.926,140.504,140.873,33484.67
1610395200000,140.872,140.932,140.712,140.824,15725.33
1610409600000,140.821,141.069,140.745,141.003,24883.55
1610424000000,141.004,141.258,140.964,141.168,24623.96
1610438400000,141.169,141.731,141.118,141.589,47615.89
1610452800000,141.588,142.028,141.581,141.899,52599.4
1610467200000,141.898,141.976,141.652,141.864,33873.33
1610481600000,141.864,141.881,141.711,141.785,19141.3
1610496000000,141.783,141.838,141.611,141.783,21662.86
1610510400000,141.78,141.963,141.754,141.845,20842.25
1610524800000,141.847,142.257,141.705,142.129,46544.17
1610539200000,142.127,142.212,141.653,141.709,55030.93
1610553600000,141.708,141.79,141.522,141.588,29744.53
1610568000000,141.589,141.72,141.553,141.692,17548.06
1610582400000,141.692,141.964,141.625,141.88,28059.11
1610596800000,141.885,142.08,141.708,142.062,25232.14
1610611200000,142.062,142.235,141.82,141.931,42219.28
1610625600000,141.931,142.168,141.766,142.05,52401
1610640000000,142.05,142.063,141.808,141.989,39107.31
1610654400000,141.991,142.115,141.945,142.076,15883.94
1610668800000,142.074,142.111,141.898,141.966,21449.25
1610683200000,141.966,142.006,141.631,141.675,22163.58
1610697600000,141.676,141.755,141.325,141.381,44911.08
1610712000000,141.379,141.42,140.954,141.079,60629.17
1610726400000,141.078,141.244,140.965,141.042,25813.55
1610740800000,141.041,141.169,141.03,141.041,6542.14
1610913600000,141.082,141.195,140.966,141.013,7899.16
1610928000000,141.014,141.087,140.802,140.84,29126.21
1610942400000,140.84,140.842,140.581,140.613,19762.02
1610956800000,140.613,140.708,140.354,140.572,40446.79
1610971200000,140.572,140.787,140.396,140.757,31071.38
1610985600000,140.757,140.875,140.714,140.866,29819.86
1611000000000,140.868,140.911,140.743,140.851,21314.18
1611014400000,140.853,141.571,140.829,141.502,34372.87
1611028800000,141.502,141.594,141.373,141.476,20121.97
1611043200000,141.476,141.734,141.341,141.568,29921.53
1611057600000,141.568,141.658,141.412,141.501,38800.2
1611072000000,141.506,141.606,141.396,141.585,21867.29
1611086400000,141.585,141.774,141.506,141.756,9792.04
1611100800000,141.756,141.771,141.572,141.662,21125.03
1611115200000,141.668,141.846,141.616,141.801,17130.8
1611129600000,141.802,142.336,141.751,142.004,42894.66
1611144000000,142.004,142.07,141.082,141.16,42798.55
1611158400000,141.162,141.467,141.119,141.265,24380.67
1611172800000,141.266,141.576,141.238,141.524,17701.56
1611187200000,141.524,141.725,141.482,141.583,21209.84
1611201600000,141.585,141.832,141.423,141.788,18555.34
1611216000000,141.786,142.194,141.76,141.867,37037.55
1611230400000,141.867,142.215,141.811,142.131,51050.82
1611244800000,142.131,142.202,141.899,142.056,23060.75
1611259200000,142.057,142.195,142.05,142.098,12160.56
1611273600000,142.095,142.2,141.91,142.015,20174.06
1611288000000,142.015,142.063,141.658,141.699,19748.52
1611302400000,141.7,141.963,141.508,141.715,34059.17
1611316800000,141.714,141.901,141.563,141.873,38718.73
1611331200000,141.876,142.136,141.797,142.061,20732.33
1611345600000,142.06,142.076,141.916,141.928,5381.85
1611518400000,142.001,142.085,141.886,142.032,7616.32
1611532800000,142.035,142.218,141.952,142.158,20888.04
1611547200000,142.156,142.312,142.103,142.278,25536.91
1611561600000,142.28,142.322,141.836,142.122,35306.46
1611576000000,142.124,142.132,141.787,141.86,41129.09
1611590400000,141.861,141.964,141.65,141.817,31390.69
1611604800000,141.817,141.927,141.766,141.904,11784.34
1611619200000,141.906,141.91,141.688,141.715,17709.33
1611633600000,141.715,141.745,141.277,141.306,23744.47
1611648000000,141.305,141.923,141.285,141.903,36760.02
